,roc_auc_mean,roc_auc_std,f1_mean,f1_std,shots,dataset
gboost,0.5039136622390892,0.008751214807577443,0.09766233766233766,0.21837962585452492,4,hiring
gboost,0.5099620493358634,0.020159371769413754,0.21146896898450157,0.29528708874950477,8,hiring
gboost,0.5415441176470589,0.04451135618382694,0.4736384436864774,0.27129086962967863,16,hiring
gboost,0.5909867172675523,0.05010802306124148,0.6959726999725716,0.031059365959301435,32,hiring
gboost,0.5826731499051234,0.03324328065502975,0.7046650467479543,0.06432873738670679,64,hiring
gboost,0.5977051707779887,0.05040756657555811,0.6840517882847668,0.04215026852271191,128,hiring
gboost,0.6905775616698293,0.013247815940987725,0.891907894131901,0.008421005089217429,5000,hiring
gboost,0.5659350393700787,0.0925556739143017,0.14487206157686708,0.22550339794799865,4,adult
gboost,0.5342814960629921,0.07665575556724177,0.09066666666666666,0.20273682995998094,8,adult
gboost,0.6205807086614172,0.11477242438039366,0.24689113268406865,0.23206191488335975,16,adult
gboost,0.7707135826771653,0.0497130600079576,0.5181756017506334,0.06945618655729643,32,adult
gboost,0.8011318897637795,0.020649091120387184,0.5567674074248409,0.04221137943925628,64,adult
gboost,0.8445275590551182,0.0204235070183056,0.6116309625986863,0.03617853826872472,128,adult
gboost,0.889970472440945,0.019372219169877046,0.6639240526237152,0.03911683945138192,256,adult
gboost,0.9054429133858267,0.008476975431616225,0.5897342261122748,0.016510328018819163,5000,adult
gboost,0.5432341723874905,0.05920082867923883,0.06282051282051282,0.0860205298645934,4,seismic_bumps
gboost,0.5837179906287457,0.11559910155145216,0.09379827852571176,0.1297854381563467,8,seismic_bumps
gboost,0.7096284188732701,0.06928022661417649,0.20873478041781998,0.04329519995106574,16,seismic_bumps
gboost,0.6852043151356653,0.05182696701135424,0.19049229011152846,0.04127409232204193,32,seismic_bumps
gboost,0.7320169990192873,0.042522040396534976,0.20507951679203273,0.020090584560712697,64,seismic_bumps
gboost,0.7093712542225128,0.03935517895683619,0.2105457910599192,0.031621023965657025,128,seismic_bumps
gboost,0.7296240601503758,0.023067656339227083,0.006779661016949152,0.015159782898303659,5000,seismic_bumps
gboost,0.5089691558441558,0.020055642168321983,0.09770114942528736,0.21846641159480704,4,san_francisco_crimes
gboost,0.5124797077922078,0.027905474962710453,0.04919786096256685,0.11000976145988271,8,san_francisco_crimes
gboost,0.5660673701298702,0.059184838159829806,0.32552739252882723,0.2082498487462811,16,san_francisco_crimes
gboost,0.589237012987013,0.054990764787713343,0.4471227660867072,0.06388484005107678,32,san_francisco_crimes
gboost,0.7090827922077922,0.0762174414334788,0.5457988682486572,0.06307732933942564,64,san_francisco_crimes
gboost,0.8141883116883116,0.028528052758277033,0.6274325645454665,0.056571150468361454,128,san_francisco_crimes
gboost,0.8697767857142857,0.017003329983255638,0.6956743387823056,0.023816186316569565,256,san_francisco_crimes
gboost,0.9070941558441559,0.009314549989522605,0.7773588905029194,0.018599266878241018,5000,san_francisco_crimes
gboost,0.5,0.0,0.0,0.0,4,tech_mental_health_survey
gboost,0.5722222222222222,0.0756912588524373,0.26730769230769236,0.24818125414954814,8,tech_mental_health_survey
gboost,0.775,0.2275087333827695,0.6642105263157895,0.39040429360519835,16,tech_mental_health_survey
gboost,0.9416666666666667,0.024845199749997614,0.9284210526315789,0.025944752723928873,64,tech_mental_health_survey
gboost,0.9416666666666667,0.024845199749997614,0.9284210526315789,0.025944752723928873,128,tech_mental_health_survey
gboost,0.9597222222222221,0.044574462599670066,0.9378947368421052,0.021183801892103237,256,tech_mental_health_survey
gboost,0.9597222222222221,0.044574462599670066,0.9378947368421052,0.021183801892103237,5000,tech_mental_health_survey
gboost,0.5,0.0,0.0,0.0,4,bbbp
gboost,0.5404278846153846,0.06537127444496682,0.26413627045846483,0.36308910355065194,8,bbbp
gboost,0.7165192307692309,0.06389369342302224,0.7095188814191755,0.18446554990800204,16,bbbp
gboost,0.7220132211538461,0.058803821678730196,0.7684645138567957,0.07257228149470225,32,bbbp
gboost,0.7950072115384617,0.02558410451929435,0.8096257951844011,0.032057435232409746,64,bbbp
gboost,0.8223822115384616,0.01380710449013779,0.8406668331389573,0.019861941853103415,128,bbbp
gboost,0.8387439903846154,0.017064029068722272,0.8249097436335202,0.026993038993347963,256,bbbp
gboost,0.8838269230769231,0.007237069689325039,0.9047267467476319,0.00275163806780242,5000,bbbp
gboost,0.5421318846009742,0.09420975798795474,0.13676470588235295,0.30581517927570656,4,audit
gboost,0.733864118895966,0.14185814599921337,0.6071401918655737,0.34391570471752964,8,audit
gboost,0.9343824153865368,0.049392338910854344,0.9181621746187106,0.06425606555358314,16,audit
gboost,0.9505557637067567,0.05159666974968606,0.9378066123835055,0.06756062648028115,32,audit
gboost,0.9735856125889846,0.049191126975621086,0.9674875419777951,0.06178380681990956,64,audit
gboost,0.9950980392156863,0.004901960784313708,0.9950543822855191,0.004950507062630826,128,audit
gboost,0.9990196078431373,0.002192223507352727,0.9990147783251231,0.002203022637930823,256,audit
gboost,1.0,0.0,0.9950738916256159,0.0,5000,audit
gboost,0.5319991015274035,0.030065290714406067,0.3373339441136051,0.3241200593957571,4,student_famsup
gboost,0.5413095238095238,0.027329192454102716,0.48867527163006363,0.2777126188977354,8,student_famsup
gboost,0.5350696316262354,0.03254938995191505,0.4439399057937938,0.2521492638326533,16,student_famsup
gboost,0.5455008984725966,0.021615206222935068,0.5436297486043604,0.08027653682127198,32,student_famsup
gboost,0.5606940700808625,0.053641097538384315,0.5945445811238177,0.04099956966975964,64,student_famsup
gboost,0.6049438454627134,0.058180998442650005,0.6396113926386742,0.02809116849370651,128,student_famsup
gboost,0.6827088948787061,0.05912591715507551,0.6608955312934774,0.04938790550135926,256,student_famsup
gboost,0.9453548966756514,0.018784648080652847,0.90479276153974,0.01035175013748916,5000,student_famsup
gboost,0.5767441860465116,0.11544399355802902,0.1342559744259483,0.18655790689034138,4,fraud
gboost,0.5698393670582594,0.11019102186495612,0.16949179301120132,0.16679603311629307,8,fraud
gboost,0.8359945656517223,0.12208701430228372,0.5935718174668179,0.25512756853700364,16,fraud
gboost,0.9032845840326061,0.0762324243269859,0.6836526476625381,0.2151939658487147,32,fraud
gboost,0.9791896427715177,0.014949409012825746,0.9150919783237346,0.018300216665271703,64,fraud
gboost,0.9779429393430832,0.007792767268198651,0.9241787781311853,0.005575398824422848,128,fraud
gboost,0.97537760728842,0.0045855164570621785,0.9501400560224089,0.005010796588234805,5000,fraud
gboost,0.5581666666666666,0.0590385937803023,0.5188848968947025,0.3087884809747962,4,callcenter
gboost,0.5653583333333334,0.08965170646575682,0.2503608684361388,0.3511568701141427,8,callcenter
gboost,0.5259666666666667,0.03557213914474828,0.25952015775635406,0.3571583160505307,16,callcenter
gboost,0.5826166666666667,0.07022414139540774,0.5557247143528358,0.311598395242532,32,callcenter
gboost,0.6446666666666666,0.07328565566595475,0.7016764274504448,0.09148499570754216,64,callcenter
gboost,0.706225,0.05721925423802338,0.7280364879199978,0.03077731410237186,128,callcenter
gboost,0.7552666666666666,0.006408923899965951,0.93906400641803,0.0026941784293817053,5000,callcenter
gboost,0.5031794871794871,0.007109549466922381,0.0984375,0.22011294153513555,4,postpartum
gboost,0.583988603988604,0.05042526192014856,0.42073634476380467,0.2550896814204129,8,postpartum
gboost,0.6118689458689459,0.07545488334186581,0.5653200051212688,0.057504372572660584,16,postpartum
gboost,0.6565413105413105,0.021750710338191315,0.5756246681964774,0.0503364525039947,32,postpartum
gboost,0.7314131054131054,0.05465434424626357,0.6197260322703079,0.031447590385463256,64,postpartum
gboost,0.7804501424501424,0.019231891916158025,0.6635111897118616,0.02115577202889965,128,postpartum
gboost,0.8007977207977209,0.015014866700288086,0.6868530738507088,0.03062503933557826,256,postpartum
gboost,0.8198974358974359,0.007516336917333134,0.679579426333866,0.017094281901848647,5000,postpartum
gboost,0.5098720472440945,0.022074568714884744,0.0659090909090909,0.14737720760794068,4,stars
gboost,0.5887204724409448,0.1216541276057497,0.22135384615384615,0.30352279580612146,8,stars
