,roc_auc_mean,roc_auc_std,f1_mean,f1_std,shots,dataset
knn,0.5070268026565465,0.009658417737682458,0.2680968497072129,0.2450734205363573,4,hiring
knn,0.5124644212523719,0.004996821220582419,0.4132685869653773,0.26990815145814345,8,hiring
knn,0.5216318785578749,0.004461089209697464,0.5014808058846499,0.20803782544701474,16,hiring
knn,0.5232269924098671,0.017449243334742327,0.6513798107923455,0.07155413314781468,32,hiring
knn,0.520712760910816,0.012337486155593122,0.5662596243797753,0.10179702197689823,64,hiring
knn,0.5232922201138519,0.016808037552204346,0.5743527133495804,0.0706787468905891,128,hiring
knn,0.5345291745730549,0.020808346464023082,0.8906860235497899,0.006905267650214866,5000,hiring
knn,0.5167224409448818,0.011616318261644958,0.30104779959268113,0.0891633926290641,4,adult
knn,0.5383513779527559,0.032694714864581045,0.22733197827583349,0.2075749319484023,8,adult
knn,0.521884842519685,0.021144727097853908,0.2928976511322582,0.05281713714039051,16,adult
knn,0.5330462598425196,0.021122118047283218,0.24891015304393216,0.11981579652116918,32,adult
knn,0.5342224409448819,0.029868431074821237,0.295117363871089,0.05274908039381874,64,adult
knn,0.5126870078740158,0.003709541406059495,0.29264196229506323,0.036703126962778686,128,adult
knn,0.5373326771653544,0.017447891098344315,0.299855957614785,0.03503587227087815,256,adult
knn,0.5256397637795276,0.018667304191141647,0.13244444444444445,0.0819605445577171,5000,adult
knn,0.6211398060368312,0.08638595806050552,0.1716536454303482,0.06431471331838699,4,seismic_bumps
knn,0.634891576768007,0.06791757438426076,0.14840462393865567,0.0823513286724809,8,seismic_bumps
knn,0.6358047292143402,0.07157216454431059,0.1833204627172419,0.05071453553642451,16,seismic_bumps
knn,0.67541462351531,0.03796122927746045,0.20650932785287385,0.02701601844959709,32,seismic_bumps
knn,0.6567527514438269,0.018249447884516018,0.16950890787696882,0.01333896156561176,64,seismic_bumps
knn,0.6459583741963605,0.050847677738922875,0.16937437804601813,0.04324532780861159,128,seismic_bumps
knn,0.6213315898441756,0.02412437039107019,0.04972389617550908,0.0161787727373316,5000,seismic_bumps
knn,0.5172362012987013,0.02576845778418468,0.19323920716806953,0.2646313100203834,4,san_francisco_crimes
knn,0.5255438311688312,0.026330018924710694,0.3105088944215254,0.18411795826234062,8,san_francisco_crimes
knn,0.5248782467532468,0.014104828853619675,0.38045641809381725,0.11853080062831843,16,san_francisco_crimes
knn,0.5278612012987013,0.016869404318275907,0.41273875346339023,0.022320223069525903,32,san_francisco_crimes
knn,0.5240949675324675,0.010986498144128921,0.33279188729576514,0.057150777077409856,64,san_francisco_crimes
knn,0.5309821428571428,0.02609752829998075,0.3833854230651191,0.020565243141414682,128,san_francisco_crimes
knn,0.5265503246753246,0.029592546922206517,0.38520019162681784,0.04454034146216397,256,san_francisco_crimes
knn,0.5341680194805194,0.008698749024491935,0.10787243229905621,0.0284520283275982,5000,san_francisco_crimes
knn,0.6152777777777778,0.1339035837947828,0.4366946778711485,0.26010933598822616,4,tech_mental_health_survey
knn,0.5888888888888889,0.07770333739277421,0.5934428832261649,0.12234322591555011,8,tech_mental_health_survey
knn,0.5972222222222222,0.08405360025632086,0.4560427807486631,0.22867748034832985,16,tech_mental_health_survey
knn,0.7472222222222221,0.0724355822800294,0.6857142857142857,0.042591770999996,64,tech_mental_health_survey
knn,0.7472222222222221,0.0724355822800294,0.6857142857142857,0.042591770999996,128,tech_mental_health_survey
knn,0.7472222222222221,0.0724355822800294,0.6857142857142857,0.042591770999996,256,tech_mental_health_survey
knn,0.7472222222222221,0.0724355822800294,0.6857142857142857,0.042591770999996,5000,tech_mental_health_survey
knn,0.6382716346153846,0.0729717273517749,0.6804537939437579,0.3750732992988071,4,bbbp
knn,0.5882692307692308,0.10406351174902308,0.6814244029930251,0.37552174179921144,8,bbbp
knn,0.6001814903846154,0.10639990870967465,0.6947130299768631,0.3883671340851273,16,bbbp
knn,0.5881670673076923,0.0644608665726832,0.7640796626536946,0.19455250007983985,32,bbbp
knn,0.6788209134615385,0.0895903526147607,0.8011603577003422,0.07304620647864365,64,bbbp
knn,0.6892367788461538,0.05409636329035139,0.8063778680876202,0.11258507708357123,128,bbbp
knn,0.6855204326923078,0.10383870942909632,0.797519466299021,0.08022322355243938,256,bbbp
knn,0.6589915865384615,0.017010986453342442,0.8783782929882686,0.0030606134617125417,5000,bbbp
knn,0.7657237417259898,0.17870358961389052,0.6848341721635928,0.16419099391273517,4,audit
knn,0.789865118021731,0.06709968408926201,0.7210435989765462,0.061301650426119056,8,audit
knn,0.8633195953540651,0.10563477050170797,0.780145491166527,0.09823788004618539,16,audit
knn,0.8981453727988011,0.04931290176772385,0.8231560530751635,0.05463065953706116,32,audit
knn,0.9541151492444111,0.03571322984633491,0.8939656726392501,0.056683688191501165,64,audit
knn,0.9677344823279631,0.02170668674849013,0.9444249341527655,0.015166020632258971,128,audit
knn,0.9725739977519672,0.013391683780601328,0.9588204954528384,0.0055755135004306525,256,audit
knn,0.9737916822780068,0.010444478875795235,0.9671641791044777,0.004449886522387613,5000,audit
knn,0.5374640610961365,0.026810873594069303,0.34489689089247605,0.20687341762914396,4,student_famsup
knn,0.525763701707098,0.013617962727819899,0.4892603343191336,0.11585857936716766,8,student_famsup
knn,0.5380053908355795,0.0381524216501299,0.5015420951113319,0.0871272493309116,16,student_famsup
knn,0.5354716981132076,0.035026247215603476,0.4927697586704801,0.07411862911486158,32,student_famsup
knn,0.5584928122192273,0.0396894012090985,0.5429591564702653,0.029710586223433588,64,student_famsup
knn,0.5781761006289308,0.028725775911687578,0.5810015487457196,0.07071153201761828,128,student_famsup
knn,0.7047349505840071,0.06355458130722907,0.6982807342431012,0.009410299262143207,256,student_famsup
knn,0.9656289308176103,0.007335431762492256,0.9172489891650493,0.002211280005588401,5000,student_famsup
knn,0.5547430672101015,0.05724218189228945,0.1626241134751773,0.15064769503537367,4,fraud
knn,0.5737233277391512,0.022929445080051212,0.24027971215115312,0.018771864649518966,8,fraud
knn,0.5914249180851914,0.05525512275136451,0.23733710382710868,0.06869392973024853,16,fraud
knn,0.5877487413090386,0.026390910706865396,0.24298336569661433,0.036202174790991616,32,fraud
knn,0.557588108367298,0.05344670248333684,0.24313410054365847,0.020316811770727968,64,fraud
knn,0.6583233437225285,0.06557062068149995,0.30765595700038334,0.03830833294782482,128,fraud
knn,0.8492288020458723,0.01649094198126242,0.5666666666666667,0.0,5000,fraud
knn,0.5792166666666667,0.06427207521760736,0.6230519812293355,0.28782180241922317,4,callcenter
knn,0.584,0.05840685099417326,0.4954953580809832,0.24580174066404378,8,callcenter
knn,0.556625,0.02768490550924014,0.5333656552806565,0.1715571665010794,16,callcenter
knn,0.5816416666666666,0.0695548007868616,0.6199941780378955,0.1374399222300929,32,callcenter
knn,0.6364666666666666,0.04520979644329802,0.7389809709255303,0.037685786072590995,64,callcenter
knn,0.6674249999999999,0.04077050225551151,0.6994701996434289,0.07107354196244563,128,callcenter
knn,0.6713916666666667,0.059669435166218504,0.9354133858267716,0.002857214128717896,5000,callcenter
knn,0.5365641025641026,0.029341953510179614,0.4427121207225289,0.11720471147443141,4,postpartum
knn,0.5428376068376068,0.023363774152447357,0.47041939057490956,0.043665062381703465,8,postpartum
knn,0.539994301994302,0.029079963417582275,0.4853150997874689,0.06416848826853323,16,postpartum
knn,0.5666780626780626,0.03386608020876144,0.4707419493064776,0.1191012764963616,32,postpartum
knn,0.5760512820512821,0.03012270935171936,0.45767351121492006,0.07635999878515795,64,postpartum
knn,0.6035954415954417,0.030867880268269605,0.49678128914749475,0.05197862487783575,128,postpartum
knn,0.6574074074074074,0.013919500198472542,0.552830409053934,0.031687717509507336,256,postpartum
knn,0.6735498575498575,0.02717403350948353,0.4931539971936493,0.02254368928351077,5000,postpartum
knn,0.7556791338582677,0.1429640610313869,0.5131010547605545,0.28730736112560357,4,stars
knn,0.8174606299212599,0.013629964207077886,0.6426422546810154,0.02659043893142124,8,stars
knn,0.8257578740157481,0.008618940700959272,0.599717671294776,0.05358773703038651,16,stars
knn,0.8540698818897636,0.03216579630740394,0.6391056835480591,0.03413669235309696,32,stars
knn,0.8595029527559056,0.04453044873296505,0.6553012599635182,0.01941330993977969,64,stars
knn,0.8764517716535434,0.014396651305911836,0.669894551865701,0.02849743395752003,128,stars
knn,0.8963238188976378,0.013082102758934639,0.6975481355845908,0.03162197811581555,256,stars
knn,0.9371899606299212,0.0034838818117137607,0.7400850931138201,0.009343674148181448,5000,stars
knn,0.5207948717948717,0.015683203196966856,0.10351781566872487,0.19053129463345087,4,machine
knn,0.5171538461538462,0.008688510818882394,0.22820559576666,0.1574165546484517,8,machine
knn,0.5314273504273505,0.019236100875347703,0.3708444786343899,0.058811060057638524,16,machine
knn,0.5297606837606837,0.02384766828815336,0.37364154248284237,0.04950946887142469,32,machine
knn,0.5259358974358974,0.004672369015354799,0.39562048108990505,0.044827530303331496,64,machine
knn,0.5357179487179486,0.0158619172302407,0.3908498104094768,0.037630953822202655,128,machine
knn,0.5181581196581196,0.012939400684433569,0.3781717225616618,0.03169415639556887,256,machine
knn,0.5447051282051282,0.0022838472077883025,0.05901910511951038,0.00658374162591949,5000,machine
