,age,education_level,marital_status,number_of_children,employment_status,occupation,location,years_of_work_experience,industry,label
0,27,phd,divorced,4,employed,blue collar,rural,20,other,1
1,20,phd,divorced,4,employed,white collar,urban,37,manufacturing,1
2,57,bachelors,married,2,employed,white collar,urban,11,manufacturing,1
3,22,high school,divorced,7,retired,white collar,urban,34,finance,1
4,53,bachelors,separated,6,retired,blue collar,urban,11,retail,1
5,27,bachelors,divorced,0,retired,blue collar,urban,1,other,0
6,26,high school,single,3,employed,blue collar,rural,3,finance,1
7,41,high school,divorced,0,retired,white collar,urban,32,retail,0
8,46,high school,single,3,unemployed,white collar,urban,40,manufacturing,1
9,38,bachelors,married,0,unemployed,blue collar,rural,29,finance,0
10,61,phd,single,4,employed,white collar,rural,15,other,1
11,24,masters,single,2,retired,blue collar,urban,29,healthcare,0
12,33,masters,single,1,retired,white collar,rural,35,healthcare,0
13,61,phd,divorced,2,employed,blue collar,rural,36,retail,0
14,47,phd,separated,9,unemployed,white collar,rural,32,healthcare,1
15,49,phd,divorced,9,retired,white collar,rural,10,retail,1
16,53,high school,single,0,unemployed,blue collar,urban,33,retail,0
17,35,high school,separated,8,retired,white collar,urban,20,retail,1
18,27,bachelors,separated,9,unemployed,white collar,urban,26,tech,1
19,25,bachelors,divorced,5,unemployed,white collar,urban,37,other,1
20,19,bachelors,divorced,10,employed,white collar,rural,19,other,1
21,30,bachelors,married,7,retired,blue collar,rural,37,tech,1
22,55,masters,divorced,4,retired,blue collar,urban,29,retail,1
23,26,phd,separated,10,employed,white collar,rural,40,finance,1
24,26,bachelors,single,9,unemployed,blue collar,rural,23,finance,1
25,29,bachelors,divorced,4,unemployed,blue collar,rural,10,manufacturing,1
26,24,high school,married,10,unemployed,white collar,rural,13,tech,1
27,51,high school,single,8,employed,blue collar,rural,13,other,1
28,35,high school,single,1,retired,white collar,urban,10,manufacturing,0
29,60,high school,married,5,employed,blue collar,urban,23,other,1
30,46,bachelors,single,9,employed,white collar,rural,14,retail,1
31,45,bachelors,married,12,retired,blue collar,urban,5,retail,1
32,28,masters,married,4,unemployed,white collar,rural,19,finance,1
33,59,high school,married,6,unemployed,blue collar,urban,27,tech,1
34,47,bachelors,separated,8,employed,blue collar,rural,14,manufacturing,1
35,42,bachelors,separated,0,retired,white collar,rural,10,healthcare,0
36,22,bachelors,single,2,unemployed,blue collar,rural,36,tech,0
37,58,bachelors,divorced,7,retired,white collar,urban,15,manufacturing,1
38,40,high school,separated,7,employed,blue collar,rural,4,retail,1
39,39,masters,married,7,retired,blue collar,rural,19,manufacturing,1
40,62,bachelors,married,0,retired,blue collar,rural,24,retail,0
41,50,high school,separated,4,retired,white collar,rural,22,manufacturing,1
42,45,bachelors,separated,1,employed,white collar,urban,37,tech,1
43,36,masters,married,10,unemployed,white collar,rural,35,other,1
44,58,masters,separated,2,retired,white collar,urban,8,tech,1
45,35,high school,married,2,retired,white collar,urban,36,tech,1
46,20,phd,separated,1,employed,white collar,rural,20,tech,1
47,23,high school,separated,8,employed,white collar,rural,28,manufacturing,1
