,Age,Education,Occupation,Marital Status,Family size,Income source,Neighborhood income percentiles,label
0,35,Master's,Professional,Married,2,Salary,[48.81800098 47.66210013 93.06767842],1
1,47,PhD,Entrepreneur,Divorced,2,Business,[ 0.32451963  8.59523455 71.25445589],1
2,60,Bachelor's,Blue-collar,Married,1,Salary,[77.83580303 40.51007639  8.03427198],0
3,33,Bachelor's,Blue-collar,Married,3,Inheritance,[80.11752512 93.33143152 77.96099421],1
4,53,Master's,White-collar,Single,1,Salary,[96.41055213 63.51595609 17.63039349],1
5,18,High School,Blue-collar,Divorced,1,Salary,[53.62066955 77.6657493  25.19605875],1
6,57,Master's,Professional,Single,1,Business,[11.09517138 80.15067269 68.87933058],1
7,48,PhD,Professional,Divorced,1,Business,[80.95436363 29.44841479 38.75315355],1
8,30,Bachelor's,Professional,Married,3,Salary,[26.31222721 27.25611078  1.69331572],1
9,21,Master's,Professional,Single,2,Business,[40.21169523 35.70819296 54.05752267],1
10,43,Master's,Blue-collar,Single,3,Salary,[72.28238657 94.76240519 25.29217136],1
11,24,Master's,Professional,Divorced,4,Inheritance,[43.4750824  92.62217803 39.29566236],1
12,43,PhD,Blue-collar,Married,3,Inheritance,[89.18648075  3.17090847 82.46542372],1
13,47,PhD,White-collar,Single,3,Salary,[15.62765244 21.99353952  8.22643859],0
14,60,High School,Blue-collar,Divorced,1,Business,[ 5.51377781 26.19647752 82.10929232],0
15,25,PhD,Blue-collar,Single,4,Salary,[73.17055062  2.05201192  1.11894134],0
16,31,PhD,Blue-collar,Divorced,3,Inheritance,[ 4.17250288 13.63742733 65.99222615],0
17,34,PhD,Blue-collar,Single,4,Inheritance,[67.17328408 49.79652901 72.78970001],1
18,64,Bachelor's,White-collar,Single,4,Business,[34.21051665 81.7113084  38.41506376],0
19,59,Bachelor's,Blue-collar,Married,3,Salary,[36.57303798 63.70117748 23.28048095],1
20,29,Master's,Blue-collar,Married,4,Business,[ 8.65126908 90.56735222 75.7935662 ],1
21,53,PhD,Entrepreneur,Divorced,2,Business,[51.46010509 60.09593693 82.87830873],1
22,44,High School,White-collar,Single,1,Business,[48.89479915  1.91038046 80.45334955],0
23,55,Master's,Entrepreneur,Divorced,3,Business,[66.32857408 16.57536467 95.16657584],1
24,20,Bachelor's,Professional,Married,3,Business,[58.73047191 75.6965635  42.00432943],1
25,40,Bachelor's,White-collar,Single,1,Business,[40.22621107 16.20700816 10.88688229],0
26,25,High School,Professional,Married,2,Business,[43.68658205 77.76491418  0.62529444],0
27,25,High School,Entrepreneur,Married,2,Inheritance,[55.79862217  1.04650927 52.86256185],1
28,58,High School,Blue-collar,Single,1,Salary,[65.41067895 88.65296194 52.593837  ],1
29,27,High School,White-collar,Married,1,Inheritance,[79.45296854 76.02022965 14.57053205],1
30,27,PhD,Entrepreneur,Single,2,Salary,[78.56812169  3.69264961 44.35970687],1
31,54,PhD,Entrepreneur,Single,1,Business,[92.27715496 90.59493068 47.17115004],1
32,30,High School,Blue-collar,Divorced,1,Inheritance,[38.78745371 78.37569141 55.98144365],1
33,24,Master's,Blue-collar,Divorced,4,Inheritance,[90.62150296 66.55169007 54.2987418 ],1
34,39,PhD,Professional,Single,2,Business,[65.94749966 30.801302   17.97228753],1
35,20,PhD,Professional,Married,3,Salary,[69.70594728 83.49391984 51.18796248],1
