,Age,Education Level,Occupation,Years of Experience,Marital Status,Work Hours per Week,Urban/Rural,label
0,46,Associate's,Retired,19,Single,40,Urban,0
1,38,Bachelor's,Marketing Specialist,8,Widowed,60,Rural,0
2,46,Bachelor's,Barista,2,Married,40,Rural,0
3,30,High School,Project Manager,1,Married,50,Urban,1
4,19,Doctorate,Retail Associate,1,Widowed,55,Urban,1
5,51,Bachelor's,Construction Laborer,22,Married,0,Urban,1
6,21,Associate's,Data Scientist,0,Widowed,55,Rural,1
7,63,Associate's,Software Engineer,19,Widowed,60,Urban,1
8,49,Associate's,Marketing Specialist,7,Single,45,Rural,0
9,29,Master's,Construction Laborer,10,Married,35,Rural,1
10,19,Associate's,Project Manager,1,Married,60,Rural,1
11,25,Associate's,Barista,1,Single,55,Urban,0
12,19,Master's,Data Scientist,0,Single,50,Urban,1
13,18,Doctorate,Project Manager,0,Single,40,Rural,1
14,49,Master's,Marketing Specialist,25,Widowed,30,Urban,1
15,28,Master's,Barista,8,Widowed,40,Rural,1
16,52,Associate's,Teacher,16,Single,50,Rural,0
17,56,Master's,Construction Laborer,29,Widowed,0,Rural,1
18,20,Associate's,Barista,0,Married,45,Rural,0
19,37,Bachelor's,Barista,16,Married,40,Urban,1
20,18,Doctorate,Barista,0,Married,50,Urban,1
21,20,Master's,Engineer,0,Single,45,Urban,1
22,28,Bachelor's,Retail Associate,9,Single,40,Rural,0
23,63,Doctorate,University Professor,8,Married,30,Rural,1
24,61,Associate's,Construction Laborer,14,Single,55,Urban,0
25,49,High School,Teacher,9,Married,60,Rural,1
26,55,Doctorate,Software Engineer,19,Widowed,60,Urban,1
27,54,Bachelor's,Sales Representative,5,Single,45,Urban,1
28,58,High School,Engineer,10,Widowed,45,Rural,0
29,36,Master's,Barista,12,Married,60,Urban,1
30,41,Master's,Data Scientist,22,Single,55,Rural,1
31,51,High School,Lawyer,22,Married,0,Rural,1
32,21,Doctorate,Engineer,1,Married,30,Urban,1
33,24,Bachelor's,Teacher,0,Married,40,Rural,0
34,31,Bachelor's,Teacher,1,Single,55,Urban,1
35,64,Bachelor's,Data Scientist,42,Single,30,Rural,1
36,64,Bachelor's,Financial Analyst,0,Single,0,Rural,1
37,37,Associate's,Financial Analyst,13,Married,60,Rural,1
38,27,High School,Teacher,5,Married,30,Rural,0
39,38,Master's,Project Manager,19,Single,60,Urban,1
40,53,High School,Engineer,34,Widowed,60,Rural,0
41,46,Master's,Retail Associate,17,Widowed,60,Rural,1
42,35,Doctorate,Software Engineer,4,Married,50,Rural,1
43,29,Master's,Medical Doctor,11,Widowed,45,Urban,1
44,46,Bachelor's,Medical Doctor,18,Widowed,30,Urban,1
45,52,Bachelor's,Lawyer,2,Single,50,Urban,1
46,34,Associate's,Lawyer,4,Married,40,Urban,1
47,65,Associate's,Retail Associate,14,Married,35,Rural,0
48,24,Bachelor's,Barista,4,Single,60,Rural,0
49,27,High School,Data Scientist,9,Single,35,Urban,1
50,30,Master's,Engineer,5,Married,50,Urban,1
51,46,Bachelor's,Retail Associate,7,Widowed,40,Urban,1
52,23,Associate's,Barista,5,Single,40,Rural,0
53,21,Doctorate,University Professor,1,Widowed,55,Urban,1
54,35,Master's,University Professor,16,Widowed,60,Urban,1
55,35,High School,University Professor,10,Single,35,Urban,1
56,27,High School,Lawyer,9,Married,55,Rural,1
57,62,Master's,Barista,37,Widowed,40,Urban,1
58,64,Doctorate,Retail Associate,6,Widowed,50,Urban,1
59,52,Bachelor's,Financial Analyst,9,Single,50,Rural,1
60,27,High School,Sales Representative,0,Widowed,35,Rural,0
61,63,Doctorate,Sales Representative,27,Married,60,Rural,1
62,46,High School,Medical Doctor,8,Married,35,Rural,1
63,42,High School,Barista,12,Single,50,Urban,0
64,48,Associate's,Construction Laborer,19,Widowed,60,Rural,0
65,32,Bachelor's,Software Engineer,1,Single,55,Rural,1
66,51,Doctorate,Retail Associate,13,Married,40,Urban,1
67,28,Doctorate,Sales Representative,4,Single,55,Urban,1
68,58,High School,Retail Associate,24,Single,0,Urban,0
69,38,Associate's,Financial Analyst,10,Single,40,Urban,1
70,39,Bachelor's,Sales Representative,0,Widowed,50,Urban,1
71,23,Associate's,Retired,3,Married,55,Urban,0
72,41,Bachelor's,Project Manager,1,Widowed,55,Rural,1
73,21,Doctorate,Marketing Specialist,2,Married,40,Rural,1
74,43,Master's,Barista,3,Married,50,Urban,1
75,29,High School,Teacher,9,Married,40,Urban,0
76,60,Doctorate,Retail Associate,16,Widowed,45,Rural,1
77,30,High School,Sales Representative,10,Married,0,Rural,0
78,61,Bachelor's,Engineer,12,Single,55,Rural,0
79,41,Master's,University Professor,11,Single,35,Rural,1
80,19,Doctorate,Medical Doctor,0,Single,30,Rural,1
81,27,High School,Financial Analyst,0,Married,30,Urban,1
82,57,High School,Retail Associate,27,Married,30,Urban,0
83,55,Doctorate,Retail Associate,4,Single,0,Rural,1
84,25,Associate's,Construction Laborer,5,Married,40,Rural,0
85,33,Bachelor's,Lawyer,11,Widowed,40,Rural,1
86,59,Master's,Marketing Specialist,21,Widowed,55,Rural,1
87,28,Associate's,Marketing Specialist,10,Single,45,Rural,0
88,51,Doctorate,Retired,26,Widowed,50,Urban,1
89,56,High School,Data Scientist,34,Married,30,Rural,1
90,37,Bachelor's,Construction Laborer,0,Single,30,Urban,1
91,41,Bachelor's,Construction Laborer,9,Single,0,Rural,0
92,44,Associate's,University Professor,8,Married,55,Rural,1
93,34,High School,Medical Doctor,11,Single,30,Rural,1
94,65,Doctorate,Sales Representative,23,Widowed,45,Rural,1
95,19,Doctorate,Lawyer,0,Married,0,Rural,1
96,49,Master's,Project Manager,31,Married,50,Urban,1
97,57,Master's,Construction Laborer,33,Married,40,Urban,1
98,39,Master's,Sales Representative,10,Single,30,Urban,1
99,64,Bachelor's,Lawyer,32,Married,40,Urban,1
100,36,Associate's,Sales Representative,3,Married,50,Urban,0
101,60,Doctorate,Software Engineer,41,Widowed,35,Rural,1
102,63,Master's,Construction Laborer,39,Single,55,Urban,1
103,35,Bachelor's,Data Scientist,15,Single,45,Urban,1
104,60,Associate's,Teacher,8,Widowed,55,Urban,0
105,43,Bachelor's,Retired,8,Single,35,Urban,1
106,25,High School,Lawyer,1,Married,45,Urban,1
107,48,Bachelor's,Software Engineer,0,Single,40,Rural,1
108,59,High School,Teacher,39,Widowed,50,Rural,0
109,58,Master's,Sales Representative,21,Widowed,45,Rural,1
110,22,Bachelor's,Retired,1,Widowed,50,Urban,1
111,42,High School,Project Manager,4,Married,0,Rural,1
112,26,High School,University Professor,4,Married,45,Urban,1
113,21,Associate's,Software Engineer,3,Widowed,40,Rural,1
114,63,Doctorate,Barista,26,Married,30,Urban,1
115,37,Doctorate,Engineer,15,Married,35,Urban,1
116,63,Associate's,Teacher,3,Widowed,0,Rural,0
117,59,Master's,Project Manager,33,Single,50,Urban,1
118,51,High School,Financial Analyst,9,Widowed,60,Urban,1
119,37,Master's,Financial Analyst,3,Single,50,Urban,1
120,60,Bachelor's,Teacher,30,Widowed,55,Rural,0
121,60,Doctorate,Retired,20,Married,45,Rural,1
122,19,High School,Barista,0,Married,35,Urban,0
123,22,Master's,Sales Representative,3,Married,30,Rural,1
124,58,Doctorate,Engineer,6,Single,45,Rural,1
125,49,Master's,Data Scientist,28,Married,0,Rural,1
126,50,Associate's,Sales Representative,24,Single,45,Rural,0
127,25,Bachelor's,Marketing Specialist,6,Single,40,Urban,1
128,65,Associate's,Sales Representative,44,Widowed,55,Urban,0
129,39,Associate's,Retail Associate,5,Widowed,35,Urban,0
130,51,High School,Sales Representative,6,Married,55,Urban,1
131,40,Doctorate,University Professor,19,Married,55,Rural,1
132,33,Master's,Teacher,4,Single,60,Urban,1
133,39,Doctorate,Medical Doctor,17,Single,0,Rural,1
134,50,Master's,Sales Representative,29,Married,55,Rural,1
135,21,Associate's,Financial Analyst,2,Married,30,Urban,1
136,34,Master's,Engineer,2,Married,55,Rural,1
137,46,Associate's,Engineer,20,Married,60,Urban,1
138,57,Associate's,Project Manager,10,Single,55,Rural,1
139,21,Master's,Teacher,3,Married,40,Urban,1
140,52,High School,Construction Laborer,6,Married,55,Urban,1
141,59,High School,Software Engineer,4,Married,30,Urban,1
142,52,High School,Retail Associate,16,Widowed,55,Urban,0
143,36,Bachelor's,University Professor,16,Single,40,Rural,1
144,40,High School,Financial Analyst,2,Married,40,Urban,1
145,51,Doctorate,Retired,22,Married,0,Urban,1
146,33,Bachelor's,Retail Associate,0,Widowed,40,Urban,1
147,62,Associate's,Lawyer,14,Single,55,Urban,1
148,48,Associate's,Engineer,3,Single,50,Urban,0
149,51,Bachelor's,Marketing Specialist,1,Widowed,50,Rural,0
150,20,Associate's,Retail Associate,2,Single,60,Rural,0
151,18,Associate's,Engineer,0,Single,35,Urban,0
152,23,Associate's,Teacher,4,Widowed,35,Rural,0
153,55,Bachelor's,Software Engineer,28,Single,0,Urban,1
154,50,Associate's,Financial Analyst,28,Single,55,Urban,1
155,25,Doctorate,Data Scientist,6,Married,50,Urban,1
156,38,Bachelor's,Medical Doctor,16,Widowed,30,Rural,1
157,23,Master's,Barista,1,Widowed,50,Urban,1
158,26,Master's,Teacher,2,Single,0,Urban,1
159,55,Doctorate,Software Engineer,34,Widowed,0,Urban,1
