,age,education_years,work_experience_years,household_income,num_children,distance_to_city,number_of_jobs,hours_per_week,credit_score,property_ownership,car_ownership,label
0,58,19,29,121445.64723101284,2,38.926510133547765,4,46,355,1,0,1
1,48,13,17,77773.0755228636,2,79.81716315658403,2,31,331,1,0,0
2,34,18,1,92120.13433476484,0,28.845131409918526,2,58,826,1,1,1
3,62,19,16,112327.03770969468,4,58.58703273918419,4,53,583,0,1,1
4,27,18,12,85718.39995589631,3,39.06495384486295,1,51,793,0,1,1
5,40,11,3,72488.07938700903,1,67.37995200224823,1,31,486,0,0,0
6,58,17,25,131774.30809078278,3,27.837896724883155,2,41,797,1,1,1
7,38,17,24,72835.39588287726,3,23.20132984480845,2,35,741,1,0,1
8,42,16,29,82768.68616713496,4,92.23271323416652,1,39,429,1,1,1
9,30,17,10,110400.58192853557,3,14.671349880206005,3,54,591,0,1,1
10,30,12,6,103306.21804317202,3,53.06600123481851,4,52,413,0,0,1
11,43,15,11,90852.55832883048,2,25.98101438148585,4,54,498,1,0,1
12,55,10,9,52591.473448535005,4,8.698346515938407,3,50,312,0,1,0
13,59,16,6,119057.773222227,0,8.421787737685507,3,52,570,1,1,1
14,43,10,12,78251.71930377945,1,21.646068350053596,3,56,514,0,0,0
15,22,18,6,85714.14567218232,3,87.34318367807002,3,45,743,1,1,1
16,41,10,23,99193.89905090578,1,31.835480677817532,3,43,811,0,0,1
17,21,10,16,71738.81836110598,0,95.29362120465309,3,36,746,0,0,0
18,43,16,9,86345.34820094341,1,60.25411783397339,4,57,373,1,1,1
19,63,11,28,96809.07971013704,0,46.47834802803278,3,57,836,1,0,1
20,49,14,9,117363.50644923534,2,60.10843929359819,1,48,400,1,0,1
21,57,17,23,128189.88649655445,3,54.08634659649544,3,52,475,1,0,1
22,21,17,3,98763.57290391043,0,77.08374410694589,3,46,726,1,1,1
23,40,12,19,59111.64530061046,1,31.837126267420963,4,38,416,0,0,0
24,52,16,3,100245.88906573236,3,38.53978720202873,4,55,465,1,1,1
25,31,12,21,101366.05518910909,2,89.93895874065882,3,42,340,1,1,1
