,Total Revenue,Total Expenses,Gross Profit,Number of Employees,Number of Bank Accounts,Number of Countries Operational in,Number of Transactions,Average Transaction Value,Account Suspension/Termination,Customer Complaints,Regulatory Actions,History of Fraud,label
0,7501678,382641,325094,253,8,3,22576,189,True,False,False,False,0
1,9423336,264376,423982,322,2,3,97474,204,False,True,False,False,1
2,6633327,494420,174046,322,2,3,87659,440,False,True,True,True,0
3,3596513,281969,444048,173,3,3,63238,219,True,False,False,False,1
4,4375552,460968,448636,272,8,3,85995,326,False,True,False,False,1
5,2107695,477362,332789,309,5,3,47045,175,True,False,True,False,0
6,6444104,124621,469391,332,7,3,48070,481,False,False,False,False,1
7,6991270,152775,287017,356,8,3,26852,163,False,False,False,False,0
8,8293186,206226,104549,457,9,3,85831,140,True,True,True,False,1
9,7089833,456075,352800,226,4,3,82004,346,True,True,True,False,0
10,6707348,166804,274613,252,2,3,47643,231,True,False,False,False,0
11,5598752,434184,228630,134,10,3,55024,341,False,True,True,True,0
12,8104961,456438,269666,495,1,3,27102,388,False,True,True,True,1
13,2024539,187116,304957,327,4,3,34267,484,False,False,True,True,0
14,7783511,459969,379718,234,7,3,33029,142,False,False,False,True,0
15,5379740,425787,398817,231,1,3,93795,226,True,False,True,False,0
16,2308434,390334,349769,287,9,3,60333,275,False,True,True,False,0
17,1850333,104648,395071,338,4,3,64754,422,True,False,False,False,0
18,1217785,420902,282991,255,2,3,53805,427,True,False,False,False,0
19,9368867,296974,227414,346,4,3,24765,193,False,False,True,False,0
20,6717517,112708,325499,139,4,3,88713,232,True,True,True,True,0
21,6631292,235301,242514,161,8,3,42307,371,True,False,False,True,0
22,6985199,254683,417649,248,4,3,32209,246,False,False,False,True,1
23,3298795,395818,354107,165,6,3,25179,380,False,True,True,False,0
24,9528253,143660,101975,407,2,3,58314,291,False,True,False,False,1
25,5227838,219891,311630,239,5,3,35712,221,True,False,False,False,0
26,9718325,141573,447292,117,8,3,49955,351,False,False,False,True,1
27,3995757,372996,135415,484,10,3,22659,422,False,True,False,False,1
28,8477734,183370,135202,164,2,3,49798,423,True,True,False,False,0
29,1927366,450779,493007,343,9,3,14582,269,True,False,False,True,1
30,5637392,316891,465912,369,5,3,56329,209,True,False,True,False,1
31,1694147,418131,456357,420,4,3,90729,314,False,True,True,True,1
32,4116333,454417,486356,296,7,3,76579,197,False,False,True,False,1
33,3115297,418745,457987,227,3,3,99343,461,False,False,True,True,1
34,2372994,283664,171979,286,4,3,75921,354,False,False,False,False,0
35,5665189,316862,316388,393,9,3,34963,184,False,True,True,False,0
36,7066866,235792,262218,344,3,3,13636,100,False,False,False,False,0
37,3428473,206512,366453,307,7,3,35969,417,True,True,True,True,0
38,4675086,483551,425674,442,5,3,32196,268,False,False,False,True,1
39,6068901,438201,220059,169,3,3,72066,316,True,True,True,True,0
40,1713236,130761,365285,122,9,3,87686,408,False,False,False,True,0
41,6241789,124782,259943,380,3,3,33586,120,False,True,True,False,0
42,6274884,184087,131629,267,1,3,48348,211,False,True,False,False,0
43,8246105,168371,309234,241,2,3,80265,252,False,False,False,True,0
44,6606624,427429,411000,356,5,3,37208,491,False,True,True,True,1
45,3891847,464178,275106,394,1,3,67161,297,True,True,True,True,0
46,6581787,446816,244715,243,9,3,82517,321,False,False,True,True,0
47,6096913,249280,429075,447,5,3,55007,158,False,False,True,False,1
48,2518273,463759,191602,320,6,3,31696,286,False,True,True,True,0
49,6789812,208112,499092,481,2,3,96204,406,True,False,False,True,1
50,8475344,173333,308403,394,6,3,42844,262,True,False,True,False,0
51,7037407,314817,217396,256,4,3,68819,458,True,True,True,True,0
52,3517318,275984,256671,143,2,3,11556,378,True,False,False,False,0
53,2020612,286467,461739,333,7,3,17841,313,False,True,False,False,1
54,1078029,441583,438442,393,10,3,11158,401,True,True,True,True,1
55,8061242,198558,402688,328,4,3,72672,409,False,False,True,True,1
56,8439969,247422,416676,309,3,3,86758,462,True,False,False,False,1
57,7671608,415259,312523,484,4,3,61853,459,True,False,True,False,1
58,6798695,277315,126360,304,10,3,83437,207,False,True,False,False,0
59,6488551,207270,475387,491,5,3,87547,348,False,False,True,True,1
60,1248440,482435,222109,486,6,3,27119,149,True,True,False,True,1
61,8796942,346508,209588,119,4,3,35336,472,False,True,True,False,0
62,7382302,161635,378711,192,3,3,65517,392,True,True,False,True,0
63,6342988,443968,340368,395,5,3,80081,207,False,False,True,True,0
64,2746351,150966,447175,351,5,3,45716,386,True,False,False,True,1
65,8091381,327777,327410,392,8,3,83799,220,True,True,False,False,0
66,4728218,234875,273052,254,8,3,30144,483,False,True,False,False,0
67,5167300,349112,255175,234,8,3,50962,279,False,False,True,True,0
68,2525687,188988,369882,354,8,3,44519,338,True,True,True,True,0
69,1868001,180969,137604,247,1,3,63160,304,True,False,False,True,0
70,4786252,411830,440041,383,1,3,30142,121,True,False,False,False,1
71,1405313,204620,273617,368,6,3,41970,380,False,False,True,False,0
72,9272978,215474,179622,182,8,3,46194,235,False,True,False,False,0
73,1157375,442295,293252,102,10,3,94234,170,True,True,True,False,0
74,7222175,383173,471590,349,10,3,58052,150,False,False,False,False,1
75,3412960,269565,413962,479,7,3,49384,445,True,False,False,True,1
76,8622968,297773,212691,179,9,3,92141,227,True,True,True,True,0
77,8472696,294026,303318,234,3,3,23798,216,False,True,False,True,0
78,6049052,480006,311039,132,5,3,69036,115,True,True,True,True,0
79,9732703,176775,290634,237,5,3,52297,185,True,True,True,False,0
80,3596396,218175,228692,457,3,3,96464,335,True,False,True,False,1
81,9729651,199947,392494,235,6,3,75263,127,False,False,False,True,0
82,9386465,221251,187248,354,4,3,16162,192,False,False,True,True,0
83,5741860,214915,488125,238,9,3,46980,200,False,False,False,True,1
84,8606452,137699,197516,207,2,3,88205,354,True,False,False,True,0
85,4247823,228456,232462,320,8,3,57115,229,True,True,True,False,0
86,4020537,176438,205038,132,4,3,58861,243,True,False,False,False,0
87,7978701,275735,119469,356,3,3,52571,147,False,False,True,True,0
88,1468152,337209,170798,354,8,3,65887,493,True,False,False,False,0
89,5188268,183721,304398,109,3,3,38008,491,False,True,False,True,0
90,8468496,157391,195507,423,2,3,75059,338,True,False,False,False,1
91,7818844,219827,462511,435,4,3,61436,443,True,True,False,True,1
92,8428243,105805,439991,308,7,3,54593,386,False,True,True,True,1
93,3065376,382580,275786,233,9,3,40509,301,True,True,False,True,0
94,3131052,312595,284735,455,9,3,29022,347,True,False,True,True,1
95,8586598,393126,318753,276,10,3,12068,474,True,True,True,True,0
96,8947426,458178,219332,245,1,3,67929,157,False,False,True,True,0
97,2797925,440179,278044,410,7,3,60425,147,True,False,True,False,1
98,1969865,245226,460017,295,5,3,53145,341,False,True,False,False,1
99,9569928,306156,354737,335,3,3,23780,412,True,False,False,False,0
100,4043329,169381,273264,353,3,3,27437,469,True,True,True,True,0
101,6104584,150264,444711,422,10,3,63235,185,True,False,True,False,1
102,8021475,370473,115809,446,1,3,72410,224,True,True,False,True,1
103,4283905,486832,150378,201,5,3,31805,328,False,False,False,False,0
104,4090790,344250,280103,462,9,3,22020,127,True,True,False,True,1
105,3434884,470794,160506,254,9,3,71338,367,True,False,False,True,0
106,5722422,230593,183249,379,4,3,53385,372,False,False,False,False,0
107,3376043,373388,283229,489,2,3,93308,282,False,True,False,False,1
108,8151183,427446,341710,464,10,3,46092,288,False,True,True,False,1
109,2488633,102874,293369,115,4,3,55074,376,True,True,True,True,0
110,5488376,296492,269728,390,1,3,81089,280,True,True,False,True,0
111,4209562,260854,215906,439,3,3,59045,498,True,False,False,True,1
112,9781646,301256,427957,474,9,3,10602,345,False,False,False,False,1
113,1326888,237536,223674,235,6,3,65272,127,False,True,True,True,0
114,5399102,366647,377696,463,8,3,41212,227,False,True,False,True,1
115,4196028,435657,229447,103,7,3,14814,189,True,False,False,True,0
116,9734059,432193,319633,187,3,3,11630,109,False,True,True,False,0
117,3538276,296098,328029,236,5,3,50002,103,True,True,True,False,0
118,3820117,447985,336993,271,3,3,96411,121,True,True,False,False,0
119,2058975,271528,475909,291,10,3,41679,454,False,True,False,False,1
120,3569026,144982,157949,332,3,3,66121,321,True,True,False,True,0
121,4490221,316663,156740,463,3,3,44214,370,False,True,True,False,1
122,8816245,229255,479824,100,8,3,60599,407,True,False,True,True,1
123,6929088,215702,401289,231,7,3,17706,258,True,True,False,False,1
124,1019134,416503,335984,257,7,3,78998,281,True,True,True,False,0
125,2369543,167945,183356,158,2,3,68804,180,False,False,False,False,0
126,8186301,269215,295455,472,6,3,64533,465,True,False,False,False,1
127,6876608,379005,337589,339,1,3,99385,183,False,False,False,False,0
128,5601287,118027,337212,484,8,3,33884,264,True,False,True,False,1
129,3695516,135240,101881,203,10,3,85835,187,True,True,True,True,0
130,7452420,387168,313217,218,1,3,62801,312,False,False,False,True,0
131,9587662,283660,414632,175,7,3,24935,376,True,False,False,True,1
132,7100225,478167,337548,111,5,3,23562,411,True,True,True,True,0
133,4529542,292246,287778,261,5,3,52642,234,True,True,True,True,0
134,5295351,354566,190538,400,1,3,93995,202,False,False,False,True,0
135,1343811,212784,302018,141,5,3,61097,163,True,False,True,False,0
136,7282304,369439,482515,331,9,3,86659,499,False,False,False,False,1
137,1110165,397849,391610,117,3,3,56485,356,False,False,False,True,0
138,1038877,459421,112370,132,6,3,40872,105,False,True,False,True,0
139,5184123,332893,132270,393,2,3,90576,430,False,True,False,False,0
140,3012705,367967,492806,251,1,3,46838,486,True,False,True,False,1
141,3215485,214604,453253,123,8,3,40429,308,True,False,False,False,1
142,5300759,154466,196764,471,1,3,84771,376,False,False,False,False,1
143,1001380,464801,113088,365,1,3,53421,369,True,False,True,False,0
144,1970191,412668,175607,245,7,3,12951,275,False,True,False,True,0
145,4026704,348882,353482,141,5,3,30840,325,True,False,True,False,0
146,6998248,123258,227408,433,4,3,69546,486,True,False,False,True,1
147,4790005,489759,149384,166,9,3,34171,158,True,False,False,False,0
148,5969468,385223,373385,364,5,3,84136,291,False,True,True,False,0
149,9675146,391087,177570,360,8,3,22407,118,False,True,True,False,0
150,9828522,481969,300331,142,7,3,47681,267,True,True,True,False,0
151,1755810,140022,270119,114,1,3,42648,452,True,True,False,False,0
152,4978410,129758,478537,310,2,3,73869,244,False,True,False,True,1
153,5570978,170841,457257,324,6,3,91413,405,False,False,True,False,1
154,6995467,377403,404756,201,6,3,97999,241,True,True,True,False,1
155,3541645,484758,396953,325,1,3,97579,137,True,True,False,False,0
156,1847925,253147,290190,344,4,3,54772,248,True,True,True,False,0
157,9333324,258961,240030,452,5,3,75752,134,True,False,False,False,1
158,7380598,296500,401207,317,10,3,45544,107,False,False,True,True,1
159,7427235,291165,446337,459,3,3,51968,248,True,False,True,True,1
160,2669911,150665,191539,273,8,3,94083,255,True,True,True,False,0
161,7786963,435862,393585,260,5,3,51254,495,True,False,False,False,0
162,4848068,184031,403588,388,6,3,48612,394,True,True,False,True,1
163,2290242,444012,170895,253,9,3,84693,390,True,False,True,True,0
164,7563669,110724,286634,253,10,3,31933,255,True,True,False,True,0
165,3048873,199447,206769,404,7,3,50196,171,False,False,False,False,1
166,2689242,290194,235804,460,4,3,20449,463,True,False,False,False,1
167,4391469,176074,273424,181,3,3,18997,190,False,True,False,False,0
168,8979015,142567,391968,124,7,3,18095,109,False,False,True,False,0
169,3332670,259632,449052,494,8,3,85048,499,True,False,False,True,1
170,6790446,448604,155344,445,10,3,78939,397,True,True,True,False,1
171,8540891,226405,440545,446,10,3,87319,365,True,False,True,False,1
172,2525405,353435,175135,136,7,3,21664,364,True,False,True,True,0
173,5370420,115094,293297,113,4,3,63179,482,True,True,True,True,0
174,6717670,328965,318096,474,1,3,66909,485,False,True,True,False,1
175,7511020,348217,290986,154,1,3,39068,254,False,False,True,True,0
176,2625070,396578,403875,370,8,3,96056,302,True,False,True,True,1
177,9742113,456920,299208,429,7,3,20397,114,False,False,True,False,1
178,6443894,112380,280139,169,6,3,86404,227,False,True,True,True,0
179,9129994,127202,315767,396,8,3,14700,136,False,False,True,False,0
180,9397859,185197,418326,190,3,3,41474,409,True,True,True,True,1
181,7177463,223001,420461,234,4,3,13988,144,False,True,True,True,1
182,5622242,213546,130436,141,2,3,44741,454,False,False,True,False,0
183,4306739,352878,176489,111,6,3,72406,400,True,True,True,True,0
184,3645984,398565,192447,438,4,3,93997,230,True,False,False,False,1
185,2259766,130031,474019,167,8,3,89786,362,False,False,True,True,1
186,7511172,232002,196654,470,7,3,75783,435,True,False,True,True,1
187,3081986,309190,462235,241,7,3,34809,359,False,True,True,True,1
188,9135298,116415,332879,295,10,3,86416,354,False,False,True,False,0
189,7304426,410735,156691,482,9,3,67417,252,True,False,True,False,1
190,2864851,282788,242334,249,1,3,74401,434,False,False,False,True,0
191,4180579,213060,407186,177,7,3,93380,178,False,True,True,False,1
192,2486368,131288,323141,431,3,3,83785,251,True,False,False,True,1
193,7552307,206387,297751,271,6,3,95934,362,True,False,True,True,0
194,4800755,233452,131391,200,2,3,84616,210,True,False,False,True,0
195,1358957,231525,496850,321,5,3,91362,414,False,False,False,False,1
196,6068539,291155,174230,419,8,3,37481,236,True,False,False,True,1
197,8178613,206770,442614,107,6,3,68385,125,True,False,True,True,1
198,8767932,475942,363937,275,6,3,85113,376,False,True,False,True,0
199,6708263,288839,298554,357,4,3,41095,167,False,True,False,False,0
200,7582456,407903,353715,307,3,3,51160,426,True,False,True,True,0
201,1787388,256767,290528,428,8,3,35298,267,False,False,False,False,1
202,6691840,285763,482678,419,7,3,59838,442,False,True,True,True,1
203,8174998,342260,178150,440,7,3,30179,475,False,True,False,False,1
204,7472273,322193,166421,165,8,3,45693,223,False,False,True,False,0
205,8621209,300893,399464,234,1,3,69488,142,True,True,False,True,0
206,3394351,187535,256922,210,3,3,20456,210,False,True,True,True,0
207,7551354,275501,135853,337,7,3,42680,479,False,True,False,False,0
208,2166683,259789,225388,115,5,3,39717,314,False,False,True,False,0
209,2620056,315796,210830,417,9,3,80365,294,False,False,True,True,1
210,2146361,257109,302402,113,6,3,30878,314,False,False,False,True,0
211,2457191,382487,281168,324,7,3,98803,469,True,False,False,True,0
212,8093821,256306,139135,469,7,3,99561,364,False,True,False,False,1
213,5988101,280640,229486,437,7,3,36170,426,False,False,True,False,1
214,8668991,211969,341501,399,7,3,99949,145,False,False,True,True,0
215,5870749,324557,263312,118,8,3,77549,373,True,False,False,False,0
216,7997099,465619,150541,107,10,3,52829,375,False,True,False,False,0
217,7167344,317281,244731,296,9,3,83088,278,False,True,False,False,0
218,2567723,450166,274807,125,6,3,81856,208,False,False,True,False,0
219,8146077,302171,265511,288,2,3,51007,344,False,True,False,True,0
220,2194850,170365,124109,439,10,3,48798,477,False,True,False,False,1
221,8844226,457403,311889,175,1,3,72863,269,True,True,False,True,0
222,8842765,291112,252802,115,9,3,90286,404,False,True,False,False,0
223,4285848,452435,373692,218,6,3,23415,300,True,True,False,True,0
224,1094281,342902,228764,195,8,3,15547,238,True,False,False,True,0
225,2302746,224218,158070,423,7,3,19742,486,True,True,False,True,1
226,6859914,330326,302247,136,4,3,95247,214,False,False,False,False,0
227,5355606,259329,446145,333,2,3,76606,276,True,False,True,True,1
228,6941009,352644,277658,124,2,3,65481,313,True,True,False,False,0
229,2506494,377034,367880,271,7,3,43946,373,True,False,False,True,0
230,6585213,219052,245722,310,10,3,69388,116,True,True,False,True,0
231,6679544,289196,223076,325,3,3,69356,192,True,False,False,False,0
232,4754549,338020,358492,122,10,3,94724,339,True,True,True,False,0
233,6320941,380330,438858,369,4,3,49095,176,False,False,False,True,1
234,3795422,234066,201237,277,9,3,31456,354,True,False,False,False,0
235,6087882,170530,106837,249,1,3,31558,441,True,False,True,False,0
236,1495476,408055,397544,146,9,3,57189,251,False,True,False,False,0
237,5059172,425731,420068,378,10,3,23524,370,False,True,False,False,1
238,5648977,417073,315246,414,1,3,39666,478,False,True,False,False,1
239,1940758,286458,301312,202,3,3,70277,110,True,False,True,True,0
240,4791050,166991,422839,394,9,3,43550,204,True,True,True,False,1
241,1644118,383144,415013,367,6,3,99581,498,True,False,True,True,1
242,9404725,108778,298863,344,3,3,27423,259,False,False,False,True,0
243,3710376,246128,253775,382,3,3,60322,244,True,False,True,True,0
244,5712109,181803,113856,306,3,3,75721,440,False,True,True,True,0
245,9131646,402289,120715,373,10,3,33423,465,False,True,True,True,0
246,2138219,277564,354031,156,4,3,45416,328,True,False,True,True,0
247,3339961,498197,127743,350,2,3,48586,202,False,True,False,True,0
248,8710533,321458,323668,256,6,3,56818,348,True,False,False,True,0
249,5633383,149443,441700,147,7,3,63601,410,False,False,True,False,1
250,6295921,207962,292439,331,5,3,73144,129,True,True,True,False,0
251,2840557,136214,435456,189,1,3,13771,101,False,True,False,False,1
252,9987406,404570,262645,178,4,3,88735,332,True,True,False,False,0
253,7964245,124768,125653,445,3,3,62703,452,True,False,False,True,1
254,4786363,175620,245707,292,6,3,92877,220,False,False,True,True,0
255,8506737,222634,135137,222,2,3,23256,169,False,False,True,False,0
256,4234431,213929,218287,306,7,3,28836,160,True,False,False,True,0
257,5678867,454068,115736,499,5,3,93914,260,False,True,True,True,1
258,6403233,107283,384547,319,8,3,95283,199,True,False,False,True,0
259,5719757,280703,331883,346,2,3,32750,135,False,True,False,False,0
260,5051438,338387,290348,430,3,3,14170,252,False,True,True,True,1
261,4534548,241794,135915,151,3,3,55003,375,True,False,False,False,0
262,4929514,427750,288216,166,9,3,88315,304,True,True,True,False,0
263,7155544,154530,218886,441,2,3,73240,157,False,False,True,True,1
264,9514920,411059,471177,478,10,3,67735,364,True,False,True,False,1
265,7054735,170484,282510,499,1,3,96600,434,False,True,False,True,1
266,4675691,430519,205504,495,10,3,45742,359,False,False,False,True,1
267,8736293,226146,420540,200,3,3,98251,286,True,True,False,False,1
268,1980151,235116,167957,183,6,3,70236,361,False,True,False,False,0
269,5359038,207801,252475,152,8,3,82387,370,False,True,True,True,0
270,7210220,154094,205466,155,7,3,68918,196,True,False,True,False,0
271,3236651,304171,403934,407,10,3,60965,215,True,True,False,True,1
272,7818033,269762,301820,179,8,3,62146,119,False,True,False,False,0
273,8832417,101371,379329,436,4,3,95043,197,False,True,True,False,1
274,3509534,276353,222065,233,3,3,54290,433,True,True,False,False,0
275,3733755,340995,496887,248,1,3,97465,195,True,True,False,False,1
276,2659135,169200,144605,422,5,3,53804,246,True,True,True,True,1
277,8129710,223012,464040,268,9,3,35203,183,True,True,False,True,1
278,8663063,113648,122415,154,6,3,70798,491,True,True,False,False,0
279,5295048,123490,173571,378,2,3,55541,331,True,False,True,True,0
280,1184051,259298,417733,408,3,3,84465,369,False,False,False,True,1
281,1505893,201006,407637,420,10,3,75267,238,True,True,False,False,1
282,4052025,197848,231877,436,4,3,36218,392,False,True,False,True,1
