,Firm_ID,Annual_Revenue (Million),Expenses (Million),Number_of_Employees,Industry_Code,Years_In_Business,Credit_Score,Audit_Status,Transaction_Volume (Million),Regulatory_Compliance (0/1),Previous_Fraud_Incident (0/1),label
0,1,152,131.44,153,3,8,758,1,297.49,1,1,1
1,2,229,216.24,428,2,9,798,1,394.18,1,0,1
2,3,142,80.61,822,3,16,807,0,148.65,1,1,1
3,4,64,49.11,833,1,19,603,0,79.75,0,0,1
4,5,156,104.74,744,4,16,800,1,82.96,1,0,0
5,6,121,113.31,80,1,7,465,1,137.12,0,0,1
6,7,238,209.19,812,5,14,714,1,338.07,1,1,1
7,8,70,61.41,353,4,28,761,0,75.52,1,0,0
8,9,152,108.06,818,3,14,413,1,301.19,1,0,1
9,10,171,117.42,170,5,25,732,0,215.72,0,0,1
10,11,260,161.99,499,4,27,655,1,209.26,0,0,0
11,12,264,138.7,816,3,4,506,0,413.71,1,0,1
12,13,124,110.25,831,1,26,534,0,52.56,1,1,1
13,14,252,218.18,363,4,15,741,0,209.31,1,0,0
14,15,137,130.13,402,3,3,654,1,104.01,0,0,1
15,16,166,157.45,593,1,5,814,0,152.79,1,0,1
16,17,149,111.74,523,5,1,507,1,236.22,1,0,1
17,18,153,129.44,568,5,3,424,1,156.05,0,0,1
18,19,201,185.95,698,5,15,437,1,323.33,0,0,1
19,20,180,158.82,780,5,24,638,1,215.16,1,0,1
20,21,199,121.65,185,2,27,836,1,149.24,1,0,0
21,22,102,71.68,320,4,8,367,0,167.17,1,0,1
22,23,51,28.46,677,4,29,840,1,28.19,1,0,0
23,24,137,127.32,173,2,4,682,0,72.11,1,0,1
24,25,285,220.24,135,3,2,318,0,301.69,1,0,1
25,26,207,124.8,449,3,29,749,1,123.29,0,1,1
26,27,87,69.8,699,5,24,373,1,10.2,0,0,1
27,28,179,139.29,687,1,24,575,1,238.39,1,0,1
28,29,241,159.34,31,3,10,347,1,258.13,1,0,1
29,30,237,130.61,618,1,4,510,1,224.32,1,0,1
30,31,70,56.15,673,4,3,839,0,135.61,1,1,1
31,32,210,154.17,119,1,2,490,0,248.91,0,0,1
32,33,253,214.43,374,4,25,614,0,440.35,1,0,1
33,34,107,78.55,379,2,17,412,0,39.05,0,0,1
34,35,71,62.73,488,2,23,469,1,83.89,1,0,1
35,36,285,213.28,292,5,21,767,1,498.51,1,1,1
36,37,138,103.83,380,3,24,313,0,166.69,1,0,1
37,38,98,87.66,137,5,20,587,1,143.49,1,0,1
38,39,268,182.66,615,4,23,488,1,216.24,0,0,1
39,40,108,60.51,68,5,13,454,0,29.77,1,0,1
40,41,219,112.34,188,1,5,770,0,212.43,0,1,1
41,42,269,225.91,612,4,30,374,0,228.52,1,0,1
42,43,237,184.66,341,2,21,576,0,414.14,1,0,1
43,44,257,209.93,270,3,30,642,0,144.84,1,0,1
44,45,64,38.13,474,4,9,724,1,123.95,1,0,0
45,46,239,134.17,327,4,25,810,0,458.99,0,0,1
46,47,239,121.06,65,1,29,481,1,136.35,1,0,1
47,48,224,147.34,113,3,25,757,1,170.53,0,0,0
48,49,239,182.95,481,2,28,363,1,430.57,1,0,1
49,50,100,67.65,804,4,22,559,1,193.66,0,0,1
50,51,157,109.41,851,4,6,492,0,147.98,0,1,1
51,52,104,94.31,414,1,5,705,1,73.83,1,0,1
52,53,293,192.42,201,5,25,392,1,322.18,1,0,1
53,54,113,82.64,405,2,10,729,0,158.96,0,0,1
54,55,298,254.09,714,3,8,733,0,184.64,0,0,1
55,56,180,122.12,391,4,7,703,1,269.87,1,0,0
56,57,278,216.82,588,4,7,733,1,55.09,0,1,1
57,58,100,88.81,170,2,6,411,1,19.37,0,0,1
58,59,184,170.62,147,5,21,674,1,153.45,1,0,1
59,60,70,39.63,306,4,29,358,1,54.01,0,0,1
60,61,122,111.87,755,2,20,342,0,85.36,1,0,1
61,62,216,155.83,249,1,3,506,1,223.11,1,0,1
62,63,67,41.29,55,5,19,595,0,47.53,1,0,1
63,64,181,127.9,550,3,22,417,0,84.22,1,0,1
64,65,138,129.86,812,4,15,831,1,94.94,1,0,1
65,66,109,78.66,39,2,4,521,1,212.8,0,0,1
66,67,63,40.82,407,1,28,465,1,55.51,0,0,1
67,68,291,228.44,662,3,12,455,1,274.98,1,0,1
68,69,299,181.81,666,2,6,483,1,357.44,0,0,1
69,70,58,30.98,711,2,19,389,0,114.16,1,0,1
70,71,139,77.56,613,3,4,393,0,77.71,1,0,1
71,72,102,56.88,181,1,15,312,0,142.23,0,0,1
72,73,179,101.74,749,1,9,737,1,261.41,1,0,0
73,74,133,74.81,78,5,5,837,1,166.77,1,0,0
74,75,141,111.16,183,4,13,449,1,37.83,1,0,1
75,76,160,93.1,888,3,23,307,1,221.77,1,0,1
76,77,237,155.37,322,3,26,328,1,52.56,1,0,1
77,78,248,224.08,609,3,18,595,0,305.7,1,0,1
78,79,221,157.64,79,1,30,639,0,332.65,1,1,1
79,80,57,45.62,693,4,30,738,1,28.55,1,0,0
80,81,224,129.37,560,5,5,443,1,380.59,0,0,1
81,82,84,49.27,641,2,25,818,1,13.24,0,0,0
82,83,255,132.19,89,2,16,344,0,434.33,1,0,1
83,84,130,74.88,196,3,27,538,1,126.7,0,0,1
84,85,213,133.2,231,4,19,454,1,109.36,0,0,1
85,86,99,57.39,886,1,14,480,0,35.06,1,0,1
86,87,153,82.61,175,4,25,514,1,292.43,0,0,1
87,88,181,100.33,705,4,30,387,1,43.09,1,0,1
88,89,51,36.07,468,1,16,555,1,24.39,1,0,1
89,90,183,108.49,271,3,27,810,0,139.24,1,0,0
90,91,103,68.38,610,4,15,372,1,131.68,1,0,1
91,92,155,112.61,716,2,22,478,1,175.94,0,0,1
92,93,53,42.97,590,1,4,511,1,17.95,1,0,1
