,total_revenue,net_profit,current_ratio,debt_to_equity,cash_flow,num_of_transactions,avg_transaction_amt,num_of_clients,avg_client_balance,num_of_complaints,audit_score,change_in_revenue,change_in_profit,num_of_directors,num_of_legal_actions,label
0,26878334.339479093,41566813.867654845,3.251106558942721,1.4837458395185525,-760894.2867670092,1645,20921.916516780464,2998,54661.5031651057,45,75.10329615376085,31.82113491072964,-32.321307916924056,8,1,0
1,94713258.70505553,34757779.966102704,4.838243585591702,4.193001658206406,-1374945.1168741889,2793,14626.568219319666,3781,28967.384847886704,97,33.965184501695546,74.95744466034863,-49.96006287365841,9,5,1
2,72904046.53651299,14216464.503140455,0.9300850144817052,1.6525402238866171,3232498.994955403,7699,38267.319946470496,1151,33023.26613831916,85,42.81494419923521,30.6436901121032,-54.45924293693615,7,4,1
3,22748531.204206806,16476093.016098253,0.6014714968853889,3.6529563075340574,5477768.408031482,4189,38212.430652002746,5534,35801.276118091155,28,40.367365762402784,27.528778830597602,-38.3646911517118,11,8,1
4,45459255.874935225,15077695.23542566,0.750873193116476,0.6928988608091255,8086640.281015171,6359,14657.650776819924,9279,7268.6054502597735,59,71.26612256467459,85.76260566414305,-96.53655659766987,4,3,0
5,79848725.18424313,512322.9763945171,0.7358255890753946,0.9266380497383538,6191738.587517576,5158,4115.446315817497,4281,98610.20675574032,53,91.77956261106797,68.48990815838201,0.27877076691706293,4,4,0
6,55159236.10092577,28919729.915347964,4.58517135999832,1.6473986580904307,500329.468898288,9568,621.062199776592,9033,4121.928184991186,92,66.67560613073773,86.36087895419419,26.765846147039284,6,0,0
7,65345257.71842302,34791100.357524656,3.745660585702211,3.0099814615725218,3541244.396755348,3340,21401.15413546215,1031,66587.19044524356,68,47.15825960942326,-17.26294178282693,-46.80593583353222,6,1,0
8,75623052.00246018,42620232.67302278,3.546978647883252,3.263006278845627,8924156.155703863,5042,20546.362837071756,9507,37751.537127985626,73,77.92051147388834,28.65632299830351,-93.09502957874221,6,2,0
9,62578909.69208908,6578354.385827883,2.851577691178143,2.042145242640627,1920892.7497284547,3888,49420.07443806115,5220,64955.01880372319,73,64.09713241221375,76.37081928900369,48.01633960783366,3,4,0
10,54467852.87029738,26981249.023328487,4.018786776374684,0.4814118502415188,3984764.3811031776,7053,23516.613681099097,8985,36268.577055670794,8,6.061035711781349,-33.327825879933656,-60.445261682339954,6,4,0
11,75211814.15438958,-95588.89597396558,1.2004159674271586,1.9308097952543493,9502784.015724361,471,12858.09756029226,2481,67701.31397962701,84,9.566358641884165,69.19932314409427,-81.00683174638405,14,3,1
12,73028740.50778787,4302229.209391839,2.2637353540479683,3.4749608281998428,6816496.066884372,7120,44566.9105795218,8616,73194.31543736772,76,3.791694407363333,-22.55399248776958,-44.537123804045805,7,9,1
13,63357367.618134715,2237693.08240265,2.7050191284395457,3.3878777595385485,6972884.627700305,7220,24578.844085196244,9995,69364.71139956484,9,45.68163262063199,71.21781324779818,10.783556095033504,11,2,0
14,36619151.92481103,36136640.71778209,0.9968427395452681,0.8849624247066695,1028008.0529587315,5802,29978.822978768363,6399,12282.236154457076,74,82.58534343389648,41.80014063353022,-55.91251046641514,5,8,0
15,41175397.127826884,3593507.9758189595,2.3878116920188264,0.13814145431793906,2976377.4196615377,8447,4828.652085889224,3947,66032.43023081377,67,31.308316935135206,-21.01460127726993,-13.794519412076824,5,0,0
16,97073416.33952564,35680875.568718895,1.9242580066817916,3.7896099247509727,-1011894.0428393395,2761,19176.674546122213,7598,28718.767395955634,57,38.416018309248166,21.00312689992016,-37.66600083442867,7,5,1
17,12126207.296861056,12106047.57273446,0.6601196560705819,0.6212040152876942,5278310.404606404,7280,47213.972539965645,2041,3851.3356863640183,94,90.94771083678907,52.285774969115735,-82.33540115850722,12,6,0
18,27581986.808030695,43824504.515195444,1.1153093122815585,0.5035108054249989,-755238.02549007,6751,29495.7939395625,2978,42068.236517006444,51,83.69034453166549,45.077935132531366,-50.45694812618346,8,9,0
19,49747774.16122924,40564074.41237261,3.938165704253623,0.11323596248740099,8030914.986471457,8756,17257.86766436596,5480,43920.7671775763,33,66.504811238256,14.087079434755651,8.730575857109997,5,3,0
20,83836238.9282348,47870425.98250146,0.5811705927709001,2.2197464971889436,7774645.444239961,4978,31302.075672548075,3496,47250.239201892204,34,26.680378209225132,84.90497933813904,-8.199415400283144,3,9,1
21,17203890.70924306,44129981.78063061,4.704139845933625,2.565993114413991,4403261.213467714,4415,45525.0339244269,6825,70777.5923736809,32,11.70414826884435,27.88951217317664,-82.03324301746585,12,2,0
22,28418507.194336377,46633135.66537554,0.8889108460125683,3.224553826128094,-306007.60163564375,6258,13735.830493605874,8833,31575.537105103453,71,1.6058822680113716,25.880094779303263,-75.50163854285371,10,7,1
23,7514023.561728659,42866491.02392204,4.096571423915561,1.5507128194916708,-1693052.201657982,8408,25280.580087610186,5211,32212.770797288336,31,10.701067260442088,-40.66241150878186,-3.8899961038831776,14,8,1
24,70892541.33903103,34515785.98105019,4.543774434245618,3.581081110295222,7560504.010510869,6574,47936.59816289218,2619,6994.673367884799,54,29.259644362394276,88.31805846964556,22.01231214813032,3,0,0
25,24582734.112085998,8098087.182334516,4.735110131827012,0.9297261012940137,5201685.798561122,1474,8661.18735775771,2922,68995.30038323729,96,55.17900635794957,-23.43251469824405,-47.57882560627461,4,9,1
26,39478800.316424094,13221229.702131694,4.403646605731876,4.176751260240702,6531155.6409746,7493,35997.21308355574,9418,57214.78304855881,7,6.400008275238688,29.251704015483128,-10.70338722348248,5,8,0
27,44926443.255937114,10242711.789578792,1.7939751774144945,2.9020568115631837,1645685.508836411,4503,30743.326359738967,1385,35593.08615668502,45,13.622777831844902,70.53514021004652,-74.4034616871842,8,6,1
28,89240079.62503912,29981082.27673938,1.9988920910231465,2.9610601345230374,4113792.854126974,3646,33999.77280047471,5463,70813.70891281811,13,18.108070230794105,-17.682008456653506,-53.293549464201426,6,0,0
29,41721698.74279244,24932806.86766687,2.4194556437453416,1.12789952751763,6966090.046475805,4077,17593.420551845105,162,54198.41717346084,97,63.198209298330625,29.105993495626166,-96.9594691490421,6,6,0
30,15377276.971609656,43287539.856500395,1.1268351023319538,0.4631328715719024,3550759.6997655947,9488,15728.274705514059,3822,47455.24964118343,7,61.57897989801244,-13.897263616498876,15.241392169928389,11,4,0
31,52907178.89567198,47609979.75820332,0.6002260478025074,2.3771515350952903,5216610.673224771,3511,34226.2730458891,5344,51621.12982245152,70,55.07657263721529,63.954249669986766,-39.84852703405498,8,9,1
32,96332841.47021434,19945424.42571629,4.411047264264656,3.116498564419559,7476739.141695548,9088,10816.38709097204,2037,63998.4644014386,76,25.05014246959396,34.6511751809726,22.418836048093084,14,6,1
33,61160878.46403029,25070702.940681025,2.9935792229470537,0.5657276474422595,582647.7431965461,3992,21011.754505707304,4879,66340.25785288535,53,37.1119691218732,78.39637905927154,6.255949403408948,4,8,1
