,Molecular Weight,Log PKA,Log SASA,Number of Nitrogen Atoms,Number of Oxygen Atoms,label
0,313,5,94,4,1,1
1,312,3,25,4,7,0
2,360,7,85,6,3,0
3,404,2,95,3,9,0
4,472,5,22,5,8,0
5,411,7,38,5,3,0
6,252,3,24,7,0,0
7,545,3,39,1,8,0
8,341,6,88,3,7,0
9,231,2,63,4,4,1
10,363,6,66,7,3,0
11,276,7,28,0,8,0
12,408,4,44,7,8,0
13,380,8,62,9,0,0
14,393,1,92,2,2,1
15,346,5,33,9,6,0
16,572,1,80,7,2,0
17,393,5,85,9,6,1
18,441,4,21,5,1,0
19,382,3,70,6,7,0
20,454,2,65,7,3,0
21,473,9,87,9,3,0
22,362,3,90,2,1,1
23,225,6,36,8,2,0
24,272,8,52,2,0,0
25,560,6,46,4,6,0
26,252,2,92,3,4,0
27,409,7,85,9,2,0
28,529,3,52,6,7,0
29,315,4,43,0,8,0
30,214,4,59,6,3,1
31,455,3,48,6,3,0
32,494,5,90,1,8,0
33,379,6,46,9,2,0
34,443,9,52,9,5,0
35,350,5,81,2,1,1
36,331,2,82,0,5,0
37,223,3,29,5,9,0
38,438,1,50,6,1,0
39,244,4,30,4,2,0
40,324,7,59,2,6,0
41,579,7,25,8,9,0
42,478,5,31,3,2,0
43,406,2,22,4,3,0
44,579,9,86,2,1,0
45,348,8,50,4,4,0
46,507,7,54,5,8,0
47,318,1,95,4,5,0
48,578,8,40,0,8,0
49,271,7,64,7,5,0
50,404,3,79,1,7,0
51,304,1,79,5,4,1
52,255,9,71,1,3,0
53,259,1,49,4,4,0
54,437,6,72,9,0,0
55,291,7,62,0,2,0
56,431,7,65,8,8,0
57,259,9,36,8,1,0
58,275,6,73,6,5,0
59,383,4,27,4,8,0
60,394,8,54,4,6,0
61,272,8,78,6,5,0
62,429,2,90,5,7,0
63,419,6,45,2,0,0
64,377,8,53,0,2,0
65,405,6,83,1,1,0
66,236,2,86,4,2,1
67,474,6,94,7,8,0
68,524,5,79,9,2,0
69,594,5,85,4,1,0
70,528,2,55,8,1,0
71,564,1,31,9,1,0
72,320,8,35,2,4,0
73,393,3,29,7,2,0
74,537,7,39,5,4,0
75,265,6,88,5,5,0
76,244,2,69,2,0,1
77,281,8,68,8,1,0
78,310,1,61,9,3,1
79,448,7,37,3,3,0
80,463,6,24,8,6,0
81,411,2,75,9,0,0
82,351,9,38,1,3,0
