,Molecule_ID,Molecular_Weight (g/mol),Lipophilicity (LogP),Polar_Surface_Area (Å²),Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,label
0,1,374.7608618006285,0.9256646441930982,67.10702307246308,2,0,1
1,2,674.3714393331563,2.7095047368917906,64.45618383295997,0,5,1
2,3,560.6368497419306,4.364729179382041,183.1258244937866,4,0,0
3,4,491.30241178245905,3.661124432047806,64.9183159729111,2,5,1
4,5,261.12969303006696,4.032805739307249,68.95095070315358,1,2,1
5,6,261.11715057482536,3.293916833553587,156.69168723523347,2,7,1
6,7,210.20347832746373,3.4613828225892624,100.9531716410972,2,5,1
7,8,630.4115958029663,4.2459782578265965,159.8079002519326,1,0,0
8,9,492.5798061064686,1.2483400442959298,31.765908361589343,3,4,0
9,10,548.1977404539437,2.4471248182157024,107.76281486120918,3,7,0
10,11,190.70393703381728,1.1060472090980111,26.05044803299087,0,2,1
11,12,684.3531231242371,4.938340039983235,31.277576621963814,0,5,1
12,13,612.8701732162193,4.720296698433066,183.15874160199397,3,4,0
13,14,290.41633755270357,0.1971340568425295,45.06416680116713,4,5,1
14,15,274.5489829476923,3.5278758625784423,115.83572280953908,2,9,1
15,16,275.37034512378557,4.626241587078329,93.99720846812718,4,0,1
16,17,338.2059663389596,0.9028767256366677,82.52179872659168,2,6,1
17,18,452.8733444487637,2.839726152763147,181.97000222370903,3,8,1
18,19,404.6114096939002,4.577441487940209,23.92821141958811,0,1,1
19,20,331.4391529029818,0.1697298929289942,139.48214351160604,0,9,1
20,21,498.16350525563735,3.4871013362341996,193.41099815843907,4,4,1
21,22,252.53680753906175,1.4867450368627537,120.83027302313155,0,9,1
22,23,331.9152172383134,4.621980976882652,188.62804316595654,3,3,1
23,24,370.50815851271966,4.855291225826839,29.406418271484277,4,5,1
24,25,417.1563917928587,4.721332445567169,95.38279743334905,2,5,1
25,26,588.2914999243671,2.371071083287319,66.82840237316921,0,1,1
26,27,283.8303667223471,4.310213254946567,151.54777369653135,1,1,1
27,28,447.401907975078,4.222746992675352,196.63347628950442,0,3,1
28,29,488.05557580826206,1.5955023662162782,66.1754112399646,2,0,1
29,30,204.15421461439882,4.144577370753387,137.7514282653334,4,8,1
30,31,495.92332298874794,0.1850381735774631,55.65757389675322,2,6,1
31,32,268.6725443173916,2.981349392410265,121.75944582288979,1,6,1
32,33,213.82682835234533,1.1500441864385151,103.50784760390052,3,2,1
33,34,673.4204793717333,0.602834428886394,194.96095933367667,0,2,0
34,35,682.1286571987708,0.3847660081460458,129.53490908536398,4,0,0
35,36,600.3666210205597,3.4814438793906985,82.91114697562739,3,2,0
36,37,338.39915997015277,1.6993748188403308,40.53724127982801,2,2,1
37,38,230.78949928331963,3.6238338576438074,47.224429172288225,4,3,1
38,39,535.8011737863217,0.32678170399471185,60.55704739122232,3,3,0
