,weight,formula,carbon_atoms,hydrogen_atoms,oxygen_atoms,nitrogen_atoms,sulfur_atoms,halogen_atoms,label
0,349.816047538945,BrH,13,50,38,21,14,7,1
1,580.2857225639665,C5H8N4O4S2,27,46,42,31,12,7,1
2,492.797576724562,ClH,15,44,44,25,11,4,1
3,439.46339367881467,F,12,56,32,23,10,4,1
4,262.4074561769746,C2H4O2,20,59,40,32,19,2,0
5,262.39780813448107,F,24,48,43,23,12,5,1
6,223.2334448672798,C5H8N4O4S2,14,53,37,33,10,4,1
7,546.470458309974,C5H8N4O4S2,29,51,47,35,10,4,1
8,440.4460046972835,C2H4O2,19,45,48,23,10,5,1
9,483.2290311184182,C3H8N2O4,21,56,45,20,17,1,0
10,208.23379771832097,C2H4O2,24,58,31,32,12,4,1
11,587.9639408647977,BrH,26,58,37,23,10,3,1
12,532.9770563201687,ClH,19,55,35,39,16,6,1
13,284.9356442713105,C3H8N2O4,15,51,41,37,19,6,1
14,272.72998688284025,C2H4O2,27,51,44,25,12,4,1
15,273.3618039413735,F,22,59,37,22,17,1,1
16,321.69689718381505,C3H8N2O4,12,45,33,32,13,7,1
17,409.9025726528952,C3H8N2O4,19,43,44,35,13,1,0
18,372.7780074568463,C2H4O2,23,45,49,24,14,2,0
19,316.4916560792168,C3H8N2O4,15,50,46,23,15,3,1
20,444.74115788895176,F,12,40,42,27,16,1,0
21,255.79754426081672,C5H8N4O4S2,25,54,47,38,13,5,1
22,316.8578594140873,C3H8N2O4,16,50,31,33,17,3,1
23,346.5447373174767,C5H8N4O4S2,29,58,42,26,15,6,1
24,382.4279936868144,F,23,57,42,33,10,3,1
25,514.0703845572054,C2H4O2,18,56,44,25,10,5,1
26,279.8695128633439,ClH,24,58,49,31,18,4,1
27,405.69377536544465,C3H8N2O4,12,53,39,35,19,5,1
28,436.965827544817,ClH,11,57,32,36,15,5,1
29,218.5801650879991,F,11,58,48,32,19,4,1
30,443.01794076057536,C3H8N2O4,12,54,32,33,17,4,1
31,268.2096494749166,C5H8N4O4S2,27,54,43,26,16,4,1
32,226.0206371941118,BrH,23,43,37,33,15,4,1
33,579.5542149013334,ClH,29,46,33,34,13,4,1
34,586.2528132298237,C3H8N2O4,27,52,49,31,16,5,1
35,523.3589392465844,ClH,19,42,40,36,18,2,0
36,321.8455076693483,C3H8N2O4,11,55,40,28,19,2,1
37,239.06884560255355,C2H4O2,10,48,40,34,19,1,0
38,473.69321060486277,C5H8N4O4S2,13,47,31,31,16,2,0
39,376.0609974958405,ClH,23,59,46,21,10,6,1
40,248.81529393791152,BrH,10,52,38,24,19,2,1
41,398.0707640445081,BrH,23,56,31,32,18,5,1
42,213.75540844608736,F,25,56,44,39,13,4,1
43,563.7281608315128,C3H8N2O4,23,56,45,27,12,4,1
44,303.5119926400068,ClH,29,40,33,33,13,7,1
45,465.0089137415928,F,12,47,37,34,13,7,1
46,324.6844304357644,ClH,12,58,38,30,19,7,1
47,408.0272084711243,C3H8N2O4,18,45,34,20,11,5,1
48,418.68411173731187,BrH,15,42,45,22,10,6,1
49,273.9417822102108,C2H4O2,22,44,42,36,19,2,0
50,587.8338511058234,BrH,11,52,36,38,10,5,1
51,510.05312934444584,F,17,54,49,33,17,1,0
52,575.7995766256756,C5H8N4O4S2,11,53,46,27,11,4,1
53,557.9309401710595,C2H4O2,13,55,32,32,19,7,1
54,439.1599915244341,F,24,57,34,39,14,3,1
55,568.7496940092467,C3H8N2O4,13,50,48,22,13,1,0
56,235.3970008207678,C2H4O2,22,42,41,24,17,7,1
57,278.3931449676581,F,21,49,36,28,11,6,1
58,218.09091556421524,C3H8N2O4,22,49,38,25,19,1,1
59,330.13213230530573,BrH,23,55,35,21,18,5,1
60,355.4709158757928,C5H8N4O4S2,29,51,46,32,16,2,0
61,308.53961270955836,C3H8N2O4,27,41,45,24,16,4,1
62,531.4950036607718,ClH,15,48,32,27,10,6,1
63,342.70133067743575,C3H8N2O4,20,42,33,20,11,6,1
64,312.3738038749523,C3H8N2O4,11,54,39,39,13,3,1
65,417.0784332632994,C5H8N4O4S2,28,42,34,31,13,1,0
66,256.36968998990505,ClH,28,58,39,30,12,3,1
67,520.8787923016159,F,14,57,41,26,16,2,1
68,229.82025747190832,F,28,47,39,34,17,7,1
69,594.754774640207,C3H8N2O4,11,56,42,30,11,2,0
70,508.89790771866296,ClH,19,47,40,35,13,7,1
71,279.486272613669,ClH,11,46,45,22,12,3,1
72,202.20884684944096,C5H8N4O4S2,20,46,37,39,11,4,1
73,526.1845713819337,BrH,27,42,37,33,15,2,0
74,482.74293753904686,F,24,40,37,22,13,3,1
75,491.60286721639494,C5H8N4O4S2,18,43,42,20,15,1,1
76,508.5081386743783,C2H4O2,28,44,31,34,11,3,1
77,229.61786069363615,F,18,40,41,20,13,3,1
78,343.386291417709,C5H8N4O4S2,12,54,39,36,15,5,1
79,246.34762381005189,F,18,44,41,21,14,2,1
80,545.2413703502374,BrH,23,52,40,39,12,4,1
81,449.3192507310232,C2H4O2,28,47,44,25,17,4,1
82,332.3592099410597,BrH,16,47,45,27,16,5,1
83,225.42334011440946,C2H4O2,25,44,46,35,12,7,1
84,324.3929286862649,C3H8N2O4,25,48,31,38,15,6,1
85,330.07332881069885,C5H8N4O4S2,10,40,47,20,13,7,1
86,491.84247133522564,C2H4O2,13,43,41,22,14,4,1
87,455.0229885420853,BrH,13,42,48,22,14,3,1
88,554.8850970305307,F,16,41,47,24,16,5,1
89,388.8859700647797,C2H4O2,17,47,46,31,14,1,0
90,247.83769837532068,C5H8N4O4S2,26,48,35,31,12,2,0
91,485.297914889198,C2H4O2,14,41,44,39,19,2,0
92,504.31401944675895,ClH,16,53,32,32,14,2,0
93,424.5108790277985,F,29,53,35,39,16,3,1
94,508.3868719818244,C5H8N4O4S2,29,43,32,28,14,1,0
95,397.5182385457563,C5H8N4O4S2,13,45,30,26,14,5,1
96,409.0931317527976,C3H8N2O4,15,50,42,23,18,5,1
97,371.0164073434198,BrH,16,42,43,38,12,2,0
98,210.16765069763807,C3H8N2O4,27,47,42,38,15,1,0
99,243.15657079732176,C5H8N4O4S2,14,42,33,25,10,1,0
100,212.5716742746937,F,29,53,36,32,19,1,0
101,454.56416450551217,C2H4O2,12,52,39,30,14,4,1
102,325.7423924305307,C2H4O2,16,52,36,32,17,4,1
103,403.42827646588114,F,23,41,44,32,14,2,0
104,563.0265895704372,C5H8N4O4S2,16,52,44,39,18,1,0
105,299.71689165954996,C2H4O2,14,58,33,34,15,6,1
106,364.1531692142519,C2H4O2,14,45,35,32,17,1,0
107,502.22045541721945,C2H4O2,11,55,49,30,19,5,1
108,291.51926619664897,BrH,15,41,34,38,17,5,1
109,230.7919639315172,BrH,24,47,49,27,12,2,0
110,315.9005811655072,ClH,19,56,41,39,16,6,1
111,264.4885149016018,C3H8N2O4,16,41,30,27,16,1,0
112,571.8790609370292,F,14,49,37,29,19,7,1
113,523.2481518257669,F,10,55,30,35,15,6,1
114,453.36150260416935,F,22,45,34,38,16,2,0
115,548.5842360750871,ClH,27,41,35,30,11,5,1
116,521.4688307596458,BrH,22,41,32,32,18,7,1
117,274.6280235544143,C5H8N4O4S2,27,52,44,28,19,5,1
118,557.0235993959911,C5H8N4O4S2,14,54,34,39,19,4,1
119,415.7368967662603,ClH,22,41,43,38,10,2,0
120,522.976062065625,C5H8N4O4S2,13,46,47,35,10,2,0
121,558.4365199693973,F,26,42,45,26,12,1,0
122,327.2013899887455,C3H8N2O4,12,47,35,38,12,1,0
123,244.0207698110707,C2H4O2,26,53,43,31,10,4,1
124,291.1740650167767,BrH,20,46,37,34,16,7,1
125,370.8431154505025,BrH,29,46,36,33,13,3,1
126,527.2059063689973,ClH,13,40,37,30,19,6,1
127,544.2922333025374,BrH,11,56,42,29,11,3,1
128,202.78085221247628,F,29,48,35,30,19,3,1
129,404.2989210310263,C5H8N4O4S2,25,52,47,25,14,2,0
130,366.9644012595116,F,27,58,31,21,15,6,1
131,288.8431241882921,ClH,17,58,37,30,18,2,1
132,247.94614693347313,F,12,56,40,38,13,6,1
133,335.0460685614512,C5H8N4O4S2,18,49,30,25,11,5,1
134,577.1638815650076,C3H8N2O4,29,49,35,33,14,2,0
135,329.28117280830213,ClH,15,43,45,39,12,2,0
136,407.51624869734644,C3H8N2O4,19,47,49,25,11,2,0
137,481.2075835580711,C2H4O2,19,59,41,36,10,7,1
138,345.4518409517176,C3H8N2O4,22,59,40,29,19,4,1
139,588.7128330883843,C2H4O2,26,57,39,20,11,2,0
140,584.9789179768445,C2H4O2,18,53,32,22,15,1,1
141,300.71291833014567,C3H8N2O4,26,57,42,27,17,1,1
142,398.89940235695417,ClH,18,53,32,27,12,6,1
143,320.3513239267079,C5H8N4O4S2,18,59,44,39,18,5,1
144,313.93619775098705,F,10,54,45,34,18,4,1
145,214.75477894181313,F,11,43,42,26,11,7,1
146,443.82573359195874,C5H8N4O4S2,25,52,46,30,17,6,1
147,401.07160929154463,C2H4O2,10,47,32,26,19,1,1
148,220.59150049999573,C2H4O2,19,57,49,23,14,4,1
149,311.45858569464457,ClH,27,51,40,31,13,4,1
150,563.3063543866615,BrH,17,53,48,25,19,5,1
151,295.824756266789,C3H8N2O4,20,41,40,33,14,4,1
152,257.9579488364892,C2H4O2,11,57,45,31,13,2,0
153,395.78110411102523,F,17,41,32,30,17,4,1
154,594.2601816442402,ClH,17,50,35,38,13,5,1
155,296.82210860460015,C3H8N2O4,26,48,43,24,19,6,1
156,468.8542189623514,ClH,24,51,47,33,15,5,1
157,504.64784613148703,C3H8N2O4,26,56,46,35,11,7,1
158,295.0550175969599,C3H8N2O4,22,54,33,32,14,5,1
