,ID,Chemical_Name,Molecular_Weight (g/mol),pH,LogP,Carbon_Chain_Length,Functional_Group,label
0,1,Chemical_1,111.58,7.96,-1.31,37,Alkane,1
1,2,Chemical_2,49.88,13.42,1.56,41,Aromatic Hydrocarbon,0
2,3,Chemical_3,84.49,4.42,-3.35,14,Carboxylic Acid,1
3,4,Chemical_4,41.98,5.21,-0.74,47,Alkane,0
4,5,Chemical_5,95.0,13.41,4.1,2,Alcohol,1
5,6,Chemical_6,88.21,12.89,0.02,7,Alkane,1
6,7,Chemical_7,143.9,0.06,4.85,22,Ester,0
7,8,Chemical_8,168.16,9.06,3.52,21,Ketone,0
8,9,Chemical_9,194.91,0.93,0.25,29,Halogenated Hydrocarbon,0
9,10,Chemical_10,107.04,8.06,-0.9,22,Aromatic Hydrocarbon,0
10,11,Chemical_11,157.77,13.83,1.19,35,Alkane,0
11,12,Chemical_12,144.38,12.23,1.07,3,Alcohol,1
12,13,Chemical_13,94.24,10.31,-3.52,4,Ketone,0
13,14,Chemical_14,176.33,12.1,0.46,3,Ketone,1
14,15,Chemical_15,144.62,6.75,3.25,20,Aromatic Hydrocarbon,0
15,16,Chemical_16,66.31,12.68,-4.71,39,Ester,0
16,17,Chemical_17,168.98,4.86,-4.5,40,Carboxylic Acid,0
17,18,Chemical_18,128.1,13.85,3.85,10,Ester,0
18,19,Chemical_19,73.52,8.9,-4.52,47,Carboxylic Acid,1
19,20,Chemical_20,150.23,10.0,1.49,23,Alcohol,0
20,21,Chemical_21,72.92,7.07,4.14,39,Ketone,0
21,22,Chemical_22,156.25,9.49,-4.69,30,Ester,0
22,23,Chemical_23,45.41,2.32,2.26,23,Alkane,0
23,24,Chemical_24,135.21,2.85,-0.86,19,Halogenated Hydrocarbon,0
24,25,Chemical_25,94.88,4.85,1.29,40,Carboxylic Acid,1
25,26,Chemical_26,135.26,1.25,-0.98,2,Halogenated Hydrocarbon,1
26,27,Chemical_27,111.31,10.03,2.76,28,Alkane,0
27,28,Chemical_28,118.98,7.99,-2.03,17,Ether,1
28,29,Chemical_29,110.57,3.69,-3.72,8,Ester,0
29,30,Chemical_30,167.76,5.97,-3.7,50,Alcohol,0
30,31,Chemical_31,63.26,13.71,-0.92,15,Carboxylic Acid,1
31,32,Chemical_32,86.62,2.48,-0.53,42,Polymer,0
32,33,Chemical_33,174.68,8.07,-4.49,46,Alkane,0
33,34,Chemical_34,187.21,1.47,-2.19,28,Polymer,0
34,35,Chemical_35,42.37,4.53,-1.27,12,Ether,0
35,36,Chemical_36,179.75,0.04,3.55,10,Ether,0
36,37,Chemical_37,83.74,9.92,-2.62,25,Alkane,0
37,38,Chemical_38,95.06,12.5,2.04,5,Carboxylic Acid,1
38,39,Chemical_39,191.28,8.17,-0.81,18,Aromatic Hydrocarbon,0
39,40,Chemical_40,111.0,4.98,3.82,46,Ester,0
40,41,Chemical_41,86.43,5.73,2.91,41,Ester,0
41,42,Chemical_42,187.71,1.39,-1.53,38,Alcohol,0
42,43,Chemical_43,90.31,10.83,-2.02,9,Carboxylic Acid,1
43,44,Chemical_44,91.86,8.37,-4.84,47,Ether,0
44,45,Chemical_45,140.09,4.05,-2.93,42,Ester,0
45,46,Chemical_46,50.9,5.02,4.91,38,Ester,0
46,47,Chemical_47,164.53,1.64,4.72,44,Carboxylic Acid,0
47,48,Chemical_48,41.55,2.84,2.27,24,Carboxylic Acid,1
48,49,Chemical_49,138.95,3.64,0.44,9,Ketone,1
49,50,Chemical_50,69.99,0.4,3.22,38,Ketone,0
50,51,Chemical_51,50.81,8.96,-3.05,16,Ketone,0
51,52,Chemical_52,198.61,5.97,-4.49,49,Alkane,0
52,53,Chemical_53,184.07,3.78,4.12,37,Polymer,0
53,54,Chemical_54,100.52,6.12,-3.95,27,Aromatic Hydrocarbon,1
54,55,Chemical_55,118.04,9.06,2.3,40,Carboxylic Acid,0
55,56,Chemical_56,73.57,6.26,1.71,3,Aromatic Hydrocarbon,1
56,57,Chemical_57,62.08,12.34,-4.93,5,Alcohol,1
57,58,Chemical_58,45.06,9.92,-4.37,13,Alcohol,1
58,59,Chemical_59,101.97,13.05,1.62,36,Ether,0
59,60,Chemical_60,78.54,8.77,-0.12,36,Halogenated Hydrocarbon,0
60,61,Chemical_61,89.11,12.03,-3.57,38,Carboxylic Acid,1
61,62,Chemical_62,102.0,9.17,3.5,49,Alkane,0
62,63,Chemical_63,139.92,9.33,-2.57,34,Polymer,0
63,64,Chemical_64,122.23,7.1,3.1,26,Ester,0
64,65,Chemical_65,65.74,0.81,4.33,37,Aromatic Hydrocarbon,0
65,66,Chemical_66,117.14,6.82,-4.59,25,Aromatic Hydrocarbon,1
66,67,Chemical_67,60.28,13.83,0.32,5,Alkane,1
67,68,Chemical_68,157.52,13.42,1.47,42,Aromatic Hydrocarbon,0
68,69,Chemical_69,46.46,12.33,-1.53,18,Alkane,0
69,70,Chemical_70,51.08,13.4,0.54,1,Ether,1
70,71,Chemical_71,53.42,7.9,-2.68,47,Halogenated Hydrocarbon,1
71,72,Chemical_72,48.59,7.29,3.79,22,Ketone,0
72,73,Chemical_73,126.33,3.54,-1.06,28,Ether,0
73,74,Chemical_74,176.56,6.87,-2.57,14,Carboxylic Acid,1
74,75,Chemical_75,107.84,9.37,1.54,12,Ester,0
75,76,Chemical_76,98.86,12.14,-0.29,40,Alkane,0
76,77,Chemical_77,136.25,4.75,4.44,12,Halogenated Hydrocarbon,0
77,78,Chemical_78,43.07,9.67,3.94,49,Aromatic Hydrocarbon,0
78,79,Chemical_79,134.54,10.89,2.72,24,Ketone,0
79,80,Chemical_80,41.76,3.85,-3.15,23,Ester,0
80,81,Chemical_81,158.1,1.14,4.53,25,Polymer,0
81,82,Chemical_82,173.27,13.95,4.7,44,Aromatic Hydrocarbon,0
82,83,Chemical_83,65.63,6.23,-4.9,21,Ketone,1
83,84,Chemical_84,123.32,6.45,-3.23,18,Alkane,1
84,85,Chemical_85,199.32,13.47,0.33,7,Alcohol,1
85,86,Chemical_86,152.08,0.03,-4.28,40,Alcohol,0
86,87,Chemical_87,87.44,9.34,3.59,28,Ester,0
87,88,Chemical_88,170.05,5.03,3.38,8,Carboxylic Acid,1
88,89,Chemical_89,57.46,10.75,1.52,24,Ester,0
89,90,Chemical_90,47.54,11.73,3.41,31,Halogenated Hydrocarbon,0
90,91,Chemical_91,159.05,5.85,3.17,29,Halogenated Hydrocarbon,0
91,92,Chemical_92,123.65,11.52,4.76,41,Halogenated Hydrocarbon,0
92,93,Chemical_93,120.71,8.26,3.36,2,Aromatic Hydrocarbon,1
93,94,Chemical_94,181.96,12.81,0.55,8,Alkane,1
94,95,Chemical_95,162.34,1.46,1.47,33,Ether,0
95,96,Chemical_96,126.53,8.43,0.66,37,Aromatic Hydrocarbon,0
96,97,Chemical_97,49.86,11.86,1.93,43,Alkane,0
97,98,Chemical_98,143.49,4.79,0.58,39,Carboxylic Acid,0
98,99,Chemical_99,148.61,10.83,3.04,46,Ketone,0
99,100,Chemical_100,118.86,9.47,-4.26,42,Alkane,0
100,101,Chemical_101,118.76,6.94,-1.02,23,Aromatic Hydrocarbon,1
101,102,Chemical_102,124.29,0.98,-2.08,49,Alkane,0
102,103,Chemical_103,166.0,3.29,4.18,44,Ether,0
103,104,Chemical_104,40.71,4.31,1.99,24,Carboxylic Acid,1
