,Age,Gender,Race,Criminal History,Prior Offense Type,Violation Type,Employment Status,Income Level,Education Level,Family Structure,label
0,23,Female,Asian,0,Assault,Property theft,Employed,Middle,Master's degree,Yes,1
1,57,Male,Other,4,Theft,Property theft,Unemployed,Middle,Bachelor's degree,No,1
2,30,Female,Asian,4,Assault,Domestic violence,Unemployed,Middle,Bachelor's degree,No,1
3,54,Male,White,0,Theft,Other,Unemployed,Middle,Master's degree,No,0
4,16,Male,Other,2,Assault,Other,Unemployed,Low,High school diploma,No,1
5,28,Female,Asian,1,Theft,Property theft,Employed,High,High school diploma,No,1
6,56,Male,Other,3,Theft,Other,Employed,High,Bachelor's degree,No,1
7,63,Male,Other,3,Assault,Drug offenses,Employed,Middle,High school diploma,Yes,1
8,61,Female,White,0,Theft,Drug offenses,Unemployed,Low,Bachelor's degree,No,1
9,46,Female,Black,3,Property damage,Drug offenses,Employed,Middle,Master's degree,Yes,1
10,52,Female,Other,4,Theft,Other,Employed,Low,High school diploma,Yes,1
11,26,Female,Asian,0,Theft,Drug offenses,Unemployed,Low,Bachelor's degree,Yes,1
12,55,Male,Other,1,Assault,Other,Unemployed,Middle,Bachelor's degree,No,1
13,46,Male,Black,3,Battery,Property theft,Employed,High,Bachelor's degree,No,1
14,29,Female,Asian,4,Theft,Property theft,Unemployed,High,Bachelor's degree,Yes,1
15,35,Female,Asian,0,Assault,Property theft,Employed,Low,Bachelor's degree,Yes,1
16,16,Female,Other,3,Battery,Property theft,Unemployed,Low,Master's degree,Yes,1
17,33,Male,White,3,Assault,Other,Unemployed,High,Master's degree,No,1
18,63,Female,Other,4,Assault,Other,Employed,Middle,Master's degree,No,1
19,63,Female,Black,4,Property damage,Domestic violence,Employed,High,Bachelor's degree,Yes,1
20,47,Male,Black,4,Assault,Other,Employed,High,Bachelor's degree,No,1
21,20,Male,Black,1,Theft,Property theft,Unemployed,Low,High school diploma,No,1
22,57,Female,White,2,Theft,Drug offenses,Unemployed,Low,Bachelor's degree,Yes,1
23,45,Male,Black,2,Theft,Property theft,Unemployed,Low,Master's degree,Yes,1
24,28,Male,Asian,2,Theft,Drug offenses,Unemployed,High,Bachelor's degree,Yes,0
25,44,Female,Black,4,Battery,Drug offenses,Unemployed,High,Master's degree,No,1
26,39,Male,Other,1,Battery,Other,Unemployed,High,Bachelor's degree,Yes,1
27,18,Male,White,2,Property damage,Domestic violence,Unemployed,High,Bachelor's degree,Yes,0
28,53,Female,Asian,0,Theft,Property theft,Unemployed,High,High school diploma,Yes,0
29,39,Female,Asian,0,Assault,Drug offenses,Employed,Low,High school diploma,Yes,1
30,31,Female,Black,1,Property damage,Domestic violence,Unemployed,High,Bachelor's degree,No,0
31,28,Male,Black,0,Battery,Property theft,Employed,High,High school diploma,No,1
32,30,Female,Other,0,Property damage,Drug offenses,Unemployed,Middle,Master's degree,No,0
33,33,Female,Asian,0,Battery,Domestic violence,Unemployed,Low,Master's degree,No,1
34,59,Male,Asian,2,Assault,Drug offenses,Unemployed,Low,High school diploma,Yes,1
35,32,Female,Other,2,Theft,Drug offenses,Unemployed,High,Master's degree,Yes,0
36,21,Male,Black,0,Assault,Other,Unemployed,High,High school diploma,No,1
37,17,Male,Black,2,Battery,Other,Employed,High,Master's degree,Yes,1
38,19,Male,Other,1,Theft,Other,Unemployed,High,High school diploma,Yes,0
39,46,Male,Asian,1,Assault,Drug offenses,Employed,Middle,Master's degree,Yes,1
40,19,Female,Black,4,Property damage,Domestic violence,Employed,High,High school diploma,Yes,1
41,28,Female,Asian,1,Theft,Other,Unemployed,High,Bachelor's degree,No,0
42,35,Female,Other,1,Assault,Drug offenses,Unemployed,Middle,Bachelor's degree,No,1
43,32,Female,Black,1,Battery,Other,Employed,Low,High school diploma,Yes,1
44,33,Male,Asian,3,Assault,Domestic violence,Employed,Low,High school diploma,No,1
45,60,Male,White,4,Theft,Property theft,Employed,High,High school diploma,No,1
46,16,Female,Black,2,Battery,Drug offenses,Employed,Middle,Bachelor's degree,No,1
47,18,Male,White,4,Battery,Drug offenses,Employed,Middle,Master's degree,No,1
48,35,Female,White,3,Property damage,Domestic violence,Unemployed,High,Master's degree,No,1
49,61,Male,White,0,Theft,Other,Unemployed,High,Master's degree,Yes,0
50,32,Female,Asian,1,Property damage,Domestic violence,Unemployed,High,Master's degree,No,0
51,53,Male,Asian,1,Theft,Domestic violence,Unemployed,High,Master's degree,Yes,0
52,23,Female,Black,4,Battery,Domestic violence,Employed,High,Master's degree,No,1
53,39,Female,Black,3,Theft,Other,Employed,Low,High school diploma,Yes,1
54,45,Female,Other,4,Theft,Other,Unemployed,High,Bachelor's degree,No,1
55,39,Male,Other,1,Theft,Domestic violence,Employed,Low,Master's degree,Yes,0
56,45,Female,Asian,0,Assault,Drug offenses,Unemployed,Low,Bachelor's degree,No,1
57,27,Female,Other,4,Theft,Drug offenses,Employed,Middle,High school diploma,Yes,1
58,38,Female,Asian,4,Theft,Other,Unemployed,High,Master's degree,Yes,1
59,34,Female,White,4,Battery,Domestic violence,Employed,High,Bachelor's degree,No,1
60,53,Male,White,4,Battery,Other,Employed,High,High school diploma,No,1
61,29,Female,Other,2,Property damage,Drug offenses,Unemployed,Low,Master's degree,No,1
62,24,Male,Asian,4,Property damage,Drug offenses,Employed,Low,Master's degree,Yes,1
63,55,Female,Black,3,Battery,Domestic violence,Employed,High,Bachelor's degree,No,1
64,28,Male,Asian,3,Property damage,Domestic violence,Unemployed,Middle,Master's degree,Yes,1
65,49,Male,Black,2,Theft,Domestic violence,Unemployed,Middle,High school diploma,Yes,0
66,64,Female,White,0,Battery,Domestic violence,Unemployed,Middle,High school diploma,No,1
67,24,Male,Asian,4,Theft,Other,Unemployed,Low,High school diploma,Yes,1
68,28,Female,Black,4,Battery,Property theft,Employed,High,Master's degree,No,1
69,33,Female,Black,1,Property damage,Drug offenses,Unemployed,Middle,Bachelor's degree,Yes,0
70,31,Male,Asian,1,Battery,Property theft,Employed,Middle,Bachelor's degree,Yes,1
71,32,Female,Asian,1,Assault,Property theft,Employed,High,Master's degree,No,1
72,53,Female,Other,0,Battery,Other,Employed,Middle,High school diploma,No,1
73,38,Male,Other,2,Theft,Other,Unemployed,High,Master's degree,No,0
74,27,Female,Asian,3,Battery,Domestic violence,Unemployed,Middle,Master's degree,Yes,1
75,22,Male,Asian,4,Property damage,Drug offenses,Employed,Low,Master's degree,No,1
76,50,Female,Asian,3,Theft,Drug offenses,Unemployed,High,Master's degree,Yes,1
77,63,Male,Black,4,Assault,Other,Employed,Low,Master's degree,No,1
78,29,Female,Black,4,Assault,Property theft,Employed,Middle,High school diploma,Yes,1
79,45,Male,Black,4,Property damage,Other,Employed,High,High school diploma,No,1
80,29,Male,Other,0,Assault,Drug offenses,Unemployed,Middle,Bachelor's degree,No,1
81,31,Male,Black,1,Theft,Property theft,Unemployed,High,Master's degree,No,0
82,21,Female,Asian,0,Assault,Other,Unemployed,Low,Master's degree,No,1
83,44,Male,Asian,0,Property damage,Property theft,Unemployed,High,Master's degree,Yes,0
84,29,Female,Black,0,Battery,Other,Employed,Middle,High school diploma,No,1
85,24,Female,Other,1,Battery,Other,Unemployed,Low,High school diploma,No,1
86,50,Female,White,1,Battery,Other,Unemployed,Middle,Master's degree,Yes,1
87,30,Male,Black,0,Assault,Property theft,Employed,Low,Bachelor's degree,No,1
88,62,Male,Other,2,Battery,Property theft,Unemployed,High,Bachelor's degree,No,1
89,56,Male,Asian,3,Assault,Domestic violence,Employed,High,Bachelor's degree,Yes,1
90,38,Male,Black,3,Theft,Property theft,Employed,High,High school diploma,Yes,1
91,35,Female,White,2,Theft,Property theft,Unemployed,Middle,High school diploma,Yes,0
92,49,Female,Other,2,Theft,Other,Unemployed,Middle,Master's degree,Yes,0
93,63,Female,White,0,Battery,Property theft,Unemployed,Middle,High school diploma,Yes,1
94,24,Male,Other,1,Battery,Property theft,Employed,Middle,High school diploma,Yes,1
95,52,Male,Asian,0,Assault,Other,Employed,Middle,High school diploma,Yes,1
96,38,Male,Black,0,Battery,Property theft,Employed,High,Master's degree,No,1
97,49,Male,Asian,4,Assault,Property theft,Unemployed,Middle,High school diploma,Yes,1
98,20,Female,Black,1,Assault,Domestic violence,Unemployed,High,High school diploma,Yes,1
99,19,Male,Other,3,Property damage,Other,Unemployed,High,Bachelor's degree,Yes,1
100,63,Male,Other,0,Property damage,Drug offenses,Employed,High,Bachelor's degree,Yes,0
101,43,Male,Black,0,Battery,Domestic violence,Employed,Middle,Master's degree,No,1
102,16,Female,White,4,Battery,Property theft,Employed,Middle,Master's degree,No,1
103,45,Male,Black,4,Theft,Drug offenses,Employed,Middle,High school diploma,Yes,1
104,23,Male,Black,3,Property damage,Domestic violence,Unemployed,High,Master's degree,No,1
105,62,Female,Black,3,Theft,Drug offenses,Employed,Middle,High school diploma,No,1
106,40,Male,Other,1,Property damage,Property theft,Unemployed,Middle,High school diploma,No,1
107,54,Male,Asian,0,Property damage,Drug offenses,Unemployed,High,High school diploma,Yes,0
108,21,Male,White,4,Theft,Drug offenses,Unemployed,Middle,Master's degree,No,1
109,46,Male,Other,0,Property damage,Drug offenses,Unemployed,High,Bachelor's degree,Yes,0
110,61,Female,Asian,4,Assault,Other,Employed,Low,Bachelor's degree,Yes,1
111,46,Male,White,0,Battery,Property theft,Unemployed,Middle,Bachelor's degree,No,1
