,Defendant_ID,Age,Gender,Employment_Status,Prior_Convictions,Substance_Abuse,Violent_Crime_Prior,Community_Support,Education_Level,Release_Type,label
0,1,58,Male,Unemployed,8,Yes,0,Yes,Associate's,Jail,1
1,2,33,Male,Employed,8,No,1,No,Less than High School,Probation,1
2,3,58,Male,Employed,2,Yes,0,No,Bachelor's,Probation,0
3,4,42,Male,Unemployed,8,Yes,1,Yes,High School,Probation,1
4,5,58,Male,Employed,3,Yes,1,No,High School,Jail,1
5,6,58,Female,Employed,9,Yes,0,Yes,Less than High School,Parole,0
6,7,42,Female,Employed,9,Yes,1,Yes,High School,Jail,0
7,8,29,Female,Unemployed,7,Yes,0,Yes,Less than High School,Jail,1
8,9,24,Female,Employed,2,No,1,No,High School,Jail,1
9,10,40,Female,Unemployed,10,Yes,1,No,Associate's,Jail,1
10,11,32,Male,Employed,4,Yes,1,No,Bachelor's,Parole,1
11,12,69,Female,Employed,8,No,0,Yes,Bachelor's,Parole,0
12,13,55,Male,Unemployed,10,Yes,0,No,High School,Parole,1
13,14,21,Female,Unemployed,4,No,1,Yes,Bachelor's,Probation,1
14,15,41,Male,Unemployed,1,No,0,No,Less than High School,Probation,0
15,16,42,Male,Employed,8,Yes,1,No,Associate's,Parole,1
16,17,41,Male,Unemployed,0,No,0,Yes,High School,Parole,0
17,18,48,Male,Employed,6,No,0,No,Less than High School,Parole,0
18,19,62,Female,Unemployed,5,No,1,Yes,Bachelor's,Parole,0
19,20,36,Male,Unemployed,9,Yes,0,Yes,High School,Jail,1
20,21,60,Female,Employed,3,Yes,1,No,Bachelor's,Probation,1
21,22,70,Male,Unemployed,8,No,0,Yes,Less than High School,Probation,0
22,23,61,Female,Unemployed,6,No,1,No,Less than High School,Probation,1
23,24,67,Male,Unemployed,5,Yes,0,Yes,Bachelor's,Probation,1
24,25,58,Female,Employed,8,No,0,Yes,Bachelor's,Probation,0
25,26,33,Female,Employed,6,No,1,Yes,High School,Parole,0
26,27,33,Female,Employed,7,No,1,Yes,Less than High School,Probation,0
27,28,70,Female,Unemployed,10,No,1,No,Less than High School,Jail,1
28,29,38,Female,Employed,6,No,1,No,Less than High School,Parole,1
29,30,51,Male,Unemployed,4,No,1,No,Associate's,Parole,1
30,31,41,Male,Unemployed,1,Yes,1,Yes,Bachelor's,Probation,1
31,32,52,Male,Unemployed,3,No,0,Yes,High School,Parole,0
32,33,20,Female,Employed,8,No,1,Yes,Less than High School,Parole,1
33,34,21,Male,Employed,2,No,0,No,High School,Parole,0
34,35,34,Male,Employed,5,Yes,0,Yes,Associate's,Jail,0
35,36,36,Female,Employed,5,No,1,No,High School,Jail,1
36,37,18,Female,Employed,5,Yes,0,Yes,Associate's,Jail,1
37,38,66,Male,Unemployed,3,Yes,0,Yes,Less than High School,Jail,1
38,39,34,Female,Unemployed,0,Yes,0,No,Bachelor's,Jail,1
39,40,64,Female,Unemployed,10,No,1,Yes,Bachelor's,Probation,0
40,41,37,Male,Employed,0,No,1,Yes,Associate's,Jail,0
41,42,48,Male,Unemployed,2,No,1,No,High School,Jail,1
42,43,51,Male,Employed,0,Yes,0,Yes,High School,Parole,0
43,44,56,Female,Employed,1,No,0,No,Less than High School,Parole,0
44,45,64,Male,Unemployed,6,Yes,0,Yes,High School,Jail,1
45,46,21,Male,Employed,4,No,1,No,High School,Parole,1
46,47,48,Male,Employed,1,No,0,No,High School,Parole,0
47,48,43,Female,Employed,3,Yes,0,Yes,Less than High School,Parole,0
48,49,37,Female,Employed,2,Yes,0,Yes,Less than High School,Parole,0
49,50,58,Male,Employed,1,No,0,No,Less than High School,Probation,0
50,51,25,Female,Unemployed,4,No,0,Yes,Less than High School,Parole,0
51,52,62,Male,Unemployed,4,No,0,Yes,High School,Parole,0
52,53,49,Male,Unemployed,9,Yes,0,No,Less than High School,Probation,1
53,54,32,Female,Unemployed,6,No,1,No,Less than High School,Parole,1
54,55,23,Female,Unemployed,10,No,0,No,Associate's,Parole,1
55,56,43,Male,Employed,1,No,0,No,High School,Parole,0
56,57,66,Male,Employed,10,No,1,No,Less than High School,Jail,1
57,58,63,Male,Employed,4,No,0,No,Less than High School,Parole,0
58,59,49,Female,Employed,10,No,1,No,Less than High School,Jail,1
59,60,27,Male,Employed,7,No,1,Yes,Less than High School,Parole,0
60,61,21,Female,Unemployed,0,No,1,No,High School,Probation,1
61,62,52,Male,Employed,2,No,0,Yes,High School,Parole,0
62,63,46,Male,Employed,3,No,1,No,High School,Jail,1
63,64,65,Male,Employed,5,No,1,No,Bachelor's,Parole,1
64,65,24,Male,Unemployed,0,Yes,0,No,High School,Probation,1
65,66,24,Male,Employed,1,Yes,0,Yes,Associate's,Jail,0
66,67,68,Female,Unemployed,3,Yes,0,Yes,High School,Jail,1
67,68,59,Male,Employed,7,Yes,1,No,Less than High School,Parole,1
68,69,48,Male,Unemployed,2,Yes,0,No,High School,Probation,1
69,70,28,Male,Employed,0,No,1,Yes,Bachelor's,Jail,0
70,71,21,Male,Unemployed,0,No,1,Yes,Bachelor's,Parole,0
71,72,24,Female,Unemployed,6,No,0,No,High School,Parole,1
72,73,36,Female,Employed,6,Yes,1,Yes,Associate's,Jail,0
73,74,67,Male,Unemployed,3,Yes,1,No,Bachelor's,Parole,1
74,75,39,Male,Employed,3,Yes,1,Yes,Less than High School,Probation,0
75,76,55,Female,Unemployed,7,Yes,1,Yes,Associate's,Jail,1
76,77,63,Male,Unemployed,10,No,0,Yes,Bachelor's,Parole,0
77,78,59,Female,Unemployed,0,No,0,Yes,Associate's,Parole,0
78,79,58,Female,Employed,0,No,0,Yes,Less than High School,Parole,0
79,80,55,Male,Unemployed,1,No,1,Yes,Bachelor's,Probation,0
80,81,49,Male,Unemployed,8,No,0,No,High School,Probation,0
81,82,53,Male,Employed,9,Yes,0,Yes,Bachelor's,Parole,0
82,83,56,Male,Unemployed,8,Yes,0,No,Bachelor's,Parole,1
83,84,64,Female,Employed,2,Yes,1,No,Associate's,Parole,1
84,85,59,Female,Unemployed,10,No,0,No,Bachelor's,Probation,0
85,86,59,Male,Unemployed,10,Yes,1,Yes,High School,Probation,1
86,87,41,Female,Employed,2,Yes,0,Yes,Bachelor's,Parole,0
87,88,46,Female,Unemployed,5,Yes,1,No,High School,Probation,1
88,89,40,Male,Unemployed,0,Yes,1,No,High School,Jail,1
89,90,20,Female,Unemployed,0,No,1,Yes,Less than High School,Parole,0
90,91,22,Male,Unemployed,10,Yes,1,Yes,Less than High School,Probation,1
91,92,19,Female,Unemployed,2,Yes,0,Yes,Less than High School,Parole,1
92,93,52,Female,Employed,5,No,1,Yes,Associate's,Jail,0
93,94,26,Female,Unemployed,1,Yes,0,No,Less than High School,Probation,1
94,95,22,Male,Employed,7,No,0,Yes,High School,Probation,1
95,96,65,Female,Unemployed,8,Yes,1,No,Less than High School,Jail,1
96,97,53,Female,Unemployed,8,Yes,0,Yes,High School,Parole,1
97,98,20,Male,Unemployed,4,No,0,Yes,Less than High School,Jail,1
98,99,62,Female,Employed,4,Yes,1,Yes,Bachelor's,Parole,0
99,100,46,Female,Unemployed,6,No,1,Yes,Bachelor's,Jail,0
100,101,27,Male,Employed,8,No,1,No,Less than High School,Jail,1
101,102,26,Male,Employed,8,Yes,1,No,Less than High School,Jail,1
102,103,67,Female,Unemployed,9,Yes,1,No,Bachelor's,Jail,1
103,104,20,Male,Employed,4,No,0,No,High School,Parole,1
104,105,22,Male,Unemployed,10,Yes,0,No,Bachelor's,Probation,1
105,106,64,Female,Unemployed,0,Yes,0,Yes,Bachelor's,Parole,1
106,107,29,Male,Employed,4,No,1,Yes,Associate's,Jail,0
107,108,46,Male,Unemployed,9,Yes,1,No,Less than High School,Jail,1
108,109,46,Female,Unemployed,9,Yes,1,No,Bachelor's,Parole,1
109,110,18,Female,Employed,9,Yes,0,No,Bachelor's,Jail,1
110,111,26,Male,Unemployed,3,Yes,0,Yes,Bachelor's,Jail,1
111,112,58,Female,Unemployed,8,Yes,1,No,Associate's,Jail,1
112,113,63,Male,Employed,4,No,0,Yes,Less than High School,Parole,0
113,114,56,Male,Employed,7,No,1,Yes,Associate's,Parole,0
114,115,20,Female,Unemployed,5,No,0,No,High School,Parole,1
115,116,47,Male,Unemployed,2,Yes,1,No,Associate's,Probation,1
116,117,62,Female,Unemployed,2,No,0,No,Bachelor's,Jail,0
117,118,53,Male,Employed,6,No,0,Yes,Less than High School,Jail,0
118,119,41,Female,Employed,10,Yes,1,No,High School,Jail,1
119,120,64,Male,Unemployed,1,No,0,No,Associate's,Parole,0
120,121,18,Male,Employed,9,No,0,No,High School,Parole,1
121,122,42,Female,Unemployed,6,Yes,1,No,High School,Parole,1
122,123,32,Male,Employed,0,No,1,No,High School,Jail,1
123,124,58,Male,Employed,0,Yes,1,Yes,Bachelor's,Parole,0
124,125,70,Male,Employed,3,Yes,0,Yes,Bachelor's,Parole,0
125,126,37,Male,Unemployed,9,No,0,No,Less than High School,Probation,0
126,127,27,Male,Employed,10,Yes,1,No,Associate's,Jail,1
127,128,28,Female,Unemployed,7,No,1,No,Associate's,Probation,1
128,129,45,Female,Unemployed,4,Yes,1,Yes,Associate's,Probation,1
129,130,32,Male,Unemployed,4,No,0,Yes,Less than High School,Probation,0
130,131,67,Female,Employed,4,No,1,Yes,Associate's,Jail,0
131,132,52,Male,Employed,3,Yes,0,Yes,Associate's,Jail,0
132,133,67,Male,Employed,2,No,1,No,Associate's,Parole,1
133,134,68,Male,Unemployed,10,No,1,No,Bachelor's,Parole,1
134,135,36,Male,Employed,4,No,1,Yes,Bachelor's,Probation,0
135,136,28,Female,Employed,8,Yes,0,Yes,Less than High School,Probation,0
136,137,53,Male,Unemployed,5,No,0,No,High School,Parole,0
137,138,49,Female,Unemployed,0,Yes,0,No,Bachelor's,Parole,1
138,139,32,Male,Unemployed,9,Yes,0,No,Associate's,Jail,1
139,140,52,Female,Employed,2,No,1,No,Associate's,Jail,1
140,141,70,Male,Employed,7,No,0,No,Less than High School,Parole,0
141,142,68,Female,Employed,8,No,1,Yes,High School,Probation,0
142,143,21,Male,Unemployed,4,No,0,No,Bachelor's,Probation,1
143,144,49,Male,Employed,10,Yes,0,No,High School,Probation,0
144,145,55,Male,Unemployed,0,Yes,0,Yes,Associate's,Parole,1
145,146,65,Female,Unemployed,0,No,0,No,Associate's,Probation,0
146,147,27,Male,Employed,2,Yes,0,No,High School,Jail,0
147,148,60,Female,Unemployed,1,No,1,Yes,Less than High School,Parole,0
148,149,66,Female,Employed,0,No,0,Yes,Bachelor's,Probation,0
149,150,46,Male,Unemployed,4,No,1,No,Associate's,Parole,1
150,151,70,Female,Unemployed,2,Yes,0,No,Associate's,Parole,1
151,152,70,Female,Employed,5,Yes,0,No,Less than High School,Probation,0
152,153,19,Male,Employed,3,No,1,No,High School,Jail,1
153,154,25,Female,Unemployed,9,Yes,1,Yes,Associate's,Parole,1
154,155,27,Female,Unemployed,8,No,1,Yes,Less than High School,Probation,0
155,156,55,Male,Employed,2,No,0,No,Less than High School,Parole,0
156,157,32,Male,Unemployed,6,No,1,No,Less than High School,Probation,1
157,158,19,Male,Employed,4,Yes,0,Yes,High School,Jail,1
158,159,38,Male,Unemployed,5,No,1,Yes,Bachelor's,Probation,0
159,160,54,Female,Unemployed,0,Yes,0,No,Bachelor's,Jail,1
160,161,61,Female,Unemployed,3,Yes,1,No,Associate's,Parole,1
161,162,36,Female,Unemployed,6,No,1,No,Bachelor's,Probation,1
162,163,19,Female,Unemployed,4,No,1,No,Bachelor's,Parole,1
163,164,66,Male,Unemployed,0,No,0,No,Associate's,Probation,0
164,165,36,Male,Employed,5,Yes,1,Yes,Less than High School,Jail,0
165,166,19,Female,Employed,8,No,0,No,Bachelor's,Parole,1
166,167,36,Female,Employed,5,Yes,1,No,Bachelor's,Jail,1
167,168,55,Female,Unemployed,8,No,1,Yes,Associate's,Jail,0
168,169,46,Female,Unemployed,1,Yes,0,No,High School,Jail,1
169,170,39,Female,Unemployed,10,Yes,1,No,Associate's,Jail,1
170,171,29,Male,Unemployed,4,Yes,1,No,Less than High School,Probation,1
171,172,40,Male,Unemployed,3,No,0,Yes,Associate's,Probation,0
172,173,53,Male,Employed,0,No,0,No,Associate's,Parole,0
173,174,30,Male,Unemployed,0,Yes,1,No,High School,Jail,1
174,175,28,Female,Employed,2,No,1,No,Less than High School,Probation,1
175,176,19,Female,Unemployed,6,No,0,No,Associate's,Jail,1
176,177,37,Male,Employed,0,Yes,1,No,Associate's,Probation,1
177,178,39,Male,Employed,0,Yes,0,No,Less than High School,Parole,0
178,179,62,Male,Unemployed,9,Yes,1,No,Less than High School,Jail,1
179,180,35,Male,Employed,0,No,1,No,Associate's,Jail,1
180,181,34,Male,Employed,6,Yes,1,No,Associate's,Jail,1
181,182,62,Male,Unemployed,3,Yes,0,No,Associate's,Parole,1
182,183,42,Female,Unemployed,2,Yes,1,No,Less than High School,Parole,1
183,184,46,Male,Unemployed,9,Yes,0,No,Less than High School,Parole,1
184,185,52,Male,Employed,0,No,0,No,Associate's,Parole,0
185,186,64,Female,Unemployed,6,Yes,0,No,Bachelor's,Probation,1
186,187,18,Male,Employed,4,Yes,0,Yes,Bachelor's,Parole,1
187,188,23,Female,Employed,8,No,1,Yes,High School,Jail,1
188,189,29,Female,Employed,1,No,0,No,Associate's,Parole,0
189,190,67,Male,Unemployed,6,Yes,1,No,Associate's,Probation,1
190,191,34,Female,Employed,0,No,1,No,Associate's,Jail,1
191,192,49,Male,Employed,6,Yes,0,Yes,High School,Parole,0
192,193,20,Female,Employed,1,No,0,Yes,Associate's,Parole,0
193,194,60,Female,Unemployed,6,Yes,1,Yes,Less than High School,Jail,1
194,195,19,Male,Unemployed,10,Yes,1,No,Associate's,Jail,1
195,196,29,Female,Employed,7,No,1,No,Associate's,Jail,1
196,197,23,Male,Unemployed,7,No,1,Yes,High School,Jail,1
197,198,46,Female,Employed,0,No,1,Yes,Bachelor's,Jail,0
198,199,32,Female,Employed,7,Yes,1,No,High School,Jail,1
199,200,32,Male,Unemployed,9,No,1,No,Associate's,Jail,1
200,201,66,Female,Unemployed,3,No,1,No,Bachelor's,Probation,1
201,202,23,Female,Employed,4,No,1,No,High School,Parole,1
202,203,64,Male,Employed,7,Yes,0,No,High School,Parole,0
203,204,50,Male,Employed,8,Yes,0,Yes,Associate's,Jail,0
204,205,70,Female,Unemployed,8,Yes,1,No,Less than High School,Jail,1
205,206,58,Male,Unemployed,6,No,0,Yes,Bachelor's,Jail,0
206,207,53,Male,Employed,0,Yes,0,Yes,High School,Parole,0
207,208,69,Female,Unemployed,5,Yes,1,No,High School,Jail,1
208,209,29,Male,Employed,7,Yes,0,No,High School,Jail,0
209,210,38,Female,Unemployed,2,No,1,No,Bachelor's,Jail,1
210,211,65,Female,Employed,7,Yes,1,Yes,Less than High School,Probation,0
211,212,70,Female,Unemployed,6,No,1,No,High School,Parole,1
212,213,51,Male,Unemployed,9,Yes,0,No,High School,Probation,1
213,214,52,Male,Unemployed,0,No,0,No,Bachelor's,Probation,0
214,215,22,Male,Employed,1,Yes,1,No,Less than High School,Parole,1
215,216,58,Male,Employed,1,No,1,No,Associate's,Parole,1
216,217,22,Female,Unemployed,4,No,1,No,Less than High School,Probation,1
217,218,21,Female,Unemployed,7,Yes,0,No,Associate's,Jail,1
218,219,41,Male,Unemployed,7,No,0,No,Bachelor's,Parole,0
219,220,24,Male,Employed,6,No,0,No,High School,Probation,1
220,221,37,Male,Unemployed,1,Yes,0,Yes,High School,Probation,1
221,222,32,Female,Unemployed,3,Yes,1,Yes,Less than High School,Jail,1
222,223,25,Male,Employed,5,No,0,No,Associate's,Probation,0
223,224,46,Male,Unemployed,6,Yes,1,Yes,Less than High School,Probation,1
224,225,44,Male,Unemployed,5,No,0,No,Less than High School,Probation,0
225,226,18,Male,Employed,7,Yes,0,No,Associate's,Jail,1
226,227,46,Male,Unemployed,10,No,0,No,Bachelor's,Probation,0
227,228,67,Female,Employed,4,Yes,0,No,Bachelor's,Parole,0
228,229,18,Female,Unemployed,5,Yes,1,No,Less than High School,Jail,1
229,230,26,Female,Unemployed,9,Yes,1,Yes,High School,Probation,1
230,231,47,Male,Unemployed,2,No,1,No,Associate's,Parole,1
231,232,41,Female,Employed,0,No,1,No,Associate's,Parole,1
232,233,26,Female,Unemployed,10,Yes,1,Yes,Bachelor's,Parole,1
233,234,37,Male,Employed,4,Yes,0,Yes,Bachelor's,Probation,0
234,235,43,Male,Employed,10,No,1,No,High School,Parole,1
235,236,35,Male,Employed,2,No,1,Yes,High School,Jail,0
236,237,63,Male,Employed,0,No,0,No,Associate's,Probation,0
237,238,45,Male,Employed,9,Yes,0,Yes,Bachelor's,Jail,0
238,239,23,Male,Employed,4,Yes,0,No,Bachelor's,Probation,1
239,240,26,Male,Unemployed,5,No,0,Yes,Less than High School,Probation,0
240,241,42,Female,Employed,0,No,0,No,Less than High School,Jail,0
241,242,28,Female,Employed,4,Yes,0,No,Less than High School,Parole,0
242,243,24,Male,Employed,4,Yes,0,Yes,High School,Parole,1
243,244,49,Male,Unemployed,5,No,0,No,Less than High School,Probation,0
244,245,55,Female,Unemployed,10,No,0,No,Bachelor's,Jail,0
245,246,69,Male,Employed,8,Yes,1,No,Associate's,Parole,1
246,247,68,Female,Employed,4,No,0,Yes,Bachelor's,Parole,0
247,248,19,Male,Unemployed,7,No,1,No,High School,Parole,1
248,249,30,Male,Employed,2,Yes,0,Yes,Associate's,Jail,0
249,250,21,Male,Unemployed,10,Yes,0,Yes,Bachelor's,Parole,1
250,251,65,Female,Employed,0,No,1,No,Less than High School,Parole,1
251,252,23,Male,Unemployed,3,No,1,Yes,Bachelor's,Probation,1
252,253,47,Male,Unemployed,0,Yes,1,Yes,High School,Probation,1
253,254,27,Male,Unemployed,4,No,1,No,High School,Parole,1
254,255,32,Female,Employed,4,Yes,0,No,Associate's,Probation,0
255,256,55,Female,Unemployed,4,Yes,1,Yes,High School,Jail,1
256,257,34,Female,Employed,7,No,1,No,Associate's,Probation,1
257,258,64,Female,Unemployed,10,Yes,0,No,Bachelor's,Parole,1
258,259,23,Female,Unemployed,6,Yes,0,No,High School,Probation,1
259,260,32,Male,Unemployed,3,No,1,Yes,Associate's,Parole,0
260,261,38,Female,Unemployed,0,Yes,1,Yes,Associate's,Jail,1
261,262,21,Male,Employed,3,Yes,0,Yes,Less than High School,Jail,1
262,263,21,Male,Employed,8,No,0,Yes,Associate's,Probation,1
263,264,55,Male,Employed,10,Yes,0,No,High School,Jail,0
264,265,69,Female,Employed,0,No,0,No,Bachelor's,Parole,0
265,266,49,Male,Unemployed,2,Yes,1,No,Bachelor's,Parole,1
266,267,57,Male,Employed,6,Yes,1,Yes,Associate's,Probation,0
267,268,55,Male,Employed,2,No,0,No,Bachelor's,Parole,0
268,269,27,Female,Unemployed,0,No,1,Yes,Associate's,Probation,0
269,270,45,Female,Employed,0,Yes,0,No,Less than High School,Jail,0
270,271,40,Male,Unemployed,1,Yes,1,No,Associate's,Jail,1
271,272,28,Female,Unemployed,1,No,0,Yes,Associate's,Parole,0
272,273,34,Male,Unemployed,4,Yes,1,Yes,High School,Probation,1
273,274,51,Male,Employed,9,No,1,No,Bachelor's,Jail,1
274,275,28,Female,Employed,10,No,0,No,Associate's,Jail,0
275,276,60,Male,Employed,3,Yes,1,Yes,Associate's,Jail,0
276,277,57,Male,Unemployed,1,No,0,Yes,Less than High School,Jail,0
277,278,24,Female,Employed,8,No,0,Yes,Less than High School,Probation,1
278,279,28,Female,Unemployed,7,Yes,1,No,Bachelor's,Probation,1
279,280,19,Female,Unemployed,1,Yes,1,Yes,Bachelor's,Jail,1
280,281,18,Male,Unemployed,6,Yes,0,No,Bachelor's,Parole,1
281,282,30,Male,Employed,1,Yes,0,No,Associate's,Probation,0
282,283,64,Female,Unemployed,9,No,0,Yes,Associate's,Parole,0
283,284,70,Female,Employed,4,Yes,0,Yes,Less than High School,Jail,0
284,285,40,Female,Unemployed,7,No,1,Yes,High School,Jail,0
285,286,26,Female,Employed,8,Yes,1,Yes,High School,Parole,0
286,287,30,Female,Employed,2,No,0,No,Bachelor's,Parole,0
287,288,49,Female,Unemployed,9,No,1,Yes,Less than High School,Jail,0
288,289,63,Female,Unemployed,10,Yes,0,Yes,Bachelor's,Probation,1
289,290,33,Male,Employed,1,No,0,Yes,High School,Parole,0
290,291,52,Female,Unemployed,7,Yes,1,Yes,Less than High School,Parole,1
291,292,23,Female,Employed,7,No,1,No,Bachelor's,Jail,1
292,293,35,Male,Employed,3,No,1,No,High School,Probation,1
293,294,40,Female,Unemployed,4,Yes,0,Yes,Bachelor's,Jail,1
294,295,39,Male,Employed,1,Yes,0,No,Bachelor's,Probation,0
295,296,37,Male,Unemployed,0,No,0,No,Bachelor's,Parole,0
296,297,70,Female,Employed,9,Yes,1,No,Associate's,Jail,1
297,298,30,Female,Unemployed,7,No,0,No,High School,Jail,0
298,299,45,Male,Unemployed,2,No,0,Yes,High School,Probation,0
299,300,61,Female,Unemployed,1,Yes,1,Yes,Less than High School,Probation,1
300,301,33,Male,Unemployed,5,Yes,1,No,Associate's,Probation,1
301,302,51,Female,Employed,2,Yes,1,No,High School,Jail,1
302,303,57,Female,Employed,2,No,1,No,Less than High School,Jail,1
303,304,41,Male,Unemployed,5,Yes,0,Yes,High School,Parole,1
304,305,47,Male,Unemployed,6,No,1,No,Less than High School,Jail,1
305,306,25,Female,Unemployed,10,No,0,Yes,Bachelor's,Jail,0
306,307,36,Female,Employed,2,No,1,No,Less than High School,Jail,1
307,308,20,Female,Unemployed,8,Yes,0,No,High School,Jail,1
308,309,47,Male,Unemployed,7,Yes,1,Yes,High School,Parole,1
309,310,62,Female,Employed,6,No,0,Yes,Less than High School,Parole,0
310,311,54,Male,Employed,3,Yes,1,Yes,Associate's,Parole,0
311,312,52,Female,Employed,4,Yes,1,No,Associate's,Jail,1
312,313,69,Male,Employed,3,Yes,1,Yes,Less than High School,Jail,0
313,314,33,Male,Employed,7,Yes,1,No,Less than High School,Jail,1
314,315,47,Male,Unemployed,8,Yes,0,No,Bachelor's,Probation,1
315,316,21,Female,Unemployed,5,Yes,1,No,Bachelor's,Parole,1
316,317,66,Female,Unemployed,2,No,0,Yes,Associate's,Jail,0
317,318,27,Male,Employed,2,Yes,1,No,Associate's,Probation,1
318,319,56,Male,Employed,10,Yes,1,Yes,Less than High School,Probation,0
319,320,31,Female,Employed,4,Yes,1,No,Less than High School,Jail,1
320,321,61,Male,Unemployed,6,Yes,1,No,Less than High School,Probation,1
321,322,25,Male,Employed,9,Yes,0,Yes,Associate's,Parole,0
322,323,29,Male,Unemployed,10,No,1,Yes,Associate's,Jail,0
323,324,50,Male,Unemployed,4,No,1,Yes,Bachelor's,Probation,0
324,325,38,Female,Employed,5,No,0,Yes,Bachelor's,Parole,0
325,326,24,Male,Unemployed,10,No,1,Yes,Associate's,Probation,1
326,327,23,Female,Employed,5,Yes,1,Yes,Bachelor's,Parole,1
327,328,20,Male,Unemployed,10,Yes,1,No,Bachelor's,Probation,1
328,329,27,Female,Unemployed,7,Yes,0,Yes,Less than High School,Jail,1
329,330,18,Female,Employed,1,No,1,Yes,Bachelor's,Parole,0
330,331,32,Female,Employed,7,No,0,No,High School,Jail,0
331,332,26,Female,Employed,10,No,0,Yes,Associate's,Probation,0
332,333,58,Female,Employed,6,Yes,0,No,High School,Parole,0
333,334,18,Female,Employed,4,Yes,0,Yes,Associate's,Parole,1
334,335,56,Female,Employed,4,No,0,Yes,Bachelor's,Parole,0
335,336,18,Male,Employed,10,Yes,0,No,Associate's,Parole,1
336,337,40,Male,Employed,6,Yes,1,Yes,Bachelor's,Jail,0
337,338,60,Male,Unemployed,5,No,1,Yes,High School,Jail,0
338,339,64,Female,Employed,2,No,0,Yes,Bachelor's,Jail,0
339,340,30,Male,Employed,7,No,1,Yes,Associate's,Parole,0
340,341,41,Male,Unemployed,2,No,0,Yes,Bachelor's,Jail,0
341,342,25,Male,Unemployed,4,No,1,No,High School,Parole,1
342,343,21,Male,Employed,5,Yes,1,No,High School,Probation,1
343,344,53,Female,Employed,1,Yes,0,Yes,High School,Probation,0
344,345,42,Male,Employed,8,No,1,No,High School,Jail,1
345,346,19,Male,Unemployed,1,No,1,No,Bachelor's,Probation,1
346,347,28,Male,Employed,10,No,1,Yes,Associate's,Probation,0
347,348,49,Female,Employed,7,Yes,1,No,Less than High School,Probation,1
348,349,42,Female,Unemployed,6,Yes,1,No,Bachelor's,Probation,1
349,350,61,Male,Employed,4,Yes,0,No,Less than High School,Jail,0
350,351,31,Male,Employed,4,Yes,0,Yes,High School,Parole,0
351,352,41,Female,Employed,9,No,1,Yes,Less than High School,Parole,0
352,353,50,Female,Employed,1,No,0,Yes,Less than High School,Jail,0
353,354,43,Female,Employed,10,Yes,1,Yes,Associate's,Probation,0
354,355,45,Female,Unemployed,3,Yes,1,Yes,Associate's,Parole,1
355,356,64,Female,Employed,9,Yes,0,No,Bachelor's,Parole,0
356,357,48,Male,Unemployed,2,No,0,Yes,Bachelor's,Jail,0
357,358,38,Male,Unemployed,2,No,1,No,Bachelor's,Jail,1
358,359,63,Male,Employed,5,Yes,0,No,Associate's,Parole,0
359,360,47,Female,Employed,2,No,1,Yes,Less than High School,Probation,0
360,361,37,Male,Unemployed,9,No,1,No,High School,Jail,1
361,362,61,Female,Unemployed,10,No,1,Yes,Associate's,Probation,0
362,363,48,Female,Employed,4,Yes,0,No,High School,Parole,0
363,364,50,Male,Employed,7,No,1,Yes,Associate's,Probation,0
364,365,66,Female,Employed,0,Yes,0,Yes,High School,Probation,0
365,366,57,Female,Unemployed,1,Yes,0,No,Bachelor's,Probation,1
366,367,53,Female,Unemployed,8,No,1,Yes,Bachelor's,Jail,0
367,368,70,Female,Unemployed,1,Yes,0,No,High School,Jail,1
368,369,61,Male,Employed,6,No,1,No,High School,Probation,1
369,370,64,Male,Employed,9,Yes,0,No,Bachelor's,Probation,0
370,371,33,Male,Unemployed,0,Yes,1,Yes,High School,Parole,1
371,372,36,Male,Employed,7,No,1,Yes,Less than High School,Probation,0
372,373,35,Female,Unemployed,0,Yes,0,Yes,Less than High School,Jail,1
373,374,68,Male,Unemployed,3,No,1,Yes,High School,Parole,0
374,375,46,Male,Employed,0,No,0,No,High School,Jail,0
375,376,63,Male,Employed,1,No,0,No,Bachelor's,Probation,0
376,377,70,Male,Unemployed,7,No,1,No,High School,Jail,1
377,378,38,Female,Employed,2,No,0,Yes,Bachelor's,Jail,0
378,379,31,Male,Employed,9,No,1,Yes,Bachelor's,Jail,0
379,380,46,Female,Employed,3,No,1,No,High School,Jail,1
380,381,18,Male,Employed,1,Yes,1,No,Less than High School,Jail,1
381,382,39,Female,Unemployed,3,Yes,0,Yes,High School,Probation,1
382,383,65,Male,Employed,4,Yes,0,Yes,Associate's,Probation,0
383,384,67,Male,Unemployed,0,Yes,1,Yes,Associate's,Parole,1
384,385,19,Male,Employed,5,Yes,0,No,Associate's,Jail,1
385,386,70,Male,Employed,0,Yes,0,Yes,Bachelor's,Parole,0
