,age,gender,prior_convictions,sentence_length_months,education_level,employment_status,income_level,marital_status,geographic_area,crime_type,probation_violations,substance_abuse,mental_health_issues,parole_status,time_served,recidivism_score,community_support,family_stability,label
0,56,M,1,30,3,2,40,0,5,4,1,1,0,1,7,2,4,3,0
1,46,F,1,22,2,2,66,2,18,4,1,1,0,0,16,7,3,3,0
2,32,F,1,28,1,2,87,2,15,3,2,0,0,1,7,5,4,2,0
3,60,F,1,7,2,1,75,2,6,3,1,0,0,1,27,9,3,2,0
4,25,M,4,35,4,2,38,3,19,1,2,1,1,0,14,3,5,4,1
5,38,M,3,28,3,2,24,0,1,1,1,0,1,1,14,8,2,4,1
6,56,M,0,14,3,0,21,2,1,2,1,0,0,1,33,6,3,3,0
7,36,M,2,10,2,0,37,3,13,3,1,1,0,0,33,4,3,4,0
8,40,M,4,16,4,0,93,2,3,3,0,1,1,1,20,9,4,3,1
9,28,M,0,16,3,1,33,1,10,3,2,1,0,1,7,5,3,1,0
10,28,M,4,31,4,2,30,1,3,4,0,0,0,0,32,10,5,3,0
11,41,M,4,25,4,0,19,0,9,2,1,1,0,0,3,6,5,3,1
12,53,F,2,13,2,0,87,3,8,1,0,1,1,0,29,9,5,4,0
13,57,F,3,6,1,0,27,1,3,4,2,1,1,0,24,7,4,1,1
14,41,M,1,9,2,2,97,1,13,4,1,1,0,0,22,5,2,5,0
15,20,M,3,20,1,2,23,3,6,4,0,1,0,1,6,2,4,5,1
16,39,F,2,18,4,2,43,2,13,4,0,0,0,1,24,4,5,5,0
17,19,M,2,21,1,1,67,3,12,2,2,1,0,0,23,2,4,1,0
18,41,M,2,4,4,1,85,2,13,3,0,1,0,0,10,3,5,2,0
19,61,M,0,33,3,0,31,1,2,1,2,0,0,1,16,10,1,1,1
20,47,F,3,27,3,2,79,1,16,1,1,1,1,0,11,3,1,4,1
21,55,F,3,7,3,0,45,1,6,4,1,1,1,0,32,4,3,3,1
22,19,F,4,6,2,2,54,0,19,4,0,0,0,1,6,6,2,3,0
23,38,F,4,15,2,2,45,0,13,2,1,1,1,1,24,3,1,4,1
24,50,F,4,18,4,2,31,0,17,4,1,0,0,1,33,10,5,4,0
25,29,M,2,32,3,1,87,3,9,1,0,1,0,0,12,1,4,3,0
26,39,F,3,11,2,1,89,1,17,1,1,0,1,1,27,1,4,2,0
27,61,M,2,20,3,2,70,1,2,3,0,0,1,0,18,9,3,2,0
28,42,M,0,24,2,0,65,3,19,3,2,1,0,1,13,9,4,2,0
29,44,F,4,15,1,2,98,0,19,1,2,0,0,0,30,5,1,4,0
30,59,F,2,7,1,2,42,3,7,1,2,0,1,0,13,9,4,3,1
31,45,M,2,21,3,0,54,0,10,2,0,1,1,0,34,7,1,3,0
32,33,M,0,26,4,2,45,1,10,2,0,1,0,1,30,9,1,3,1
33,32,M,1,14,2,0,29,2,9,1,1,0,0,1,25,7,2,1,0
34,64,F,3,21,2,1,27,0,17,4,1,1,0,1,2,9,3,1,1
35,61,F,1,18,1,1,47,1,15,3,1,0,1,0,18,2,5,5,0
36,20,F,4,5,1,0,76,1,2,1,1,0,0,1,5,8,1,1,1
37,54,F,2,3,4,1,32,2,4,4,1,1,1,1,19,7,3,2,0
38,24,F,0,23,4,1,25,1,19,1,0,1,0,0,18,6,5,2,0
39,38,M,0,26,4,0,68,1,17,3,0,0,1,0,32,5,4,2,0
40,26,F,3,24,3,1,78,0,5,3,2,1,1,1,21,4,3,2,1
41,56,M,1,19,1,2,77,0,7,2,2,1,1,1,10,7,3,5,1
42,35,M,3,25,3,2,30,2,18,2,2,0,1,1,22,3,3,2,1
43,21,M,2,21,1,0,87,2,7,2,2,0,0,0,13,8,4,4,0
44,42,F,3,12,1,1,87,1,17,2,0,0,1,1,17,2,4,4,0
45,31,F,0,33,2,2,79,0,7,3,0,0,1,0,9,1,3,4,0
46,26,F,0,4,1,2,21,2,4,4,0,0,1,0,24,2,2,1,0
47,43,M,4,7,1,1,25,2,8,4,1,0,0,1,14,9,1,3,1
48,19,M,4,22,3,1,90,3,13,4,1,1,0,1,8,5,4,5,1
49,37,M,2,33,1,2,96,2,4,1,2,0,0,0,19,8,2,4,1
50,45,M,1,17,3,2,23,1,6,2,1,1,0,0,28,3,4,4,0
51,64,M,3,24,4,0,70,0,5,2,0,1,0,1,30,7,3,2,1
52,24,M,2,34,1,0,80,2,12,3,2,0,0,1,7,2,2,4,0
53,61,F,4,28,1,2,55,3,4,3,2,1,1,1,26,8,5,2,1
54,25,F,3,22,3,0,41,0,9,1,1,0,1,0,11,7,1,2,0
55,64,F,4,17,4,2,24,2,4,1,2,1,1,0,14,5,1,3,1
56,52,F,3,34,2,2,53,3,19,4,1,0,0,1,21,4,4,1,0
57,31,M,1,6,4,0,26,2,14,3,1,0,1,0,8,1,1,2,0
58,34,M,2,6,3,0,50,0,5,2,2,0,1,0,3,5,5,2,1
59,53,F,3,34,4,1,63,0,18,4,1,0,0,1,28,9,2,3,1
60,57,M,0,1,3,1,53,0,10,2,1,1,1,0,29,10,2,2,1
61,21,F,0,10,3,1,14,1,19,4,1,1,0,1,23,4,3,5,0
62,19,F,3,21,2,2,36,2,12,2,1,1,1,1,18,9,2,1,1
63,23,F,3,5,1,0,96,1,18,1,2,1,0,0,35,2,4,5,1
64,59,M,3,2,3,2,87,0,17,4,0,1,0,0,13,4,5,4,1
65,21,F,0,22,3,0,88,3,11,2,0,0,0,1,12,9,3,1,0
66,46,F,0,2,2,2,52,2,3,2,1,0,1,0,5,4,4,4,0
67,35,F,3,10,3,1,40,1,17,3,1,0,1,1,11,5,4,2,0
68,43,M,4,34,1,1,26,2,1,4,1,0,0,0,11,8,4,3,0
69,61,M,4,16,2,1,92,3,15,2,0,0,0,0,31,1,1,5,0
70,51,F,1,22,1,2,63,1,9,3,1,1,1,0,31,1,4,4,0
71,27,M,2,12,1,0,71,0,15,2,2,0,1,1,13,9,1,2,1
72,53,M,4,24,2,0,96,1,3,4,2,0,0,0,14,9,2,5,1
73,31,M,0,10,3,1,41,2,19,1,2,1,1,1,25,4,1,5,1
74,48,M,4,35,1,1,49,2,13,4,0,1,1,1,33,2,4,4,1
75,32,M,1,32,1,1,22,2,12,4,1,0,1,1,33,9,5,2,0
76,25,M,1,7,1,1,93,2,1,2,1,0,0,0,15,4,5,3,0
77,31,M,2,21,1,0,44,0,17,2,1,1,0,1,16,6,2,4,0
78,40,M,4,20,2,2,14,1,13,4,0,0,1,1,6,1,4,5,0
79,57,M,0,26,2,2,82,0,1,3,0,0,0,0,25,9,1,5,1
80,38,M,0,4,4,2,38,0,10,3,0,0,1,1,15,5,5,1,0
