,Age,Income,MonthlyDebtRepayment,YearsWithCurrentBank,LoanAmount,Education,EmploymentStatus,CreditHistory,LatePaymentHistory,CurrentBankRelationshipStatus,LoanPurpose,label
0,44.96714153011233,70990.33154879004,797.4465175076855,1.184384884245218,13092.051160280527,High School,Employed,Dissatisfied,3,More than 6 years,Purchase of Property,1
1,38.61735698828815,63869.50524369153,956.6443987853446,3.279229978440996,19750.37208848733,High School,Employed,Satisfied,3,1-3 years,Personal Loan,1
2,46.47688538100692,50894.45554880261,762.2740237000116,4.172788933156712,20144.134976355574,Some College,Employed,Satisfied,0,4-6 years,Purchase of Property,1
3,55.23029856408026,40295.94833441639,907.611541108288,8.775375314680382,23781.042766747247,High School,Employed,Moderately Satisfied,1,More than 6 years,Purchase of House,1
4,37.658466252766644,60473.34970420385,431.9155999138643,6.113106249067516,9065.13309375339,High School,Unemployed,Moderately Satisfied,1,More than 6 years,Personal Loan,1
5,37.6586304305082,55902.28078132625,1063.9881122118816,2.3290368618002173,24740.538190778643,Bachelor's Degree,Employed,Satisfied,1,More than 6 years,Purchase of House,1
6,55.79212815507391,63427.89830041598,1000.3616426086672,5.972072578835274,1000.0,Bachelor's Degree,Employed,Satisfied,1,1-3 years,Personal Loan,1
7,47.67434729152909,59527.57702522954,754.8734106795428,1.905392022123269,14960.923581089517,Bachelor's Degree,Employed,Satisfied,2,4-6 years,Purchase of Vehicle,1
8,35.30525614065048,65743.29072979002,1197.7737005297215,7.165382107774146,16093.809260387643,Some College,Employed,Dissatisfied,3,1-3 years,Purchase of Vehicle,1
9,45.42560043585965,41971.47182659148,1281.2710412879676,4.057750696364243,25066.614608569907,High School,Employed,Moderately Satisfied,3,4-6 years,Personal Loan,1
10,35.365823071875376,69760.91098451489,517.7320406893077,4.812727622521658,20181.04682141495,High School,Employed,Moderately Satisfied,0,More than 6 years,Purchase of Property,1
11,35.34270246429743,52963.994070386,771.1825664301357,7.65159329508438,8755.495569149707,Graduate Degree,Employed,Satisfied,2,1-3 years,Personal Loan,1
12,42.41962271566034,81128.91308937898,769.2572950638105,2.4256728628315,12120.054993463878,Some College,Employed,Satisfied,0,4-6 years,Start-up Business,1
13,20.86719755342202,39662.18272865648,718.0290696673405,2.2057636297740175,21589.440076379255,Bachelor's Degree,Unemployed,Moderately Satisfied,0,4-6 years,Purchase of Vehicle,0
14,22.750821674869673,76039.45704747873,1248.8424525795244,3.8328013473079903,19367.461265083548,High School,Employed,Moderately Satisfied,3,4-6 years,Purchase of Property,1
15,34.37712470759027,52968.66175193972,941.8521583681589,7.076757702038633,15367.007122914029,Some College,Employed,Satisfied,2,More than 6 years,Purchase of House,1
16,29.87168879665576,40228.72994578327,920.6455476068168,1.9613078490463152,16153.329683904165,High School,Employed,Moderately Satisfied,1,Less than 1 year,Purchase of Property,1
17,43.142473325952736,42741.71248918518,398.8412906779739,0.0,25569.34397727431,Some College,Employed,Satisfied,3,4-6 years,Personal Loan,1
18,30.91975924478789,45194.7903770852,1190.6254090627679,4.097682283182002,15858.459417046282,Graduate Degree,Employed,Satisfied,2,More than 6 years,Purchase of Vehicle,1
19,25.876962986647086,56362.48919602875,628.2224815439582,6.103481599821841,19295.270047767415,Graduate Degree,Employed,Satisfied,2,4-6 years,Purchase of Property,1
20,54.65648768921554,57842.5323205325,1017.9797890798985,7.400523499477659,37359.49270464434,Some College,Unemployed,Satisfied,3,Less than 1 year,Personal Loan,1
