,Credit Score,Debt-to-Income Ratio,Monthly Income,Monthly Expenses,Credit History Length,Number of Open Credit Accounts,Payment History (Late Payments),Number of Credit Inquiries,Age,Gender,Marital Status,Zip Code,Education Level,Occupation Type,label
0,800,0.28857575706881633,23911,13505,7,3,1,4,24,Male,Single,69199,High School Diploma,Blue-collar,1
1,809,0.8790853680624475,25319,12860,10,4,0,3,60,Female,Married,27628,Bachelor's Degree,White-collar,1
2,513,0.7228100871977612,33036,5836,8,7,0,1,33,Male,Single,22172,Master's Degree,Blue-collar,1
3,820,0.3708622954926062,18705,7248,6,7,1,4,18,Female,Married,51152,High School Diploma,White-collar,1
4,752,0.009000078459490912,10227,12972,9,8,1,3,22,Male,Single,54034,Bachelor's Degree,Blue-collar,1
5,576,0.846401032313251,49027,6875,4,1,2,3,41,Female,Married,38165,Master's Degree,White-collar,1
6,750,0.9938112387838142,10014,2181,2,7,0,1,22,Male,Single,41750,High School Diploma,Blue-collar,1
7,683,0.605465223240097,17012,15605,2,3,1,1,33,Female,Married,70880,Bachelor's Degree,White-collar,0
8,546,0.4583243608271216,18183,10725,10,8,2,2,43,Male,Single,25485,Master's Degree,Blue-collar,1
9,604,0.955491222656808,47554,11516,4,5,0,3,41,Female,Married,69358,High School Diploma,White-collar,1
10,825,0.8673646003772749,46994,6261,10,4,1,4,48,Male,Single,70491,Bachelor's Degree,Blue-collar,1
11,657,0.0027810119183168114,43907,14087,9,7,1,4,38,Female,Married,43744,Master's Degree,White-collar,1
12,583,0.5288158612377738,42403,6299,2,6,2,1,61,Male,Single,34485,High School Diploma,Blue-collar,1
13,563,0.0963804207675244,28238,17823,2,1,1,4,44,Female,Married,30026,Bachelor's Degree,White-collar,0
14,751,0.34632178593273555,26862,2905,1,8,0,4,49,Male,Single,75661,Master's Degree,Blue-collar,1
15,808,0.36870763160848397,46191,6904,6,1,0,2,46,Female,Married,17581,High School Diploma,White-collar,1
16,665,0.5882801973785,44662,2656,4,3,1,3,25,Male,Single,92435,Bachelor's Degree,Blue-collar,1
17,760,0.8503670410988402,45096,4056,3,1,2,2,44,Female,Married,24648,Master's Degree,White-collar,1
18,549,0.6610948272560223,34586,18935,5,3,1,3,63,Male,Single,23310,High School Diploma,Blue-collar,1
19,774,0.3497130780226607,16945,11283,4,2,0,3,33,Female,Married,79537,Bachelor's Degree,White-collar,1
20,500,0.500666479947265,37199,4151,10,7,0,1,53,Male,Single,39134,Master's Degree,Blue-collar,1
21,586,0.7059629463332444,36793,19214,5,5,2,1,18,Female,Married,65149,High School Diploma,White-collar,1
22,582,0.5572724795821923,14945,1597,1,5,2,2,47,Male,Single,39374,Bachelor's Degree,Blue-collar,1
23,839,0.3445383012488059,18045,16940,3,6,2,3,24,Female,Married,96954,Master's Degree,White-collar,1
24,671,0.87369285833387,42438,6621,8,4,1,4,51,Male,Single,43855,High School Diploma,Blue-collar,1
25,503,0.14645078350365281,15231,19478,6,8,2,1,49,Female,Married,75765,Bachelor's Degree,White-collar,0
26,825,0.925720955798716,30965,6574,5,2,2,1,39,Male,Single,27726,Master's Degree,Blue-collar,1
27,608,0.8934839662504596,27899,2234,7,5,1,1,50,Female,Married,30637,High School Diploma,White-collar,1
28,542,0.21184098196244971,30251,5935,8,3,0,3,29,Male,Single,93003,Bachelor's Degree,Blue-collar,1
29,663,0.7347974616111375,28463,12590,2,3,1,2,19,Female,Married,85387,Master's Degree,White-collar,0
