,CustomerID,Age,Gender,Income (USD),Loan Amount (USD),Credit Score,Employment Status,Debt-to-Income Ratio,Number of Credit Cards,Home Ownership,Previous Defaults,Credit Utilization,label
0,1,42,Male,101336,20026,631,Employed,0.06,0,Rented,1,0.79,0
1,2,35,Female,89521,15372,838,Unemployed,0.12,2,Own,1,0.02,0
2,3,55,Female,90442,38685,648,Self-Employed,0.17,2,Own,1,0.93,0
3,4,20,Female,100533,29678,317,Self-Employed,0.45,6,Rented,0,0.73,0
4,5,25,Female,115650,35287,413,Self-Employed,0.52,0,Rented,0,0.75,0
5,6,38,Female,124803,40268,802,Employed,0.41,3,Own,0,0.81,0
6,7,57,Male,95401,21533,389,Unemployed,0.25,0,Own,0,0.87,0
7,8,55,Female,40160,34763,757,Employed,0.36,9,Own,0,0.09,1
8,9,21,Male,109502,19151,430,Part-Time,0.51,7,Own,1,0.19,0
9,10,36,Male,75224,24586,406,Unemployed,0.41,2,Own,1,0.56,0
10,11,45,Male,62656,29344,479,Unemployed,0.14,2,Rented,1,0.78,0
11,12,54,Male,143445,30217,549,Employed,0.23,8,Rented,0,0.94,0
12,13,67,Male,144763,43844,442,Unemployed,0.21,0,Rented,1,0.76,0
13,14,61,Male,87379,21158,317,Employed,0.29,9,Rented,0,0.17,0
14,15,26,Male,79487,10625,373,Self-Employed,0.28,10,Rented,0,0.58,0
15,16,32,Female,82102,17647,749,Part-Time,0.28,0,Rented,0,0.75,1
16,17,45,Male,92747,18879,416,Part-Time,0.27,1,Rented,0,0.89,0
17,18,27,Female,51875,7223,563,Employed,0.58,3,Own,0,0.89,0
18,19,32,Female,67153,30072,622,Unemployed,0.1,2,Own,1,0.91,0
19,20,36,Female,149243,46906,305,Employed,0.45,6,Rented,1,0.31,0
20,21,20,Female,66649,8120,495,Employed,0.58,1,Rented,0,0.67,0
21,22,67,Female,86440,31286,724,Employed,0.13,4,Rented,1,0.03,0
22,23,69,Female,63516,29133,798,Part-Time,0.04,7,Rented,0,0.42,1
23,24,34,Male,96414,18599,480,Part-Time,0.32,2,Rented,0,0.16,0
24,25,64,Female,117830,38234,336,Employed,0.19,6,Rented,1,0.08,0
25,26,66,Female,92459,17328,722,Unemployed,0.13,0,Rented,1,0.72,0
26,27,64,Female,118406,6688,401,Self-Employed,0.11,7,Own,0,0.6,0
27,28,30,Female,90251,12070,475,Unemployed,0.45,10,Rented,1,0.15,0
28,29,70,Male,126396,12969,752,Self-Employed,0.09,0,Own,1,0.42,0
29,30,29,Female,30195,27721,725,Part-Time,0.56,0,Rented,0,0.74,0
30,31,35,Female,67897,24379,510,Employed,0.31,5,Own,1,0.71,0
31,32,36,Male,53642,29106,540,Unemployed,0.01,7,Own,1,0.49,0
32,33,27,Male,127280,30159,331,Part-Time,0.14,0,Rented,0,0.14,0
33,34,48,Female,90878,21809,500,Self-Employed,0.44,3,Own,1,0.25,0
34,35,21,Male,47494,37732,478,Part-Time,0.28,7,Own,0,0.08,0
35,36,67,Male,92294,15053,422,Part-Time,0.54,7,Rented,0,0.54,0
36,37,51,Female,88977,9673,665,Employed,0.46,2,Own,0,0.54,0
37,38,69,Female,44871,20501,472,Unemployed,0.41,8,Rented,1,0.26,0
38,39,50,Male,97865,12708,454,Part-Time,0.48,8,Rented,1,0.12,0
39,40,66,Female,133032,11475,843,Part-Time,0.27,8,Own,0,0.67,1
40,41,52,Male,139221,26806,672,Part-Time,0.13,4,Own,1,0.93,0
41,42,53,Male,144940,40041,358,Unemployed,0.33,8,Own,0,0.65,0
42,43,19,Male,131375,16235,535,Employed,0.05,0,Rented,0,0.8,0
