,Age,Income,EmploymentDuration,DebtToIncomeRatio,CreditScore,NumOpenCreditLines,NumCreditInquiries,LoanAmount,LoanTerm,PaymentHistory,NumDependents,HasMortgage,HasCarLoan,OccupationType,EducationLevel,label
0,69,153503.6499611598,6,0.1541450431784871,839,12,3,300828.0577351057,326,0.9439959067106114,3,0,1,7,2,1
1,32,145792.2535689628,3,0.5537114853580112,490,2,4,370770.5753979887,308,0.04783881250703881,2,1,0,1,2,0
2,78,92459.0078474565,28,0.541704812410004,614,15,5,19439.09668391793,123,0.8501719452050476,5,1,0,4,4,1
3,38,59244.159348935566,13,0.76190181260487,412,8,0,272912.9161447459,241,0.9975825929459724,3,1,0,7,1,0
4,41,136109.7501984793,2,0.8336499619375856,469,13,3,31189.17946897887,107,0.8869421108828673,4,0,0,1,5,1
5,20,95906.70821959073,23,0.44044135031242404,767,12,10,352066.38888349343,179,0.8104365856156253,2,0,0,1,2,0
6,39,43809.71800255947,4,0.30233324935149375,313,20,9,32585.352921987313,167,0.37430599340632464,4,0,0,6,1,0
7,70,182103.01422254942,15,0.25933489731709447,587,6,4,456305.28492910817,116,0.2313141822622935,2,0,0,4,1,0
8,19,144419.9343697378,25,0.19462383670487193,488,14,6,352530.8706078258,204,0.7348505204996011,2,0,1,3,4,0
9,47,142973.09416018665,22,0.05764758219902488,454,6,4,256157.93371715277,341,0.3045753662885684,4,1,0,5,5,0
10,55,168065.0976641013,19,0.34244797883471334,770,5,0,223544.4420241816,143,0.17603968215497068,0,0,0,9,5,0
11,19,115339.10215791459,3,0.27024769213078326,374,1,10,69682.95205456487,149,0.7865258871035913,0,1,0,10,2,0
12,81,166709.7971124423,23,0.9664173858664074,576,8,6,149044.69783450823,342,0.3125436522367222,0,1,1,10,2,0
13,77,109656.33563198103,29,0.5577088262500439,642,16,7,435134.75698534364,281,0.9144417294873384,5,0,0,10,1,0
14,38,32091.571984827817,23,0.34727703903050755,724,4,6,452704.1417234345,49,0.8406326448191253,0,1,0,3,5,0
15,50,92944.65584498398,1,0.580467600993696,810,11,10,5370.115643412877,56,0.8476403295092552,2,0,1,5,5,1
16,75,109543.6809163803,29,0.1391967013456955,481,0,3,299097.5137813879,174,0.7715697260558262,1,0,0,10,2,0
17,39,149636.46469381324,17,0.4440437492022029,757,9,7,361053.80146743124,342,0.8808814237747367,4,1,1,5,3,0
18,66,39184.17142316139,18,0.6262343214210638,363,10,4,311279.7563165151,264,0.8057468921781201,1,0,1,9,1,0
19,76,45203.33695888082,30,0.4888978317924514,559,15,9,45431.48360884522,180,0.6025113635747287,5,0,0,10,5,0
20,59,67463.08447423096,27,0.40177880065432425,492,13,8,112773.8249054566,296,0.29582271858186315,1,1,1,4,4,0
21,77,67969.7108067588,27,0.9938483888996982,705,7,9,128918.43235378609,285,0.888209193214149,3,1,0,1,4,1
22,32,151793.22412263122,18,0.880314762148927,392,16,4,416703.69249601936,31,0.8406036227731919,0,1,0,10,3,0
23,79,65131.5189010876,16,0.6234059581594401,729,17,0,234283.72097291562,250,0.47287932221054507,5,1,1,5,2,0
24,79,133957.65140434058,30,0.5693773611822828,733,11,8,245979.96491091224,281,0.03907868600195519,2,1,1,1,2,0
25,64,108969.29302488886,13,0.620660479824584,703,16,4,467772.05804448173,321,0.6385437274019135,0,1,0,6,2,0
26,79,123192.98807229212,18,0.20131210782243325,733,13,5,320357.51498308417,42,0.05059685367658173,0,0,0,10,4,0
27,68,170859.25337209326,21,0.3951377432643186,411,15,3,449840.5122685686,325,0.9262799618484072,1,0,1,10,2,0
28,72,92788.67027882437,23,0.03945953289089932,674,13,5,230971.88339405882,115,0.961631256625307,3,0,0,7,4,1
29,81,158764.04787156868,12,0.47554603748682667,358,8,7,78970.94796655564,181,0.18949014589960422,0,1,0,1,3,0
30,20,95966.49071912373,11,0.5430245839576632,342,3,2,465318.1190666724,197,0.67638937805491,4,0,0,10,1,0
31,68,83696.8477810249,29,0.2277497361032096,506,10,4,232059.03225543143,139,0.09226900456276277,4,1,1,4,5,0
32,24,192552.8919163797,25,0.9640288471655137,595,5,1,94907.55383001683,221,0.7295169285731221,0,0,0,9,3,0
33,38,53186.76572221338,5,0.909454610937242,417,14,1,154685.8914504415,292,0.3472876661526746,1,1,0,1,4,0
34,56,36260.652903969414,20,0.7221432354559059,831,4,6,30147.281896026412,264,0.6810501117304453,1,0,0,9,3,0
35,35,158777.46659638613,30,0.5333866287653626,521,10,9,236808.79277091066,30,0.37287650920217785,2,1,1,8,5,0
36,21,32284.946963736485,3,0.869969159647685,465,17,9,427298.4450955671,211,0.14556750983323574,5,1,1,5,1,0
37,77,170674.2183265453,18,0.1306523438234629,455,12,10,467122.3257233112,231,0.40610998050255787,5,1,1,6,5,0
38,31,98694.81134430383,15,0.790509794274885,483,10,9,466638.09271430364,147,0.11267352663479002,5,1,0,7,4,0
39,26,184792.46191254453,12,0.1248208139668483,389,13,5,66988.86268622964,234,0.5768832749769458,3,0,1,4,5,0
