,Age,Gender,Occupation,Income,Fitness Club Member,Frequency of Visits,Duration of Visits,Class Type,Class Day,Class Time,Class Duration,Attitude towards Fitness,Motivation Levels,Past Attendance History,Weather,Location,Time of Day,label
0,39,Male,Engineer,35293.87777257393,True,3,1.2807689343135298,Spinning,Saturday,11 AM,1.3356038041910463,Positive,Low,Never Attends,Cloudy,Suburban,12 PM,1
1,32,Male,Student,89530.61451548256,False,1,1.5217772015640996,Yoga,Saturday,12 PM,0.9886040424839887,Positive,Medium,Rarely Attends,Snowy,Rural,10 AM,0
2,53,Female,Student,94887.53295687989,False,2,0.002609095420165186,Cardio,Thursday,3 PM,0.7249849081236038,Neutral,High,Regularly Attends,Cloudy,Beach,7 PM,0
3,43,Male,Teacher,44373.95637236131,False,5,1.5631312981317995,Strength Training,Thursday,6 AM,1.337715032801289,Positive,Low,Rarely Attends,Overcast,Rural,8 AM,0
4,63,Female,Other,88023.33670146369,True,5,0.6078006253721033,Pool,Thursday,3 PM,0.7273098120204644,Positive,Low,Sometimes Attends,Cloudy,Other,11 AM,1
5,29,Female,Teacher,71852.61378854944,True,3,1.0957096567910638,Spinning,Thursday,2 PM,1.3078020601068012,Mixed,Medium,Rarely Attends,Rainy,Rural,7 AM,1
6,21,Female,Teacher,29798.975567857793,False,2,1.683916641231434,Cardio,Saturday,6 AM,0.9237493199397976,Neutral,High,Regularly Attends,Cloudy,Suburban,5 PM,0
7,43,Male,Other,53481.414387298675,True,5,1.8161722899271158,Yoga,Monday,10 AM,1.182410193461187,Mixed,Medium,Regularly Attends,Cloudy,Rural,5 PM,1
8,36,Female,Engineer,50198.328409156195,False,3,1.3870900653987952,Yoga,Saturday,6 PM,1.0306821567361428,Neutral,High,Never Attends,Sunny,Downtown,1 PM,1
9,68,Female,Doctor,58872.9045088645,False,2,1.5392401414128236,Strength Training,Saturday,8 PM,0.9344030690281565,Neutral,Low,Sometimes Attends,Rainy,Rural,2 PM,0
10,65,Female,Doctor,89376.9276890607,False,4,1.7977271042797862,Strength Training,Friday,7 AM,1.1547882656816397,Positive,High,Rarely Attends,Sunny,Other,2 PM,1
11,67,Male,Other,33600.50045565325,False,1,1.5590613826750295,Cardio,Wednesday,5 PM,1.4911998643617523,Negative,High,Sometimes Attends,Sunny,Rural,1 PM,0
12,68,Male,Teacher,83142.65274501112,True,2,1.3502213204394535,Spinning,Wednesday,3 PM,0.7053900853943409,Neutral,Low,Regularly Attends,Cloudy,Downtown,9 AM,1
13,43,Female,Teacher,36756.99481568775,True,2,0.14609536375789167,Yoga,Wednesday,1 PM,0.8190388463106298,Negative,Medium,Regularly Attends,Cloudy,Beach,4 PM,1
14,59,Male,Teacher,37486.416812657015,True,1,1.7948794096611536,Spinning,Sunday,6 PM,0.9106702737103758,Negative,Medium,Never Attends,Snowy,Suburban,1 PM,1
15,69,Male,Engineer,24689.198518435944,False,2,0.10317810409475037,Spinning,Monday,11 AM,0.9995250447663608,Positive,Medium,Rarely Attends,Snowy,Downtown,10 AM,0
16,54,Female,Engineer,69845.58474666253,True,4,1.0123215837755262,Strength Training,Wednesday,12 PM,0.9716320345172255,Mixed,Low,Rarely Attends,Sunny,Rural,9 AM,1
17,51,Male,Other,90458.09285488563,True,5,1.6928218588788833,Pool,Tuesday,2 PM,0.7591357379130884,Mixed,Low,Sometimes Attends,Cloudy,Suburban,3 PM,1
18,21,Male,Other,24534.432015005248,False,5,1.6819907992558685,Spinning,Friday,8 AM,1.4631431893840157,Negative,Medium,Sometimes Attends,Snowy,Downtown,12 PM,1
