,age,gender,membership_length,membership_type,weekly_exercise_hours,class_attendance_history,diet_quality,stress_level,social_support,motivational_factors,label
0,6,Female,4,VIP,8,10,4,6,3,5,0
1,8,Female,9,Premium,2,7,8,8,9,2,0
2,6,Female,9,VIP,5,4,1,4,6,1,0
3,3,Female,9,Premium,4,4,4,8,1,2,0
4,10,Female,1,VIP,8,4,3,8,3,1,0
5,1,Female,6,Premium,7,9,5,2,5,10,1
6,9,Female,2,Basic,10,10,4,7,8,3,0
7,1,Female,6,Premium,5,5,7,5,5,4,0
8,5,Female,9,Premium,4,8,6,6,1,2,0
9,6,Female,4,Premium,6,1,2,3,5,3,0
10,1,Female,3,Premium,8,6,10,1,3,8,0
11,3,Male,3,VIP,4,3,4,5,2,3,0
12,10,Male,5,Premium,9,3,4,1,1,7,0
13,1,Female,4,VIP,9,9,9,3,4,3,0
14,1,Male,9,Premium,9,3,9,5,4,1,0
15,5,Male,7,VIP,9,1,9,6,10,1,0
16,10,Male,6,Premium,2,9,1,5,10,7,0
17,6,Male,9,Basic,10,3,9,7,7,10,0
18,2,Male,9,Basic,4,3,4,7,4,7,0
19,6,Female,1,Premium,5,7,6,9,3,4,0
20,10,Male,6,Premium,5,6,4,4,8,10,0
21,10,Female,8,Premium,3,4,10,8,8,6,0
22,2,Female,3,Premium,2,6,9,5,1,3,0
23,6,Female,1,Basic,2,2,1,4,9,9,0
24,5,Female,1,Premium,4,8,4,3,2,2,0
25,3,Male,5,Basic,6,6,6,3,6,8,0
26,8,Male,2,VIP,8,3,4,2,10,6,0
27,10,Male,3,Basic,10,2,10,1,7,1,0
28,5,Male,5,Premium,4,9,9,8,1,4,0
29,9,Female,8,VIP,9,5,8,1,5,10,0
30,1,Female,5,Basic,5,7,4,4,8,9,0
31,6,Male,9,Basic,5,8,5,2,4,4,0
32,10,Male,6,Premium,4,6,8,3,8,2,0
33,7,Male,1,VIP,4,2,10,10,7,7,0
34,8,Female,9,Basic,1,9,7,9,10,9,0
35,4,Female,2,VIP,5,10,3,1,9,3,0
36,8,Male,5,Premium,2,8,7,10,5,2,0
37,6,Female,8,Premium,4,6,8,4,7,7,0
38,8,Male,2,Premium,7,1,4,9,5,2,0
39,5,Male,1,Premium,2,5,5,5,1,1,0
40,9,Female,7,Premium,4,4,3,2,3,2,0
41,4,Female,2,VIP,1,8,9,5,4,6,0
42,7,Female,3,VIP,9,2,5,1,9,4,0
43,10,Female,6,VIP,8,9,7,5,8,4,0
44,6,Female,7,Premium,8,4,1,6,10,4,0
45,8,Female,6,VIP,1,9,4,7,10,4,0
46,3,Female,1,Premium,1,4,7,2,10,3,0
47,10,Female,10,VIP,4,3,5,10,8,5,0
48,10,Female,2,Premium,8,3,4,10,8,7,0
49,7,Female,4,VIP,1,9,1,8,7,6,0
50,10,Male,6,VIP,8,2,10,3,3,6,0
51,7,Male,3,Basic,2,1,10,1,3,9,0
52,4,Male,9,Basic,2,1,6,9,3,4,0
53,6,Male,9,Basic,5,7,4,7,3,7,0
54,6,Female,10,Premium,7,6,2,4,4,9,0
55,10,Male,6,VIP,1,10,8,6,2,6,0
