,MemberID,Age,Gender,MembershipDuration,AverageWeeklyVisits,PreferredClassType,AttendanceLastMonth,ClassDuration,MotivationLevel,ClassDay,label
0,1,54,Female,29,2,Dance,0,90,4,Wednesday,1
1,2,31,Male,37,1,Cycling,0,60,6,Sunday,1
2,3,56,Male,55,3,Cycling,4,90,4,Sunday,1
3,4,31,Male,8,4,Pilates,2,90,7,Wednesday,0
4,5,27,Male,15,2,HIIT,1,45,5,Wednesday,1
5,6,41,Female,34,6,Yoga,0,90,10,Saturday,1
6,7,21,Female,1,2,Kickboxing,0,60,1,Friday,0
7,8,43,Male,24,2,Kickboxing,0,45,9,Saturday,1
8,9,58,Male,59,2,Yoga,3,90,6,Thursday,1
9,10,54,Female,17,1,Dance,4,45,8,Friday,1
10,11,58,Male,51,3,Cycling,3,45,3,Tuesday,1
11,12,60,Female,13,3,Weightlifting,0,60,9,Saturday,1
12,13,29,Female,35,1,HIIT,0,45,1,Tuesday,1
13,14,48,Male,50,4,Yoga,4,60,7,Sunday,1
14,15,59,Male,43,4,HIIT,0,60,4,Thursday,1
15,16,18,Male,24,1,Weightlifting,3,60,6,Thursday,1
16,17,43,Male,34,5,Weightlifting,1,45,4,Thursday,1
17,18,60,Male,50,5,Yoga,0,60,6,Wednesday,1
18,19,31,Female,7,3,Cycling,2,60,1,Saturday,0
19,20,25,Male,56,6,Cycling,1,60,10,Monday,1
20,21,22,Female,37,7,Kickboxing,4,45,4,Saturday,1
21,22,43,Male,43,1,Kickboxing,1,30,9,Tuesday,1
22,23,36,Female,7,3,Zumba,1,90,2,Friday,0
23,24,30,Male,26,1,Yoga,5,30,6,Thursday,1
24,25,55,Male,57,6,Zumba,3,60,7,Thursday,1
25,26,39,Female,55,6,Dance,5,45,9,Tuesday,1
26,27,51,Male,27,3,Pilates,0,30,6,Tuesday,1
27,28,31,Male,18,4,Cycling,1,45,3,Thursday,1
28,29,36,Female,60,6,HIIT,4,30,7,Thursday,1
29,30,45,Female,51,5,Kickboxing,5,60,2,Sunday,1
30,31,47,Male,58,2,Kickboxing,2,45,6,Saturday,1
31,32,37,Female,36,3,HIIT,4,60,2,Tuesday,1
32,33,25,Male,21,3,Yoga,3,90,4,Monday,1
33,34,26,Female,51,7,Kickboxing,4,45,7,Sunday,1
34,35,53,Male,31,3,Kickboxing,2,60,4,Friday,1
35,36,31,Female,2,5,Yoga,2,30,4,Saturday,0
36,37,32,Female,24,1,Cycling,5,45,5,Monday,1
37,38,26,Male,53,4,Dance,5,60,5,Saturday,1
38,39,56,Male,20,1,HIIT,5,90,9,Friday,1
39,40,20,Female,55,2,Zumba,3,30,4,Tuesday,1
40,41,23,Female,34,1,Weightlifting,2,45,5,Thursday,1
41,42,38,Male,19,5,HIIT,0,45,6,Thursday,1
42,43,47,Female,16,5,HIIT,5,30,7,Wednesday,1
43,44,60,Female,51,2,Dance,2,30,5,Monday,1
44,45,48,Male,15,3,Weightlifting,2,90,4,Saturday,1
45,46,40,Female,41,5,Yoga,4,90,1,Monday,1
46,47,29,Female,25,5,Pilates,0,90,4,Saturday,1
47,48,46,Female,40,6,HIIT,1,90,3,Tuesday,1
48,49,35,Female,34,2,Kickboxing,4,45,4,Friday,1
49,50,38,Female,58,3,Yoga,1,30,5,Saturday,1
50,51,50,Male,40,4,Zumba,1,90,6,Saturday,1
51,52,32,Male,52,6,Dance,1,60,6,Wednesday,1
52,53,46,Female,29,5,HIIT,2,30,1,Saturday,1
53,54,22,Female,48,5,Kickboxing,2,90,6,Wednesday,1
54,55,57,Male,33,4,Zumba,0,90,4,Saturday,1
55,56,23,Female,46,6,Zumba,2,90,8,Monday,1
56,57,44,Female,10,2,Cycling,1,30,6,Wednesday,0
57,58,59,Female,15,1,HIIT,3,60,5,Tuesday,1
58,59,58,Male,6,7,HIIT,4,45,4,Wednesday,1
59,60,43,Male,56,1,Zumba,1,30,1,Thursday,1
60,61,20,Female,36,5,Weightlifting,2,30,8,Saturday,1
61,62,34,Female,33,5,Pilates,0,45,3,Friday,1
62,63,21,Female,43,2,Kickboxing,4,30,2,Monday,1
63,64,55,Female,15,5,Pilates,5,90,3,Wednesday,1
64,65,22,Male,42,5,Weightlifting,1,30,5,Wednesday,1
