,member_id,age,gender,membership_type,last_attendance,class_type,class_time,class_day,distance_to_gym,weather_forecast,previous_attendance_rate,has_been_reminded,class_capacity,current_enrollment,class_fullness_ratio,label
0,1001,56,Male,Premium,21,Zumba,Afternoon,Sunday,6.6,Stormy,97.3,1,21,0,0.0,1
1,1002,46,Female,Family,18,Strength Training,Evening,Sunday,3.2,Snowy,0.5,1,12,3,0.25,1
2,1003,32,Female,Premium,22,Strength Training,Evening,Sunday,3.3,Sunny,41.3,0,19,1,0.05,0
3,1004,60,Female,Premium,28,Strength Training,Afternoon,Sunday,9.0,Snowy,10.0,0,24,1,0.04,0
4,1005,25,Male,Premium,29,Strength Training,Morning,Sunday,0.6,Rainy,50.9,1,19,1,0.05,1
5,1006,38,Male,Premium,6,Zumba,Morning,Friday,3.6,Rainy,2.5,1,27,12,0.44,1
6,1007,56,Male,Basic,11,Yoga,Evening,Monday,5.8,Stormy,40.7,1,10,18,1.8,0
7,1008,36,Male,Basic,14,HIIT,Evening,Monday,1.9,Cloudy,22.1,1,12,14,1.17,0
8,1009,40,Male,Family,24,Strength Training,Afternoon,Thursday,1.4,Stormy,53.3,1,21,7,0.33,1
9,1010,28,Male,Basic,4,Yoga,Evening,Tuesday,8.2,Snowy,99.6,0,10,22,2.2,0
10,1011,28,Male,Basic,14,Yoga,Afternoon,Wednesday,9.0,Sunny,80.1,0,12,20,1.67,0
11,1012,41,Male,Family,7,Zumba,Evening,Friday,8.3,Stormy,84.6,1,12,9,0.75,0
12,1013,53,Female,Family,9,Yoga,Evening,Tuesday,9.0,Cloudy,63.5,1,14,2,0.14,1
13,1014,57,Female,Family,25,Zumba,Evening,Friday,5.8,Stormy,4.2,0,28,2,0.07,0
14,1015,41,Male,Basic,15,Strength Training,Morning,Monday,8.2,Rainy,20.7,1,10,3,0.3,1
15,1016,20,Male,Basic,7,Strength Training,Morning,Sunday,4.1,Snowy,92.5,0,13,0,0.0,0
16,1017,39,Female,Family,0,HIIT,Morning,Thursday,6.8,Snowy,36.6,0,13,25,1.92,0
17,1018,19,Male,Premium,11,HIIT,Evening,Thursday,9.9,Snowy,10.4,0,26,4,0.15,0
18,1019,41,Male,Family,4,HIIT,Afternoon,Saturday,2.6,Snowy,70.2,0,23,7,0.3,0
19,1020,61,Male,Premium,2,Yoga,Afternoon,Wednesday,4.2,Snowy,29.9,1,27,16,0.59,1
20,1021,47,Female,Premium,0,Strength Training,Afternoon,Thursday,5.1,Snowy,26.9,1,10,7,0.7,0
21,1022,55,Female,Family,3,Zumba,Afternoon,Sunday,1.8,Sunny,99.8,0,25,5,0.2,1
22,1023,19,Female,Family,7,HIIT,Morning,Monday,1.3,Cloudy,85.8,1,12,19,1.58,1
23,1024,38,Female,Family,2,Zumba,Morning,Wednesday,8.4,Snowy,40.8,1,18,3,0.17,1
24,1025,50,Female,Basic,9,Zumba,Evening,Tuesday,9.8,Cloudy,98.0,1,13,15,1.15,0
25,1026,29,Male,Premium,1,HIIT,Evening,Sunday,4.3,Snowy,65.0,1,14,23,1.64,0
26,1027,39,Female,Basic,10,Strength Training,Afternoon,Sunday,1.3,Stormy,74.2,0,20,1,0.05,1
27,1028,61,Male,Basic,24,HIIT,Morning,Thursday,1.1,Snowy,3.2,1,18,19,1.06,0
28,1029,42,Male,Family,9,Zumba,Afternoon,Wednesday,9.0,Rainy,12.2,0,12,14,1.17,0
29,1030,44,Female,Basic,20,HIIT,Evening,Monday,4.9,Sunny,63.3,0,15,1,0.07,0
30,1031,59,Female,Family,13,Zumba,Evening,Saturday,3.5,Stormy,89.9,1,20,0,0.0,1
31,1032,45,Male,Premium,6,Zumba,Afternoon,Friday,5.0,Stormy,62.4,0,18,9,0.5,0
32,1033,33,Male,Family,26,HIIT,Evening,Friday,3.5,Rainy,13.4,1,24,18,0.75,0
33,1034,32,Male,Basic,26,Yoga,Afternoon,Monday,5.1,Snowy,11.6,1,12,7,0.58,1
34,1035,64,Female,Basic,1,HIIT,Morning,Monday,8.7,Sunny,84.4,0,10,5,0.5,1
35,1036,61,Female,Family,8,Yoga,Afternoon,Friday,6.1,Stormy,13.9,1,29,11,0.38,1
36,1037,20,Female,Family,15,Zumba,Morning,Saturday,7.1,Sunny,52.0,0,28,6,0.21,0
37,1038,54,Female,Basic,12,Zumba,Morning,Wednesday,4.0,Stormy,3.7,0,23,1,0.04,0
38,1039,24,Female,Premium,8,Yoga,Evening,Friday,7.5,Snowy,8.1,1,26,5,0.19,1
39,1040,38,Male,Premium,19,Zumba,Evening,Monday,6.8,Stormy,67.2,1,23,7,0.3,1
40,1041,26,Female,Family,3,Yoga,Evening,Thursday,1.6,Stormy,68.9,1,26,3,0.12,1
41,1042,56,Male,Premium,21,Yoga,Afternoon,Tuesday,5.9,Cloudy,34.1,0,23,13,0.57,0
42,1043,35,Male,Basic,9,Zumba,Afternoon,Saturday,2.9,Snowy,21.6,1,21,4,0.19,1
43,1044,21,Male,Family,25,Strength Training,Evening,Sunday,8.1,Rainy,81.4,0,25,8,0.32,0
44,1045,42,Female,Basic,25,Yoga,Afternoon,Saturday,4.5,Rainy,21.7,0,10,7,0.7,0
45,1046,31,Female,Basic,21,HIIT,Evening,Thursday,9.9,Snowy,54.2,1,22,1,0.05,1
46,1047,26,Female,Premium,11,HIIT,Afternoon,Thursday,1.4,Rainy,96.8,1,15,3,0.2,1
47,1048,43,Male,Family,16,Zumba,Morning,Sunday,7.9,Snowy,14.8,1,26,15,0.58,1
48,1049,19,Male,Family,13,Strength Training,Morning,Monday,6.9,Rainy,94.1,0,21,6,0.29,0
49,1050,37,Male,Premium,13,Zumba,Evening,Friday,7.8,Cloudy,18.3,1,28,15,0.54,1
50,1051,45,Male,Basic,24,Strength Training,Afternoon,Wednesday,3.4,Rainy,56.7,0,15,6,0.4,0
51,1052,64,Male,Basic,1,Yoga,Afternoon,Saturday,5.2,Stormy,37.7,1,16,2,0.12,1
52,1053,24,Male,Basic,20,Yoga,Morning,Sunday,8.1,Snowy,96.5,1,10,13,1.3,0
53,1054,61,Female,Basic,24,Yoga,Morning,Saturday,2.7,Sunny,27.4,0,10,0,0.0,0
54,1055,25,Female,Family,19,Yoga,Evening,Thursday,2.6,Sunny,40.0,0,14,0,0.0,0
55,1056,64,Female,Family,10,HIIT,Morning,Friday,5.7,Snowy,98.3,1,15,11,0.73,0
56,1057,52,Female,Premium,15,HIIT,Evening,Saturday,5.5,Cloudy,53.6,1,25,14,0.56,1
57,1058,31,Male,Premium,18,Zumba,Morning,Wednesday,3.2,Rainy,50.3,1,25,3,0.12,1
58,1059,34,Male,Family,22,Strength Training,Morning,Thursday,3.3,Cloudy,25.8,1,23,6,0.26,1
59,1060,53,Female,Family,5,Yoga,Afternoon,Wednesday,3.1,Sunny,70.1,1,10,0,0.0,1
60,1061,57,Male,Basic,23,Yoga,Morning,Friday,7.8,Snowy,1.4,0,22,1,0.05,0
61,1062,21,Female,Basic,18,Strength Training,Morning,Saturday,6.7,Snowy,5.0,0,29,2,0.07,0
62,1063,19,Female,Premium,4,Strength Training,Evening,Tuesday,8.4,Cloudy,59.9,0,19,6,0.32,0
63,1064,23,Female,Family,25,Zumba,Morning,Saturday,9.8,Cloudy,34.2,0,19,7,0.37,0
64,1065,59,Male,Premium,3,Strength Training,Evening,Friday,5.0,Rainy,95.3,1,18,5,0.28,1
65,1066,21,Female,Family,14,Yoga,Morning,Saturday,1.1,Stormy,90.3,0,22,5,0.23,1
66,1067,46,Female,Basic,28,Yoga,Morning,Sunday,1.0,Stormy,71.4,0,12,15,1.25,1
67,1068,35,Female,Premium,3,Yoga,Evening,Saturday,3.3,Rainy,81.8,0,27,6,0.22,0
68,1069,43,Male,Premium,19,Yoga,Afternoon,Monday,9.4,Stormy,66.7,1,29,5,0.17,1
69,1070,61,Male,Family,9,Yoga,Evening,Saturday,5.5,Sunny,12.6,0,11,5,0.45,0
70,1071,51,Female,Basic,23,Zumba,Evening,Saturday,3.1,Stormy,76.6,1,26,9,0.35,1
71,1072,27,Male,Premium,21,Yoga,Evening,Wednesday,4.3,Rainy,21.0,0,28,10,0.36,0
72,1073,53,Male,Basic,2,Zumba,Afternoon,Tuesday,6.2,Stormy,32.3,1,22,12,0.55,1
73,1074,31,Male,Premium,25,Yoga,Morning,Wednesday,6.7,Snowy,81.9,0,22,5,0.23,0
74,1075,48,Male,Basic,4,HIIT,Evening,Wednesday,2.0,Cloudy,53.7,1,10,23,2.3,0
75,1076,32,Male,Family,5,HIIT,Evening,Thursday,9.8,Sunny,86.0,0,11,0,0.0,0
76,1077,25,Male,Premium,20,HIIT,Afternoon,Monday,5.7,Snowy,21.3,1,10,4,0.4,1
77,1078,31,Male,Premium,21,HIIT,Evening,Wednesday,1.8,Snowy,60.8,1,14,2,0.14,1
78,1079,40,Male,Basic,7,Zumba,Morning,Sunday,9.0,Rainy,8.4,0,12,11,0.92,0
79,1080,57,Male,Basic,6,Zumba,Afternoon,Friday,1.2,Cloudy,64.3,1,16,5,0.31,1
80,1081,38,Male,Premium,20,Strength Training,Morning,Sunday,9.1,Cloudy,76.3,1,22,1,0.05,1
81,1082,33,Female,Family,9,Yoga,Morning,Friday,10.0,Sunny,58.5,0,27,12,0.44,0
82,1083,62,Female,Basic,5,HIIT,Afternoon,Saturday,7.2,Rainy,26.6,0,16,6,0.38,0
83,1084,35,Male,Basic,13,Zumba,Evening,Thursday,7.8,Sunny,3.1,1,10,3,0.3,1
84,1085,64,Female,Basic,3,Yoga,Morning,Monday,3.7,Stormy,11.9,0,14,22,1.57,0
85,1086,41,Female,Premium,27,Yoga,Morning,Sunday,9.4,Snowy,62.2,0,26,12,0.46,0
86,1087,43,Male,Premium,24,Zumba,Morning,Monday,5.5,Sunny,93.4,0,17,4,0.24,0
87,1088,42,Male,Premium,12,HIIT,Morning,Sunday,7.5,Snowy,20.7,1,24,4,0.17,1
88,1089,62,Male,Premium,19,Strength Training,Afternoon,Saturday,9.3,Rainy,73.5,1,29,16,0.55,1
89,1090,58,Female,Family,16,Yoga,Afternoon,Friday,9.8,Stormy,86.6,1,13,8,0.62,0
90,1091,46,Female,Family,22,Strength Training,Morning,Tuesday,8.4,Rainy,52.1,1,11,3,0.27,1
91,1092,32,Male,Premium,6,HIIT,Evening,Thursday,3.4,Stormy,66.9,1,14,12,0.86,0
92,1093,62,Male,Family,3,HIIT,Morning,Sunday,9.7,Stormy,81.5,1,10,1,0.1,1
93,1094,18,Male,Basic,28,Strength Training,Evening,Sunday,6.5,Snowy,26.1,1,14,3,0.21,1
94,1095,42,Female,Basic,13,HIIT,Morning,Saturday,9.3,Rainy,29.7,0,15,5,0.33,0
95,1096,24,Female,Basic,2,Yoga,Evening,Thursday,6.9,Rainy,0.1,1,11,1,0.09,1
96,1097,26,Female,Premium,23,Strength Training,Morning,Friday,3.4,Sunny,96.3,1,10,1,0.1,1
97,1098,41,Female,Basic,4,HIIT,Evening,Friday,4.0,Rainy,91.8,0,13,3,0.23,0
98,1099,18,Male,Family,15,Strength Training,Morning,Sunday,5.7,Sunny,76.5,0,16,1,0.06,0
99,1100,61,Male,Premium,25,Yoga,Morning,Tuesday,8.0,Cloudy,7.9,0,10,4,0.4,0
100,1101,25,Male,Family,22,HIIT,Evening,Tuesday,3.5,Cloudy,44.8,1,10,2,0.2,1
101,1102,41,Male,Basic,19,Yoga,Afternoon,Monday,6.0,Cloudy,10.2,0,17,9,0.53,0
102,1103,28,Female,Basic,3,HIIT,Evening,Thursday,3.8,Rainy,1.6,1,29,1,0.03,1
103,1104,34,Female,Basic,23,Zumba,Afternoon,Thursday,8.2,Rainy,61.6,1,25,29,1.16,0
104,1105,25,Male,Premium,29,HIIT,Morning,Friday,4.9,Sunny,96.1,1,22,20,0.91,0
105,1106,52,Male,Family,23,Strength Training,Evening,Monday,1.2,Stormy,90.3,0,27,9,0.33,1
106,1107,52,Female,Premium,1,HIIT,Evening,Saturday,2.1,Sunny,69.7,0,29,4,0.14,1
107,1108,50,Male,Premium,29,Yoga,Evening,Thursday,1.1,Cloudy,9.7,1,19,0,0.0,1
108,1109,22,Female,Basic,17,Yoga,Afternoon,Monday,5.2,Sunny,27.4,1,21,0,0.0,1
109,1110,59,Male,Premium,18,HIIT,Afternoon,Monday,1.5,Stormy,32.0,1,10,5,0.5,1
110,1111,56,Male,Premium,27,Strength Training,Morning,Sunday,1.6,Rainy,76.3,0,19,12,0.63,1
111,1112,58,Male,Basic,27,Zumba,Afternoon,Friday,9.4,Sunny,80.2,1,18,0,0.0,1
112,1113,45,Male,Premium,18,Strength Training,Afternoon,Monday,8.8,Cloudy,38.5,0,12,8,0.67,0
113,1114,24,Male,Basic,16,Zumba,Morning,Tuesday,4.8,Cloudy,41.8,1,28,11,0.39,1
114,1115,26,Male,Basic,13,Yoga,Evening,Tuesday,9.9,Rainy,4.5,0,18,13,0.72,0
115,1116,25,Male,Basic,18,Strength Training,Evening,Wednesday,0.5,Sunny,28.9,1,19,13,0.68,0
116,1117,29,Female,Basic,21,Zumba,Morning,Friday,6.3,Stormy,45.1,0,28,2,0.07,0
117,1118,51,Female,Premium,23,HIIT,Evening,Sunday,6.4,Rainy,11.7,0,25,4,0.16,0
118,1119,50,Female,Basic,12,Yoga,Afternoon,Saturday,4.8,Sunny,45.3,0,27,2,0.07,0
119,1120,40,Female,Basic,11,HIIT,Morning,Wednesday,4.3,Snowy,85.3,0,23,13,0.57,0
120,1121,41,Female,Premium,29,Yoga,Morning,Tuesday,4.8,Cloudy,58.1,0,12,8,0.67,0
121,1122,54,Male,Premium,25,Strength Training,Morning,Sunday,4.4,Stormy,7.9,0,11,6,0.55,0
122,1123,52,Male,Family,5,Strength Training,Evening,Wednesday,7.4,Stormy,19.2,1,10,10,1.0,0
123,1124,61,Female,Premium,20,Yoga,Morning,Friday,1.8,Stormy,47.5,1,27,25,0.93,0
124,1125,57,Male,Premium,3,Yoga,Morning,Sunday,2.4,Cloudy,36.1,1,18,7,0.39,1
125,1126,39,Female,Family,18,Yoga,Morning,Friday,2.2,Sunny,35.9,1,22,1,0.05,1
126,1127,44,Female,Premium,15,Strength Training,Evening,Monday,3.0,Rainy,52.9,0,11,21,1.91,0
127,1128,52,Male,Premium,12,Zumba,Afternoon,Thursday,5.5,Sunny,58.4,1,16,27,1.69,0
128,1129,18,Male,Premium,3,HIIT,Morning,Monday,1.6,Rainy,79.7,0,25,13,0.52,1
129,1130,52,Male,Premium,29,HIIT,Afternoon,Friday,8.7,Stormy,34.1,0,28,2,0.07,0
130,1131,54,Female,Family,22,Strength Training,Evening,Sunday,3.3,Sunny,80.5,0,24,13,0.54,0
131,1132,64,Male,Premium,16,HIIT,Evening,Tuesday,2.0,Stormy,33.9,1,20,20,1.0,0
132,1133,31,Female,Premium,22,Yoga,Evening,Saturday,6.9,Snowy,5.5,0,10,7,0.7,0
133,1134,20,Female,Family,0,Zumba,Evening,Tuesday,0.9,Stormy,55.4,1,16,2,0.12,1
134,1135,18,Female,Basic,17,HIIT,Afternoon,Sunday,6.4,Stormy,58.8,1,29,11,0.38,1
135,1136,22,Male,Family,19,Zumba,Morning,Monday,7.1,Rainy,93.5,1,17,22,1.29,0
136,1137,43,Male,Basic,16,Yoga,Evening,Saturday,2.5,Snowy,72.6,1,19,17,0.89,0
137,1138,31,Female,Family,26,HIIT,Evening,Sunday,0.9,Stormy,91.8,1,14,2,0.14,1
138,1139,56,Male,Family,27,Strength Training,Afternoon,Friday,4.0,Stormy,90.8,0,18,12,0.67,0
139,1140,44,Male,Premium,26,Zumba,Afternoon,Tuesday,1.4,Snowy,60.5,0,10,11,1.1,0
140,1141,26,Male,Basic,14,Yoga,Evening,Friday,1.6,Snowy,52.8,1,11,14,1.27,0
141,1142,32,Female,Premium,10,Zumba,Morning,Saturday,2.9,Sunny,55.7,0,28,1,0.04,0
142,1143,32,Female,Basic,24,HIIT,Morning,Saturday,3.3,Rainy,97.8,1,23,4,0.17,1
143,1144,43,Male,Family,27,HIIT,Evening,Tuesday,5.5,Snowy,77.3,0,29,6,0.21,0
144,1145,59,Female,Family,21,Strength Training,Afternoon,Friday,6.9,Snowy,10.6,0,19,2,0.11,0
145,1146,30,Male,Basic,12,Yoga,Evening,Wednesday,6.1,Cloudy,77.8,0,18,25,1.39,0
146,1147,49,Male,Premium,0,Yoga,Evening,Friday,1.9,Snowy,17.1,0,19,10,0.53,0
147,1148,56,Male,Premium,16,Strength Training,Afternoon,Saturday,2.1,Rainy,44.7,0,15,14,0.93,0
148,1149,49,Male,Premium,5,Strength Training,Evening,Friday,8.8,Stormy,21.0,0,26,9,0.35,0
149,1150,21,Female,Premium,3,Yoga,Evening,Sunday,5.8,Stormy,69.0,0,15,14,0.93,0
150,1151,47,Female,Family,19,Zumba,Evening,Monday,8.8,Stormy,87.7,0,13,12,0.92,0
151,1152,54,Female,Family,15,Zumba,Afternoon,Wednesday,4.0,Stormy,29.0,0,29,0,0.0,0
152,1153,40,Male,Family,14,Strength Training,Morning,Thursday,6.3,Cloudy,8.2,0,12,12,1.0,0
153,1154,56,Male,Family,26,Zumba,Morning,Sunday,5.5,Snowy,29.8,0,28,1,0.04,0
154,1155,62,Male,Family,14,Yoga,Afternoon,Monday,3.5,Stormy,67.2,0,27,0,0.0,0
155,1156,32,Female,Premium,5,HIIT,Morning,Thursday,5.0,Sunny,32.9,0,13,0,0.0,0
156,1157,60,Male,Premium,14,HIIT,Evening,Tuesday,5.3,Stormy,27.8,1,17,0,0.0,1
157,1158,46,Female,Premium,13,Zumba,Morning,Thursday,2.4,Snowy,18.4,0,26,29,1.12,0
158,1159,53,Female,Premium,27,Strength Training,Evening,Sunday,3.5,Stormy,49.8,0,14,14,1.0,0
159,1160,30,Female,Family,10,Strength Training,Morning,Friday,8.0,Cloudy,27.6,0,22,3,0.14,0
160,1161,49,Female,Family,6,Strength Training,Afternoon,Sunday,9.2,Rainy,73.1,0,10,1,0.1,0
161,1162,24,Female,Family,8,Strength Training,Morning,Thursday,3.9,Rainy,7.7,0,22,7,0.32,0
162,1163,39,Female,Basic,25,Strength Training,Morning,Saturday,3.4,Snowy,66.4,0,13,5,0.38,0
163,1164,45,Male,Premium,15,Zumba,Morning,Monday,2.4,Rainy,23.8,1,23,5,0.22,1
164,1165,19,Male,Premium,4,HIIT,Afternoon,Monday,6.9,Rainy,48.9,1,12,8,0.67,0
165,1166,59,Female,Family,24,HIIT,Morning,Thursday,3.6,Sunny,28.6,1,14,14,1.0,0
166,1167,62,Female,Premium,19,Zumba,Afternoon,Monday,9.9,Snowy,72.3,0,16,3,0.19,0
167,1168,23,Male,Premium,28,Strength Training,Evening,Saturday,3.6,Snowy,94.5,0,10,3,0.3,0
168,1169,45,Female,Family,9,Zumba,Morning,Sunday,4.2,Rainy,91.7,0,21,7,0.33,0
169,1170,45,Female,Basic,17,HIIT,Afternoon,Monday,6.2,Rainy,58.3,1,20,3,0.15,1
170,1171,61,Male,Basic,2,Yoga,Afternoon,Thursday,8.1,Rainy,46.3,0,17,1,0.06,0
171,1172,61,Female,Basic,12,Zumba,Morning,Wednesday,5.0,Cloudy,81.8,0,15,11,0.73,0
172,1173,37,Female,Family,10,Strength Training,Evening,Wednesday,4.5,Stormy,68.3,1,11,6,0.55,1
173,1174,47,Female,Premium,16,HIIT,Afternoon,Tuesday,10.0,Cloudy,18.4,1,28,19,0.68,0
174,1175,28,Male,Family,29,HIIT,Morning,Monday,0.6,Snowy,82.1,0,29,8,0.28,1
175,1176,45,Male,Family,29,HIIT,Evening,Sunday,9.0,Sunny,42.9,0,29,8,0.28,0
176,1177,42,Male,Premium,21,HIIT,Afternoon,Thursday,1.9,Stormy,18.9,0,23,7,0.3,0
177,1178,56,Female,Basic,12,Strength Training,Afternoon,Monday,8.0,Sunny,28.2,0,10,13,1.3,0
178,1179,50,Female,Basic,5,Yoga,Evening,Friday,6.4,Snowy,26.8,1,19,0,0.0,1
179,1180,18,Male,Family,16,HIIT,Evening,Saturday,3.7,Snowy,51.9,0,25,6,0.24,0
180,1181,44,Female,Basic,26,Zumba,Morning,Monday,8.8,Sunny,23.4,0,13,20,1.54,0
181,1182,30,Female,Family,12,Yoga,Morning,Monday,0.6,Sunny,12.4,1,20,6,0.3,1
182,1183,58,Female,Family,18,HIIT,Afternoon,Wednesday,2.7,Sunny,12.4,0,25,11,0.44,0
183,1184,20,Female,Premium,20,Yoga,Evening,Saturday,5.9,Snowy,58.3,0,29,24,0.83,0
184,1185,56,Female,Premium,18,Zumba,Evening,Thursday,3.8,Rainy,73.5,1,10,1,0.1,1
185,1186,23,Male,Premium,9,HIIT,Evening,Monday,6.3,Sunny,32.2,1,25,0,0.0,1
186,1187,25,Female,Family,2,Zumba,Afternoon,Wednesday,0.7,Stormy,3.5,0,28,12,0.43,0
187,1188,44,Male,Premium,13,Strength Training,Evening,Tuesday,1.6,Snowy,12.7,1,18,13,0.72,0
188,1189,26,Female,Basic,25,HIIT,Evening,Saturday,1.7,Cloudy,91.5,1,18,2,0.11,1
189,1190,54,Male,Basic,18,HIIT,Afternoon,Wednesday,2.3,Cloudy,49.4,0,18,3,0.17,0
190,1191,50,Female,Family,4,HIIT,Morning,Wednesday,4.9,Stormy,45.4,1,26,3,0.12,1
191,1192,59,Male,Family,28,HIIT,Morning,Sunday,7.6,Rainy,3.8,0,21,1,0.05,0
192,1193,61,Female,Premium,4,Strength Training,Afternoon,Wednesday,9.1,Sunny,72.9,0,22,0,0.0,0
193,1194,41,Male,Family,19,HIIT,Evening,Sunday,8.4,Snowy,52.8,0,17,10,0.59,0
194,1195,32,Female,Family,16,Yoga,Afternoon,Monday,2.4,Sunny,20.2,0,25,13,0.52,0
195,1196,49,Male,Basic,20,HIIT,Morning,Monday,4.7,Snowy,11.0,1,27,13,0.48,1
196,1197,49,Female,Basic,9,Strength Training,Morning,Tuesday,2.4,Cloudy,38.3,0,10,12,1.2,0
