,Transaction Amount,Transaction Date,Transaction Time,Card Type,Card Holder's Age,Card Issuer,Card Location,Card Location Type,Card Location Category,Card Location City,Card Location State,Card Location Country,Card Location Latitude,Card Location Longitude,Card Location Zip Code,label
0,380.7947176588889,2022-12-21,evening,Visa,76,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
1,951.207163345817,2019-05-01,morning,Visa,62,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
2,734.6740023932911,2022-05-31,afternoon,MasterCard,36,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
3,602.6718993550662,2022-01-28,evening,MasterCard,28,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
4,164.45845403801215,2018-01-28,evening,Visa,30,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
5,164.43457513284062,2015-08-03,afternoon,Visa,70,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
6,67.50277604651747,2014-05-16,morning,MasterCard,25,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
7,867.5143843171858,2018-03-18,afternoon,Visa,57,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
8,605.1038616257767,2018-11-15,evening,Visa,21,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
9,710.9918520180851,2016-05-16,afternoon,Visa,64,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
10,30.378649352844423,2014-09-22,morning,Visa,48,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
11,970.2107536403744,2021-01-22,evening,Visa,45,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
12,834.1182143924175,2019-08-27,afternoon,Visa,28,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
13,220.2157195714934,2013-02-14,morning,MasterCard,60,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
14,190.00671753502962,2016-02-14,evening,Visa,18,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
15,191.5704647548995,2019-12-16,morning,Visa,66,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
16,311.1998205299424,2019-06-20,evening,MasterCard,64,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
17,529.5088673159155,2013-01-11,afternoon,MasterCard,69,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
18,437.62556845569463,2021-08-31,morning,MasterCard,55,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
19,298.3168487960615,2018-09-23,evening,Visa,41,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
20,615.7343657751557,2022-11-16,morning,MasterCard,71,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
21,148.09892204552142,2013-10-21,morning,Visa,77,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
22,299.22320204986596,2020-11-15,afternoon,Visa,74,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
23,372.6982248607548,2020-02-27,morning,Visa,64,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
24,461.50928437486556,2021-01-21,evening,MasterCard,48,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
25,787.3242017790834,2021-11-27,evening,MasterCard,58,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
26,207.67704433677613,2018-01-10,evening,MasterCard,63,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
27,519.0920940294754,2014-09-17,evening,MasterCard,67,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
28,596.4904231734221,2014-05-11,afternoon,MasterCard,43,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
29,55.98590859279775,2022-04-27,morning,Visa,66,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
30,611.4694033824239,2021-12-07,afternoon,Visa,67,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
31,178.8188824504186,2022-02-01,morning,Visa,22,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
