,User ID,Transaction Date,Transaction Amount,Transaction Type,Merchant Name,Merchant Location,Previous Transactions,Previous Successful Transactions,Flag Indicators,Time of Day,Day of Week,Week of Year,label
0,1,2023-01-01,7689,Purchase,Target,Unknown,6,4,None,0,6,52,1
1,2,2023-01-01,4852,Transfer,Amazon,"Los Angeles, CA",0,3,Flagged for high-dollar fraud,0,6,52,1
2,3,2023-01-01,5595,Purchase,Amazon,Unknown,7,3,None,0,6,52,1
3,4,2023-01-01,3418,Transfer,Unknown,Unknown,9,4,Flagged for high-dollar fraud,0,6,52,1
4,5,2023-01-01,8276,Transfer,Apple Inc.,"New York, NY",7,0,None,0,6,52,1
5,6,2023-01-01,2956,Purchase,Target,"Chicago, IL",1,0,Flagged for high-dollar fraud,0,6,52,1
6,7,2023-01-01,3848,Transfer,Target,"New York, NY",1,4,None,0,6,52,0
7,8,2023-01-01,5536,Transfer,Apple Inc.,"Chicago, IL",6,0,Flagged for high-dollar fraud,0,6,52,1
8,9,2023-01-01,9382,Transfer,Unknown,"Los Angeles, CA",0,3,Flagged for suspicious behavior,0,6,52,1
9,10,2023-01-01,1676,Purchase,Apple Inc.,"Chicago, IL",4,1,None,0,6,52,0
10,11,2023-01-01,6016,Bill Payment,Unknown,"Los Angeles, CA",0,4,Flagged for high-dollar fraud,0,6,52,1
11,12,2023-01-01,3161,Bill Payment,Unknown,"Los Angeles, CA",1,1,Flagged for suspicious behavior,0,6,52,1
12,13,2023-01-01,1275,Bill Payment,Amazon,"New York, NY",8,0,Flagged for high-dollar fraud,0,6,52,1
13,14,2023-01-01,9017,Purchase,Amazon,"Los Angeles, CA",5,0,Flagged for high-dollar fraud,0,6,52,1
14,15,2023-01-01,1471,Purchase,Apple Inc.,Unknown,9,2,Flagged for high-dollar fraud,0,6,52,1
15,16,2023-01-01,81,Transfer,Amazon,Unknown,6,0,None,0,6,52,0
16,17,2023-01-01,5278,Purchase,Apple Inc.,"New York, NY",9,4,Flagged for suspicious behavior,0,6,52,1
