,Transaction_ID,Amount,Transaction_Type,Location,Time,Device_Type,Account_Age (days),Velocity (transactions/hour),Is_International,label
0,1,4414.3,Debit,Miami,2026-01-03 20:38:13.612655,ATM,983,4,Yes,0
1,2,4048.32,Cash Withdraw,Atlanta,2026-01-05 19:33:13.612686,Mobile,3943,24,No,1
2,3,4839.46,Wire Transfer,Los Angeles,2026-01-27 21:00:13.612691,Mobile,2591,12,No,1
3,4,2392.06,Cash Withdraw,Seattle,2026-01-05 00:30:13.612695,Desktop,1043,23,Yes,1
4,5,3638.35,Credit,Los Angeles,2026-01-08 21:14:13.612698,Desktop,2539,30,No,0
5,6,1856.7,Debit,Seattle,2026-01-17 02:46:13.612701,Mobile,862,19,No,0
6,7,925.92,Credit,Seattle,2026-01-12 13:27:13.612704,Mobile,1877,54,Yes,0
7,8,2218.16,Wire Transfer,Dallas,2026-01-23 09:42:13.612706,Tablet,1836,7,No,1
8,9,832.92,Wire Transfer,Chicago,2026-01-13 07:30:13.612709,ATM,4209,59,Yes,0
9,10,4910.31,Wire Transfer,Miami,2026-01-12 21:37:13.612712,Desktop,3527,8,Yes,1
10,11,485.75,Cash Withdraw,New York,2026-01-03 17:13:13.612715,Desktop,1686,20,No,0
11,12,2948.11,Credit,Atlanta,2026-01-13 21:52:13.612718,Mobile,3402,50,No,0
12,13,3134.19,Cash Withdraw,Miami,2026-01-21 21:17:13.612720,Mobile,1623,19,Yes,1
13,14,2692.71,Debit,Atlanta,2026-01-26 22:11:13.612723,Desktop,4958,14,No,0
14,15,3312.62,Cash Withdraw,Chicago,2026-01-15 06:14:13.612726,Mobile,2658,25,Yes,1
15,16,585.32,Credit,Los Angeles,2026-01-11 23:04:13.612729,ATM,1933,53,No,0
16,17,2777.32,Debit,New York,2026-01-21 07:13:13.612732,Desktop,508,41,No,0
17,18,1439.63,Debit,Miami,2026-01-25 00:49:13.612734,Tablet,4562,10,Yes,0
18,19,4701.18,Cash Withdraw,San Francisco,2026-01-20 22:12:13.612737,Desktop,3479,36,Yes,1
19,20,3811.55,Debit,Toronto,2025-12-30 12:03:13.612740,Tablet,2657,40,Yes,1
20,21,4862.71,Wire Transfer,Dallas,2026-01-23 06:07:13.612743,Tablet,1122,10,Yes,1
