,transaction_amount,time_of_day,transaction_frequency,location_discrepancy,device_id_change,ip_address_change,user_age,user_balance_before,transaction_time_diff,merchant_category,transaction_location_distance,number_of_previous_frauds,transaction_hour,transaction_day_of_week,transaction_month,user_transaction_count,user_average_transaction,is_first_transaction,label
0,374540.1251019613,14,5,1,1,1,56,500058.2591910867,1404.8667635855795,7,687.4368609408673,5,5,0,1,398,430.0312244240647,0,1
1,950714.3069027731,11,34,1,1,1,94,674893.2030541548,93.998530895708,7,325.4182806826078,8,2,5,6,342,1217.6725583318782,0,1
2,731993.9444914657,15,21,0,1,0,89,239066.38407502967,1183.4486247641796,4,94.73891477934416,2,7,3,9,798,8651.90945915584,0,0
3,598658.4882104518,23,42,1,1,0,80,758040.4210112165,930.686304466629,1,975.8708627835366,6,8,5,12,512,5663.12055207483,1,1
4,156018.64888225013,18,14,0,1,1,81,760005.5449620985,932.1726734972513,8,286.2590353831832,5,4,3,3,172,7120.548216366935,0,0
5,155994.52877625744,7,21,0,0,0,78,312598.02490830014,184.8238943251605,4,423.8081851735742,7,1,0,11,468,8419.72276735177,1,0
6,58083.62158736334,20,36,0,0,1,71,410682.6330102828,936.2695196817408,1,649.863921702575,2,1,3,3,748,4638.348791157093,0,0
7,866176.1471131737,16,41,0,0,1,90,209690.27743020086,1414.7749160657968,5,24.697297686111284,2,6,0,2,987,7610.6062290709215,1,0
8,601115.0157320587,22,11,1,0,0,75,976561.0233229042,1313.0187401368037,8,810.259130517287,3,16,4,4,166,5245.860544879452,1,1
9,708072.5807153197,4,46,1,1,0,73,645602.5770584117,632.3481515589848,4,536.5781900286203,2,9,6,10,699,2227.4954752493363,0,1
10,20584.504089957503,21,48,1,0,1,51,934543.8807155156,57.52508153197585,8,278.21718706882217,8,11,2,3,170,3376.5683114477074,0,1
11,969909.8524628958,15,41,0,0,0,48,303385.54362913314,521.7026256002949,8,61.607985292469245,10,1,3,12,564,4903.5095070521975,0,0
12,832442.6424759954,5,37,1,0,0,69,781890.9129968897,1190.0020487047996,3,162.49841547444143,3,9,0,2,512,3168.862352867186,0,1
13,212339.11855488506,7,17,1,0,0,93,765858.643884742,1010.158706109839,9,895.0338588534369,5,19,5,1,831,3355.28355822207,0,1
14,181824.97538885096,17,44,0,1,0,18,691655.6518665416,661.4548640552972,3,686.024223935891,7,0,0,3,189,3373.934938559352,1,0
15,183404.51801938872,11,34,0,1,1,72,965638.9752668004,79.34621062871678,1,249.90172163688985,10,3,5,10,120,1228.4085601712532,0,0
16,304242.2499171153,14,29,1,1,1,39,393555.33610631555,614.7284080655558,2,65.60076494502954,7,12,3,6,105,846.4352256964415,1,1
17,524756.4363846736,8,23,0,0,1,57,130717.32358975729,675.3959131937522,6,690.6153123866363,4,11,1,9,674,464.96993195264645,1,0
18,431945.0243226656,12,41,0,1,1,18,671708.8592440608,1337.1199673675558,10,572.4077259677651,4,10,5,11,807,1109.571500780757,1,1
19,291229.14728575054,14,29,0,0,0,82,729309.8004772061,923.1639891583096,2,404.519524458235,5,9,0,5,41,3437.077484285259,0,0
20,611852.8986038505,9,13,0,1,0,80,575060.5734588146,448.7801999826944,6,363.6114491900638,9,14,3,3,889,5938.722119112514,0,0
21,139493.86925710324,15,5,1,1,1,71,206817.89313339628,756.4583008090387,1,216.8142759291083,6,4,0,5,876,1881.4773906248174,0,1
22,292144.6556137717,6,2,0,1,1,59,504455.9416693554,95.1196432639105,1,669.6112565375176,9,16,1,5,677,8880.08957993792,0,1
23,366361.8496300733,16,15,0,1,0,38,312189.7365691294,1400.498259335621,5,970.6680277938705,6,4,2,5,321,8083.826228570182,0,0
