,Age,Job_Experience,Salary_Expectation,Location,Relocation,Current_Job_Tenure,Job_Shift_In_Last_12_Months,Current_Job_Level,Employment_Status,Gender,Education,Current_Job_Description,Applicant_Background,Applicant_Referral,Applicant_Interest,Location_str,Employment_Status_str,label
0,56,14,55447,2,0,9,0,4,1,Female,High School,IT,Business,No,Low,Other,Part-time,0
1,46,3,74418,3,0,3,4,2,0,Female,Master's degree,IT,Creative,Yes,Medium,Other,Unemployed,0
2,32,11,57190,1,1,4,2,1,1,Male,High School,Sales,Technical,Yes,Medium,US,Part-time,0
3,25,12,46014,2,1,3,3,1,0,Male,Bachelor's degree,IT,Scientific,Yes,Medium,Other,Unemployed,1
4,38,1,92999,1,0,2,3,3,2,Male,Master's degree,IT,Creative,No,Low,US,Full-time,1
5,56,18,70278,2,0,4,2,1,1,Female,PhD,Sales,Business,Yes,Low,Other,Part-time,0
6,36,18,21780,3,1,8,0,1,0,Female,Bachelor's degree,HR,Business,Yes,Low,Other,Unemployed,1
7,40,3,79258,2,0,7,0,4,1,Female,Bachelor's degree,Marketing,Scientific,No,Medium,Other,Part-time,0
8,28,3,62192,2,0,7,1,1,1,Female,Master's degree,Marketing,Business,Yes,Low,Other,Part-time,0
9,28,10,79300,1,1,7,4,1,0,Male,Bachelor's degree,Finance,Technical,No,Medium,US,Unemployed,1
10,41,4,63923,1,1,7,4,1,1,Female,Bachelor's degree,HR,Scientific,No,Medium,US,Part-time,0
11,53,19,22395,2,0,6,4,3,1,Female,Bachelor's degree,Finance,Creative,No,High,Other,Part-time,1
12,57,10,35779,3,0,7,1,3,1,Male,Bachelor's degree,Marketing,Scientific,No,High,Other,Part-time,1
13,41,9,91028,3,0,7,4,4,1,Male,Bachelor's degree,Sales,Scientific,Yes,High,Other,Part-time,1
14,20,7,49722,1,1,7,2,1,2,Male,Bachelor's degree,IT,Creative,No,Medium,US,Full-time,1
15,39,5,27111,3,0,9,1,3,1,Female,Bachelor's degree,Marketing,Business,No,High,Other,Part-time,1
16,19,5,29984,1,0,6,2,3,1,Female,Bachelor's degree,HR,Creative,Yes,High,US,Part-time,1
17,41,7,92328,3,1,0,1,4,0,Female,PhD,Marketing,Technical,Yes,High,Other,Unemployed,0
18,47,14,46924,2,1,3,4,2,2,Female,Bachelor's degree,HR,Business,Yes,Low,Other,Full-time,1
19,55,13,72703,1,0,3,2,1,0,Female,PhD,HR,Scientific,No,Medium,US,Unemployed,0
20,19,10,52577,1,1,4,2,3,0,Male,PhD,HR,Business,Yes,High,US,Unemployed,0
21,38,11,27711,2,1,9,2,4,0,Male,High School,Finance,Business,No,Low,Other,Unemployed,0
22,50,12,24096,1,0,5,1,4,2,Female,High School,Sales,Technical,No,Low,US,Full-time,1
23,29,7,86555,3,1,3,3,4,0,Female,PhD,Marketing,Business,Yes,Low,Other,Unemployed,0
24,39,17,95012,3,1,1,4,3,0,Female,PhD,Sales,Business,Yes,High,Other,Unemployed,0
25,42,0,28254,1,0,5,2,1,0,Female,Bachelor's degree,IT,Business,Yes,Low,US,Unemployed,0
26,44,14,97120,3,1,7,3,2,1,Female,High School,Marketing,Scientific,Yes,Medium,Other,Part-time,0
27,59,7,25965,1,0,7,4,1,0,Male,Master's degree,Sales,Business,Yes,Low,US,Unemployed,0
28,45,10,97000,2,0,6,4,4,2,Male,High School,Sales,Creative,Yes,Low,Other,Full-time,0
29,33,11,97975,1,1,5,2,4,2,Male,PhD,IT,Business,No,Low,US,Full-time,1
30,32,11,77987,2,1,1,2,2,1,Female,PhD,HR,Technical,No,Low,Other,Part-time,0
31,20,3,52963,3,1,6,1,1,2,Female,Bachelor's degree,Marketing,Business,Yes,Medium,Other,Full-time,0
32,54,15,23273,2,0,4,3,4,2,Male,Bachelor's degree,Marketing,Business,No,High,Other,Full-time,1
33,24,3,35330,3,1,5,3,4,1,Male,High School,IT,Scientific,No,Medium,Other,Part-time,1
34,38,4,41494,1,0,9,2,1,0,Female,Bachelor's degree,HR,Creative,No,Medium,US,Unemployed,0
35,26,4,96422,3,1,7,4,4,1,Male,Master's degree,Marketing,Business,No,High,Other,Part-time,0
36,56,7,23212,1,1,7,2,1,0,Male,Master's degree,Marketing,Creative,No,Low,US,Unemployed,0
37,35,9,21080,1,1,2,4,4,0,Female,Bachelor's degree,Marketing,Technical,No,High,US,Unemployed,1
38,21,16,52675,2,0,6,4,1,2,Male,Master's degree,HR,Scientific,Yes,High,Other,Full-time,0
39,42,8,42007,2,1,0,2,2,1,Male,Master's degree,IT,Creative,Yes,Medium,Other,Part-time,0
40,31,18,66815,2,1,0,0,4,2,Male,High School,Marketing,Scientific,Yes,High,Other,Full-time,0
41,26,13,20639,2,0,6,3,2,2,Female,Master's degree,Sales,Business,No,Low,Other,Full-time,1
42,43,7,83593,3,0,9,4,4,0,Male,PhD,HR,Technical,Yes,Medium,Other,Unemployed,0
43,19,8,98038,3,1,8,4,4,2,Male,PhD,Finance,Scientific,Yes,Low,Other,Full-time,0
44,37,10,23736,3,1,6,0,3,1,Male,High School,IT,Business,Yes,Medium,Other,Part-time,0
45,45,0,36473,1,1,9,1,1,2,Female,Bachelor's degree,Sales,Creative,No,Low,US,Full-time,1
46,24,13,54019,3,0,4,0,2,2,Female,High School,Marketing,Technical,Yes,High,Other,Full-time,0
47,25,4,56820,3,0,7,0,2,0,Male,Bachelor's degree,Finance,Technical,No,High,Other,Unemployed,0
48,52,13,77589,3,0,1,4,2,1,Female,Bachelor's degree,IT,Creative,Yes,High,Other,Part-time,1
49,31,3,85807,2,0,8,3,1,2,Male,Bachelor's degree,HR,Creative,Yes,Low,Other,Full-time,0
50,34,0,38414,3,1,5,0,3,0,Female,Bachelor's degree,Finance,Technical,Yes,Medium,Other,Unemployed,0
51,53,18,44220,1,0,8,1,2,2,Female,Bachelor's degree,Finance,Scientific,No,Medium,US,Full-time,1
52,57,7,80531,2,0,1,2,1,1,Male,High School,Sales,Technical,No,Medium,Other,Part-time,0
53,21,14,62425,1,0,2,0,4,2,Male,Bachelor's degree,IT,Creative,No,High,US,Full-time,1
54,19,14,29387,3,1,7,0,2,2,Male,Master's degree,Sales,Scientific,No,Low,Other,Full-time,1
55,23,8,96815,2,1,0,1,2,0,Female,Master's degree,Sales,Business,No,Medium,Other,Unemployed,0
56,59,8,47584,1,0,9,3,3,2,Male,Bachelor's degree,Marketing,Technical,Yes,Low,US,Full-time,1
57,21,9,64783,3,0,6,0,2,0,Female,Master's degree,HR,Creative,Yes,Medium,Other,Unemployed,0
58,46,19,59809,1,1,6,0,2,1,Female,PhD,Finance,Business,No,High,US,Part-time,0
59,35,8,74327,1,1,0,3,4,2,Male,High School,IT,Technical,No,Low,US,Full-time,1
60,43,2,30857,1,1,8,1,1,1,Female,High School,HR,Technical,Yes,Medium,US,Part-time,0
61,51,19,62261,3,1,7,0,1,1,Male,Bachelor's degree,HR,Scientific,No,Medium,Other,Part-time,1
62,27,10,93588,3,1,3,3,3,2,Female,Bachelor's degree,IT,Creative,Yes,Medium,Other,Full-time,1
63,53,5,36995,1,1,9,0,4,0,Male,PhD,HR,Business,No,Medium,US,Unemployed,0
64,31,1,33580,2,1,4,2,1,1,Female,Bachelor's degree,Marketing,Technical,Yes,High,Other,Part-time,0
65,48,6,38240,2,1,1,4,4,1,Female,Master's degree,HR,Scientific,No,Medium,Other,Part-time,0
66,32,17,95752,3,0,8,2,1,2,Male,PhD,Marketing,Business,No,Medium,Other,Full-time,0
67,25,1,66111,3,0,5,0,4,2,Female,Master's degree,Finance,Business,Yes,High,Other,Full-time,0
68,31,16,54866,3,0,2,1,3,2,Male,High School,Finance,Technical,Yes,Medium,Other,Full-time,0
69,40,10,93401,3,0,6,4,2,2,Female,Master's degree,Sales,Business,No,Low,Other,Full-time,0
70,57,11,32211,3,0,8,2,3,2,Female,High School,Marketing,Technical,No,Low,Other,Full-time,0
71,38,18,78985,2,0,2,3,1,2,Female,Master's degree,Finance,Scientific,Yes,Medium,Other,Full-time,0
72,33,6,53268,3,1,1,1,3,0,Male,High School,HR,Scientific,No,High,Other,Unemployed,0
73,35,19,23646,1,1,6,2,2,1,Male,Bachelor's degree,IT,Business,Yes,High,US,Part-time,1
74,41,5,75371,1,0,6,3,3,0,Male,Master's degree,IT,Technical,Yes,High,US,Unemployed,0
75,43,0,62816,2,0,3,0,1,0,Male,High School,Marketing,Creative,No,Medium,Other,Unemployed,0
76,42,16,64112,1,1,8,3,1,2,Male,Master's degree,Sales,Scientific,Yes,Medium,US,Full-time,1
77,58,10,71048,2,1,7,2,3,1,Female,PhD,HR,Technical,Yes,Low,Other,Part-time,0
78,46,17,74911,2,1,0,2,2,0,Female,Bachelor's degree,Marketing,Technical,No,High,Other,Unemployed,1
79,32,16,95446,1,0,0,0,3,2,Male,High School,IT,Technical,Yes,Medium,US,Full-time,1
80,18,6,21778,3,1,4,3,2,2,Female,PhD,Marketing,Business,Yes,Medium,Other,Full-time,1
81,42,16,65752,1,0,5,3,4,1,Female,Master's degree,HR,Creative,Yes,Medium,US,Part-time,0
82,24,19,90726,1,0,2,0,2,0,Female,PhD,Finance,Business,Yes,High,US,Unemployed,0
83,26,8,47289,2,1,8,3,4,0,Female,Master's degree,HR,Scientific,No,High,Other,Unemployed,1
84,41,16,64788,1,1,9,0,3,0,Male,Bachelor's degree,Finance,Business,Yes,Low,US,Unemployed,1
85,18,19,24747,2,0,5,1,2,2,Female,PhD,Finance,Technical,No,High,Other,Full-time,1
86,25,7,94822,3,1,3,2,4,1,Male,Bachelor's degree,Finance,Business,Yes,Medium,Other,Part-time,1
87,41,16,20045,3,1,6,1,4,1,Male,High School,Marketing,Technical,No,Low,Other,Part-time,0
88,28,6,27758,3,0,7,4,4,0,Female,Master's degree,IT,Creative,Yes,High,Other,Unemployed,1
89,34,0,43437,1,1,8,4,1,2,Male,Master's degree,Marketing,Business,No,High,US,Full-time,1
90,25,12,39585,2,0,5,4,3,0,Female,Bachelor's degree,IT,Business,Yes,High,Other,Unemployed,1
91,52,18,29854,3,0,5,0,4,1,Female,Bachelor's degree,HR,Business,Yes,High,Other,Part-time,1
92,52,18,72076,2,1,7,3,2,2,Female,High School,Sales,Technical,Yes,Medium,Other,Full-time,0
93,50,16,76950,2,0,4,1,4,0,Male,PhD,HR,Technical,Yes,High,Other,Unemployed,0
94,22,12,37349,3,0,2,1,1,0,Male,Master's degree,Marketing,Business,No,Medium,Other,Unemployed,1
95,59,15,41348,3,1,2,1,3,2,Male,Master's degree,Marketing,Business,No,Medium,Other,Full-time,0
96,56,7,54296,2,1,5,1,1,1,Female,High School,IT,Creative,Yes,Medium,Other,Part-time,0
97,58,18,39455,3,1,1,4,1,2,Female,High School,Marketing,Creative,No,Low,Other,Full-time,0
98,45,17,98824,2,0,5,1,1,0,Female,Bachelor's degree,Finance,Scientific,Yes,Medium,Other,Unemployed,1
99,24,0,74021,2,0,5,3,2,0,Male,Bachelor's degree,Marketing,Creative,Yes,High,Other,Unemployed,0
100,26,13,91923,3,1,7,4,3,0,Female,PhD,IT,Creative,No,Low,Other,Unemployed,0
101,25,18,59293,1,0,6,1,3,0,Female,High School,IT,Creative,No,High,US,Unemployed,0
102,29,14,66116,3,1,7,0,2,1,Male,PhD,Finance,Technical,No,Medium,Other,Part-time,0
103,51,17,60484,1,1,8,2,3,1,Male,High School,IT,Creative,Yes,High,US,Part-time,0
