,Age,Education,Experience,Salary,Skills,Location,Company size,Industry,Job type,label
0,41,High School Diploma,5,37125,Data Analytics,Los Angeles,186,Technology,Part-time,1
1,33,Bachelor's Degree,4,65758,Angular,San Francisco,707,Retail,Contract,1
2,57,Bachelor's Degree,7,97542,Python,San Francisco,678,Technology,Part-time,1
3,33,High School Diploma,0,88294,C++,Chicago,413,Finance,Contract,0
4,32,High School Diploma,3,66675,React,New York,262,Retail,Full-time,1
5,38,Bachelor's Degree,6,34903,SQL,Los Angeles,772,Healthcare,Contract,1
6,61,High School Diploma,3,73802,Python,Chicago,61,Healthcare,Full-time,1
7,24,Bachelor's Degree,5,45714,Java,Chicago,565,Healthcare,Part-time,0
8,44,High School Diploma,7,85996,React,Los Angeles,833,Technology,Part-time,1
9,49,High School Diploma,4,66189,C++,San Francisco,450,Education,Full-time,1
10,23,Master's Degree,4,42767,SQL,New York,369,Technology,Full-time,1
11,34,Bachelor's Degree,3,23380,Python,Chicago,401,Healthcare,Full-time,1
12,29,High School Diploma,2,49785,C++,New York,517,Finance,Part-time,0
13,39,High School Diploma,1,91796,SQL,Chicago,523,Healthcare,Part-time,0
14,54,Bachelor's Degree,5,42844,Java,Los Angeles,712,Healthcare,Part-time,1
15,33,Master's Degree,3,47310,Data Analytics,New York,628,Finance,Part-time,1
16,50,Master's Degree,9,80457,Angular,New York,268,Education,Full-time,1
17,56,Bachelor's Degree,8,90420,Python,Los Angeles,933,Retail,Full-time,1
18,51,Bachelor's Degree,5,71701,Data Analytics,New York,231,Education,Full-time,1
19,59,High School Diploma,1,75382,C++,Boston,472,Healthcare,Contract,0
20,39,Master's Degree,8,92740,SQL,New York,536,Technology,Part-time,1
21,31,Bachelor's Degree,4,53190,C++,Chicago,985,Healthcare,Part-time,1
22,19,High School Diploma,2,92110,Python,San Francisco,366,Healthcare,Full-time,1
23,43,High School Diploma,6,59227,Angular,Los Angeles,182,Education,Contract,1
24,56,High School Diploma,4,46544,Data Analytics,Boston,500,Healthcare,Part-time,1
25,23,High School Diploma,2,88871,SQL,Chicago,118,Education,Contract,0
26,21,Master's Degree,4,83834,C++,Chicago,189,Retail,Contract,0
27,53,High School Diploma,4,30345,Angular,Boston,449,Retail,Part-time,1
28,38,High School Diploma,0,24242,SQL,San Francisco,438,Education,Contract,0
29,19,Master's Degree,6,72871,Java,San Francisco,887,Technology,Full-time,1
30,28,High School Diploma,1,74205,React,Los Angeles,815,Healthcare,Part-time,0
31,45,Bachelor's Degree,0,24823,Java,Chicago,795,Healthcare,Contract,0
32,55,Bachelor's Degree,6,90721,SQL,Boston,489,Finance,Contract,1
33,39,Master's Degree,8,79065,Data Analytics,San Francisco,871,Healthcare,Contract,1
34,26,High School Diploma,5,31830,React,Los Angeles,204,Healthcare,Contract,1
35,26,High School Diploma,2,69617,Python,Los Angeles,747,Healthcare,Full-time,1
36,28,Master's Degree,4,38761,Java,Chicago,75,Healthcare,Full-time,1
37,49,High School Diploma,4,56167,Python,Los Angeles,389,Education,Full-time,1
38,62,Bachelor's Degree,3,49650,C++,Los Angeles,950,Retail,Contract,1
39,22,Bachelor's Degree,3,69915,Java,Chicago,883,Technology,Part-time,1
40,28,High School Diploma,1,46140,Angular,Chicago,488,Technology,Contract,0
41,53,Master's Degree,4,55556,React,Boston,993,Retail,Part-time,1
42,20,Bachelor's Degree,8,79936,Data Analytics,Boston,716,Retail,Part-time,1
43,31,Bachelor's Degree,9,51715,Python,New York,157,Technology,Contract,1
44,53,High School Diploma,4,93254,Angular,San Francisco,966,Healthcare,Part-time,1
45,60,High School Diploma,5,76455,SQL,Boston,171,Education,Full-time,1
46,64,Master's Degree,9,44318,Java,Boston,961,Retail,Full-time,1
47,47,High School Diploma,7,62256,React,San Francisco,557,Retail,Part-time,1
