,age,years_of_experience,education_level,interview_score,offer_salary,job_offer_duration,previous_jobs,distance_to_company,candidate_rating,industry_match,label
0,32,9,2,53,74260,17,1,-1,3.2577477479568975,0.9224812586258324,0
1,29,8,3,65,74243,11,1,8,2.5819818686701916,0.8640085488483471,0
2,33,5,2,74,94725,21,0,6,2.854558029831841,0.30139159757455886,1
3,38,3,3,53,61140,5,2,23,3.515492054879944,0.5471567581687036,0
4,29,7,3,61,80056,9,1,16,3.5939923780195273,0.832052676938577,0
5,29,6,4,60,89891,8,2,2,4.416742479323701,0.5380644538990083,0
6,38,8,3,78,97714,23,-1,24,4.374058170957003,0.6910065291468089,1
7,34,7,2,76,70956,22,1,1,3.7440996716137245,0.6941060157934458,1
8,28,8,4,64,79914,18,0,18,4.342356450096429,0.5372664476252349,0
9,33,3,1,78,80698,23,1,7,2.575320374881013,0.8879080527328369,1
10,28,9,1,67,76955,9,2,11,2.150193581279883,0.6270984245009763,1
11,28,6,4,71,74012,17,1,20,4.6209014679041,0.6021097338593755,1
12,31,11,2,100,79360,14,0,20,2.2266634812883086,0.9483839346802323,1
13,20,3,1,95,49678,21,1,28,2.7400652892319917,0.6207752366472008,0
14,21,10,1,56,81821,14,-1,14,4.0859568488731535,0.41595886375357766,0
15,27,6,3,87,76262,12,2,18,3.2283438128819273,0.6334951248612346,1
16,25,3,3,87,72775,19,1,11,4.628941909746526,0.8291108780879544,1
17,32,4,2,58,95469,21,2,17,2.8939393839868086,0.8049592124838829,0
18,25,4,4,87,68251,10,0,19,2.035614040008078,0.812578147320506,0
19,23,6,2,98,70969,15,0,14,2.9019669216822326,0.7602154595986426,1
20,37,7,4,58,94916,8,0,-3,3.734225147554495,0.4652415888933473,0
21,29,3,1,61,66679,-2,2,18,3.12781512620988,0.8603546557961503,0
22,30,5,3,90,69499,16,0,19,3.604618267276266,0.8807382524945722,0
23,23,11,2,79,73530,19,2,8,4.629794356505056,0.42619925280205684,1
24,27,10,2,83,83407,17,1,2,4.737455162691106,0.38479616375840603,1
25,31,6,4,80,77078,1,-1,30,2.797922193962336,0.9341432295829228,1
26,24,5,4,81,62074,13,0,20,3.386421419809702,0.864410576372739,0
27,32,5,2,55,69678,-1,0,13,3.6474320457243534,0.8806034956864652,0
28,27,7,4,91,68926,25,1,4,4.847337370664741,0.8761446500058567,1
29,29,2,2,93,74228,7,0,7,4.995851957493154,0.6520964356219234,1
30,27,4,2,72,79258,24,2,28,2.70622174652458,0.7201611288327697,1
31,39,0,2,74,79182,22,1,16,4.180939614037446,0.654485853886867,1
32,30,6,1,52,57240,9,1,9,3.1340931866995856,0.3332841269737139,0
33,25,7,4,83,85639,7,2,20,2.02432459065864,0.7845770054793022,1
34,34,4,3,84,77526,17,2,7,2.027757567307707,0.6284658216683221,1
35,24,10,3,74,88845,9,1,30,3.3816980226867672,0.7210108986136492,1
36,31,1,4,92,79442,16,0,29,3.465004739013004,0.6267158732340978,1
37,20,1,2,70,86013,12,-1,10,2.067709089720328,0.6196773595095963,1
38,23,6,3,83,79665,3,0,9,4.060782250322907,0.4116629211605484,1
39,31,8,3,60,88462,-1,0,-11,2.8820101657848594,0.4811639148417468,0
40,34,10,4,75,80223,17,1,0,3.6796793046078484,0.40325424976357127,1
41,31,4,3,72,74021,11,1,2,2.902757219496256,0.42718309215647254,1
42,29,8,2,78,97724,11,2,16,2.5014029446079213,0.9324352972731982,1
43,28,5,4,69,83890,20,0,12,3.221521215796626,0.39952373975192895,1
44,23,4,2,73,80737,23,1,2,2.6968200943715024,0.4750257757983849,1
45,26,8,3,87,62237,13,2,12,3.6044029307575043,0.6838832775300802,0
46,28,7,3,68,62117,13,1,20,2.59648559085944,0.6966160745538171,0
47,35,0,2,51,77927,19,1,20,3.525217929933881,0.4000831843334889,0
48,32,9,1,101,76455,6,0,-4,2.4721355446066027,0.8159163267603879,1
49,21,9,3,96,68859,17,0,14,4.012924128457355,0.8103818641433362,0
50,32,3,1,56,76410,19,0,1,4.261813053324272,0.4542565077325292,0
51,28,6,3,85,90886,20,0,24,2.3311827027498015,0.48763309673904925,1
52,27,6,1,67,81954,1,2,23,3.4034072361120176,0.909692112548673,1
53,33,6,1,79,63590,10,1,6,2.2126151019646207,0.8366864398866607,0
54,35,3,1,79,73885,9,0,7,3.794547336626007,0.7535680714906404,1
55,35,3,2,71,66950,16,3,10,2.7932128937889362,0.3534515939818903,0
56,26,5,1,63,71123,18,1,-8,3.5828733705161238,0.5718716525866742,0
57,28,9,1,65,70864,25,0,18,3.5523830281528737,0.6635462168499375,0
58,32,7,1,61,70224,12,1,12,4.773063038581402,0.42181733718945497,1
59,35,4,3,63,62449,12,1,25,3.6472496677061685,0.591347278370346,0
60,28,7,1,74,73723,23,3,4,3.748995439154947,0.6906668203676485,1
61,29,-4,3,64,69394,17,0,9,3.204959377293141,0.5127948420750095,0
62,24,8,1,85,45706,24,2,0,4.84723880954845,0.8076141323178165,1
63,24,0,1,97,95530,17,2,5,4.331557728318829,0.8462922280652234,1
64,34,4,2,66,85888,7,0,3,2.8562158709085246,0.510346155132146,1
65,37,2,3,79,71237,6,1,25,4.5326287573286965,0.845127150420097,1
66,30,1,1,82,75188,4,0,8,3.29718908055527,0.36732476796695973,1
67,35,8,3,82,63283,20,1,16,4.486001430600782,0.8445239141047265,1
68,32,4,3,76,91957,23,1,11,4.468664204880506,0.39928778058395076,1
69,27,6,4,86,93973,28,2,2,2.566610560288563,0.3539026491313219,1
70,32,5,2,82,76567,21,2,13,4.103423394150731,0.7171540128866571,1
71,38,6,2,56,85235,23,0,21,2.8719289079195933,0.6067592877409412,0
72,30,5,2,88,76753,11,-1,3,2.8924780099780047,0.8901288902683413,1
73,38,1,4,88,61633,7,1,23,2.8890442306417423,0.5360729774590519,0
74,17,8,4,64,70882,21,1,7,4.176704742679845,0.4866489712344586,0
75,34,4,2,76,76319,18,1,10,2.689478125377608,0.6254776889937288,1
76,30,0,4,85,70455,16,1,20,2.0027175057382705,0.5963650207496298,1
77,29,4,4,72,72813,18,1,8,4.145710560447899,0.5238782300411723,1
78,30,10,4,91,74086,17,3,15,2.513554231505376,0.7509318441539135,1
79,20,8,2,110,74191,24,1,12,2.313447185923504,0.7937151920440404,1
80,29,4,2,63,75523,24,1,16,2.71254836178218,0.8544395798695887,0
81,32,4,2,54,64394,19,0,-9,3.139701566968112,0.9323567930617227,0
82,37,4,4,80,67830,21,1,-3,3.427718982419602,0.47332652488612786,0
83,27,11,2,86,62154,19,3,21,2.1337101221378925,0.7654607636184749,0
84,26,6,4,72,84778,12,1,25,4.911719997882082,0.5562678530722344,1
85,27,6,1,97,53944,20,1,6,4.148189160258674,0.7401032817682203,0
86,35,8,4,55,86536,5,1,13,2.9695821959730084,0.6093880987269932,0
87,32,6,3,85,88863,22,2,18,2.956091771856192,0.9459525167991554,1
88,27,4,2,66,71978,7,3,22,3.345627648105378,0.7737863882639874,1
89,33,4,2,101,48969,17,1,-5,3.8787344682890987,0.9191193452823108,0
90,30,5,3,105,71387,9,1,6,2.4391191997669033,0.8427302071627707,1
91,35,5,4,64,74358,19,1,12,2.566789441294857,0.8868856572561912,0
92,26,7,1,67,64894,15,-1,22,4.578303748500653,0.8293724781895386,1
93,28,5,3,88,69848,4,2,40,2.7687647716672177,0.5984534347443424,0
94,28,7,3,69,90302,18,1,13,3.1405849939255326,0.4636624946754748,1
95,23,5,4,74,81649,11,1,1,4.613815552850351,0.5407081140428394,1
96,31,5,2,75,65754,21,0,19,3.9894434881994676,0.3131535512159678,0
97,31,-1,4,46,59024,15,1,28,3.025135638025065,0.6405955588520336,0
98,30,8,3,75,71730,18,1,16,4.051098637173862,0.6282875701757655,1
99,29,6,3,65,72865,8,2,6,2.059049646144241,0.6414128021398173,0
100,23,8,2,68,79962,11,1,25,4.206927980034096,0.9331202962318415,1
101,28,-4,2,97,69647,12,3,22,3.4610481215487185,0.8924451022456454,0
102,28,11,2,56,80115,21,1,5,4.439546441853384,0.4051133059145702,0
103,26,5,4,87,94352,27,0,19,4.863912956019405,0.5397736390113279,1
104,29,8,2,71,83155,9,1,25,4.7773656484837055,0.5755715166511202,1
105,32,2,3,71,74519,23,0,27,4.727795130366022,0.534346396603571,1
106,39,7,3,87,73168,0,-1,14,3.5365098678016613,0.8190223763425435,1
107,31,2,1,80,71433,7,3,11,3.080426342416814,0.6406244854139315,1
108,31,3,4,84,86806,8,2,27,3.395105974192018,0.6718648810315562,1
109,30,11,1,90,68727,6,2,3,4.069688009940082,0.8544588133421516,0
110,20,4,3,70,75452,4,1,19,4.651993330613561,0.823853299719983,1
111,30,6,1,66,75512,18,0,1,2.6209589090003584,0.38593748983319476,1
112,30,8,3,59,69982,14,1,26,4.754579475385109,0.7640444796543622,1
113,42,6,1,63,61275,18,2,12,4.445540695909667,0.583033483786323,0
114,29,5,2,119,78230,20,0,28,4.936568045534704,0.49152178699062526,1
115,32,6,1,94,74390,17,-2,20,4.640755319845061,0.3325122335864211,1
116,30,12,2,55,80002,20,1,3,2.83981198907572,0.6167122142245431,0
117,24,5,2,55,69664,15,1,29,2.317867734032143,0.5310338424709453,0
118,36,6,4,82,87208,7,1,31,2.3367232159747657,0.46348347578966054,1
119,34,8,2,83,66232,22,2,24,2.873669955734828,0.7515366242380224,0
120,34,8,2,83,92120,11,2,7,3.842551171953618,0.8001655017551315,1
121,25,9,1,71,57524,8,1,12,4.412960978291517,0.4591131873691261,0
122,37,7,3,73,79348,14,2,16,4.697750920944694,0.3321408338415757,1
123,23,2,4,80,79754,9,-1,8,3.8712601531076984,0.8516892553674027,1
124,33,10,2,76,67044,12,2,32,2.016893938244161,0.30647383178279713,0
125,41,2,4,42,79244,17,2,16,2.5589503295556004,0.9091231210489568,0
126,25,6,1,72,87795,17,0,-12,2.299178611560104,0.7079529180887587,1
127,27,3,2,62,52832,9,-1,18,3.0899734267070302,0.5092003128808582,0
128,30,5,1,78,80027,12,0,12,3.5040529809012377,0.46021064122487854,1
129,27,6,4,120,50067,23,0,14,2.1301915357356824,0.3058536817719089,0
130,22,6,1,81,65343,18,2,11,3.045433927386966,0.4530564210570701,0
131,30,6,4,70,91292,30,0,23,2.5375390238759676,0.3895233959861417,1
132,25,10,1,89,69182,23,0,26,3.9412104987766217,0.6979080434700446,0
133,32,6,4,82,63261,23,0,18,3.39281710797302,0.40825463258597083,0
134,25,4,3,81,73021,5,2,12,3.4859529408017265,0.6436093943988025,1
135,38,8,1,84,95679,20,1,15,3.2830753641003834,0.6835756745239059,1
136,26,9,1,106,56683,15,1,15,4.868059131459701,0.4937271039254944,1
137,28,1,3,58,64487,11,1,7,2.64420537536469,0.32279221686216714,0
138,34,7,3,82,89974,16,2,21,3.549992779531623,0.32421502239922745,1
139,24,7,1,61,93577,22,0,20,4.208052105096008,0.3171257659260464,0
140,31,4,3,83,73966,19,2,30,3.670533239403688,0.780431033638755,1
141,37,9,2,61,62609,9,1,28,4.787062657150403,0.5067063081292937,1
142,22,5,4,69,95958,20,1,8,3.1339050669238526,0.8175951208789813,1
143,31,5,4,71,90944,11,4,23,3.391027417319534,0.5806263354978519,1
144,31,4,4,90,81789,17,0,5,2.2655669456441854,0.5944487655394765,1
145,34,5,2,89,66876,13,1,22,3.8269973331557856,0.6333736916312229,0
146,24,2,3,56,74510,13,0,10,2.864635905344318,0.7634704466438175,0
147,23,1,3,76,73396,20,2,5,2.4809271185467066,0.47777686278930953,1
148,33,10,1,64,78309,8,3,18,3.6335938787135245,0.3790317771967925,0
149,31,2,3,56,89510,29,3,-12,3.596930790139732,0.6614372678744499,0
150,31,2,1,72,83794,2,2,-3,2.2276149236721428,0.5125354551077805,1
151,32,-1,2,70,64226,11,1,13,4.094646360483418,0.5876193538842243,0
152,27,3,4,111,88765,18,1,16,3.8713165719525584,0.7205153604192485,1
153,31,1,4,81,78131,19,-1,11,2.5670518482394917,0.6211817317418258,1
