,age,attendance_rate,average_score,num_subjects,num_activities,num_awards,num_suspensions,parental_education,parental_occupation,family_income,label
0,16,93.21182824836124,0.6,2,5,0,0,secondary,self-employed,21294,1
1,17,56.51331835892089,0.83,4,4,8,3,secondary,self-employed,36425,0
2,15,69.66508238768922,0.94,5,2,5,5,secondary,self-employed,13175,0
3,17,92.24993811772957,0.83,8,4,1,6,primary,blue-collar,50617,1
4,17,70.72386343133986,0.76,6,7,4,9,secondary,self-employed,55241,1
5,14,15.253904291426135,0.64,4,1,10,6,primary,white-collar,37775,1
6,15,57.62883601668132,0.79,7,5,3,9,primary,white-collar,19425,1
7,15,60.67150463828559,0.8,8,8,6,1,secondary,white-collar,36013,1
8,15,42.4130671302386,0.99,2,7,7,3,secondary,self-employed,37928,0
9,17,73.64442356247228,0.9,7,10,10,4,secondary,white-collar,54990,1
10,16,93.43670147690149,0.95,2,7,10,0,primary,blue-collar,51212,1
11,15,92.55685129067763,0.7,2,7,0,0,tertiary,self-employed,18210,1
12,17,45.08393714041321,0.74,8,6,4,9,secondary,white-collar,12759,1
13,14,11.323804584075525,0.78,2,7,2,2,secondary,blue-collar,26091,0
14,16,98.48411989623345,0.66,9,5,0,9,secondary,blue-collar,10002,1
15,14,83.88980864459342,0.87,1,1,2,2,primary,white-collar,50958,0
16,16,12.466268120326685,0.64,9,1,5,7,primary,blue-collar,40160,1
17,17,92.08418826173724,0.64,1,7,6,8,tertiary,white-collar,30707,1
18,13,86.98963620621282,0.89,10,10,7,10,secondary,blue-collar,25248,1
19,16,51.88380571260721,0.91,10,0,10,0,primary,self-employed,15773,1
20,14,59.127543574492925,0.67,2,5,3,10,tertiary,self-employed,22786,1
21,17,39.90027038701302,0.69,6,5,2,1,secondary,self-employed,25037,1
22,16,5.476163882203133,0.97,6,10,4,9,primary,self-employed,11885,1
23,13,33.519724164590095,0.91,1,3,8,1,secondary,self-employed,49828,0
24,13,80.28534485980114,0.87,7,10,5,3,secondary,white-collar,26331,1
25,15,0.4632023004602859,0.76,8,10,8,1,primary,self-employed,50612,1
26,15,33.34991716911442,0.9,2,9,5,6,primary,self-employed,32495,0
27,14,39.81686935909433,0.67,8,2,1,8,primary,self-employed,23450,1
28,16,53.73956029379229,0.99,9,10,4,6,secondary,self-employed,19491,1
29,16,91.98556164127605,0.84,6,2,10,5,secondary,blue-collar,19268,1
30,15,34.634599436596126,0.68,5,0,8,9,tertiary,self-employed,37757,1
31,16,34.69532018962277,0.61,9,2,7,0,secondary,self-employed,51907,1
32,16,73.75012481097484,0.74,9,3,6,10,primary,white-collar,16791,1
33,13,45.221794088980715,0.62,1,10,0,9,secondary,blue-collar,49939,1
34,15,22.460482293998197,0.95,3,10,3,8,tertiary,white-collar,38314,0
35,17,45.24395161326934,0.63,9,4,6,4,tertiary,self-employed,38583,1
36,15,14.085702037979985,0.73,2,2,10,10,primary,white-collar,31550,0
37,17,17.63869865062233,1.0,4,5,6,4,primary,white-collar,10093,0
38,13,49.83677727394797,1.0,4,10,5,5,tertiary,self-employed,45755,0
39,14,41.89254495045479,0.84,2,4,7,8,tertiary,blue-collar,55615,0
40,16,91.48459010681,0.69,3,2,10,7,tertiary,blue-collar,19967,1
41,13,36.23938991166331,0.8,3,5,5,7,primary,white-collar,26218,0
42,16,58.05883502780434,0.95,1,5,9,7,tertiary,self-employed,53220,0
43,14,63.22642879195304,0.71,6,7,2,0,tertiary,white-collar,18627,1
44,14,1.3094456588333636,0.86,8,1,3,0,primary,white-collar,14947,1
45,13,66.35373720167107,0.99,3,0,2,7,secondary,white-collar,49419,0
46,14,17.803596686975144,0.61,5,3,0,4,secondary,self-employed,33178,1
47,17,96.10703174694551,0.72,1,6,9,8,tertiary,self-employed,38876,1
48,14,14.866272775311295,0.91,10,10,4,1,secondary,blue-collar,32908,1
49,16,41.462412372702374,0.9,7,9,0,8,secondary,self-employed,45912,1
50,16,8.534966807864386,0.75,10,2,0,7,secondary,white-collar,29971,1
51,16,99.68742518459473,0.91,1,2,1,8,secondary,white-collar,42584,1
52,16,50.21950103312426,0.91,9,4,3,3,tertiary,blue-collar,59228,1
53,17,59.53850173200438,0.93,8,4,5,0,secondary,self-employed,18959,1
54,15,6.7076477388427485,0.7,7,9,7,0,secondary,white-collar,38261,1
55,13,74.99604703991778,0.69,10,2,2,4,primary,blue-collar,51065,1
56,16,20.990559309558577,0.74,7,8,0,1,tertiary,blue-collar,49462,1
57,14,89.80542894407138,0.76,5,3,2,7,primary,white-collar,25835,0
58,16,20.513964048200716,0.99,5,2,2,9,primary,white-collar,29257,0
59,14,19.068772066366655,0.77,5,10,4,10,tertiary,self-employed,13346,0
60,14,3.654966784809488,0.68,1,1,10,4,secondary,blue-collar,40807,1
61,16,47.206694510999924,0.84,8,9,3,4,primary,white-collar,40418,1
62,17,56.48411332626164,0.99,1,10,3,1,tertiary,blue-collar,21340,0
63,14,6.570863942835237,0.73,4,8,8,6,secondary,self-employed,43012,0
64,14,77.55276166950105,0.84,9,3,6,7,tertiary,white-collar,45393,1
