,Exam Score,Number of Subjects Passed,Average Grade,School Type,Household Income,Student Gender,Learning Difficulty,Extracurricular Activities,label
0,363,7,F,Private,66777,Female,Yes,2,0
1,500,4,B+,Private,74265,Male,No,1,1
2,352,3,D,Public,50559,Female,No,6,1
3,320,5,C-,Private,66440,Male,Yes,6,1
4,543,4,D,Public,54889,Female,No,2,1
5,541,1,C+,Public,81465,Female,No,9,1
6,369,3,B-,Public,50704,Female,No,8,1
7,229,8,C+,Public,57231,Male,Yes,0,0
8,416,5,B,Private,35513,Female,No,2,1
9,410,6,F,Public,85864,Female,No,6,1
10,303,9,C+,Public,48225,Female,No,9,1
11,215,4,A-,Private,34020,Female,No,8,1
12,560,4,A,Private,51107,Female,No,0,1
13,434,7,C-,Public,99067,Male,Yes,6,0
14,246,6,B,Public,40800,Male,Yes,3,0
15,274,4,B-,Private,67670,Female,No,9,1
16,515,8,C,Public,44586,Male,Yes,5,0
17,277,6,B,Public,83618,Male,Yes,6,0
18,569,3,C,Public,44915,Male,No,2,0
19,441,7,A,Private,51765,Male,Yes,6,1
20,387,1,A,Private,96726,Male,No,4,0
21,506,9,A,Private,37586,Female,Yes,1,1
22,542,7,D,Public,66058,Male,Yes,3,0
23,285,6,B,Public,71539,Male,No,3,0
24,485,4,B,Public,90953,Male,Yes,1,0
25,413,1,B+,Public,37853,Female,Yes,6,0
26,503,3,A,Private,59949,Female,Yes,0,0
27,209,9,A-,Public,41722,Female,No,7,1
28,487,9,C,Public,95998,Female,No,1,1
29,528,7,A-,Public,85631,Female,No,5,1
30,549,1,A,Public,98175,Female,Yes,5,0
31,448,1,F,Public,78179,Male,Yes,8,0
32,583,4,C-,Private,22080,Male,No,1,0
33,385,1,C,Public,81581,Male,Yes,1,0
34,351,6,B-,Private,64977,Female,Yes,2,0
35,369,8,B-,Private,36347,Female,No,2,1
36,318,1,C+,Public,21627,Female,No,6,1
37,214,4,C,Private,50747,Male,No,4,0
38,580,8,C,Private,90741,Male,Yes,3,0
39,360,6,C-,Private,52709,Male,Yes,8,1
40,401,1,B+,Public,88226,Male,Yes,6,0
41,359,7,A-,Private,91934,Female,Yes,6,1
42,558,8,A,Private,69734,Female,Yes,0,1
43,430,8,A-,Public,23720,Female,Yes,6,1
44,359,2,C+,Private,31959,Male,Yes,4,0
45,563,9,F,Public,78186,Female,Yes,7,0
46,551,9,C+,Private,29467,Male,Yes,0,0
47,224,3,C-,Public,32543,Male,Yes,6,0
48,496,6,B-,Public,39299,Female,No,7,1
49,548,5,C+,Private,76309,Female,No,6,1
50,372,8,B+,Private,52204,Male,Yes,6,1
51,250,4,F,Public,50773,Female,No,8,1
52,301,9,B,Private,35168,Male,No,1,0
53,520,9,B+,Public,22750,Female,No,7,1
54,452,4,A-,Private,20379,Male,Yes,1,1
55,582,3,A-,Public,38178,Female,Yes,3,0
56,331,4,F,Private,44248,Male,Yes,7,1
57,212,9,A,Private,27347,Male,Yes,5,0
58,380,6,A,Private,27663,Female,No,3,1
59,209,9,D,Private,76532,Male,Yes,5,1
60,433,2,C-,Private,37823,Male,No,5,0
61,532,1,C,Private,77373,Female,Yes,6,1
62,387,1,C-,Private,60082,Male,No,4,0
63,308,3,A,Public,76258,Female,Yes,8,0
64,585,6,C+,Public,71559,Male,No,3,0
65,263,3,A-,Public,75621,Female,Yes,7,0
66,433,6,B+,Private,76369,Female,No,6,1
67,233,4,B,Public,90103,Male,No,1,0
68,439,5,C+,Private,36708,Female,No,2,1
69,550,3,C+,Private,48653,Female,No,3,1
70,585,2,F,Public,84816,Female,Yes,0,0
71,396,6,B+,Public,52524,Male,Yes,5,0
72,568,5,C+,Public,73242,Female,No,2,1
73,575,3,F,Private,30007,Male,Yes,9,0
74,560,8,C,Public,76535,Male,No,1,0
75,207,7,C,Public,88895,Male,Yes,4,0
76,422,1,D,Private,53896,Female,Yes,1,0
77,422,3,B,Public,47858,Female,Yes,5,0
78,378,7,F,Public,79775,Female,Yes,5,0
79,594,5,B,Private,69628,Male,No,5,1
80,395,1,C-,Public,68391,Male,No,9,0
81,452,1,D,Public,73209,Female,Yes,2,0
82,581,7,B+,Public,83622,Female,No,4,1
83,593,8,C+,Public,53245,Female,Yes,5,0
84,506,8,A,Public,52909,Female,Yes,7,1
85,278,6,C+,Private,66334,Male,Yes,5,1
86,531,1,C-,Private,79014,Female,Yes,8,1
87,347,3,B-,Private,60157,Male,No,5,1
88,530,3,A-,Private,70252,Male,No,9,1
89,284,8,A,Private,90121,Female,No,1,1
90,250,7,F,Private,57673,Male,No,6,1
91,230,3,B+,Public,45765,Female,No,6,1
92,395,6,C-,Private,47695,Female,No,5,1
93,523,5,B-,Private,93632,Female,Yes,8,1
94,201,6,B,Public,98253,Female,Yes,5,0
