,Student_ID,Age,Gender,Parental_Education,Attendance_Rate,GPA,Extracurricular_Activities,Socioeconomic_Status,Study_Hours_Per_Week,label
0,1,16,1,3,79,3.07,1,3,14,1
1,2,17,1,2,73,3.05,4,1,11,1
2,3,16,1,3,72,3.69,2,3,9,1
3,4,17,1,3,79,2.92,1,2,13,0
4,5,17,0,3,83,3.39,1,2,10,0
5,6,18,1,1,87,1.6,2,2,11,0
6,7,16,1,2,87,1.6,3,2,10,0
7,8,18,0,3,80,3.83,0,1,15,0
8,9,16,0,2,78,3.03,4,2,10,0
9,10,16,1,3,83,1.89,5,1,6,0
10,11,16,0,2,80,1.96,2,1,12,0
11,12,18,1,2,76,0.07,3,1,1,0
12,13,17,0,3,80,0.92,5,2,2,0
13,14,18,1,2,73,1.89,0,1,3,0
14,15,18,0,1,97,1.18,3,3,10,0
15,16,16,1,1,98,3.93,0,3,15,1
16,17,17,0,2,85,0.46,1,2,14,0
17,18,17,1,2,88,2.02,2,3,8,0
18,19,17,1,3,72,0.04,0,3,8,1
19,20,17,1,3,74,1.09,2,3,12,1
20,21,16,1,2,80,0.9,2,3,5,0
21,22,17,1,2,77,2.42,5,1,6,0
22,23,16,1,2,88,3.55,3,3,3,0
23,24,16,0,2,82,2.27,4,2,3,0
24,25,17,1,1,90,2.58,3,2,5,0
25,26,18,0,2,90,1.12,5,3,15,1
26,27,16,1,3,95,1.24,3,3,12,1
27,28,18,0,1,81,2.0,4,3,12,1
28,29,16,1,2,82,2.27,5,3,1,0
29,30,17,0,3,87,2.19,4,3,6,1
30,31,17,1,1,75,1.04,3,1,11,0
31,32,18,0,2,89,0.58,2,2,9,0
32,33,16,1,2,77,1.47,1,2,6,0
33,34,17,0,2,74,3.14,4,1,2,0
34,35,17,0,2,99,2.38,1,1,9,0
35,36,17,0,1,80,0.73,2,1,9,0
36,37,16,1,3,88,0.93,4,2,14,1
37,38,18,0,2,97,3.62,0,2,14,1
38,39,16,1,1,70,1.58,0,3,5,0
39,40,18,1,1,81,3.41,3,1,1,0
40,41,18,1,3,79,3.91,1,2,6,0
41,42,16,1,1,88,1.43,0,2,8,0
42,43,18,0,1,99,0.05,3,3,2,0
43,44,16,1,3,83,2.91,3,3,7,1
44,45,16,0,1,88,1.94,3,2,15,0
45,46,16,1,1,82,3.55,5,1,9,0
46,47,17,0,3,79,0.68,2,3,12,1
47,48,17,1,1,92,0.97,1,2,9,0
48,49,18,1,3,78,1.89,4,3,8,1
49,50,16,0,2,95,0.54,3,1,14,0
50,51,16,1,2,71,1.44,4,2,6,0
51,52,17,1,2,87,0.06,0,1,13,0
52,53,16,1,2,87,3.21,2,3,13,0
53,54,17,1,1,85,0.4,5,1,13,1
54,55,18,1,2,86,2.38,4,1,9,0
55,56,18,1,3,87,1.05,3,3,2,1
56,57,16,1,3,100,0.12,2,1,7,0
57,58,17,1,3,77,0.44,3,2,11,0
58,59,17,0,3,100,2.8,2,3,13,1
59,60,17,1,2,100,3.56,4,1,1,1
60,61,17,0,3,86,0.22,4,1,11,1
61,62,18,1,2,92,1.13,0,3,6,0
62,63,18,0,3,97,1.59,5,1,6,0
63,64,18,0,3,75,3.91,1,2,12,0
64,65,16,0,2,79,1.77,5,3,4,0
65,66,18,1,2,84,3.3,3,2,5,0
66,67,17,1,1,82,1.12,3,2,13,0
67,68,16,0,1,94,1.87,0,2,7,0
68,69,17,1,1,99,3.3,5,3,12,1
69,70,18,1,3,91,3.07,2,3,13,1
70,71,16,0,3,92,0.95,5,2,15,1
71,72,16,1,3,94,1.01,2,3,6,1
72,73,18,0,1,84,2.19,4,2,4,0
73,74,16,0,1,83,3.75,4,2,9,0
74,75,16,1,1,71,0.48,3,1,8,0
75,76,16,0,3,100,3.09,1,2,8,1
76,77,16,1,2,74,2.95,3,3,11,0
77,78,16,1,1,75,3.4,5,2,9,0
78,79,16,1,2,99,3.56,2,2,12,1
79,80,18,1,3,82,3.53,1,1,9,0
80,81,16,0,1,79,3.6,1,2,12,0
81,82,18,1,3,82,3.92,0,2,7,0
82,83,17,1,2,70,1.33,4,1,8,0
83,84,17,1,3,75,3.72,1,1,9,0
84,85,17,0,3,92,3.79,5,3,3,1
85,86,16,0,1,79,2.59,3,2,4,0
86,87,17,1,2,71,2.66,2,2,5,0
87,88,17,1,1,87,1.43,4,1,5,0
88,89,17,1,3,89,2.98,5,3,5,1
89,90,16,1,3,71,2.41,3,2,15,0
90,91,17,1,2,80,3.15,2,2,12,0
91,92,18,0,3,76,0.61,3,1,5,0
92,93,16,1,1,96,3.26,3,1,2,1
93,94,17,0,2,86,2.89,4,1,3,0
94,95,18,0,3,77,2.18,2,2,6,0
95,96,16,1,1,97,1.04,3,2,14,0
96,97,18,0,1,76,0.39,1,3,7,0
97,98,16,1,2,81,1.94,5,1,7,0
98,99,17,0,3,90,0.58,5,1,10,0
99,100,18,0,1,79,3.05,4,1,12,1
100,101,18,1,2,88,3.7,0,2,12,0
101,102,17,0,1,89,3.28,1,3,3,0
102,103,16,1,3,80,1.32,2,3,6,1
103,104,17,1,1,76,0.58,5,1,1,0
104,105,17,1,3,76,0.03,1,2,15,0
105,106,16,1,1,72,2.65,3,1,11,0
106,107,18,1,3,87,0.75,0,1,10,0
107,108,18,1,1,80,2.87,4,3,2,0
108,109,18,0,1,77,2.3,5,3,2,0
109,110,18,0,2,78,1.88,0,2,14,0
110,111,17,1,3,78,3.07,5,1,2,0
111,112,18,0,1,97,3.92,1,1,9,1
112,113,18,0,2,100,0.51,0,2,4,0
113,114,18,1,1,97,2.2,2,1,4,0
114,115,18,0,2,74,1.25,5,2,3,0
115,116,18,1,1,72,0.11,3,2,12,0
116,117,16,1,2,97,0.12,3,2,4,0
117,118,17,0,3,95,2.31,2,3,4,1
118,119,18,1,1,97,0.33,3,1,1,0
119,120,18,1,3,94,0.18,4,3,9,1
120,121,17,1,3,96,0.69,3,3,12,1
121,122,18,1,2,86,1.84,3,2,10,0
122,123,17,0,3,81,2.0,5,2,12,1
123,124,16,1,2,100,3.66,1,1,14,1
124,125,18,0,2,73,1.68,0,2,11,0
125,126,18,1,2,70,0.43,3,1,14,0
126,127,16,0,2,75,0.92,1,1,5,0
127,128,18,0,2,93,3.78,2,1,11,1
128,129,16,1,1,77,2.38,5,1,13,1
129,130,16,0,1,82,1.42,4,1,9,0
130,131,18,1,3,90,3.57,2,2,1,0
131,132,16,1,1,81,1.2,4,3,4,0
132,133,18,0,2,82,3.52,1,1,13,0
133,134,18,0,2,94,0.48,2,3,1,0
134,135,18,0,1,88,3.75,1,1,9,0
135,136,16,0,3,97,3.75,4,3,4,1
136,137,16,1,3,85,1.38,3,3,1,1
137,138,16,0,1,95,0.07,1,1,13,0
138,139,17,1,2,91,1.41,0,2,11,0
139,140,18,0,2,82,0.72,3,2,9,0
140,141,16,0,3,82,1.06,3,2,2,0
141,142,17,1,1,85,2.5,0,2,7,0
142,143,18,0,2,87,1.77,2,3,14,0
143,144,18,1,3,77,2.95,0,1,1,0
144,145,18,0,3,85,2.55,5,1,15,1
145,146,17,0,1,99,1.2,3,2,7,0
146,147,16,1,3,93,1.3,2,1,6,0
147,148,16,1,2,71,3.19,2,1,3,0
148,149,16,1,3,75,2.13,4,1,4,0
149,150,16,1,3,70,0.51,0,3,6,1
150,151,18,1,3,93,2.35,3,1,4,0
151,152,18,1,1,83,0.55,1,1,8,0
152,153,16,1,2,78,3.47,4,2,11,1
153,154,16,0,3,90,0.52,5,3,12,1
154,155,16,1,1,91,2.68,5,3,7,0
155,156,17,0,3,88,3.59,1,1,1,0
156,157,18,0,2,86,0.39,2,1,5,0
157,158,16,1,3,83,2.12,3,3,9,1
158,159,16,0,1,78,3.83,5,1,5,0
159,160,17,0,3,76,1.11,5,1,10,0
160,161,16,1,3,97,1.12,3,2,3,0
161,162,18,0,3,75,1.88,0,3,3,1
162,163,17,1,1,73,3.79,3,2,9,0
163,164,17,0,3,78,3.2,3,2,4,0
164,165,17,0,3,96,1.08,0,2,11,0
165,166,16,1,1,100,0.93,0,3,5,0
166,167,16,0,1,82,0.79,3,1,4,0
167,168,16,0,2,95,1.72,3,2,5,0
168,169,17,1,1,83,3.23,4,1,3,0
169,170,17,1,3,86,0.61,1,2,13,0
170,171,18,0,3,96,2.47,4,1,10,0
171,172,17,0,1,93,1.89,4,2,13,1
172,173,16,1,2,100,2.59,2,1,9,0
173,174,16,0,1,88,1.61,3,1,2,0
174,175,17,1,2,80,3.04,4,2,1,0
175,176,18,1,1,78,1.28,3,1,13,0
176,177,17,0,2,93,2.89,4,2,4,0
177,178,17,1,2,92,3.84,2,2,9,1
178,179,17,1,3,86,2.32,3,3,4,1
179,180,16,0,2,91,2.54,1,2,10,0
180,181,16,1,3,99,2.1,2,1,5,0
181,182,16,0,1,88,1.94,0,1,12,0
182,183,17,0,1,80,0.67,1,3,9,0
183,184,18,0,1,85,2.75,5,3,11,1
184,185,17,1,1,76,2.42,5,2,10,0
185,186,17,0,1,99,2.21,4,1,10,0
186,187,16,0,3,94,1.23,3,3,12,1
187,188,16,0,1,74,1.58,3,1,10,0
188,189,17,0,2,85,1.73,1,3,13,0
189,190,18,1,3,70,2.63,0,1,10,0
190,191,16,1,2,73,2.9,3,1,14,0
191,192,18,0,3,96,1.25,5,3,5,1
192,193,18,1,2,90,2.46,0,1,15,0
193,194,17,1,3,85,1.48,0,2,2,0
194,195,17,1,1,85,1.94,2,2,6,0
195,196,17,0,3,100,0.33,1,1,14,0
196,197,18,1,3,71,2.31,1,2,14,0
197,198,16,1,2,94,3.59,1,1,5,1
198,199,16,1,3,88,3.81,5,2,6,0
199,200,17,1,3,78,1.34,4,3,9,1
200,201,16,1,1,79,0.68,1,1,8,0
201,202,18,0,2,78,3.91,3,1,1,0
202,203,18,1,3,77,3.19,3,2,7,0
203,204,16,1,2,98,1.17,1,3,2,0
204,205,18,0,3,85,0.02,3,1,2,0
205,206,18,0,3,79,1.06,2,3,14,1
206,207,18,0,2,89,3.82,4,1,15,1
207,208,17,0,1,92,1.9,5,2,10,0
208,209,17,1,3,73,1.18,4,2,5,0
209,210,16,1,3,93,1.37,0,3,6,1
210,211,16,1,3,84,0.92,0,2,11,0
211,212,16,1,2,93,2.26,5,3,2,0
212,213,18,1,1,72,0.87,4,2,15,1
213,214,18,0,3,93,2.78,1,3,6,1
214,215,17,1,3,81,1.89,1,2,15,0
215,216,17,0,3,94,0.64,2,3,10,1
216,217,16,0,2,90,3.95,5,2,6,0
217,218,16,0,2,73,1.59,5,3,4,0
218,219,18,1,2,96,1.56,4,1,15,1
219,220,17,1,2,84,1.77,5,3,8,0
220,221,17,0,1,70,0.87,3,2,2,0
221,222,18,0,2,72,3.85,3,2,11,0
222,223,16,0,2,80,1.7,0,1,14,0
223,224,17,0,3,98,2.34,5,2,8,0
224,225,17,0,2,75,1.36,4,1,1,0
225,226,17,0,1,74,1.92,0,3,7,0
226,227,17,1,1,88,3.62,2,2,7,0
227,228,17,0,3,93,0.67,5,1,6,0
228,229,18,0,1,80,3.17,0,1,4,0
229,230,18,0,2,73,1.85,2,2,12,0
230,231,18,0,2,77,1.03,4,1,12,1
231,232,16,0,1,73,2.75,2,1,1,0
232,233,17,1,1,71,0.98,0,3,7,0
233,234,18,0,2,99,0.61,5,3,5,0
234,235,17,1,3,90,1.32,4,3,8,1
235,236,17,0,2,75,1.17,0,1,15,0
236,237,17,0,3,73,2.92,3,2,6,0
237,238,17,1,3,84,3.06,5,3,5,1
238,239,16,0,1,72,0.42,1,2,9,0
239,240,18,1,3,97,3.07,2,3,4,1
240,241,18,1,2,100,1.03,2,1,8,0
241,242,16,1,2,100,0.91,5,3,8,0
242,243,17,1,1,87,2.82,1,2,11,0
243,244,17,1,3,97,3.5,5,1,9,1
244,245,16,1,2,84,2.43,2,2,4,0
245,246,16,0,3,80,3.76,2,1,12,0
246,247,16,1,2,100,2.66,5,2,2,0
247,248,18,0,2,97,3.42,3,3,9,1
248,249,17,0,2,89,2.08,5,1,13,1
249,250,18,1,2,74,3.54,4,2,6,0
250,251,17,1,1,74,0.46,5,1,12,1
251,252,18,1,1,76,1.55,2,2,5,0
252,253,16,0,3,79,1.16,3,2,5,0
253,254,18,1,3,79,0.6,5,1,2,0
254,255,16,1,1,73,0.6,2,3,2,0
255,256,17,0,2,77,1.77,5,1,9,0
256,257,17,1,3,82,1.77,4,3,14,1
257,258,17,0,3,74,3.64,3,2,9,0
258,259,16,1,1,97,3.76,2,1,4,1
259,260,16,0,3,83,0.08,3,1,3,0
260,261,16,1,1,82,1.04,5,3,7,0
261,262,16,0,2,70,0.03,5,3,4,0
262,263,16,1,3,80,3.53,1,1,13,0
263,264,16,1,2,99,2.13,2,1,1,0
264,265,17,0,2,84,0.64,0,2,1,0
265,266,16,1,1,70,3.32,4,1,6,0
266,267,18,1,2,70,0.29,5,1,9,0
267,268,18,0,1,70,3.41,2,1,8,0
268,269,17,0,1,90,0.06,5,2,6,0
269,270,17,1,3,81,1.82,2,3,14,1
270,271,17,0,2,99,1.42,0,1,9,0
271,272,18,1,1,75,2.6,3,1,11,0
272,273,17,1,3,75,2.2,4,2,12,1
273,274,17,0,1,95,1.42,0,1,1,0
274,275,16,0,2,100,3.94,4,3,11,1
275,276,17,1,2,88,1.72,2,2,2,0
276,277,18,0,3,80,1.94,4,2,3,0
277,278,17,1,3,86,2.52,3,1,1,0
278,279,17,0,3,93,0.4,1,1,15,0
279,280,16,1,3,87,3.53,4,3,15,1
280,281,16,1,3,81,2.26,1,2,9,0
281,282,17,1,2,79,2.7,3,2,3,0
282,283,17,1,3,79,3.69,0,2,9,0
283,284,18,1,3,96,2.57,5,2,1,0
284,285,17,1,3,82,0.29,4,2,7,0
285,286,18,1,3,70,0.33,4,3,11,1
286,287,18,0,2,77,2.27,4,3,7,0
287,288,17,0,2,98,0.47,4,3,7,0
288,289,18,0,1,92,0.17,1,2,15,0
289,290,18,1,3,83,1.53,3,3,4,1
290,291,16,0,3,93,3.91,1,2,5,1
291,292,17,0,2,96,2.2,2,3,4,0
292,293,17,0,2,95,3.54,2,1,11,1
293,294,17,0,2,86,1.81,0,1,1,0
294,295,18,1,3,97,3.72,0,2,4,1
295,296,17,1,1,81,0.12,4,3,7,0
296,297,17,0,1,95,2.88,2,1,11,0
297,298,17,1,2,90,3.82,1,2,11,0
298,299,18,1,2,85,1.88,3,1,7,0
299,300,16,1,2,82,1.02,2,1,14,0
300,301,17,1,2,94,2.61,2,2,14,0
301,302,16,1,1,75,1.53,1,1,7,0
302,303,17,0,1,72,1.35,2,1,6,0
303,304,17,1,2,82,1.43,5,2,10,0
304,305,18,0,1,97,1.65,1,2,1,0
305,306,16,1,2,81,1.8,5,2,2,0
306,307,18,0,1,85,0.67,1,1,5,0
307,308,16,0,3,97,2.71,1,3,15,1
308,309,18,1,3,91,3.36,1,2,8,1
309,310,16,0,1,74,2.94,2,3,3,0
310,311,18,1,2,87,1.68,2,3,11,0
311,312,16,0,1,100,0.66,3,1,14,0
312,313,16,0,2,82,2.85,0,2,7,0
313,314,16,1,2,82,0.21,5,1,1,0
314,315,16,0,2,86,2.01,3,2,2,0
315,316,17,1,2,72,3.8,5,2,2,0
316,317,18,0,1,75,1.41,1,3,1,0
317,318,16,1,1,90,2.93,4,1,2,0
318,319,16,0,3,98,3.74,3,3,6,1
319,320,17,0,2,72,0.46,4,1,1,0
320,321,18,1,3,93,2.44,4,3,7,1
321,322,17,1,1,89,2.25,5,2,2,0
322,323,16,0,1,91,1.97,5,2,1,0
323,324,16,1,2,85,2.04,2,2,6,0
324,325,16,0,1,96,1.6,1,1,13,0
325,326,16,0,2,76,0.54,0,2,14,0
326,327,16,0,3,74,0.84,5,1,7,0
327,328,17,1,2,79,0.23,0,3,9,0
328,329,16,1,1,94,3.32,0,3,7,1
329,330,18,1,1,85,0.06,0,3,1,0
330,331,18,0,1,70,0.91,0,2,10,0
331,332,18,0,3,80,3.37,4,1,2,0
332,333,16,0,2,96,3.66,4,2,8,1
333,334,16,1,3,97,1.29,4,2,6,0
334,335,18,0,1,86,2.73,1,2,6,0
335,336,16,1,2,72,0.11,3,1,1,0
336,337,18,1,3,92,3.75,5,1,1,1
337,338,18,1,2,99,0.85,2,2,2,0
338,339,16,1,1,98,0.6,4,2,11,1
339,340,17,1,3,98,0.37,1,1,6,0
340,341,17,0,2,87,2.68,1,2,12,0
341,342,17,0,2,84,1.33,5,1,7,0
342,343,16,0,1,75,2.11,2,3,5,0
343,344,16,0,1,95,3.93,0,3,9,1
344,345,17,1,1,75,0.5,1,2,10,0
345,346,16,1,3,72,2.28,3,1,6,0
346,347,16,1,3,73,1.17,3,1,12,0
347,348,17,0,2,81,2.24,3,2,6,0
348,349,18,0,2,89,3.48,1,2,9,0
349,350,18,1,3,83,2.69,1,1,10,0
350,351,16,0,2,73,3.76,5,3,2,0
351,352,18,0,3,94,2.97,1,2,3,0
352,353,17,0,2,100,2.04,1,1,9,0
353,354,17,1,3,75,0.55,3,3,6,1
354,355,18,0,2,99,0.42,5,2,15,1
355,356,17,1,2,97,1.28,2,3,7,0
356,357,18,0,3,95,1.42,2,3,8,1
357,358,18,1,1,91,3.28,1,2,14,1
358,359,17,0,3,71,2.01,3,1,12,0
359,360,18,0,3,99,2.08,5,1,13,1
360,361,16,1,1,78,3.99,2,1,3,0
361,362,16,1,2,96,2.54,3,3,5,0
362,363,18,1,1,98,2.33,1,3,15,0
363,364,17,0,1,77,3.31,1,3,7,0
364,365,17,1,1,77,0.61,4,2,1,0
365,366,18,0,2,71,3.44,1,2,4,0
