,age,gender,english_score,mathematics_score,science_score,attendance_rate,parent_education_level,weekly_study_hours,school_type,previous_schooling_completion,standardized_test_score,special_needs,label
0,17,1,86,68,51,83,0,15,0,1,73,1,0
1,18,0,51,86,63,71,1,16,0,0,83,1,1
2,15,0,55,67,86,87,2,16,0,0,54,0,0
3,17,0,63,74,79,93,1,11,0,1,53,1,0
4,17,0,58,47,77,71,1,17,0,0,45,0,0
5,18,0,47,55,99,80,0,12,0,1,89,1,1
6,15,1,70,81,98,78,2,26,0,0,76,1,1
7,15,0,60,75,49,81,1,13,1,1,89,1,0
8,17,1,56,69,74,86,1,11,1,0,71,1,0
9,16,1,62,57,90,84,2,25,1,0,42,1,0
10,17,0,76,41,88,94,1,28,1,0,42,0,1
11,17,0,93,88,71,86,1,19,0,0,61,1,1
12,17,1,55,52,46,95,1,6,1,0,61,0,0
13,17,0,45,43,60,98,2,27,1,1,49,0,1
14,18,0,47,65,59,95,2,24,0,0,90,0,1
15,15,1,64,64,65,87,2,29,0,1,42,0,1
16,18,1,57,69,43,91,2,16,0,1,51,0,1
17,18,0,64,50,85,75,0,5,0,1,68,0,0
18,18,1,51,46,91,86,1,27,0,0,87,0,0
19,17,0,54,70,61,92,2,26,1,1,56,0,1
20,16,0,98,83,54,93,1,12,0,0,46,1,1
21,15,0,65,49,95,87,1,9,1,1,52,1,0
22,16,1,80,78,79,77,0,19,1,1,95,0,1
23,18,1,84,52,60,78,2,5,0,1,41,0,1
24,18,1,65,70,54,75,2,5,1,1,43,0,1
25,16,1,86,46,61,74,1,29,1,1,49,1,0
26,16,1,71,95,91,81,2,14,0,0,78,1,1
27,16,0,49,88,67,94,1,26,1,1,63,0,1
28,18,0,55,81,53,98,1,14,1,1,56,0,0
29,18,0,46,81,66,97,0,25,1,0,91,1,1
30,15,0,56,95,80,80,0,19,0,0,45,1,0
31,15,1,62,75,79,94,0,21,0,0,58,0,1
32,18,0,65,59,97,70,1,26,0,1,44,0,0
33,16,1,60,43,67,80,2,10,1,1,71,0,1
34,16,0,61,93,65,88,0,7,0,1,49,0,0
35,15,1,97,46,88,78,2,17,1,1,48,1,1
36,18,1,46,93,41,96,0,20,0,1,66,1,1
37,15,0,53,40,64,71,0,12,1,1,52,0,0
38,15,0,54,83,95,81,1,19,0,0,58,0,1
39,17,0,92,95,42,73,0,21,0,0,60,0,1
40,17,0,46,84,47,73,0,21,1,1,63,1,0
41,17,1,48,81,83,87,1,26,0,1,77,0,1
42,16,0,90,86,72,84,2,17,1,1,43,0,1
43,18,0,87,98,81,88,0,21,0,1,63,0,1
44,18,1,47,52,91,82,1,10,0,1,98,1,1
45,18,0,89,94,74,88,0,21,1,0,74,0,1
46,18,0,98,61,45,86,1,20,1,0,42,1,0
47,17,0,62,93,78,75,2,18,1,1,43,0,1
48,16,0,68,60,91,85,2,17,0,0,96,0,1
49,16,0,57,61,62,93,1,10,1,1,76,0,0
50,17,1,70,67,64,81,1,7,0,1,79,1,0
51,16,0,69,48,98,88,1,18,1,1,87,0,1
52,17,0,91,65,89,74,2,18,1,0,93,0,1
53,18,0,78,48,82,86,0,19,1,0,74,1,1
54,17,0,74,54,58,95,2,12,1,1,70,1,1
55,18,0,57,49,44,92,1,19,1,0,95,1,1
56,18,1,98,63,90,95,1,26,1,0,83,0,1
57,15,0,81,97,50,98,2,17,0,1,64,1,1
58,17,1,78,96,95,70,1,21,1,0,79,0,1
59,15,1,56,81,51,97,2,25,0,0,52,1,1
60,17,0,53,47,49,96,1,28,1,1,43,1,1
61,17,0,70,63,47,94,0,7,1,1,85,1,0
62,15,0,63,55,63,93,0,10,1,0,53,0,0
63,15,0,74,88,99,92,1,9,0,1,52,0,1
64,17,1,83,65,67,79,2,26,0,0,66,0,1
65,16,0,99,66,80,84,0,21,1,1,45,0,1
66,18,0,84,76,75,92,2,27,0,1,56,0,1
67,15,0,73,43,76,90,1,29,1,1,75,0,0
68,18,0,42,89,60,90,2,6,1,1,79,0,1
69,16,0,76,63,47,80,0,19,0,0,88,0,0
70,16,0,82,58,94,82,2,9,0,1,74,0,1
71,16,1,79,75,48,74,2,24,0,1,56,1,1
72,15,1,65,99,86,70,1,10,0,1,80,1,1
73,16,0,94,78,54,93,1,10,1,0,41,0,0
74,15,0,62,49,87,81,1,22,0,0,96,0,1
75,16,0,83,64,85,80,0,22,0,1,52,0,1
76,18,1,78,57,79,86,0,8,1,1,91,0,1
77,18,0,54,58,57,73,1,21,0,1,41,1,0
78,17,1,95,75,81,84,1,29,0,1,91,1,1
79,18,0,88,49,99,94,0,18,0,1,67,0,1
80,17,0,43,72,59,99,0,18,0,1,82,1,1
81,18,0,68,94,45,78,0,17,1,0,98,1,1
82,15,0,61,89,51,90,0,11,1,1,65,0,0
83,18,1,64,44,41,89,1,16,0,1,61,0,0
84,17,1,52,86,46,88,0,27,0,1,86,0,0
85,17,0,57,88,55,88,1,19,1,1,82,0,1
86,16,0,72,74,42,81,2,23,0,1,94,1,1
87,15,1,55,83,84,74,2,15,0,1,42,0,1
88,18,1,84,73,42,79,0,19,0,0,74,1,0
89,16,1,81,72,66,86,2,16,0,0,99,0,1
90,18,1,83,94,89,74,2,7,0,0,97,1,1
91,18,0,41,60,82,91,2,21,0,0,51,0,1
92,16,1,94,56,79,85,0,7,0,0,63,0,1
93,16,0,74,61,77,76,0,23,0,0,44,1,0
94,16,1,81,87,72,97,2,24,0,1,59,1,1
95,16,1,73,76,67,78,1,8,1,1,78,1,1
96,16,1,69,54,40,72,2,7,1,1,78,0,1
97,18,1,98,74,94,84,0,20,1,1,52,1,1
98,16,1,94,67,47,85,0,16,0,1,80,1,1
99,15,0,52,46,76,87,0,12,0,1,96,1,0
100,17,0,52,71,71,83,2,28,1,0,92,1,1
101,16,1,57,50,99,72,1,21,0,1,84,1,1
102,16,1,71,49,87,81,0,11,1,0,51,1,0
103,18,0,71,48,82,78,0,15,0,0,52,1,0
104,16,1,74,53,76,97,2,22,1,1,95,1,1
105,16,1,98,52,43,76,1,5,1,1,49,1,0
106,16,0,78,96,69,78,2,7,1,1,72,0,1
107,18,1,85,64,45,82,0,8,0,1,96,0,1
108,16,1,91,41,85,87,1,17,1,1,79,1,1
109,17,0,68,74,93,74,1,10,0,1,93,0,1
110,18,0,88,46,58,82,0,18,0,1,55,0,0
111,17,0,68,60,71,73,1,9,0,0,84,1,1
112,18,1,92,57,48,71,1,20,0,1,74,1,0
113,16,0,83,42,51,85,2,19,0,1,42,1,1
114,17,0,96,81,50,78,0,19,0,0,95,1,1
115,18,0,55,93,85,78,0,8,0,1,44,1,0
116,15,0,95,78,94,75,0,12,1,1,65,1,1
117,16,0,83,80,55,80,0,20,1,0,50,0,0
118,18,0,86,88,40,91,0,20,1,1,46,1,1
119,15,1,96,50,84,93,1,8,0,1,92,0,1
120,18,1,49,78,94,91,2,17,0,1,95,1,1
121,15,0,69,63,92,70,0,17,0,1,49,1,0
122,16,0,64,99,60,73,2,6,0,1,81,0,1
123,17,0,78,85,69,82,2,7,1,1,91,1,1
124,15,1,59,58,52,92,1,26,0,0,73,1,1
125,18,1,44,43,73,82,0,12,1,1,42,0,0
126,16,1,40,65,43,82,1,28,0,1,47,1,0
127,15,1,69,77,67,71,0,19,1,0,70,0,1
128,18,1,88,81,77,78,1,15,0,0,50,1,1
129,18,1,42,71,97,93,2,13,1,1,84,1,1
130,18,1,84,78,70,77,0,11,0,0,46,0,0
131,15,1,53,84,98,76,2,17,1,1,84,1,1
132,15,1,95,85,94,73,2,6,0,1,41,0,1
133,15,0,69,75,66,87,1,12,1,0,45,0,0
134,17,0,89,79,44,72,0,11,1,1,80,0,1
135,15,0,43,76,64,97,2,28,0,1,71,1,1
136,15,0,57,72,42,75,1,16,1,0,59,1,0
137,15,1,76,75,72,81,0,23,0,0,96,0,1
138,17,1,64,42,43,81,0,11,0,0,73,1,0
139,15,0,87,48,64,90,2,14,0,0,89,1,1
140,18,1,40,47,59,97,0,29,1,1,55,1,1
141,15,0,92,72,73,77,2,20,1,0,64,0,1
142,18,1,85,98,65,91,0,7,0,0,51,1,1
143,18,0,54,45,44,91,1,14,0,0,46,0,0
144,18,1,48,80,74,70,2,10,1,0,78,1,0
145,17,1,54,78,67,73,2,22,1,0,56,1,0
146,17,0,88,43,68,90,0,22,1,1,84,0,1
147,17,1,96,52,48,97,0,9,0,0,50,1,0
148,15,0,63,88,91,80,2,25,0,1,45,0,1
149,18,0,43,99,77,72,0,11,0,0,62,1,1
150,17,0,51,41,89,82,1,6,0,0,66,0,0
151,17,0,98,99,45,94,0,15,0,0,85,1,1
152,15,1,97,44,58,86,1,17,1,0,45,1,0
153,17,1,76,83,99,91,1,27,0,0,77,1,1
154,15,1,76,66,83,91,1,9,1,0,41,0,0
155,16,0,82,71,96,79,1,10,1,0,61,0,1
156,17,1,99,60,50,90,1,28,0,0,59,0,0
157,16,0,45,47,41,81,0,18,1,1,64,1,0
158,15,1,78,77,86,84,1,16,0,0,54,0,1
159,18,1,95,47,83,90,0,8,1,1,99,0,1
160,17,1,85,89,83,79,1,27,0,0,88,0,1
161,15,0,63,42,48,83,2,10,0,1,68,0,1
162,18,1,50,93,60,82,1,14,1,0,47,0,0
163,18,1,52,83,63,74,2,22,0,0,76,0,0
164,16,0,73,97,73,75,1,19,1,0,88,0,1
165,15,1,64,42,61,93,1,12,0,1,91,0,0
166,18,0,46,61,42,71,1,13,0,1,72,0,0
167,17,1,91,45,51,91,2,9,0,1,61,0,1
168,17,0,43,41,67,86,2,14,1,1,89,1,1
169,16,0,98,62,69,73,1,24,1,0,86,1,1
170,18,1,47,83,65,83,0,10,0,0,44,0,0
171,15,0,59,41,87,79,1,20,1,0,78,1,0
172,17,0,68,77,60,72,2,28,0,1,57,1,1
173,18,0,93,56,67,94,1,7,1,0,77,0,1
174,18,0,92,74,95,72,2,14,1,1,93,0,1
175,16,0,90,73,65,84,2,15,0,1,92,0,1
176,17,0,84,62,72,75,2,15,0,1,76,1,1
177,17,1,85,69,60,86,1,21,0,1,69,0,1
178,15,0,49,91,74,81,2,8,0,1,90,1,1
179,17,0,82,47,91,91,2,8,0,0,70,0,1
180,15,1,73,61,73,89,1,21,1,1,49,1,0
181,17,1,96,83,80,93,2,13,1,1,54,1,1
182,16,1,65,97,90,98,1,23,0,0,81,0,1
183,17,1,80,75,86,80,2,9,0,1,98,0,1
184,15,1,88,44,57,94,0,26,0,1,87,1,1
185,15,1,97,52,97,73,0,28,1,0,83,1,1
186,16,1,42,68,50,95,2,10,0,0,57,0,0
187,17,0,95,70,96,97,0,7,0,0,62,0,1
188,17,0,45,86,62,95,1,26,1,1,72,1,1
189,16,1,44,96,87,75,0,5,1,0,55,0,1
190,17,0,44,94,61,70,2,24,1,0,93,1,1
191,17,0,93,55,56,89,2,26,1,0,77,0,1
192,15,0,86,81,44,92,1,20,0,1,74,0,1
193,17,1,62,69,83,97,2,27,1,0,73,0,1
194,17,1,88,96,50,85,1,15,1,1,67,1,1
195,16,0,48,94,69,84,0,17,0,1,41,0,0
196,16,1,74,55,54,86,0,14,0,0,69,1,0
197,18,0,59,51,66,77,1,7,0,1,52,0,0
198,15,0,97,56,74,97,1,13,1,1,80,1,1
199,17,0,88,55,72,95,2,16,0,0,55,1,1
200,17,0,98,51,59,81,0,27,1,1,98,0,1
201,18,1,81,47,55,96,1,18,1,0,44,1,1
202,17,1,74,59,73,91,0,5,1,1,94,1,1
203,15,1,89,42,41,90,1,22,0,1,67,1,0
204,18,0,57,55,74,79,0,21,1,0,92,1,0
205,15,1,56,69,79,96,2,13,0,0,78,0,1
206,18,0,63,84,95,84,0,13,0,1,84,0,1
207,18,1,42,62,67,99,0,27,0,1,59,0,1
208,16,0,71,67,86,78,0,14,1,0,63,1,1
