,Lines of code,Number of functions,Number of files,Number of external libraries,Number of dependencies,Number of internal comments,Number of external comments,Number of test cases,Number of bugs reported,Number of defects,label
0,1584,41,7,2,8,24,25,31,13,28,1
1,5405,35,21,6,3,29,81,68,79,1,1
2,7869,38,16,9,7,6,15,115,48,35,0
3,3049,39,45,4,8,49,1,144,20,61,0
4,8911,29,22,8,7,18,80,86,10,9,1
5,2127,6,5,2,1,39,72,71,24,85,1
6,5168,47,33,2,5,20,18,126,65,68,1
7,1841,20,38,9,9,12,24,124,26,60,1
8,5741,40,43,6,1,17,32,108,65,10,1
9,3900,27,48,0,5,40,61,110,68,51,1
10,3044,34,5,6,9,35,6,93,30,8,1
11,2414,10,47,1,0,48,32,76,37,40,1
12,9587,42,39,9,3,25,99,18,26,30,1
13,3314,36,33,8,4,21,59,87,38,50,1
14,4953,10,42,5,2,36,97,85,8,4,1
15,2996,32,26,5,1,36,18,125,57,47,1
16,9936,21,14,1,6,42,84,140,93,78,1
17,4542,35,20,7,4,47,72,82,75,27,1
18,9130,39,40,5,0,38,21,103,83,50,1
19,3883,49,11,1,9,34,11,109,26,97,0
20,3081,15,24,9,6,45,87,11,61,95,1
21,6808,19,10,8,8,7,6,61,51,29,1
22,9882,26,8,4,5,8,3,118,14,15,1
23,6941,14,37,5,0,29,36,27,24,14,1
24,3111,39,8,9,3,16,93,114,21,35,1
25,517,31,29,6,4,37,6,142,93,6,1
26,9012,38,11,1,3,6,6,100,14,82,1
27,5253,6,32,1,5,27,9,129,91,11,1
28,831,9,23,7,4,32,43,81,87,19,1
29,7622,10,9,9,4,32,11,126,14,66,1
30,5080,40,11,0,7,31,48,61,94,42,1
31,6538,15,47,5,4,19,91,132,22,90,1
32,310,49,20,2,6,11,45,103,60,15,1
33,8707,45,25,3,6,31,69,29,43,43,1
34,5359,18,46,1,3,48,80,49,83,1,1
35,800,25,16,0,1,18,94,97,11,51,1
36,3165,40,18,1,7,30,93,73,39,28,1
37,6683,42,49,1,2,16,21,18,73,6,1
38,8140,24,19,7,1,38,59,124,87,65,1
39,7388,40,7,0,0,44,13,40,68,65,1
40,1994,17,24,9,3,7,10,125,49,88,1
41,4602,21,35,1,2,49,98,112,82,22,1
42,3615,28,21,5,8,36,77,31,39,77,1
43,9672,18,32,5,7,37,47,31,34,44,1
44,383,41,7,5,5,43,86,15,13,85,1
45,9783,46,27,2,8,45,5,119,91,6,0
46,2358,35,39,0,5,7,76,113,12,55,1
47,8368,16,9,6,2,14,14,75,37,79,1
48,4293,29,30,7,7,46,14,16,37,0,1
49,4410,18,29,4,8,12,39,15,78,19,1
