,Lines of Code,Cyclomatic Complexity,Number of Bugs,Time Spent,Number of Test Cases,label
0,451,24,1,58,49,1
1,52,20,0,63,39,1
2,273,24,2,41,35,1
3,385,28,4,8,48,1
4,353,21,6,65,6,1
5,165,29,6,69,26,1
6,77,10,6,32,6,1
7,326,8,2,8,2,1
8,466,19,8,5,39,1
9,105,29,9,23,22,1
10,362,9,3,46,23,1
11,334,16,4,4,2,1
12,423,11,6,45,38,1
13,381,22,9,71,28,1
14,412,13,9,39,41,1
15,215,20,0,5,37,1
16,227,16,7,42,0,1
17,388,12,3,39,21,1
18,424,14,3,51,43,1
19,151,9,1,21,19,1
20,244,22,0,22,4,1
21,411,27,2,52,17,1
22,128,8,3,59,26,0
23,126,25,7,68,30,1
24,355,25,6,57,24,1
25,261,8,1,28,9,1
26,267,26,9,16,38,1
27,127,12,5,34,3,1
28,150,23,3,64,22,1
29,381,10,0,25,26,1
30,368,24,1,50,0,1
31,330,22,2,50,4,1
32,151,6,8,25,25,1
33,322,9,6,43,20,1
34,483,11,8,47,11,1
35,344,15,4,89,11,1
36,197,15,7,19,0,1
37,286,15,2,30,38,1
38,377,24,4,29,44,1
39,108,22,6,20,2,1
40,462,23,7,45,44,1
41,457,18,2,95,47,1
42,359,14,0,8,24,1
43,132,18,2,9,38,1
44,261,24,4,33,37,1
45,347,15,6,55,3,1
46,130,21,6,83,23,1
47,386,6,2,23,45,1
48,474,23,9,49,7,1
49,372,12,0,5,6,1
50,153,5,7,88,15,1
51,464,7,5,66,5,1
52,415,10,1,65,18,1
53,148,13,4,90,45,0
54,50,27,6,42,8,1
55,345,7,4,89,9,1
56,225,14,6,99,20,1
57,275,22,0,4,20,1
58,438,12,4,20,17,1
59,342,10,6,9,10,1
60,313,12,4,98,11,1
61,400,16,4,50,32,1
62,310,28,8,77,7,1
63,465,15,9,37,17,1
64,263,20,0,71,1,1
65,176,28,4,94,18,1
66,102,20,7,11,7,1
67,66,28,4,78,13,1
68,113,12,3,65,21,1
69,453,17,3,8,17,1
70,394,25,9,64,4,1
71,148,12,3,74,13,1
72,287,19,5,84,13,1
73,473,11,1,45,7,1
74,251,23,6,32,33,1
75,332,24,4,93,1,1
76,357,12,1,94,6,1
77,247,5,6,30,2,1
78,133,25,0,94,44,1
79,117,26,0,53,1,1
80,313,24,0,42,30,1
81,158,19,9,70,48,1
82,236,12,0,51,3,1
83,281,14,3,46,46,1
84,260,9,9,87,19,1
85,105,11,0,81,11,1
86,149,11,2,62,18,1
87,326,9,7,67,25,1
88,209,18,7,63,20,1
89,239,20,5,32,49,1
90,469,8,8,8,25,1
91,290,13,2,73,12,1
92,185,8,9,24,41,1
93,460,25,7,85,36,1
94,233,19,8,5,5,1
95,482,8,7,74,32,1
96,269,10,9,26,45,1
97,337,16,6,51,3,1
98,370,20,6,28,7,1
99,250,25,1,55,13,1
100,215,19,3,64,44,1
101,57,13,5,49,34,1
