,Module_ID,LOC,Cyclomatic_Complexity,Number_of_Comments,Number_of_Developers,Code_Age (Days),Number_of_Unit_Tests,Average_Severity_Score,Documentation_Quality,label
0,1,1310,30,159,1,91,28,9.5,4,1
1,2,1744,36,70,5,285,19,8.8,5,1
2,3,1580,14,173,1,590,24,3.6,1,1
3,4,1545,20,116,5,377,5,8.0,1,1
4,5,2088,11,17,5,700,35,8.2,1,1
5,6,916,21,141,5,153,1,9.9,1,1
6,7,1688,27,168,4,511,21,6.4,3,1
7,8,780,30,90,1,346,31,1.7,5,0
8,9,1932,25,94,1,533,15,6.8,2,1
9,10,580,26,62,4,748,17,6.6,5,0
10,11,2135,11,58,3,77,4,6.7,3,0
11,12,1219,18,16,2,438,35,3.8,1,1
12,13,1965,19,18,1,165,29,8.7,3,0
13,14,1665,11,125,2,230,44,9.6,4,0
14,15,1405,13,166,4,279,18,3.0,4,0
15,16,1634,12,185,3,343,22,1.8,5,0
16,17,909,27,125,3,397,33,2.8,5,0
17,18,471,33,24,3,458,12,8.4,2,1
18,19,1197,22,79,4,509,42,7.1,2,1
19,20,924,35,148,5,343,28,6.7,4,0
20,21,1532,34,74,5,529,35,4.6,1,1
21,22,2497,39,60,2,750,21,6.2,3,1
22,23,1425,22,105,5,384,46,3.8,2,1
23,24,2256,21,190,5,514,35,5.3,2,1
24,25,639,18,136,3,240,8,8.1,1,1
25,26,1012,35,115,3,733,38,9.8,1,1
26,27,2349,28,129,2,73,18,9.4,5,1
27,28,1717,39,136,1,570,37,9.4,3,1
28,29,1978,38,24,2,600,5,4.6,1,1
29,30,1096,7,142,2,612,46,5.2,2,1
30,31,1747,30,28,4,121,14,7.4,2,1
31,32,1050,27,158,4,294,19,9.3,4,1
32,33,691,19,41,2,249,8,2.3,1,0
33,34,2491,8,58,2,471,31,3.7,5,0
34,35,1813,33,107,2,430,3,2.3,3,1
35,36,1840,26,153,5,429,49,6.5,5,1
36,37,1928,29,42,4,756,17,3.8,2,1
37,38,1225,17,178,2,605,4,3.9,5,0
38,39,484,22,8,3,519,19,1.6,2,1
39,40,2405,37,192,3,514,22,4.1,2,1
40,41,2035,20,61,5,786,10,8.8,2,1
41,42,1471,6,177,5,499,36,3.1,2,1
42,43,1579,39,24,1,603,21,7.3,2,1
43,44,1950,38,21,1,711,3,6.7,4,1
44,45,1152,34,123,1,474,28,8.8,5,1
45,46,2029,17,75,5,298,43,2.2,4,0
46,47,611,17,8,5,296,33,9.8,4,0
47,48,651,22,18,5,83,12,6.2,1,0
48,49,2431,36,7,3,557,41,10.0,1,1
49,50,1445,36,84,5,549,8,9.2,1,1
50,51,1265,39,190,3,645,41,3.0,3,1
51,52,905,33,59,1,88,30,1.5,1,0
52,53,1725,33,136,1,69,6,3.3,5,1
53,54,1466,20,124,1,266,3,5.7,4,0
54,55,787,14,28,2,415,18,2.5,5,0
55,56,1328,34,166,2,635,41,2.5,1,1
56,57,1526,29,162,4,763,29,5.2,3,1
57,58,1241,24,86,4,745,30,1.3,3,1
58,59,1213,9,151,4,679,34,2.1,4,0
59,60,829,5,163,2,329,20,4.7,5,0
60,61,942,34,192,2,424,30,1.6,2,1
61,62,1630,7,64,4,236,18,4.6,5,0
62,63,514,18,151,4,365,30,5.3,1,1
63,64,1817,34,53,5,622,31,5.1,2,1
64,65,1602,8,67,4,759,1,8.8,3,1
65,66,2477,22,114,5,543,9,5.8,4,1
66,67,1945,29,154,3,207,1,5.2,4,1
67,68,1612,5,156,2,425,1,4.7,3,0
68,69,1972,19,113,4,400,23,8.4,1,1
69,70,841,13,80,2,687,16,9.1,3,0
70,71,2148,19,34,2,347,31,8.7,1,1
71,72,868,28,62,2,765,15,7.1,2,1
72,73,828,8,121,3,398,15,2.2,3,0
73,74,2246,16,163,1,413,45,3.5,1,1
74,75,650,10,104,4,91,38,1.4,2,0
75,76,2313,28,196,1,534,30,9.4,3,1
76,77,1229,15,23,1,268,42,6.9,4,0
77,78,952,17,180,1,224,23,7.7,3,0
78,79,2201,38,177,2,707,0,3.8,5,1
79,80,1254,29,98,5,251,10,8.6,3,1
80,81,2345,11,187,2,90,20,3.3,5,0
81,82,2020,8,117,2,158,3,1.0,2,0
82,83,1410,12,187,1,714,6,4.4,3,0
83,84,1935,24,150,2,185,25,6.1,2,1
84,85,1478,33,67,1,407,46,5.3,2,1
85,86,952,14,120,5,651,49,8.8,1,1
86,87,847,38,117,4,615,11,1.9,2,1
87,88,1320,30,51,1,466,30,6.0,2,1
88,89,842,7,61,5,236,16,5.6,3,0
89,90,656,10,122,4,417,32,3.5,3,0
90,91,1488,9,49,3,509,10,8.4,4,0
91,92,2331,9,165,1,369,27,7.8,1,1
92,93,1934,27,149,1,369,31,7.6,2,1
93,94,1313,13,8,3,233,0,8.9,1,1
94,95,1013,39,152,3,190,46,7.5,5,1
95,96,1470,24,51,1,569,27,3.1,2,1
96,97,545,39,147,3,421,41,7.4,1,1
97,98,2373,22,51,2,798,6,3.8,4,1
98,99,2207,21,82,4,706,1,3.2,4,1
99,100,2128,28,128,4,604,41,1.7,2,1
100,101,990,7,79,4,563,23,7.7,5,0
101,102,1509,36,107,2,99,3,7.4,4,1
102,103,1633,39,141,3,434,43,3.1,4,1
103,104,2172,17,94,5,637,18,7.7,5,0
104,105,2269,29,148,3,704,25,9.3,1,1
105,106,2047,13,73,1,620,10,2.0,4,0
106,107,1245,8,65,4,546,39,3.1,3,0
107,108,1501,18,142,3,149,49,7.8,4,0
108,109,2093,38,54,5,719,42,3.5,1,1
109,110,1813,15,7,1,717,10,6.6,1,1
110,111,2431,7,111,2,246,44,1.7,2,0
111,112,1804,32,117,2,85,2,5.1,3,1
112,113,2113,33,98,5,395,11,7.7,1,1
113,114,1979,13,122,1,728,2,7.2,5,1
114,115,2488,7,85,4,533,41,8.3,3,0
115,116,1946,29,113,3,773,26,8.9,3,1
116,117,1858,38,55,1,796,48,8.0,5,1
117,118,1850,16,151,2,484,1,7.0,4,0
118,119,1756,13,174,5,133,48,1.3,5,0
119,120,1422,19,39,5,106,15,5.8,5,0
120,121,2218,29,50,3,259,1,1.3,4,1
121,122,1732,9,158,5,287,29,8.3,4,0
122,123,1159,15,73,5,293,19,3.9,4,0
123,124,1929,38,97,1,360,37,6.1,4,1
124,125,1884,28,68,4,211,27,3.5,4,1
125,126,1098,19,169,3,797,24,8.0,5,0
126,127,767,12,53,1,579,31,9.0,2,1
127,128,1707,9,153,4,717,9,4.6,2,1
128,129,1133,30,78,1,56,41,8.8,1,1
129,130,1113,22,196,1,305,39,3.4,2,1
130,131,2448,10,9,5,681,32,5.8,2,1
131,132,2081,17,104,4,328,12,8.7,5,0
132,133,1945,32,74,3,120,40,3.9,4,1
133,134,1586,9,94,3,509,41,9.6,4,0
134,135,2303,17,8,4,602,46,2.1,5,0
135,136,1970,21,130,5,487,36,1.2,2,1
136,137,1013,36,43,2,480,15,9.1,5,1
137,138,1741,33,167,1,394,44,1.6,1,1
138,139,2086,7,133,5,704,21,9.9,4,0
139,140,1148,38,28,4,380,19,9.6,3,1
140,141,451,31,61,1,684,49,2.2,1,1
141,142,1091,17,104,3,429,42,5.8,1,1
142,143,2039,37,74,2,282,26,2.7,5,1
143,144,1304,10,45,3,488,40,4.9,2,1
144,145,2209,28,186,4,728,15,1.6,4,1
145,146,2111,23,178,1,528,33,3.0,3,1
146,147,1603,20,64,4,537,31,4.3,1,1
147,148,1526,32,112,1,333,25,4.9,3,1
148,149,2157,37,192,5,530,24,9.8,2,1
149,150,2145,17,61,2,627,1,8.3,2,1
150,151,2183,29,35,5,195,11,7.6,3,1
151,152,1889,31,88,5,444,39,5.8,4,1
152,153,1285,11,156,4,491,8,8.6,2,1
153,154,652,9,40,2,143,11,4.1,3,0
