,Lines_of_Code,Cyclomatic_Complexity,Code_Churn,Bugs_Reported,Code_Coverage,Number_of_Commits,Time_Since_Last_Update,Number_of_Dependencies,Number_of_Review_Comments,Number_of_Exception_Handlers,Code_Duplication_Ratio,Number_of_Unit_Tests,label
0,1226,32,180,0,67.90698582645723,9,232,13,7,7,0.2865075216882168,22,1
1,960,34,192,3,99.47526666921613,18,256,14,17,7,0.06612110547991064,32,1
2,1394,7,67,3,84.21571244626725,32,24,11,1,7,0.49852534637815005,21,0
3,1230,25,121,1,97.44903335235007,34,109,12,17,5,0.2185223800713916,36,1
4,1195,9,134,1,57.12782775165578,8,191,10,17,2,0.18063301345661065,31,1
5,1144,9,92,1,69.10697374162847,43,347,3,10,0,0.35800282567496977,41,0
6,221,23,76,1,77.73659016411771,24,25,13,0,1,0.18831070918271292,36,0
7,566,31,143,2,53.8379030944369,29,187,11,13,4,0.41830440946409125,11,1
8,1338,18,68,0,50.209372181397896,32,288,1,15,9,0.23259265493660838,42,0
9,430,30,76,2,83.52171668984587,16,116,9,10,4,0.3625836225000631,35,0
10,187,34,25,3,82.09097584007176,6,338,10,0,9,0.06265207605652441,37,0
11,1496,8,22,2,70.53944049998059,47,37,8,6,0,0.4245984009220048,28,0
12,1223,29,68,0,74.48220380160163,18,282,5,15,0,0.3705018135212738,14,0
13,971,17,86,2,70.77215002960448,26,137,13,13,8,0.11374122144636317,42,0
14,230,14,114,2,51.200252242244446,35,227,11,14,1,0.08119014477543546,29,0
15,1432,29,99,0,66.76858031087312,27,320,2,13,6,0.16498325087555596,39,1
16,869,22,170,1,58.85411276986449,24,328,5,10,9,0.4882745871556331,17,1
17,443,12,36,0,54.921209455068436,42,182,6,15,3,0.13584747153785873,47,0
18,905,12,15,0,97.83602169446749,8,362,14,18,6,0.23350233238385032,26,0
19,485,11,49,5,79.96798625210829,19,86,1,16,7,0.024709910601494793,10,1
20,1315,12,37,2,86.43281421183013,28,53,11,5,4,0.20464148948745395,12,0
21,1055,18,106,2,65.76818716330587,29,348,4,10,0,0.28994680756222035,35,1
22,376,23,173,2,69.65735647470076,5,355,9,16,3,0.4770310601289029,40,0
23,1284,33,140,1,61.84619969483617,11,235,2,8,9,0.2632006620206316,17,1
24,559,10,15,0,54.84828354827124,35,267,5,17,2,0.411362589827067,17,0
25,1437,5,183,0,58.95158187207919,16,287,1,16,9,0.2780925448587613,44,1
26,121,27,92,2,89.8757022648243,46,100,4,11,4,0.029984656583403872,48,0
27,352,19,45,2,83.87729025918878,9,87,4,4,9,0.1643540548429893,37,0
28,847,5,149,3,77.34644379927384,48,15,6,10,9,0.2920192588372406,13,1
29,956,29,80,2,73.7544936433384,46,101,10,3,5,0.47579104330625094,25,0
30,574,21,125,0,96.12171418280622,42,165,9,3,1,0.4309738762781043,22,0
31,1182,5,50,0,53.63674738893342,16,29,3,2,6,0.12189425094763534,29,0
32,610,19,164,2,64.0300406618958,43,114,9,16,2,0.11785381670939012,14,0
33,799,27,84,2,67.4968926785357,22,107,6,6,0,0.10857475388581136,46,1
34,1075,6,58,1,89.12129061063939,6,364,7,3,9,0.46202445918822654,29,0
35,289,18,90,3,99.62573100809857,14,130,12,12,2,0.4278064150198431,33,0
36,1057,25,96,0,62.03352573785765,19,84,10,11,8,0.3896928818039449,45,0
37,786,12,152,1,93.71536670685403,34,271,2,0,9,0.20244020596987153,43,0
38,1057,12,165,2,91.53113802158956,48,244,11,18,5,0.25714654510639573,43,1
39,662,23,172,1,61.23286988208833,21,214,10,19,5,0.23752255494962488,28,0
40,1367,11,164,2,69.96662900996112,8,306,14,17,3,0.13416507270409259,26,1
41,931,23,101,1,70.48364346462596,11,166,6,10,7,0.2574637426128958,14,1
42,1254,10,6,0,98.91103342632792,45,279,6,19,4,0.024943308447849685,34,0
43,746,10,37,1,59.044595068944915,35,59,2,2,6,0.07458708301375498,27,0
44,120,7,162,1,89.9578985552391,43,90,2,16,8,0.44442890212278374,17,1
45,940,11,165,2,66.7096357086555,38,331,14,11,4,0.3783230858453974,36,1
46,266,23,81,4,86.54351728880802,10,194,2,9,4,0.21720552043895267,24,0
47,1397,12,120,1,71.00055021478315,42,123,10,7,3,0.2634036775190998,22,1
48,487,14,158,2,78.917988155827,49,136,12,14,5,0.19129945412038896,25,0
49,700,24,154,1,91.63058866630655,38,139,1,4,1,0.3729821349087295,31,0
50,415,19,107,3,90.20827824919421,48,229,5,3,2,0.394251717823719,29,0
51,113,19,198,1,93.321159176985,19,274,8,19,0,0.38400974319954795,22,0
52,341,33,170,0,52.980866267232955,18,50,2,18,1,0.3640797451688803,29,1
53,876,5,107,1,84.60252765198724,10,118,13,3,1,0.11020712595946995,11,1
54,1469,24,94,3,56.999368836088145,41,202,5,14,7,0.1756052898278346,44,0
55,664,34,178,2,70.79092840092055,36,191,12,16,7,0.2402242631420007,28,0
56,997,11,126,2,77.42942075273442,7,364,8,11,1,0.17208856579955126,46,1
57,1463,31,147,1,70.13697423734153,7,323,10,2,5,0.3799206980775812,15,1
58,191,8,110,0,75.98058379015038,26,181,14,9,4,0.17138322688247778,23,0
59,1490,33,123,4,99.82631543993097,26,78,5,14,2,0.0777337225248152,13,1
