,Age,Gender,Income,Education,Occupation,Marital Status,Number of Children,Frequency of Purchases,Spend per Purchase,Location,Demographic,Marketing Engagement,Past Purchase History,Response to Previous Campaigns,label
0,56,Female,19171.73949330819,Doctorate,Artist,Married,2,Weekly,24.03950683025824,Los Angeles,Urban,False,True,0,0
1,57,Female,11029.224714790122,Bachelor's Degree,Medicine,Single,1,Weekly,26.364247048639054,Philadelphia,Urban,False,False,0,0
2,42,Male,40592.64473611898,Bachelor's Degree,Medicine,Divorced,1,Weekly,80.66583652537122,Los Angeles,Rural,True,False,0,1
3,20,Female,44015.376929388985,High School,Science,Single,3,Daily,96.90688297671034,Chicago,Rural,True,False,1,0
4,19,Female,32007.624686980063,Master's Degree,Lawyer,Married,3,Monthly,25.602818815699486,New York,Rural,False,False,0,0
5,19,Male,20397.083143409443,Doctorate,Arts,Married,2,Weekly,79.76195410250031,Chicago,Rural,False,False,0,0
6,48,Female,14424.625102595975,Master's Degree,Lawyer,Married,1,Daily,44.98095607205338,Chicago,Urban,True,False,0,0
7,42,Male,37134.804157912426,High School,Artist,Divorced,0,Daily,11.407276606707454,New York,Rural,True,False,0,0
8,41,Male,19942.12020444026,Doctorate,Teacher,Divorced,0,Monthly,16.664018656068134,San Antonio,Rural,True,False,1,0
9,26,Female,26544.90124263246,Doctorate,Science,Divorced,1,Daily,75.66455605042577,San Diego,Rural,True,True,1,0
10,52,Male,45662.239361149754,High School,Artist,Single,2,Monthly,33.046149048519155,Los Angeles,Urban,True,True,0,0
11,59,Male,20085.96011676981,Doctorate,Science,Married,3,Daily,55.77136220482325,Phoenix,Urban,True,True,1,0
12,32,Female,21439.908274581125,Doctorate,Science,Divorced,2,Weekly,89.2421055113732,Chicago,Urban,False,True,1,0
13,23,Male,20922.02186084168,Doctorate,Arts,Single,2,Weekly,20.9879159230606,New York,Urban,False,True,1,0
