,Age,Gender,Location,Education,Income,Purchase History,Campaign Participation,label
0,56,Male,"Los Angeles, CA",Bachelor's,92279,8,No,0
1,46,Female,"Chicago, IL",High School,25434,3,Yes,1
2,32,Female,"Los Angeles, CA",Master's,74047,8,No,1
3,60,Female,"Los Angeles, CA",Bachelor's,57775,9,No,1
4,25,Male,"Los Angeles, CA",Bachelor's,85769,2,Yes,0
5,38,Male,"Los Angeles, CA",Master's,76677,7,No,1
6,56,Male,"New York, NY",Master's,93555,0,No,1
7,36,Male,"Boston, MA",Master's,95920,8,Yes,1
8,40,Male,"New York, NY",Master's,55734,8,Yes,1
9,28,Male,"Chicago, IL",High School,98503,9,No,0
10,28,Male,"New York, NY",Master's,50603,1,No,1
11,41,Male,"New York, NY",Bachelor's,86708,3,No,0
12,53,Female,"Chicago, IL",Bachelor's,91926,7,Yes,1
13,57,Female,"Chicago, IL",High School,78803,6,No,1
14,41,Male,"Chicago, IL",Bachelor's,49332,0,No,0
15,20,Male,"New York, NY",Bachelor's,31312,4,No,0
16,39,Female,"New York, NY",Master's,94526,6,Yes,1
17,19,Male,"Chicago, IL",Bachelor's,54179,3,Yes,0
18,41,Male,"Boston, MA",High School,81442,0,Yes,0
19,61,Male,"Boston, MA",Master's,50379,8,Yes,1
20,47,Female,"Los Angeles, CA",Master's,27297,4,No,1
21,55,Female,"Chicago, IL",High School,12011,1,Yes,1
22,19,Female,"Los Angeles, CA",Master's,54014,7,No,1
23,38,Female,"Boston, MA",Master's,21738,1,No,1
24,50,Female,"Los Angeles, CA",High School,57498,2,No,1
25,29,Male,"Chicago, IL",Master's,21120,9,No,0
26,39,Female,"Chicago, IL",High School,18767,0,Yes,1
27,61,Male,"Chicago, IL",High School,32852,1,Yes,0
28,42,Male,"New York, NY",Bachelor's,89239,6,Yes,1
29,44,Female,"Los Angeles, CA",Bachelor's,10929,9,Yes,1
30,59,Female,"Boston, MA",Master's,87487,1,Yes,1
31,45,Male,"Boston, MA",Master's,27438,5,No,1
32,33,Male,"Boston, MA",High School,58515,2,Yes,0
33,32,Male,"New York, NY",Master's,15744,3,Yes,1
34,64,Female,"New York, NY",High School,93820,7,Yes,1
