,Age,Income,Months_Since_Last_Purchase,Total_Spent,Number_of_Transactions,Campaign_Opened,Campaign_Clicked,Days_Since_Last_Campaign,Customer_Loyalty_Score,Average_Order_Value,Number_of_Products_Viewed,Campaign_Sent,Time_Spent_on_Site,label
0,69,101994,17,8237.903842212947,36,1,3,257,88.65954415023984,366.63770009645646,100,8,147.36336636594004,1
1,32,76133,9,9550.60511484989,47,2,0,126,41.09425523501099,619.1214000466963,85,7,95.18844350954483,0
2,78,81268,24,8211.982825502266,44,2,1,281,60.43044198214788,159.3948847714022,61,3,24.516631301436597,0
3,38,189315,1,15.651051914729042,38,2,3,87,63.00186806188274,968.0221720457387,63,10,185.5868402474043,1
4,41,51653,24,6364.01370183407,31,5,2,203,41.73829418004733,914.7493287276603,16,4,90.81931867550732,0
5,20,177729,21,511.35381442100726,16,3,1,15,14.431204368748151,166.9501790344692,77,6,146.89740806448071,0
6,39,191024,0,2576.0722033372185,34,3,2,150,9.355940691233556,121.15546126098542,61,7,73.43476288625843,1
7,70,173252,3,595.2470034777168,36,4,3,253,1.66715505996331,85.40848280826529,34,4,3.776175715246932,0
8,19,141829,13,6037.954529493877,18,5,2,187,87.35342642452146,909.4436640366312,12,8,20.10607173836718,0
9,47,148377,0,6865.899134926068,43,2,3,328,23.647491223869455,193.6238097954608,34,9,99.24389589798488,1
10,55,21622,13,1144.8763806590512,28,0,3,31,21.150674928176805,416.2849285443547,42,3,137.99287142527248,1
11,19,68756,15,3838.388830449795,6,4,3,270,73.60354004260655,448.851365652003,1,3,66.94706531585581,0
12,81,60809,21,4562.36508955542,27,0,1,4,32.00161130873917,599.0110442135675,55,7,139.09769183553007,0
13,77,36725,13,3690.530217609166,8,3,2,329,50.60446924118366,71.73534374742496,76,0,139.7271178863912,0
14,38,71226,19,1210.2500048519305,27,4,2,307,16.25110652974563,226.75861740051596,50,7,140.78718146556616,0
15,50,101182,2,4189.477901874754,5,4,0,332,95.97457214619692,931.4903869189261,53,4,98.50437080410168,1
16,75,49402,2,7511.780478084182,28,1,0,168,85.15814000172374,908.4101072685695,15,10,182.9772300243008,1
17,39,24263,8,710.0766453325547,16,3,0,180,86.37896229650033,781.2906474056922,17,0,97.83930359612312,0
18,66,197900,5,801.8001408190345,15,3,0,365,40.67737485720052,19.401245618215434,6,3,90.05303869932763,0
19,76,67924,24,3547.712918359842,22,5,2,177,76.23612137071729,327.0067684961021,44,1,39.8761638021254,0
20,59,94182,12,9417.25711618925,30,4,3,142,14.387615538978016,627.9587353429079,35,3,61.531017471267305,0
21,77,162736,20,6685.72646722914,2,3,3,361,0.8619002591780278,275.1902117734757,40,7,8.46689850366067,0
22,32,55737,1,6786.699566725648,20,4,1,247,1.9972932578028124,909.5866950537774,93,4,126.70705872323404,1
23,79,121332,7,3619.1999083786495,25,5,3,126,58.660173740456045,633.8894618324418,41,0,49.707148785418575,0
24,79,109563,20,5936.607912085385,35,5,2,262,45.53949052479408,71.9067173164456,6,6,60.83105089709302,0
25,64,180445,1,101.31184027743379,41,1,2,39,51.801534890851975,909.0055888357031,14,0,154.16290433286423,0
26,79,187469,3,6360.960464095422,36,4,2,354,0.7463140417219405,957.7666581762226,59,8,65.44423663229078,0
27,68,148575,24,9132.869475762367,21,3,1,254,42.268661965742574,77.71241839172549,39,2,48.439178402628436,0
28,72,121371,14,6125.734683448191,41,3,0,142,71.80681612008608,532.3602348613149,82,2,33.81154982674115,0
29,81,58709,3,8736.985934663451,11,4,3,239,44.26937019674359,303.36428221417043,36,5,154.97168043639118,1
30,20,170322,12,7239.730554660938,41,4,2,227,73.22192063122223,392.83907648140234,65,9,25.941251598005376,0
31,68,41172,11,1205.5841640369024,12,4,2,340,23.30189643968348,179.65121795534188,54,5,90.7507520500707,0
32,24,31555,12,9024.533072858418,10,2,0,197,81.31420044817254,578.0721020124125,76,10,101.38602321543888,0
33,38,73276,13,664.4384435577489,15,3,2,64,58.84312404534523,957.9793532488906,94,10,137.4779825371429,0
34,56,77492,19,5339.674725477637,7,5,3,10,21.076309942990623,503.0726002716091,79,5,126.6566964665991,1
35,35,109599,17,1421.3712379345766,39,3,1,107,23.672047585383293,82.91458139448116,55,0,162.14413458903496,0
36,21,175834,5,117.06610730904066,39,2,2,25,62.8030464569537,620.0013334774084,43,4,8.95028678524763,0
37,77,31046,10,4220.34260127639,44,4,3,150,82.99395932124433,340.222994451257,56,5,59.28814495587944,0
38,31,136021,1,2950.407076541562,1,1,2,220,41.56277820291552,855.9251895912978,5,7,56.02682375507595,0
39,26,179841,22,4860.00493797603,29,4,0,340,25.83004291275922,434.67814831647024,91,0,29.203381118421646,0
40,70,174222,18,5771.998867345508,29,4,2,236,86.70116069106004,192.8396089422456,31,4,57.83565077128863,0
41,19,24853,18,437.39072308947357,11,2,2,236,66.9268291750835,191.10562269114496,73,2,61.953062828580684,0
42,77,140900,4,1230.0329512374565,9,3,1,218,44.80854872830765,768.7641807211604,17,1,104.37689238549565,0
43,61,172864,18,5586.4239645042535,43,4,0,150,48.790019527930184,265.5875983073599,67,10,132.7408957852512,0
44,25,79129,1,3431.6735317265825,10,3,0,122,20.42564679363964,767.2333941592229,72,7,76.22010272236281,1
45,64,134130,9,7291.73487549448,14,0,1,143,62.680263006484395,205.8873107665994,6,6,143.89404626267623,0
46,52,183059,24,6522.916485919397,15,5,2,188,35.87425105428886,321.6863687013094,7,9,67.233067715916,0
47,53,166922,1,8456.043629899068,16,3,3,254,99.56451766743493,465.4869724396994,63,6,58.05673546295207,1
48,67,163184,10,6924.928266692253,25,1,0,67,48.01835152618879,943.1958496934507,6,4,108.23761117140486,0
49,21,141789,17,4299.310773901481,1,5,0,103,48.58856061896132,931.7314247538246,40,8,4.743272061158121,0
50,19,175130,23,6729.666223944324,49,1,2,335,56.58517874106719,206.8718754222878,39,4,15.957824726800073,0
51,23,196492,14,2753.8117425541855,11,4,2,158,91.67560031187467,358.2190412430728,2,1,83.59390871730541,0
52,71,58890,8,3063.1349877821267,50,5,0,308,80.08180998597503,149.39938845377233,16,2,188.5825422783513,0
53,21,86017,22,7889.851599207933,25,3,2,361,45.113006979784146,509.9850793134971,65,3,144.30235596868474,0
54,71,198376,18,4464.195164015821,22,5,3,299,71.8699265972796,460.58255069466657,78,4,17.62531390011155,0
55,80,183993,8,7983.803405183525,17,4,0,89,58.62354987807616,900.7601624507324,92,2,169.26360255617473,0
56,35,152596,2,8224.223736682785,31,2,3,356,49.23670487012489,930.0053777910726,51,6,146.4601541216362,1
