,language,file_size,lines_of_code,branches,comments,complexity,num_functions,num_dependencies,vcs,release_cycle,code_reviews,unit_test_coverage,mutation_score,code_smells,vulnerabilities,code_quality_metrics,label
0,Java,6138,527,6,73,5,30,94,Git,monthly,78,0.56,0.94,True,True,0.92,0
1,C++,99,816,63,70,51,60,60,Mercurial,weekly,35,0.61,0.66,True,True,0.71,0
2,JavaScript,7971,832,4,2,43,47,18,SVN,weekly,61,0.72,0.74,False,False,0.58,1
3,Java,6428,721,47,31,19,19,26,SVN,weekly,24,0.86,0.48,True,True,0.66,1
4,Java,444,377,55,46,13,30,32,SVN,weekly,44,1.0,0.76,True,False,0.78,0
5,Python,5104,13,41,87,57,16,36,Git,daily,63,1.0,0.76,True,False,0.96,0
6,JavaScript,3389,180,7,60,77,95,73,Mercurial,weekly,95,0.81,0.78,True,False,0.85,0
7,JavaScript,294,423,53,50,66,77,2,Git,weekly,31,0.76,0.42,False,True,0.7,0
8,JavaScript,8463,755,80,55,96,93,59,SVN,weekly,23,0.59,0.74,False,True,0.57,1
9,Python,5376,977,62,31,58,70,30,SVN,daily,8,0.78,0.26,True,True,0.85,0
10,C++,4136,928,30,92,16,73,21,SVN,weekly,58,0.8,0.22,True,False,0.89,0
11,Python,2398,962,13,24,3,27,1,Mercurial,weekly,71,0.68,0.23,True,True,0.68,1
12,C++,7325,593,76,19,48,1,82,Git,monthly,31,0.87,0.91,False,True,0.88,0
13,Java,6759,370,43,13,86,65,22,Mercurial,weekly,43,0.57,0.71,False,False,0.59,1
14,JavaScript,2125,158,18,33,65,69,42,Git,weekly,99,0.57,0.98,False,True,0.96,0
15,JavaScript,6487,384,18,91,4,72,59,Mercurial,daily,7,0.65,0.47,True,True,0.54,1
16,Java,5097,386,45,82,76,88,58,Git,weekly,60,0.7,0.14,True,True,0.51,1
17,JavaScript,9361,726,69,61,17,38,68,Git,weekly,44,0.71,0.5,True,True,0.89,0
18,Java,7347,775,40,16,100,68,84,SVN,weekly,81,0.68,0.21,True,True,0.74,0
19,JavaScript,3050,19,72,30,65,67,83,Mercurial,monthly,54,0.73,0.3,True,False,0.75,0
20,Python,7796,491,4,89,79,82,61,Mercurial,weekly,32,0.81,0.42,True,False,0.91,0
21,Python,8212,879,80,14,69,11,30,SVN,weekly,100,0.73,0.45,True,False,0.9,0
22,JavaScript,2537,589,83,55,100,99,40,Mercurial,daily,21,0.63,0.22,True,True,0.84,0
23,JavaScript,7286,379,6,95,90,91,83,Mercurial,daily,10,0.78,0.84,False,False,0.53,1
24,Java,5881,105,26,80,27,54,64,Mercurial,monthly,77,0.54,0.83,True,True,0.64,1
25,Java,2853,244,54,53,70,8,86,Git,weekly,86,0.85,0.26,True,True,0.84,0
26,Java,530,714,30,82,95,7,5,Git,monthly,91,0.5,0.55,True,True,0.91,0
27,Java,7739,153,80,15,68,97,98,Mercurial,daily,86,0.86,0.87,True,True,0.73,0
28,Java,1681,872,78,93,36,56,5,Mercurial,monthly,96,0.64,0.74,True,False,0.58,1
29,Java,9806,144,62,72,72,7,28,SVN,weekly,27,0.58,0.18,True,True,0.56,1
30,Python,8688,311,5,56,13,71,44,Mercurial,daily,56,0.62,0.27,False,True,0.79,0
31,C++,30,727,90,55,64,70,96,Mercurial,daily,68,0.82,0.14,True,False,0.69,1
32,C++,1297,323,23,68,59,62,18,Git,monthly,1,0.83,0.53,False,True,0.87,0
33,JavaScript,6211,913,13,82,48,35,9,SVN,daily,74,0.84,0.41,False,True,0.9,0
34,Java,7281,850,23,77,73,33,92,Git,daily,70,0.67,0.14,True,False,0.72,0
35,JavaScript,6262,152,45,18,27,54,54,SVN,daily,13,0.65,0.72,False,True,0.92,0
36,Python,4049,278,32,74,88,54,89,SVN,weekly,97,0.72,0.55,True,False,0.74,0
37,JavaScript,5733,28,61,29,37,24,13,Git,weekly,24,0.78,0.22,True,True,0.73,0
38,Java,925,779,6,78,90,93,96,SVN,daily,63,0.84,0.53,False,True,0.68,1
39,Java,8824,682,81,43,53,20,23,SVN,monthly,4,0.84,0.54,True,True,0.71,0
40,JavaScript,1779,855,28,48,73,32,100,Git,monthly,71,0.53,0.79,False,False,0.56,1
41,JavaScript,4622,707,83,11,37,58,92,Git,monthly,59,0.6,0.42,False,True,0.91,0
42,JavaScript,4571,10,77,49,75,72,92,SVN,monthly,99,0.72,0.96,False,True,0.72,0
43,C++,6890,587,21,17,36,42,11,Mercurial,monthly,73,0.78,0.55,False,True,0.7,0
44,Java,3583,507,51,82,48,43,85,Git,daily,25,0.83,0.13,True,False,0.7,0
45,C++,7241,414,93,76,74,72,43,Mercurial,monthly,81,0.72,0.32,False,True,0.57,1
