,Lines of Code,Cyclomatic Complexity,Number of Functions,Number of Classes,Function Complexity,Class Inheritance,Test Case Count,Developer Experience,label
0,280,5,32,3,5.831733732583967,4.091865385544443,46,8,1
1,245,23,7,8,1.9702354535542999,2.9506418523785882,20,6,1
2,272,6,18,17,4.673221079459213,3.80018692843053,40,5,1
3,174,19,48,16,2.3863816848957464,1.0883480789231592,10,3,1
4,374,11,21,12,8.985009457919196,0.5506878503772261,33,8,1
5,113,7,34,3,8.234752201627305,4.839855889460518,17,2,1
6,142,19,29,12,1.613122528157499,1.335444595648101,38,4,1
7,110,5,16,6,7.3224451427625725,3.9356039113128065,9,1,1
8,390,28,31,7,3.981766960274673,2.5727557308401257,14,9,1
9,76,7,34,17,0.20631918155433082,4.722132903050383,37,8,1
10,441,11,12,12,1.7189364884372371,0.16052532836113464,15,0,0
11,224,23,41,14,4.122819006901119,1.124866603954882,5,2,1
12,309,14,31,10,1.7285025009817145,3.5280268549316474,7,7,1
13,426,10,1,16,2.5068658223618687,1.1104525274469679,27,9,0
14,192,22,42,4,7.488533622187228,4.4956793289945916,26,9,1
15,275,18,8,15,7.574484005605639,0.8100132446265151,34,8,1
16,477,6,18,1,7.07114717107653,4.7662890388291075,39,2,1
17,497,14,29,9,0.26026811984979803,1.8475808919248866,42,9,1
18,84,23,17,15,4.085361514697015,0.7416803889257589,2,3,1
19,209,8,24,17,7.900605098973306,3.1780752370675103,48,0,1
20,490,29,1,5,7.257012777098625,1.6261942226134751,24,6,1
21,200,13,37,5,8.208829883395918,4.232711365682274,5,8,1
22,128,21,46,11,6.084992576397181,1.2908705108694734,33,4,1
23,404,10,43,5,2.303577932898735,0.5560394983233929,27,0,1
24,324,10,10,13,8.569055268518389,3.3787390372225263,41,1,0
25,458,21,14,10,6.549006356163277,1.2533321048946484,1,5,1
26,53,21,38,17,8.749964955183964,0.7174960088752841,49,3,1
27,377,16,16,19,5.146624759327727,0.6171814862491876,31,9,1
28,122,10,12,11,6.524026622176081,4.2379304459411085,9,2,1
29,355,17,25,17,6.435172498839645,4.994552184167988,15,9,1
30,448,9,48,8,5.751794777706449,1.777018420253429,36,7,1
31,443,16,41,2,9.929892619090586,3.8088126843994337,10,9,1
32,267,9,48,2,7.635767205023695,2.2153833362995163,5,9,1
33,442,14,44,14,7.03728548682148,3.2912636854166726,17,0,1
34,84,18,16,1,4.144641827611699,1.8614716223582783,4,9,1
35,491,9,45,4,6.728844684600956,4.075590545450092,17,6,1
36,91,7,31,10,8.645288561278244,4.005302461913413,44,4,1
37,477,7,37,12,8.580361247980893,4.805225153111675,13,6,1
38,295,16,34,17,6.3472844888886755,4.168811650453269,25,2,1
39,156,15,37,5,2.2935531552395783,2.0076620716983484,46,0,1
40,257,26,21,8,7.415871618398732,2.3361430787999433,37,6,1
41,379,7,3,7,9.648089423094182,4.047517180665925,32,6,0
42,340,22,3,6,6.480100215586004,3.5841772341640645,29,9,1
43,135,8,10,19,5.977688207877977,2.862924976466776,5,0,1
44,313,26,42,4,9.50259208139025,1.8480302021728328,25,5,1
45,406,20,5,7,5.024559181814494,2.0555427283041223,44,6,1
46,417,26,1,16,8.93896994817823,2.1755996319416475,1,4,1
47,323,21,25,10,6.224342027086079,2.0993719273590523,0,3,1
48,98,18,16,18,6.963608085070531,1.6396778463950286,36,3,0
49,364,10,17,7,7.441682198617729,0.26070991376145547,36,0,1
50,442,22,15,9,3.724713768257023,2.557903426907676,16,1,1
51,384,16,30,7,9.815753093783584,1.6864676480021097,33,6,1
52,218,20,40,17,2.7189092569682938,3.899799674932183,5,5,1
53,269,23,10,11,3.1024222891282793,2.9400480495147425,12,2,1
54,114,10,6,13,6.877186772857123,0.08715393469039823,4,8,0
55,318,27,13,16,5.79355500818791,0.30221900573393634,24,5,1
56,212,13,5,16,9.682567522370565,0.655691383922718,13,5,0
57,440,5,19,9,4.211653591212604,4.431929125034691,0,3,1
58,367,28,39,17,1.4382734314644041,0.45831511109017786,13,8,1
59,315,13,38,1,4.000167462673816,3.37581029500335,24,1,1
