,Code_ID,Lines_of_Code,Complexity_Score,Code_Avg_Cyclomatic_Complexity,Num_Functions,Num_Variables,Code_Avg_Nesting_Depth,Commented_Lines_Percentage,Previous_Defects,label
0,1,732,1.27,3.1,17,37,2,55.0,4,0
1,2,678,10.71,1.9,36,45,2,18.42,4,1
2,3,925,4.61,5.5,30,36,5,72.29,2,0
3,4,569,10.6,5.6,9,85,7,82.2,4,1
4,5,922,13.25,4.9,35,34,6,14.79,2,1
5,6,153,10.15,2.3,18,72,3,67.31,0,0
6,7,955,11.26,2.3,18,82,2,72.92,0,0
7,8,730,2.73,5.8,25,48,7,6.86,2,1
8,9,965,1.02,1.7,47,8,7,49.85,0,0
9,10,888,12.81,5.7,40,80,1,93.56,5,1
10,11,583,2.14,2.6,42,29,6,27.64,5,1
11,12,449,12.69,5.8,22,37,1,57.0,2,1
12,13,1000,13.39,5.6,36,12,5,29.13,3,1
13,14,201,13.31,4.6,19,41,1,1.12,3,1
14,15,504,11.99,5.9,50,8,1,29.84,4,1
15,16,397,12.57,1.4,36,48,4,21.21,1,0
16,17,273,2.08,3.5,45,28,5,99.2,4,1
17,18,549,11.2,3.1,10,50,3,9.42,2,0
18,19,277,5.77,1.8,19,97,4,11.83,4,0
19,20,958,8.11,3.9,11,7,6,10.41,4,1
20,21,596,4.03,2.8,7,56,6,61.93,3,0
21,22,943,10.14,5.9,35,38,7,6.75,0,1
22,23,457,1.14,4.7,24,10,5,87.06,3,0
23,24,252,14.54,2.7,50,85,3,44.14,2,1
24,25,300,7.36,3.8,13,62,4,40.05,5,0
25,26,782,7.63,1.3,17,36,2,18.59,3,0
26,27,335,6.03,5.5,22,73,5,77.18,1,0
27,28,917,8.78,2.0,6,10,7,85.1,1,0
28,29,233,13.77,4.8,12,38,5,0.0,3,1
29,30,253,7.28,1.5,12,35,5,47.74,5,0
30,31,649,6.25,2.5,24,81,4,45.1,2,0
31,32,278,11.49,5.0,15,78,3,26.12,4,1
32,33,280,10.03,1.8,18,87,7,66.89,3,0
33,34,187,3.0,1.6,35,47,4,71.28,2,1
34,35,899,14.66,3.5,42,55,1,41.02,3,1
35,36,293,1.34,5.6,28,70,1,85.02,1,0
36,37,891,10.5,5.8,44,71,1,36.23,0,1
37,38,339,3.27,5.5,36,90,4,74.1,4,1
38,39,545,4.22,2.5,17,38,2,98.42,5,0
39,40,914,4.82,2.4,16,56,4,99.6,5,0
40,41,936,6.2,1.8,36,53,7,14.24,3,1
41,42,521,9.64,3.3,32,3,6,31.37,0,0
42,43,269,8.39,1.7,23,71,7,49.34,0,0
43,44,804,13.23,4.5,26,63,5,98.23,5,1
44,45,676,13.39,5.6,40,32,5,7.27,0,1
45,46,810,1.99,3.8,27,86,6,0.55,3,1
46,47,346,4.63,3.9,14,97,4,17.08,4,0
47,48,558,11.98,1.6,43,89,6,27.95,1,0
48,49,418,7.49,3.9,15,42,7,10.3,1,1
49,50,906,3.89,4.5,15,33,1,39.42,1,0
50,51,361,14.4,2.4,44,16,7,46.02,4,1
51,52,648,10.99,3.8,7,51,5,12.93,1,0
52,53,1000,7.4,3.1,12,30,6,71.49,5,0
53,54,616,9.86,2.8,24,67,7,88.02,0,0
54,55,813,3.95,5.5,27,71,1,43.39,0,0
55,56,935,10.81,2.7,16,14,2,58.8,5,0
56,57,995,8.29,1.9,6,58,4,60.32,1,0
57,58,716,10.87,4.0,28,87,3,72.65,5,0
58,59,803,14.47,3.3,43,92,7,11.81,0,1
59,60,430,5.03,2.2,40,51,6,67.66,3,1
60,61,551,1.14,3.4,6,95,5,92.98,0,0
61,62,293,8.47,4.0,48,38,3,70.99,4,1
62,63,764,6.0,4.9,32,61,2,37.41,2,1
63,64,255,1.8,5.8,13,12,4,26.84,4,0
64,65,594,7.91,3.0,17,81,6,47.47,5,0
65,66,520,2.81,2.5,15,37,7,32.6,0,0
66,67,779,11.94,2.9,25,93,6,39.83,1,0
67,68,944,6.13,1.5,8,51,4,5.96,3,0
68,69,237,11.84,1.7,8,28,6,2.38,2,1
69,70,869,10.03,3.8,14,73,6,30.19,2,0
70,71,889,2.22,2.2,22,63,3,17.0,4,0
71,72,800,2.49,5.0,48,6,7,17.64,5,1
72,73,241,10.78,2.8,41,24,2,25.27,1,0
73,74,919,7.44,2.4,13,87,6,75.75,5,0
74,75,797,3.78,2.1,40,33,3,51.45,4,1
75,76,442,10.86,3.1,44,20,4,43.92,1,0
76,77,249,9.26,2.6,10,27,2,19.45,5,0
77,78,271,4.25,1.2,16,73,6,1.65,4,1
78,79,629,7.09,1.4,45,93,4,11.74,1,0
79,80,770,13.72,3.5,40,25,2,63.58,4,1
80,81,685,8.05,3.8,21,20,2,32.08,3,0
81,82,849,12.25,1.8,28,13,3,23.78,4,0
82,83,551,7.53,2.1,50,41,1,71.69,5,1
83,84,801,10.95,4.1,16,78,7,99.72,0,1
84,85,136,10.91,2.9,26,14,2,83.55,5,0
85,86,144,5.95,4.7,5,95,3,47.71,2,0
86,87,875,13.57,3.0,46,91,4,92.29,1,0
87,88,786,8.69,3.2,25,97,1,60.4,3,0
88,89,910,3.52,3.0,20,62,5,16.9,2,0
89,90,308,11.58,2.0,40,75,7,53.84,2,1
90,91,559,1.9,2.1,10,23,5,96.38,2,0
91,92,933,10.62,4.9,32,49,5,34.83,5,1
92,93,763,9.83,4.5,16,63,6,4.12,5,1
93,94,887,4.09,3.7,22,50,1,65.19,1,0
94,95,674,9.99,5.9,33,39,1,55.73,4,1
95,96,678,9.45,2.1,44,10,2,50.24,5,1
