,LinesOfCode,CyclomaticComplexity,NumberOfMethods,NumberOfParameters,CommentDensity,CodeChurn,CodeAge,CodeRevisions,BugFixes,CodeCoverage,DefectDensity,LinesOfCodePerMethod,Coupling,FanOut,FanIn,HalsteadVolume,HalsteadDifficulty,MaintainabilityIndex,label
0,15,64,-167,-311,0.0,57,-915,-316,399,100.0,96.63,259.91,165,152,-202,114,134,0,1
1,166,-271,376,344,0.0,-302,-240,-211,-35,0.0,227.27,-82.62,8,16,-81,-57,-156,100,1
2,228,104,36,123,1.0,-269,1230,349,304,100.0,0.0,-573.27,353,-137,-102,102,-176,0,1
3,-33,431,-25,45,1.0,-45,-341,225,-99,3.2,284.53,302.81,-146,8,-148,894,360,100,1
4,184,46,26,186,0.0,-127,563,148,70,0.0,161.56,-84.39,210,-55,490,-199,535,0,1
5,89,-497,-251,-239,0.0,-140,996,-42,210,100.0,0.0,-300.26,256,-385,430,-219,-51,0,0
6,-48,-105,-134,-532,0.0,77,-470,-365,288,100.0,44.21,187.28,54,93,205,168,5,0,0
7,-225,-380,-183,364,0.0,210,27,148,-118,0.0,0.0,79.45,-68,141,239,-338,-36,100,0
8,529,-149,-201,561,0.0,-336,288,52,-52,100.0,67.18,147.34,340,-245,14,-21,82,0,1
9,-436,393,283,129,0.0,-109,-308,246,-23,100.0,335.87,444.14,-153,420,-120,203,95,0,1
10,141,-281,366,396,1.0,-103,538,-119,70,0.0,0.0,-301.28,314,-54,-170,-570,-235,0,0
11,-312,-357,-13,415,1.0,-379,691,234,531,100.0,0.0,-127.95,175,-420,160,607,86,100,0
12,207,-528,-147,109,1.0,531,576,270,-126,47.13,307.32,-97.08,-36,-137,-249,52,-529,0,1
13,-444,-397,373,275,1.0,-440,-1416,-588,-380,0.0,135.04,55.64,-297,113,-259,-2153,988,0,1
14,207,-228,-169,203,0.0,320,251,210,-343,0.0,43.24,272.81,-13,-10,159,-7,75,0,1
15,215,980,166,705,1.0,103,-483,249,200,0.0,0.0,-248.23,-14,144,-193,488,799,94,0
16,-62,46,111,-158,1.0,-211,-83,-217,307,100.0,0.0,-282.19,196,56,4,-23,-3,100,0
17,120,-491,-235,-171,1.0,308,32,10,-49,0.0,200.33,-179.04,-74,0,0,-412,-423,0,1
18,-4,-122,-20,-595,0.0,-53,30,-23,270,100.0,0.0,-79.45,271,-37,43,-169,135,0,0
19,57,55,-6,-315,1.0,276,-147,-365,276,100.0,68.47,138.74,244,195,90,17,9,0,1
20,327,87,171,399,0.0,516,-208,-3,112,0.0,0.0,-251.72,-325,-81,-169,-533,326,0,1
21,-429,32,698,-323,1.0,-219,-665,-296,186,0.0,342.18,107.95,15,477,-14,-672,311,0,1
22,-170,191,17,-254,0.0,37,-732,-324,136,24.51,112.41,149.41,445,372,-282,-688,219,0,1
23,154,-14,386,262,1.0,-183,434,-41,45,0.0,0.0,-87.94,487,76,219,-238,299,100,0
24,338,-33,-219,-89,1.0,-212,909,46,408,100.0,112.75,-481.75,332,-426,471,871,-165,100,0
25,184,-68,-171,87,1.0,349,650,325,37,0.0,0.0,-142.14,-39,-315,83,404,7,0,0
26,-193,122,264,54,0.0,-479,-258,-449,215,0.0,195.54,-715.56,-144,-193,201,-357,76,100,1
27,-63,242,165,-591,0.0,160,204,65,209,95.54,369.82,117.09,159,122,162,548,-120,0,1
