,Age,Race,Location,Time,Weather,Severity,Record,Weapon,Injuries,Relationship,label
0,10,Hispanic,Chicago,5,Rainy,3,0,1,0,Unknown,1
1,5,Asian,Houston,5,Rainy,1,0,0,0,Unknown,1
2,61,White,Phoenix,2,Snowy,5,1,1,1,Victim,1
3,78,Asian,New York,5,Clear,3,0,0,1,Unknown,0
4,26,Other,Houston,3,Snowy,2,0,1,0,Victim,0
5,73,Black,Phoenix,2,Snowy,1,1,0,1,Defendant,0
6,66,Asian,Houston,5,Snowy,5,0,1,1,Victim,1
7,62,Hispanic,New York,5,Clear,5,0,1,0,Victim,1
8,23,Black,Houston,1,Snowy,5,1,1,0,Victim,1
9,45,Black,Chicago,5,Snowy,1,1,1,0,Victim,0
10,34,Black,Houston,5,Cloudy,1,1,1,1,Victim,0
11,65,Hispanic,New York,3,Cloudy,2,1,0,0,Unknown,0
12,39,Hispanic,Phoenix,4,Snowy,4,0,1,0,Unknown,1
13,49,White,Los Angeles,4,Rainy,3,0,1,0,Defendant,1
14,6,Other,Phoenix,2,Cloudy,5,1,0,0,Victim,1
15,77,Other,Los Angeles,4,Rainy,1,1,1,0,Unknown,1
16,25,Other,New York,4,Snowy,5,1,0,0,Unknown,1
17,47,Other,New York,4,Clear,5,0,0,1,Victim,1
18,15,Hispanic,Los Angeles,4,Clear,2,0,1,0,Defendant,0
19,41,Hispanic,Chicago,2,Cloudy,4,0,0,1,Victim,1
20,59,Black,Houston,3,Rainy,2,1,0,1,Defendant,1
21,57,Hispanic,Chicago,3,Rainy,4,0,0,0,Unknown,1
22,56,Black,Los Angeles,1,Rainy,2,1,1,0,Victim,1
23,73,Black,New York,5,Cloudy,5,0,0,1,Victim,1
24,14,Hispanic,New York,1,Cloudy,3,1,0,0,Defendant,0
25,9,Asian,New York,1,Cloudy,4,1,1,0,Victim,1
26,13,Hispanic,Phoenix,4,Clear,1,0,0,0,Defendant,0
27,35,Asian,Houston,2,Cloudy,4,0,1,0,Victim,1
28,27,White,New York,3,Rainy,2,1,0,0,Victim,1
29,74,Asian,New York,3,Cloudy,3,0,0,0,Defendant,0
30,54,Other,Phoenix,2,Rainy,1,0,1,1,Unknown,1
31,57,Black,Phoenix,1,Rainy,5,0,0,0,Unknown,1
