,Type of Crime,Location,Time of Occurrence,Suspect Age,Suspect Gender,Prior Record,Weapon Used,Officer Response Time,label
0,Burglary,New York City,Day,50,Male,True,Gun,36,1
1,Assault,Los Angeles,Night,16,Female,True,Knife,16,1
2,Theft,Chicago,Day,19,Male,True,Sword,37,1
3,Burglary,New York City,Night,28,Female,True,Gun,57,1
4,Assault,Los Angeles,Day,45,Male,True,Knife,7,1
5,Theft,Chicago,Night,28,Female,True,Sword,31,0
6,Burglary,New York City,Day,32,Male,False,Gun,59,1
7,Assault,Los Angeles,Night,26,Female,True,Knife,4,0
8,Theft,Chicago,Day,38,Male,False,Sword,24,1
9,Burglary,New York City,Night,31,Female,False,Gun,54,1
10,Assault,Los Angeles,Day,19,Male,False,Knife,7,1
11,Theft,Chicago,Night,33,Female,True,Sword,44,1
12,Burglary,New York City,Day,23,Male,False,Gun,40,1
13,Assault,Los Angeles,Night,47,Female,True,Knife,25,1
14,Theft,Chicago,Day,43,Male,True,Sword,5,1
15,Burglary,New York City,Night,19,Female,True,Gun,23,1
16,Assault,Los Angeles,Day,21,Male,False,Knife,2,0
17,Theft,Chicago,Night,29,Female,False,Sword,16,0
18,Burglary,New York City,Day,23,Male,True,Gun,31,1
19,Assault,Los Angeles,Night,21,Female,False,Knife,46,0
20,Theft,Chicago,Day,31,Male,False,Sword,7,1
21,Burglary,New York City,Night,50,Female,True,Gun,16,1
22,Assault,Los Angeles,Day,43,Male,False,Knife,10,1
23,Theft,Chicago,Night,49,Female,False,Sword,52,1
24,Burglary,New York City,Day,29,Male,True,Gun,5,1
25,Assault,Los Angeles,Night,35,Female,False,Knife,29,1
26,Theft,Chicago,Day,49,Male,False,Sword,38,1
27,Burglary,New York City,Night,30,Female,False,Gun,2,1
28,Assault,Los Angeles,Day,36,Male,False,Knife,41,1
29,Theft,Chicago,Night,19,Female,True,Sword,57,1
30,Burglary,New York City,Day,22,Male,True,Gun,7,1
31,Assault,Los Angeles,Night,21,Female,False,Knife,56,0
32,Theft,Chicago,Day,47,Male,True,Sword,20,1
33,Burglary,New York City,Night,30,Female,False,Gun,10,1
34,Assault,Los Angeles,Day,37,Male,False,Knife,23,1
35,Theft,Chicago,Night,28,Female,True,Sword,8,0
36,Burglary,New York City,Day,48,Male,True,Gun,19,1
37,Assault,Los Angeles,Night,40,Female,True,Knife,28,1
38,Theft,Chicago,Day,46,Male,True,Sword,3,1
39,Burglary,New York City,Night,29,Female,True,Gun,53,1
40,Assault,Los Angeles,Day,29,Male,False,Knife,40,0
41,Theft,Chicago,Night,33,Female,False,Sword,40,1
42,Burglary,New York City,Day,26,Male,True,Gun,28,1
43,Assault,Los Angeles,Night,26,Female,True,Knife,13,0
44,Theft,Chicago,Day,32,Male,True,Sword,12,1
45,Burglary,New York City,Night,28,Female,False,Gun,28,1
46,Assault,Los Angeles,Day,27,Male,True,Knife,37,0
47,Theft,Chicago,Night,44,Female,False,Sword,24,1
48,Burglary,New York City,Day,45,Male,True,Gun,45,1
49,Assault,Los Angeles,Night,26,Female,False,Knife,28,0
50,Theft,Chicago,Day,45,Male,True,Sword,23,1
51,Burglary,New York City,Night,18,Female,False,Gun,18,1
52,Assault,Los Angeles,Day,37,Male,True,Knife,53,1
53,Theft,Chicago,Night,28,Female,True,Sword,39,0
54,Burglary,New York City,Day,26,Male,True,Gun,38,1
55,Assault,Los Angeles,Night,30,Female,True,Knife,48,0
56,Theft,Chicago,Day,27,Male,False,Sword,58,0
57,Burglary,New York City,Night,24,Female,False,Gun,54,1
58,Assault,Los Angeles,Day,42,Male,False,Knife,10,1
59,Theft,Chicago,Night,31,Female,False,Sword,16,1
60,Burglary,New York City,Day,20,Male,False,Gun,38,1
61,Assault,Los Angeles,Night,38,Female,True,Knife,9,1
62,Theft,Chicago,Day,24,Male,False,Sword,56,0
63,Burglary,New York City,Night,21,Female,True,Gun,55,1
64,Assault,Los Angeles,Day,23,Male,False,Knife,47,0
65,Theft,Chicago,Night,23,Female,False,Sword,47,0
66,Burglary,New York City,Day,37,Male,True,Gun,51,1
67,Assault,Los Angeles,Night,50,Female,True,Knife,28,1
68,Theft,Chicago,Day,38,Male,True,Sword,30,1
69,Burglary,New York City,Night,26,Female,True,Gun,58,1
70,Assault,Los Angeles,Day,32,Male,False,Knife,6,1
71,Theft,Chicago,Night,26,Female,True,Sword,55,0
72,Burglary,New York City,Day,30,Male,True,Gun,14,1
73,Assault,Los Angeles,Night,39,Female,True,Knife,26,1
74,Theft,Chicago,Day,46,Male,False,Sword,2,1
75,Burglary,New York City,Night,28,Female,False,Gun,16,1
76,Assault,Los Angeles,Day,24,Male,True,Knife,38,0
77,Theft,Chicago,Night,42,Female,True,Sword,12,1
78,Burglary,New York City,Day,29,Male,True,Gun,22,1
79,Assault,Los Angeles,Night,42,Female,True,Knife,48,1
80,Theft,Chicago,Day,45,Male,False,Sword,22,1
81,Burglary,New York City,Night,45,Female,False,Gun,22,1
82,Assault,Los Angeles,Day,44,Male,True,Knife,27,1
83,Theft,Chicago,Night,20,Female,True,Sword,57,1
84,Burglary,New York City,Day,25,Male,False,Gun,53,1
85,Assault,Los Angeles,Night,27,Female,False,Knife,41,0
86,Theft,Chicago,Day,37,Male,False,Sword,55,1
87,Burglary,New York City,Night,28,Female,True,Gun,37,1
88,Assault,Los Angeles,Day,47,Male,True,Knife,16,1
89,Theft,Chicago,Night,27,Female,False,Sword,43,0
90,Burglary,New York City,Day,29,Male,True,Gun,30,1
91,Assault,Los Angeles,Night,47,Female,True,Knife,38,1
92,Theft,Chicago,Day,32,Male,False,Sword,29,1
93,Burglary,New York City,Night,24,Female,True,Gun,4,1
94,Assault,Los Angeles,Day,24,Male,True,Knife,15,0
95,Theft,Chicago,Night,31,Female,False,Sword,31,1
96,Burglary,New York City,Day,48,Male,False,Gun,33,1
97,Assault,Los Angeles,Night,41,Female,True,Knife,4,1
98,Theft,Chicago,Day,45,Male,True,Sword,41,1
99,Burglary,New York City,Night,47,Female,False,Gun,51,1
100,Assault,Los Angeles,Day,45,Male,True,Knife,22,1
101,Theft,Chicago,Night,19,Female,True,Sword,31,1
102,Burglary,New York City,Day,33,Male,False,Gun,9,1
103,Assault,Los Angeles,Night,37,Female,False,Knife,37,1
104,Theft,Chicago,Day,48,Male,False,Sword,55,1
105,Burglary,New York City,Night,19,Female,False,Gun,2,1
106,Assault,Los Angeles,Day,37,Male,True,Knife,38,1
107,Theft,Chicago,Night,28,Female,True,Sword,58,0
108,Burglary,New York City,Day,38,Male,True,Gun,18,1
109,Assault,Los Angeles,Night,32,Female,True,Knife,41,1
