,Incident_ID,Crime_Type,Location_Type,Time_of_Day,Day_of_Week,Prior_Reports,Officer_Experience,Resolution,Witnesses,Evidence_Collected,Suspect_ID,label
0,1,Disorderly Conduct,Public Space,23:30,Thursday,10,8,Unresolved,0,0,102.0,0
1,2,Fraud,Public Space,16:41,Friday,8,12,Unresolved,0,1,,1
2,3,Fraud,Online,02:20,Saturday,3,12,Unresolved,2,0,100.0,1
3,4,Fraud,Public Space,07:13,Wednesday,6,14,Solved,2,0,100.0,1
4,5,Disorderly Conduct,Commercial,06:15,Wednesday,0,1,Solved,1,1,106.0,1
5,6,Burglary,Residential,17:30,Tuesday,10,12,Solved,1,1,,1
6,7,Assault,Residential,10:37,Saturday,10,6,Unresolved,1,0,,1
7,8,Assault,Street,19:52,Wednesday,1,16,Solved,1,1,106.0,1
8,9,Burglary,Commercial,13:52,Friday,6,7,Unresolved,0,1,100.0,1
9,10,Fraud,Apartment,12:03,Wednesday,1,17,Unresolved,1,0,,1
10,11,Theft,Online,19:30,Tuesday,5,14,Unresolved,0,0,,0
11,12,Burglary,Residential,19:10,Monday,9,14,Unresolved,2,0,102.0,1
12,13,Vandalism,Commercial,17:00,Wednesday,8,4,Unresolved,2,0,100.0,1
13,14,Vandalism,Commercial,11:17,Friday,10,1,Unresolved,0,1,102.0,1
14,15,Drug Offense,Residential,06:43,Friday,4,15,Unresolved,1,0,105.0,1
15,16,Burglary,Street,00:53,Tuesday,9,4,Solved,2,0,,1
16,17,Robbery,Commercial,03:17,Sunday,6,5,Solved,0,0,,0
17,18,Disorderly Conduct,Public Space,14:30,Tuesday,0,11,Unresolved,2,1,,1
18,19,Disorderly Conduct,Commercial,02:38,Sunday,7,4,Unresolved,1,0,104.0,1
19,20,Vandalism,Apartment,05:14,Thursday,8,19,Solved,0,0,,0
20,21,Vandalism,Residential,14:05,Thursday,4,7,Solved,2,0,103.0,1
21,22,Vandalism,Apartment,07:39,Thursday,5,10,Unresolved,1,1,,1
22,23,Theft,Street,21:00,Sunday,10,13,Unresolved,0,0,103.0,0
23,24,Robbery,Online,12:54,Monday,7,16,Solved,0,0,,0
24,25,Fraud,Public Space,23:20,Friday,3,9,Unresolved,0,0,,0
25,26,Fraud,Residential,12:42,Thursday,1,1,Unresolved,0,0,,0
26,27,Burglary,Commercial,03:06,Friday,9,2,Unresolved,2,1,107.0,1
27,28,Theft,Public Space,11:58,Tuesday,7,12,Solved,0,1,,1
28,29,Vandalism,Commercial,12:53,Monday,1,16,Solved,0,0,,0
29,30,Fraud,Street,11:15,Tuesday,4,2,Solved,0,1,105.0,1
30,31,Robbery,Online,05:13,Friday,5,9,Solved,0,1,,1
31,32,Fraud,Residential,18:47,Saturday,4,7,Solved,0,0,105.0,0
32,33,Disorderly Conduct,Street,03:36,Sunday,5,3,Unresolved,1,0,107.0,1
33,34,Robbery,Street,08:55,Saturday,5,12,Solved,2,1,,1
34,35,Theft,Online,02:53,Thursday,2,6,Unresolved,1,0,101.0,1
35,36,Fraud,Street,09:16,Saturday,10,6,Unresolved,2,0,,1
36,37,Vandalism,Street,18:41,Tuesday,10,15,Solved,0,0,,0
37,38,Theft,Commercial,11:54,Sunday,2,4,Unresolved,2,0,106.0,1
38,39,Disorderly Conduct,Apartment,06:17,Saturday,8,16,Unresolved,0,1,,1
39,40,Assault,Commercial,18:14,Wednesday,2,9,Unresolved,0,0,105.0,0
40,41,Vandalism,Online,06:43,Monday,2,3,Solved,1,1,108.0,1
41,42,Theft,Public Space,21:38,Friday,10,13,Unresolved,1,0,,1
42,43,Burglary,Online,09:56,Sunday,1,4,Solved,1,0,,1
43,44,Fraud,Online,23:53,Thursday,6,1,Unresolved,2,1,109.0,1
44,45,Vandalism,Online,19:31,Tuesday,9,13,Solved,2,1,,1
45,46,Drug Offense,Online,09:24,Monday,9,17,Unresolved,1,1,,1
46,47,Vandalism,Street,22:04,Thursday,3,10,Solved,1,1,,1
47,48,Assault,Online,17:40,Tuesday,0,15,Solved,0,0,108.0,1
48,49,Theft,Public Space,15:38,Saturday,5,17,Unresolved,2,0,,1
49,50,Disorderly Conduct,Online,09:36,Sunday,4,15,Unresolved,0,1,102.0,1
50,51,Drug Offense,Commercial,06:04,Friday,10,20,Solved,2,0,,1
51,52,Assault,Street,14:50,Sunday,1,3,Solved,1,0,,1
52,53,Burglary,Commercial,09:07,Wednesday,5,0,Unresolved,2,0,100.0,1
53,54,Disorderly Conduct,Street,23:08,Wednesday,0,13,Unresolved,2,1,,1
54,55,Disorderly Conduct,Commercial,10:59,Sunday,2,11,Solved,0,1,100.0,1
55,56,Vandalism,Residential,21:33,Saturday,3,9,Unresolved,1,1,,1
56,57,Fraud,Apartment,02:12,Friday,2,18,Solved,1,1,,1
57,58,Drug Offense,Apartment,10:59,Monday,5,3,Solved,1,1,102.0,1
58,59,Fraud,Street,09:58,Friday,10,19,Unresolved,0,1,102.0,1
59,60,Disorderly Conduct,Residential,14:37,Saturday,3,20,Unresolved,0,1,,1
60,61,Theft,Public Space,00:45,Tuesday,0,2,Unresolved,0,0,,0
61,62,Theft,Residential,17:23,Sunday,4,3,Solved,2,0,,1
62,63,Burglary,Street,10:39,Sunday,4,14,Unresolved,2,1,,1
63,64,Assault,Residential,21:02,Sunday,8,10,Solved,0,0,109.0,0
64,65,Drug Offense,Public Space,13:01,Sunday,7,15,Unresolved,0,0,,0
65,66,Burglary,Street,15:37,Monday,7,3,Solved,1,1,,1
66,67,Assault,Apartment,00:45,Wednesday,4,5,Solved,2,0,,1
67,68,Robbery,Online,09:05,Saturday,7,7,Unresolved,2,0,109.0,1
68,69,Robbery,Residential,08:38,Tuesday,9,12,Solved,1,1,,1
