,age,gender,time_of_day,day_of_week,location_type,crime_type,witness_present,police_response_time,alcohol_involved,prior_arrests,weapon_used,property_damage,reported_by,incident_duration,label
0,69,2,0,1,2,3,0,6,1,1,0,3083,1,80,0
1,32,1,22,3,1,1,1,14,0,4,0,3675,2,6,1
2,89,0,22,3,0,3,0,54,1,0,0,9650,2,67,0
3,78,1,10,5,1,0,0,21,1,2,1,5957,1,41,1
4,38,1,9,3,1,2,0,41,0,5,0,5255,1,43,1
5,100,0,17,1,0,0,0,16,0,4,1,9411,0,85,1
6,92,0,17,6,0,2,1,10,1,1,1,4228,0,77,1
7,92,2,16,2,2,3,1,26,1,3,1,4181,1,18,1
8,41,2,7,4,2,3,0,36,0,0,0,9691,1,58,0
9,20,0,14,2,0,0,0,45,0,2,0,1830,1,118,0
10,39,0,7,2,0,2,0,24,0,5,0,3395,1,60,1
11,70,2,16,1,0,2,1,5,0,5,0,1203,2,88,1
12,19,1,11,2,1,3,0,58,0,4,0,2810,1,27,0
13,47,0,7,5,1,0,0,51,1,4,0,3092,1,118,1
14,55,2,13,0,1,2,1,57,0,0,0,3044,1,68,0
15,19,1,3,3,0,3,1,10,0,3,0,6071,1,22,1
16,81,0,0,0,2,1,0,23,0,1,0,7272,2,24,0
17,77,1,0,6,0,0,0,22,0,3,0,4673,0,40,1
18,38,2,18,4,1,1,1,10,0,3,0,3514,0,109,1
19,50,0,15,3,1,0,1,49,0,3,0,9990,0,74,1
20,93,1,13,2,0,3,0,37,0,0,0,6192,0,66,0
21,75,0,20,4,0,2,1,27,0,0,0,144,0,40,0
22,39,1,15,3,1,2,1,27,0,1,0,7507,2,6,0
23,66,2,4,5,1,2,0,30,1,3,0,4857,0,112,1
24,76,2,8,5,1,0,0,17,0,0,0,1377,2,18,0
25,59,0,1,5,0,3,0,11,0,1,0,3146,2,81,0
26,77,1,17,5,1,1,1,19,0,5,0,5024,0,102,1
27,97,0,5,2,1,3,0,48,1,1,0,793,0,109,0
28,32,0,8,0,2,1,1,31,0,3,0,9793,0,87,1
29,79,1,0,3,0,0,1,30,0,2,0,5756,1,110,1
30,79,1,8,2,2,0,0,37,1,3,0,4414,2,30,1
31,64,1,15,5,2,1,1,19,0,2,0,1110,0,21,1
32,79,2,12,6,1,1,1,40,0,1,0,5672,1,62,0
33,68,0,8,0,0,1,0,49,0,5,0,4053,2,10,1
34,72,0,20,6,1,3,0,59,0,5,0,3937,1,120,1
35,81,2,12,4,0,1,0,31,0,0,0,3963,1,107,0
36,20,1,8,6,2,0,1,9,1,5,0,4942,0,13,1
37,68,2,10,4,0,0,1,6,0,4,0,5897,2,76,1
38,24,2,3,4,1,2,0,59,1,1,1,8974,1,9,1
39,38,2,1,5,1,1,1,37,0,0,0,1116,2,68,0
40,90,0,5,4,1,3,0,20,1,5,0,1750,0,39,1
41,56,2,13,1,0,3,0,27,0,1,0,4027,2,24,0
42,35,0,3,3,2,3,0,42,0,3,0,5745,1,118,1
43,21,0,5,3,2,2,0,59,0,5,1,5064,1,34,1
44,77,0,18,5,0,0,0,20,1,2,0,9679,2,103,1
45,31,1,5,1,1,3,0,18,0,1,0,5938,1,61,0
46,26,0,1,6,2,0,0,33,0,0,1,3397,1,41,0
47,70,0,17,2,1,2,1,30,0,3,0,8265,1,5,1
48,19,1,12,6,0,1,0,39,0,4,0,1359,0,79,0
49,77,0,8,2,1,1,0,19,0,3,1,9283,0,50,1
50,88,2,22,4,2,1,0,7,0,5,0,4853,1,4,1
51,61,2,18,0,2,3,1,27,0,2,0,1941,2,51,1
52,25,0,12,2,1,1,0,33,0,3,0,3148,0,52,1
53,64,1,10,0,0,3,0,38,0,4,0,7933,2,39,1
54,52,2,0,3,1,2,1,37,0,0,0,9436,1,8,0
55,95,1,23,0,0,2,0,45,1,1,1,1285,1,113,1
56,98,1,21,3,1,3,0,45,0,2,0,6474,2,45,1
57,53,2,6,1,2,0,1,27,0,4,0,770,0,88,1
58,67,1,20,1,0,1,0,11,0,5,1,1843,2,117,1
59,21,2,14,5,0,1,0,7,1,5,0,73,2,28,0
60,19,1,0,5,0,1,0,36,1,5,0,1660,1,119,0
61,23,2,11,4,2,3,0,35,1,2,0,4349,0,107,0
62,71,0,6,2,1,2,0,22,0,3,1,7102,2,27,1
63,21,2,14,4,2,1,0,47,0,2,1,8000,0,65,0
64,71,2,20,3,0,2,0,11,0,5,0,9011,1,34,1
65,80,2,18,4,1,1,0,45,0,4,0,3818,0,81,1
66,35,2,0,0,2,1,1,5,0,1,0,331,1,101,1
67,61,1,16,3,0,3,0,18,1,1,1,1421,0,62,0
68,51,0,16,5,0,0,0,56,1,2,0,7512,2,62,1
69,91,2,2,1,2,3,1,36,1,5,0,6890,1,38,1
70,79,1,11,5,2,1,1,10,0,0,1,4931,2,26,1
71,31,0,5,2,2,1,0,43,0,2,0,9883,1,24,1
72,65,0,10,3,0,0,1,14,0,5,0,6025,0,39,1
73,32,0,2,3,2,2,0,11,0,3,0,4408,0,21,1
74,89,0,7,0,0,2,0,30,1,1,0,5113,1,94,0
75,95,2,13,2,2,1,1,38,0,1,0,8419,1,47,0
76,79,2,13,1,0,2,0,34,0,1,1,2881,1,115,1
77,57,1,9,6,0,1,0,40,0,0,0,2865,0,48,0
78,97,1,1,3,1,0,0,25,0,5,0,2575,1,13,1
79,99,1,13,3,2,0,0,21,1,5,0,6185,1,101,1
80,70,0,8,0,2,1,0,37,0,5,0,8656,2,3,1
