,Time (s),Temperature (°C),Humidity (%),Pressure (mb),Geomagnetic activity,Weather,Distance from source (km),label
0,190,8,22,1070,4,Clear,600,1
1,60,11,71,1010,1,Clear,700,1
2,40,38,72,1040,3,Rainy,600,1
3,10,4,65,890,4,Rainy,0,0
4,180,39,60,1050,2,Rainy,100,1
5,20,0,1,800,4,Cloudy,1000,1
6,140,9,26,1010,4,Rainy,300,1
7,60,10,47,1080,1,Cloudy,200,0
8,40,26,62,1040,4,Rainy,150,0
9,90,22,99,800,5,Rainy,1000,1
10,80,19,4,1070,4,Cloudy,50,0
11,130,4,0,1090,1,Clear,900,1
12,120,12,21,1040,5,Rainy,900,1
13,0,9,73,980,2,Cloudy,900,1
14,150,35,23,940,3,Clear,150,1
15,190,15,58,830,4,Clear,200,0
16,70,6,78,920,5,Clear,900,1
17,160,31,96,880,5,Cloudy,50,1
18,50,24,49,950,2,Rainy,700,1
19,10,25,22,1050,2,Rainy,0,0
20,120,35,77,800,3,Rainy,400,1
21,70,27,17,1040,3,Clear,400,1
22,80,11,88,940,1,Rainy,500,1
23,120,25,21,880,3,Cloudy,700,1
24,170,3,43,830,3,Rainy,300,1
25,170,22,43,820,5,Rainy,0,1
26,80,39,36,870,4,Rainy,500,1
27,10,23,6,790,4,Rainy,50,0
28,30,30,89,920,3,Cloudy,900,1
29,170,29,23,1090,1,Rainy,100,0
30,160,2,76,880,1,Clear,500,1
31,110,15,40,1010,4,Rainy,150,0
32,150,33,69,1020,2,Clear,200,1
33,120,37,84,910,5,Clear,600,1
34,100,27,70,910,3,Clear,800,1
35,130,6,17,800,5,Cloudy,400,1
36,90,7,78,1050,3,Clear,700,1
37,180,6,71,990,3,Clear,900,1
38,160,36,59,990,4,Rainy,400,1
39,80,6,51,930,5,Cloudy,0,1
40,130,17,79,910,5,Cloudy,0,1
41,40,38,48,870,2,Cloudy,500,1
42,20,20,66,990,2,Clear,700,1
43,70,33,44,850,5,Clear,0,1
44,170,26,8,890,2,Clear,700,1
45,20,7,25,820,2,Rainy,50,0
46,10,33,25,1030,3,Clear,150,1
47,100,17,29,1030,4,Cloudy,600,1
48,40,11,26,900,3,Rainy,400,1
49,60,21,79,1010,2,Rainy,1000,1
50,130,39,3,890,3,Cloudy,1000,1
51,180,21,50,800,3,Clear,900,1
52,10,7,82,1090,1,Rainy,400,1
53,80,27,97,1000,3,Cloudy,900,1
54,90,31,69,940,3,Clear,700,1
55,180,10,78,970,4,Rainy,400,1
56,160,20,9,820,5,Rainy,200,1
57,60,25,35,1000,1,Rainy,0,0
58,170,13,45,1070,1,Rainy,200,0
59,50,14,5,830,1,Rainy,500,1
60,80,13,69,900,1,Clear,900,1
61,70,11,78,830,4,Cloudy,900,1
62,80,35,92,900,5,Rainy,400,1
63,0,2,88,920,4,Cloudy,400,1
64,10,6,82,790,1,Cloudy,50,0
65,30,38,77,880,5,Cloudy,0,1
66,190,0,2,930,4,Clear,150,0
67,170,38,49,950,5,Cloudy,500,1
68,90,24,41,790,4,Cloudy,0,0
69,0,30,77,870,5,Cloudy,1000,1
70,90,21,53,900,4,Rainy,50,0
71,80,9,38,1090,1,Rainy,400,1
72,120,17,84,1050,1,Cloudy,200,0
73,140,12,54,850,1,Clear,300,1
74,170,7,10,840,4,Rainy,900,1
75,120,8,73,930,5,Rainy,500,1
76,40,14,78,940,5,Cloudy,900,1
77,10,7,29,860,2,Cloudy,600,1
78,60,32,80,1040,3,Clear,500,1
79,80,34,55,1040,1,Rainy,900,1
80,180,18,28,1090,1,Cloudy,0,0
81,130,29,16,850,1,Rainy,800,1
82,160,8,32,1060,2,Cloudy,150,0
83,190,18,20,1020,2,Cloudy,200,0
84,190,25,77,970,2,Clear,1000,1
85,100,0,9,820,1,Rainy,600,1
86,40,2,86,1040,5,Rainy,300,1
87,110,33,38,820,1,Cloudy,300,1
88,80,24,77,1090,2,Clear,100,0
89,160,29,46,1040,2,Clear,900,1
90,70,0,85,1020,3,Clear,50,0
91,70,17,51,1080,4,Rainy,50,0
92,110,32,40,1010,3,Cloudy,400,1
