,Shift_ID,Seismic_Velocity (m/s),Ground_Pressure (MPa),Rock_Type,Depth (m),Previous_Bump (Yes/No),Temperature (°C),Humidity (%),Fault_Proximity (m),label
0,1,9.017757095562331,16.243297220042123,Limestone,232,No,19,61,91,1
1,2,9.716305280687884,18.71736489586967,Sandstone,267,Yes,20,67,89,1
2,3,4.52398759084706,16.273005606455897,Sandstone,228,Yes,21,52,52,1
3,4,3.6170651069565114,11.40557531649859,Shale,227,No,24,52,25,0
4,5,4.361745232179389,16.326357942508785,Granite,296,Yes,24,64,109,1
5,6,8.743864974790032,11.669762135403968,Shale,256,No,22,68,56,1
6,7,7.736512443738932,17.11086775588394,Sandstone,275,No,23,44,33,1
7,8,7.452331396373887,15.436974253898793,Shale,164,Yes,25,53,56,1
8,9,5.812551945765971,8.928938623817007,Shale,283,No,18,57,27,0
9,10,7.04479580058005,14.154024349221704,Sandstone,222,Yes,19,45,96,1
10,11,5.155118876920572,12.119611630348892,Limestone,250,Yes,29,45,32,1
11,12,6.340400555925729,11.942847592787531,Sandstone,247,No,19,69,59,0
12,13,8.551441198594592,15.227075628527087,Limestone,175,Yes,22,68,111,1
13,14,9.868691182188236,11.8678978936331,Sandstone,241,No,23,35,77,1
14,15,9.527422465128613,17.322724978458474,Sandstone,274,Yes,21,31,37,1
15,16,9.537061599923742,8.849497232134093,Sandstone,222,No,29,42,76,1
16,17,5.815566143929787,15.924659028749906,Granite,272,No,19,38,102,1
17,18,6.281529163547536,17.710337643880894,Limestone,202,No,17,63,57,0
18,19,7.939447774582871,16.07398027904516,Granite,227,Yes,15,46,51,1
19,20,9.455343496358989,13.96675034023995,Sandstone,241,No,25,56,105,1
20,21,3.9939598154645926,19.403684164834175,Shale,237,Yes,23,58,85,1
21,22,5.12969304679037,11.599261877576764,Granite,162,Yes,19,66,96,1
22,23,3.974727912158767,8.230014650299733,Limestone,192,Yes,23,51,106,1
23,24,7.284059709716187,13.18387245756129,Sandstone,225,Yes,24,53,44,1
24,25,5.144106978212763,8.396143230803927,Granite,200,Yes,29,36,111,1
25,26,5.282754967588014,19.447241030316903,Shale,168,No,26,63,77,1
26,27,3.496411716415855,10.519016548976618,Granite,298,Yes,27,41,94,1
27,28,5.448572432653144,17.467124287386554,Limestone,271,No,28,52,52,1
28,29,9.037475551811097,17.29486499809238,Granite,173,No,18,44,107,1
29,30,4.631509683235844,10.612746796195202,Shale,175,Yes,19,62,85,1
30,31,7.866312263470459,15.454718365762007,Shale,269,No,18,42,49,1
31,32,7.407398414570149,8.576947621837402,Limestone,231,No,16,52,100,1
32,33,9.044392258583807,13.80289502844641,Shale,249,Yes,26,67,53,1
33,34,3.9260156335572676,8.17576552726984,Sandstone,166,No,15,61,105,0
34,35,9.843129722415302,19.0537265621701,Shale,217,Yes,22,64,88,1
35,36,7.078400522282559,19.71303229039486,Sandstone,193,Yes,18,30,67,1
36,37,9.9683190664277,10.667393199663023,Granite,210,Yes,19,34,59,1
37,38,9.380603081060956,10.497272415156473,Sandstone,272,No,20,42,70,1
38,39,4.5506209047917405,17.044642118745557,Sandstone,242,No,28,34,99,0
39,40,3.3931340693231915,11.040552785952013,Granite,223,No,22,61,32,0
40,41,4.78947365656753,18.74091870994214,Shale,216,No,25,50,109,0
41,42,6.69294554299594,14.887149633475786,Sandstone,260,Yes,22,53,50,1
42,43,4.20117456945633,12.209331476123745,Shale,151,Yes,21,47,58,1
43,44,4.172218211625919,17.99232495619304,Granite,238,No,18,50,82,0
44,45,6.238154829736072,13.920880404960743,Limestone,175,Yes,20,39,67,1
45,46,3.2328757981855087,18.93959496450171,Shale,248,No,18,53,106,0
46,47,3.853216577725893,19.13617084075257,Shale,176,Yes,29,69,67,1
47,48,5.911029375855633,9.985041825540911,Limestone,238,Yes,28,50,80,1
48,49,3.441909364455765,8.027880873583163,Limestone,295,Yes,21,54,31,1
49,50,5.777285395188706,19.807171281708825,Granite,150,Yes,26,52,97,1
50,51,6.318043861639115,18.873650433529754,Shale,252,Yes,27,51,75,1
51,52,6.158866298511801,8.665342828446096,Shale,280,No,26,33,37,0
52,53,9.08422400182161,17.99641116729284,Granite,190,No,29,63,46,1
53,54,6.710437185362127,13.49365919071048,Shale,200,Yes,27,35,47,1
54,55,6.275863237346304,11.107539260299703,Sandstone,164,No,27,57,101,1
55,56,5.874964717741664,18.544958284123158,Sandstone,157,Yes,25,60,99,1
56,57,8.723363648131404,10.360006788683688,Sandstone,187,Yes,28,64,71,1
57,58,9.265396227998831,19.367599993040805,Shale,263,Yes,15,68,35,1
58,59,8.972697284379823,10.467457852392092,Sandstone,232,Yes,19,52,96,1
59,60,7.714826046919736,15.364198252744922,Sandstone,205,No,29,35,77,1
60,61,3.9615322217807196,10.6770360143477,Granite,252,Yes,28,45,112,1
61,62,4.938089786444086,14.548023979623617,Granite,287,No,24,31,28,0
62,63,3.3224414457738423,16.207701558981697,Limestone,251,Yes,26,53,45,1
63,64,9.515768524930799,10.28273516984165,Limestone,227,Yes,29,46,47,1
64,65,7.625589707836372,14.25062939240815,Limestone,232,No,24,30,96,1
65,66,8.224540190192691,13.628716932681428,Limestone,179,Yes,29,35,55,1
66,67,5.1810021770756025,8.852449056840095,Granite,154,Yes,18,34,28,1
67,68,8.919574655941396,17.819693812103637,Granite,268,No,25,58,66,1
68,69,4.81722298595935,12.0281888077141,Granite,180,No,21,41,97,0
69,70,3.011506299787148,14.894986370622554,Sandstone,172,No,27,68,70,1
