,Plate Thickness,Plate Width,Plate Length,Steel Grade,Manufacturing Date,Plate Weight,Processing Method,Plate Usage,Temperature,Humidity,Presence of Defects,label
0,18,2446,3287,DIN,2025-09-01,2018,Forging,Construction,22,98,0,0
1,19,2144,3777,ISO,2025-09-02,3393,Casting,Automotive,33,84,0,1
2,16,2200,3015,DIN,2025-09-03,2263,Rolling,Construction,29,91,0,0
3,18,2416,3710,JIS,2025-09-04,2793,Forging,Aerospace,26,83,0,0
4,18,2211,3400,ISO,2025-09-05,2112,Forging,Aerospace,36,68,0,0
5,19,2460,3918,DIN,2025-09-06,3350,Rolling,Automotive,25,99,0,1
6,16,2219,3793,ISO,2025-09-07,2541,Rolling,Automotive,23,82,0,0
7,16,2239,3980,ISO,2025-09-08,2646,Rolling,Construction,36,72,0,0
8,18,2412,3085,DIN,2025-09-09,2578,Rolling,Aerospace,28,91,0,0
9,17,2396,3249,ISO,2025-09-10,3088,Rolling,Construction,23,74,0,0
10,18,2045,3390,DIN,2025-09-11,3315,Rolling,Automotive,26,95,0,0
11,18,2034,3781,JIS,2025-09-12,2024,Rolling,Aerospace,21,64,0,0
12,18,2252,3334,ISO,2025-09-13,2000,Forging,Aerospace,36,81,0,0
13,18,2389,3628,DIN,2025-09-14,2910,Forging,Automotive,27,75,0,0
14,19,2081,3518,ISO,2025-09-15,2140,Casting,Construction,34,69,0,0
15,16,2370,3136,JIS,2025-09-16,2647,Rolling,Aerospace,34,83,0,0
16,19,2255,3882,DIN,2025-09-17,2187,Forging,Automotive,27,77,0,0
17,19,2196,3687,JIS,2025-09-18,3151,Casting,Aerospace,35,77,0,1
18,19,2302,3839,DIN,2025-09-19,2200,Forging,Automotive,38,66,1,0
19,18,2408,3497,ISO,2025-09-20,3150,Rolling,Construction,30,63,1,0
20,17,2449,3826,DIN,2025-09-21,2256,Forging,Construction,21,85,0,0
21,16,2009,3726,JIS,2025-09-22,2546,Rolling,Construction,36,64,0,0
22,17,2311,3476,DIN,2025-09-23,2193,Rolling,Automotive,35,75,0,0
23,19,2285,3593,JIS,2025-09-24,2702,Forging,Construction,34,94,1,0
24,19,2241,3222,JIS,2025-09-25,3127,Forging,Construction,32,85,1,1
25,17,2250,3989,ISO,2025-09-26,3288,Rolling,Construction,34,77,0,0
26,17,2364,3371,ISO,2025-09-27,2801,Casting,Automotive,23,88,1,0
27,17,2004,3934,DIN,2025-09-28,2941,Forging,Construction,35,82,0,0
28,19,2118,3994,DIN,2025-09-29,3407,Rolling,Construction,31,73,0,1
