,Plate_ID,Thickness (mm),Width (mm),Length (mm),Hardness (HB),Tensile_Strength (MPa),Elongation (%),Surface_Defect (Binary),Weld_Defect (Binary),Heat_Treatment (Binary),label
0,1,17,218,829,240,460,22,1,0,1,1
1,2,10,230,926,232,562,16,1,1,1,1
2,3,5,231,872,218,408,17,1,1,1,1
3,4,8,182,875,157,578,19,1,1,1,1
4,5,16,209,897,243,514,16,1,0,1,1
5,6,8,189,1006,185,490,15,1,0,1,1
6,7,12,185,1350,229,522,14,0,1,0,1
7,8,14,233,1067,196,578,17,0,1,1,1
8,9,8,245,1258,195,429,29,0,1,1,1
9,10,10,223,832,217,515,25,1,0,0,1
10,11,7,242,840,208,468,13,0,0,1,1
11,12,9,227,998,153,502,17,1,1,1,1
12,13,12,201,1086,220,523,18,1,1,0,1
13,14,11,198,923,216,530,28,0,0,1,0
14,15,13,193,1387,174,434,24,0,0,1,0
15,16,13,186,1091,205,472,17,1,1,1,1
16,17,17,228,1268,209,538,12,0,1,1,1
17,18,15,220,1375,185,485,12,0,0,0,0
18,19,6,206,957,153,460,26,1,1,0,1
19,20,11,210,1011,221,373,23,1,0,0,1
20,21,12,185,1160,177,370,23,1,1,0,1
21,22,12,195,890,216,419,11,0,1,1,1
22,23,19,243,1338,221,357,23,0,0,0,0
23,24,13,217,1385,160,386,20,0,0,0,0
24,25,6,239,1023,213,461,23,1,1,1,1
25,26,10,212,1001,155,487,16,1,0,1,1
26,27,14,242,848,190,547,28,0,0,1,0
27,28,18,190,1175,236,375,17,0,0,0,0
28,29,13,192,1379,202,383,23,0,1,0,1
29,30,14,244,1118,193,562,13,0,0,1,0
30,31,9,209,1093,215,414,20,1,1,1,1
31,32,8,202,805,156,511,13,0,1,1,1
32,33,5,199,855,178,433,15,0,1,1,1
33,34,8,185,1276,155,551,15,1,1,1,1
34,35,10,216,1230,224,352,11,1,0,1,1
35,36,19,185,838,157,366,28,0,0,0,0
36,37,5,206,1361,179,476,10,0,1,1,1
37,38,7,192,1064,232,437,22,1,0,0,1
38,39,8,187,993,197,411,23,0,0,0,1
39,40,13,232,1122,210,408,12,0,1,1,1
40,41,6,209,862,213,464,28,1,0,0,1
41,42,8,180,816,216,375,26,1,0,0,1
42,43,18,183,989,191,472,13,0,0,1,0
43,44,8,241,994,179,520,22,0,0,0,0
44,45,8,247,1067,246,558,18,1,0,1,1
45,46,19,196,1215,199,495,13,0,0,1,0
46,47,12,236,1194,210,390,19,1,0,0,1
47,48,5,242,820,202,410,22,1,1,1,1
48,49,6,236,900,175,431,27,0,0,0,1
49,50,14,228,852,186,591,21,1,0,1,1
50,51,14,197,1255,169,579,25,0,0,0,0
51,52,5,237,1070,246,519,10,0,0,0,0
52,53,15,189,832,241,516,23,1,0,0,1
53,54,9,242,1207,176,554,16,0,0,1,0
54,55,12,213,920,206,548,14,0,1,0,1
55,56,8,184,865,206,461,11,1,0,1,1
56,57,19,196,875,178,374,13,0,1,1,1
57,58,16,242,1308,195,383,19,1,0,1,1
58,59,7,203,836,237,556,24,1,0,0,1
59,60,12,187,862,232,547,28,0,1,1,1
60,61,17,202,1253,155,359,24,1,0,0,1
61,62,7,210,1242,215,387,28,0,0,0,1
62,63,5,207,1388,235,452,19,1,0,1,1
63,64,5,227,1330,184,489,29,1,0,0,1
64,65,9,191,1184,151,503,12,0,1,1,1
65,66,10,210,801,243,366,20,0,1,1,1
66,67,10,214,912,248,433,27,1,0,0,1
67,68,11,234,907,164,411,11,0,1,1,1
68,69,13,215,949,180,472,27,0,1,1,1
69,70,9,239,1390,159,501,24,0,0,0,0
70,71,6,217,1069,204,528,25,1,1,0,1
71,72,9,248,867,177,471,28,1,0,0,1
72,73,14,233,1201,157,462,28,1,0,1,1
73,74,15,193,1061,226,359,21,0,1,0,1
74,75,15,199,826,243,392,15,1,0,0,1
75,76,13,188,1211,186,519,21,1,0,0,1
76,77,6,249,1325,188,583,16,1,1,1,1
77,78,6,181,1232,242,581,19,0,0,1,0
78,79,12,209,1368,235,376,21,0,0,0,0
79,80,14,185,858,237,469,25,0,1,1,1
80,81,14,220,817,187,468,22,0,1,0,1
81,82,8,202,1014,170,392,22,1,0,1,1
82,83,11,210,1020,163,412,23,1,1,1,1
83,84,12,199,1005,190,361,15,0,1,0,1
84,85,16,184,1191,200,549,28,1,1,0,1
85,86,19,200,1082,204,569,19,1,0,0,1
86,87,7,247,1073,215,510,18,0,0,0,0
87,88,16,240,1355,222,475,18,1,1,1,1
88,89,5,221,1231,208,380,18,1,1,0,1
89,90,19,220,925,223,436,10,0,0,1,0
90,91,8,240,1148,199,379,10,1,1,0,1
91,92,10,231,1305,167,382,22,1,0,1,1
92,93,17,220,806,199,544,28,1,1,1,1
93,94,14,239,1304,239,500,25,0,0,1,0
94,95,15,209,826,237,525,22,1,1,1,1
95,96,9,217,893,207,390,27,0,0,1,1
96,97,16,196,1233,224,589,19,1,0,0,1
97,98,9,219,1332,240,502,23,0,0,0,0
98,99,11,209,1277,163,468,12,1,1,1,1
99,100,9,245,1240,181,593,10,0,1,1,1
100,101,9,203,1239,171,492,19,1,1,1,1
101,102,8,180,951,247,352,16,0,1,0,1
102,103,17,217,1203,151,545,13,1,1,0,1
103,104,9,243,1255,246,383,29,1,0,0,1
104,105,9,206,850,193,392,16,0,0,1,1
105,106,13,186,1350,205,386,11,0,1,0,1
106,107,19,221,1214,220,478,11,0,0,1,0
107,108,9,197,1349,184,502,15,1,1,0,1
108,109,8,223,859,244,400,11,0,1,0,1
109,110,15,249,1274,196,388,11,1,0,0,1
110,111,12,199,1245,240,405,13,1,0,1,1
111,112,18,202,1145,167,362,15,1,0,0,1
112,113,10,191,1003,162,475,28,0,1,1,1
113,114,10,191,831,202,365,11,1,1,0,1
114,115,5,213,884,197,376,13,1,1,0,1
115,116,6,187,890,189,501,23,1,1,0,1
116,117,10,206,839,198,534,12,0,1,0,1
117,118,14,228,978,205,571,25,1,0,1,1
118,119,8,234,1386,175,366,21,0,1,1,1
119,120,5,201,1094,214,432,11,0,1,1,1
120,121,10,182,1380,210,523,19,1,1,0,1
121,122,19,188,1179,180,511,19,0,0,0,0
122,123,5,190,1351,242,596,21,0,0,1,0
123,124,6,185,927,237,481,26,1,1,1,1
124,125,7,218,1007,229,408,19,0,0,1,1
125,126,9,218,813,188,452,10,0,0,0,1
126,127,7,245,963,236,421,14,1,1,1,1
127,128,5,239,1286,198,407,21,1,1,1,1
128,129,18,216,1195,157,498,13,0,1,0,1
129,130,8,185,1159,187,462,22,0,0,0,1
130,131,7,185,1131,216,566,12,1,0,1,1
131,132,15,218,1220,227,416,10,1,0,1,1
132,133,18,215,882,170,410,14,1,0,1,1
133,134,5,229,1003,196,360,20,1,0,1,1
134,135,12,189,962,243,401,13,0,0,0,0
135,136,10,184,880,182,448,21,1,1,1,1
136,137,14,229,1340,202,566,19,0,1,1,1
137,138,5,204,1193,205,350,15,0,0,0,1
138,139,15,182,808,169,420,11,0,1,1,1
139,140,7,183,945,206,363,13,0,1,0,1
140,141,16,191,1036,172,580,20,1,1,0,1
141,142,15,193,1020,236,375,26,0,1,1,1
142,143,12,206,1150,210,441,11,0,0,0,0
143,144,16,227,923,184,397,13,0,1,1,1
144,145,7,201,901,211,419,23,0,1,0,1
145,146,14,200,1179,204,587,14,1,1,1,1
146,147,7,222,859,188,455,18,0,0,0,1
147,148,19,237,986,235,373,15,0,0,1,0
148,149,8,197,1074,242,529,20,0,1,1,1
149,150,19,235,1324,198,532,10,0,1,0,1
150,151,16,248,1083,184,374,13,0,1,0,1
151,152,8,191,1322,211,555,18,1,1,1,1
152,153,7,199,1083,215,371,23,1,1,1,1
153,154,19,191,1312,204,363,10,0,1,0,1
154,155,8,205,807,167,416,20,1,0,0,1
155,156,9,225,867,202,598,15,0,1,1,1
156,157,6,186,1172,184,519,18,1,0,1,1
157,158,7,218,1311,193,479,23,0,1,1,1
158,159,16,231,1220,163,408,12,0,1,1,1
159,160,19,196,1228,167,587,10,0,1,1,1
160,161,14,203,1311,181,402,22,0,1,0,1
161,162,15,183,1000,171,478,17,0,0,0,0
162,163,6,226,966,248,535,26,0,1,1,1
163,164,9,209,868,151,476,25,0,0,1,1
164,165,15,182,891,219,364,29,0,0,0,0
165,166,11,185,1128,197,450,27,0,1,1,1
166,167,16,195,1150,188,485,10,1,0,1,1
167,168,13,215,940,213,398,10,1,0,0,1
168,169,16,232,1032,181,423,21,1,0,1,1
169,170,7,187,1328,242,458,20,1,0,0,1
170,171,8,231,1061,218,399,16,0,1,0,1
171,172,5,231,1352,187,354,28,1,0,0,1
172,173,5,209,1239,157,366,11,0,1,0,1
173,174,11,235,1078,217,494,29,1,1,1,1
174,175,5,191,1157,204,599,15,1,0,1,1
175,176,11,247,1335,171,413,27,0,0,1,0
176,177,8,235,1051,171,494,20,1,0,1,1
177,178,19,248,987,207,545,22,1,1,1,1
178,179,15,237,834,240,454,19,0,0,1,0
179,180,8,191,1190,216,532,27,1,1,1,1
180,181,13,183,1144,242,352,13,1,1,0,1
181,182,17,217,1388,197,382,18,1,1,1,1
182,183,13,187,817,182,535,12,1,1,1,1
183,184,18,209,1360,183,420,20,0,0,1,0
184,185,19,191,800,249,563,16,1,1,1,1
185,186,13,191,1258,208,506,10,1,1,0,1
186,187,18,196,804,182,372,14,1,1,0,1
187,188,7,240,1322,167,505,14,1,0,1,1
188,189,8,243,1040,159,471,22,1,0,0,1
189,190,19,239,1325,249,527,10,1,1,1,1
190,191,7,181,1075,194,476,29,1,1,1,1
191,192,16,198,841,236,354,13,1,1,1,1
192,193,18,233,1004,155,354,17,1,1,0,1
193,194,5,208,1228,236,573,27,0,1,1,1
194,195,13,244,851,159,544,21,0,1,0,1
195,196,13,188,907,215,567,12,1,0,0,1
196,197,8,191,944,211,572,22,1,0,1,1
197,198,13,231,1304,155,425,26,1,1,0,1
198,199,15,235,1326,218,552,12,0,1,1,1
199,200,7,195,914,157,544,22,1,0,0,1
200,201,13,183,932,204,425,19,0,1,0,1
