,Thickness_mm,SurfaceFinishScore,Hardness_HRC,DefectType1,DefectType2,DefectType3,DefectType4,InspectorRating,Sensor1_Voltage,Sensor2_Temperature,RunID,TimeSinceLastService,DefectSize_mm,SystemLogError,label
0,8.249080237694725,8,57,1,0,1,1,5,4.118939098177202,22.326387656379616,168,9.612960566248178,3.6369101221734135,1,1
1,9.401428612819831,3,63,1,1,1,0,3,5.44980854562047,20.291189154101374,167,11.03657467068337,3.1406920028310363,1,1
2,8.96398788362281,8,53,1,0,0,1,2,4.322226833989697,21.311371609074925,127,12.635496873055107,4.247505819604825,0,1
3,8.697316968394073,5,60,1,0,0,1,2,4.389425553716672,22.180352401096563,152,5.14237007997389,0.8252226905510818,0,1
4,7.812037280884873,1,69,0,1,0,1,4,4.65308997990228,20.7845131207306,150,18.973081618059812,3.6081546777462465,0,1
5,7.8119890406724055,7,64,0,1,0,0,1,5.466681536828453,24.737825631620215,152,3.395169964142717,2.90312478673123,0,1
6,7.616167224336399,5,68,0,1,1,1,2,3.983202552871526,23.834244489088867,103,19.313063495328247,2.2062238879097453,0,1
7,9.232352291549871,6,56,0,0,0,0,5,4.862564221064868,21.341436002138863,178,0.29712245015007577,0.0,1,1
8,8.702230023486418,6,68,0,0,1,1,1,4.9319693870834485,22.95402266758958,116,9.622513836336912,2.031237420053139,1,1
9,8.91614515559209,8,68,1,1,1,1,1,4.714648833586132,23.60724578554786,166,6.667356762331256,3.293746847483868,0,1
10,7.541168988591605,9,60,1,0,0,0,3,3.6771566792732884,24.70639464453399,173,8.982468278605015,4.509479185899192,1,1
11,9.43981970432399,2,54,1,1,0,1,2,4.8537445516551525,24.408176745877054,146,11.41329157961578,2.7327916674550186,1,1
12,9.164885281600844,9,54,1,1,1,0,3,3.628189422072351,22.57596113069107,155,8.71178316025418,4.21125423834614,1,1
13,7.924678221356553,10,57,0,0,1,0,2,4.692285299099794,23.873263098965086,122,8.2969370060319,2.309703718297854,1,1
14,7.863649934414202,9,59,0,0,0,1,4,4.979162354443485,22.810723769137926,117,14.65446830826613,0.9607750825692944,0,1
15,7.866809019706867,10,55,0,1,0,1,3,3.921939781239901,22.7635194502277,100,13.717525501729293,0.7767758140638734,1,1
16,8.108484485919075,10,64,1,1,0,1,3,5.183244015085548,20.57370979169096,134,16.665425640716958,0.7310046709565491,1,1
17,8.549512863264475,7,65,0,1,1,1,5,3.5607076110660083,20.63068829008076,163,4.999179624789911,2.210675638809515,1,1
18,8.363890037284232,1,66,1,1,1,0,3,5.187625727316612,22.647668075112286,157,12.190570195081271,2.0175698787612895,0,1
19,8.082458280396084,7,57,0,0,0,0,2,4.420658101285531,21.34430772489503,194,11.703895707857077,0.0,1,1
20,8.72370578944476,10,57,0,1,1,1,5,3.935175879863289,20.105184512302344,158,7.394756217453775,3.730716606301563,0,1
21,7.778987721304084,5,58,1,1,1,0,3,3.767556289987936,23.614196019501062,100,9.721150838053617,3.842696757131896,0,1
22,8.084289297070436,6,51,0,1,0,0,3,5.406614335164745,20.162432983450824,102,6.275642866114575,0.7288428597518293,0,1
23,8.232723686587384,10,64,0,0,0,1,4,3.6453311751623136,22.976384205520272,166,2.836887952339704,1.4950546830005673,0,1
24,8.412139968434072,7,67,1,0,1,0,3,3.898186839871851,22.69596897063657,136,4.276024213254656,1.7341783257150487,1,1
25,9.070351922786028,5,52,0,1,1,0,1,4.1956446948660915,24.84407345288902,182,2.1102729280240218,2.9642539286426426,0,1
26,7.899347564316719,7,66,1,0,0,1,5,4.740469697922241,22.421065696738207,128,13.661391503802482,1.150318507581276,0,1
27,8.528468876827223,9,53,0,0,0,0,1,4.5896021705521965,20.318007181888987,188,13.21454786218303,0.0,0,1
