,Age,Gender,Race,Family Income,Parental Education Level,School Type,Dependents,Attendance,GPA,label
0,15,Male,Black,132158.81254585047,Bachelor's Degree,Public,1,90.81303174390588,2.7535391820956123,1
1,18,Male,Asian,58268.06406059698,Associate Degree,Private,2,94.93438854194764,2.979407996770701,1
2,16,Female,White,120982.01638726535,PhD,Public,1,87.89733283086406,3.866946055571667,1
3,15,Other,Black,106059.01357862684,No Diploma,Private,3,97.43902574560188,2.1118946270044283,1
4,18,Male,Asian,144615.12413670766,Bachelor's Degree,Private,4,82.56078383247002,3.0151360338900295,1
5,18,Other,Hispanic,61229.5892750113,PhD,Public,1,98.40253634372095,3.1639931212706234,1
6,18,Other,Hispanic,48513.333318960424,High School Diploma,Public,3,80.31106864899478,3.322584467696169,1
7,18,Male,Black,67454.52183380398,High School Diploma,Private,1,79.02281511417638,3.491534287246412,1
8,16,Male,Asian,60955.053383750244,Bachelor's Degree,Public,4,82.07959274416083,2.2951944227216554,1
9,18,Female,Black,120819.93125682155,Associate Degree,Public,3,82.28075636136482,3.8460048871830113,1
10,16,Male,White,117973.11646161579,PhD,Charter,3,86.8143589880782,2.827816185254955,1
11,17,Male,White,110362.18810264007,Associate Degree,Private,4,77.75997002444971,2.977936689866138,1
12,15,Other,Black,55965.493735018536,PhD,Public,2,97.33538407848225,3.3238812682943912,1
13,18,Female,Hispanic,133416.81689269075,No Diploma,Private,2,98.93405593761315,3.061078007020038,1
14,17,Female,Hispanic,144788.5867030713,High School Diploma,Public,4,78.21382873309518,2.8446871491885,1
15,15,Other,Black,93792.69817303734,Bachelor's Degree,Private,1,90.91367117804657,3.345352641688112,1
16,15,Male,Hispanic,107924.7276755263,Associate Degree,Public,0,90.84717033871596,3.341082094763575,0
17,15,Male,Hispanic,90083.05188246745,Master's Degree,Charter,1,82.2225609201886,2.445308615207081,1
18,17,Female,White,64026.92581231246,Associate Degree,Private,3,97.4782762233115,2.8515941191742775,1
19,16,Other,Asian,64337.712479592505,Bachelor's Degree,Public,0,91.36843377940323,2.0386000516319744,0
20,17,Female,Hispanic,67610.46272818958,Associate Degree,Private,3,81.34736170316552,2.9148964372730797,1
21,18,Male,Asian,52902.00049969848,High School Diploma,Charter,3,89.79227333655177,3.781624486533211,1
22,18,Male,Black,138230.8359155181,Bachelor's Degree,Private,4,82.40089445792628,3.283190786196643,1
23,17,Other,Hispanic,133007.7760856023,Bachelor's Degree,Public,2,78.94792739437722,3.786257288316133,1
24,15,Male,Hispanic,85396.72335826041,High School Diploma,Private,2,83.68950186298365,2.014541486418042,1
25,16,Male,Asian,74070.16950722045,Associate Degree,Private,2,88.45562724330962,3.5481798594755736,1
26,16,Female,White,142689.40278565185,High School Diploma,Private,2,91.21666743561995,3.5724286383896082,1
27,16,Other,Black,56684.81630793721,Associate Degree,Private,0,95.85159891843391,2.7860438273257433,0
28,16,Male,Black,96425.0351360162,Associate Degree,Public,2,91.80160828627379,2.7291127870193344,1
29,15,Female,Asian,36539.778665059515,High School Diploma,Public,4,82.47276854355431,3.8372040330410533,1
30,16,Male,White,52944.26364209388,High School Diploma,Public,1,83.30490384696247,3.078562801904165,1
31,15,Male,Asian,102483.23200314117,No Diploma,Public,3,88.88411498574715,2.9106918323378914,1
32,18,Female,Asian,109462.03834130036,High School Diploma,Public,1,96.08273901452766,2.6677980290902363,1
33,15,Male,White,99719.49824078876,Master's Degree,Public,0,88.07966486634503,3.2912737669086827,0
34,18,Male,Black,134352.16991991477,No Diploma,Public,4,94.02102458350345,3.569965329507104,1
35,16,Male,Hispanic,149208.62649872963,Associate Degree,Public,3,89.2606812821293,3.813601649142292,1
36,17,Female,Hispanic,121663.42105834934,Master's Degree,Private,0,91.11912390646611,2.1260668771812448,0
37,18,Female,Asian,85811.01409725106,High School Diploma,Public,4,96.40910343209984,3.541321905337805,1
38,18,Female,Hispanic,130072.16033449232,High School Diploma,Public,3,85.97536238026856,3.5259944273216917,1
39,15,Other,White,44446.4872999202,Bachelor's Degree,Charter,2,92.4385692606711,3.1644957608346016,1
40,17,Male,Black,111992.48357351156,Bachelor's Degree,Private,3,95.84866532141676,2.4684974934101716,1
41,18,Female,Hispanic,92200.53449441207,Associate Degree,Private,0,91.21222276518671,3.372031880758618,0
42,15,Female,White,51367.90635068621,High School Diploma,Charter,0,76.55874094681919,2.7447271299963214,0
43,16,Female,White,146752.0340736257,Bachelor's Degree,Public,3,87.14861529717842,2.595255074278014,1
44,18,Other,Black,70612.4903734497,High School Diploma,Charter,4,89.8877881668511,2.7333225855548067,1
45,16,Male,White,103850.808715606,High School Diploma,Private,4,82.24063613758364,2.774168064359478,1
46,18,Female,Asian,135431.30850299424,Bachelor's Degree,Public,2,90.20213142761307,3.4255116473523346,1
47,18,Other,Black,90802.66126977847,High School Diploma,Public,0,97.59994268055533,3.7074988089496097,0
48,17,Female,White,43816.54202117182,High School Diploma,Charter,2,90.1087628240222,2.6670782030847393,1
49,18,Male,Asian,128248.6901216748,High School Diploma,Private,2,75.47328593880728,2.271837038201205,1
50,15,Other,Asian,72385.65204705606,High School Diploma,Public,4,87.9193497555325,3.1744796143611675,1
51,16,Male,Asian,147968.02426702064,High School Diploma,Private,2,82.16079121660925,2.9754036192125435,1
52,16,Female,Asian,136059.053573347,Bachelor's Degree,Public,1,88.42357783275597,3.138581617551094,1
53,16,Female,Black,132413.92000187485,High School Diploma,Public,2,93.18090797674655,2.354886022430616,1
54,18,Female,White,72750.38130454793,High School Diploma,Public,2,78.01612122345547,2.869880124364459,1
55,15,Male,Asian,120855.57333708787,Bachelor's Degree,Private,0,75.86327628866687,3.59780880734118,1
56,18,Male,White,148359.48756019067,PhD,Private,3,99.91302830522193,2.6636276888990666,1
57,17,Female,White,93158.59343415976,Bachelor's Degree,Public,2,79.39487531591277,2.915463289503858,1
58,15,Female,Asian,86487.85859462779,High School Diploma,Public,2,96.67900491009385,2.3502063091874987,1
59,18,Other,Asian,31759.898516648496,Associate Degree,Private,3,81.791197739353,3.722392435231003,1
60,18,Female,Hispanic,114024.45224819235,Bachelor's Degree,Public,0,89.3627278860152,3.094238675604845,0
