,Age,Gender,Race,Income Level,Parents' Education,School Type,Learning Disability,Access to Technology,Student Motivation,Teacher Evaluation,label
0,13.0,male,white,medium,associate's degree,public,no,no,low,poor,0
1,13.005005005005005,male,other,medium,Bachelor's degree,private,no,yes,high,good,1
2,13.01001001001001,female,other,medium,high school diploma,private,no,yes,high,poor,0
3,13.015015015015015,male,other,medium,associate's degree,public,yes,yes,medium,fair,0
4,13.02002002002002,female,white,high,Bachelor's degree,public,yes,yes,high,fair,0
5,13.025025025025025,male,black,high,Bachelor's degree,public,no,no,medium,fair,0
6,13.03003003003003,male,black,medium,high school diploma,public,yes,yes,low,fair,0
7,13.035035035035035,male,other,high,high school diploma,public,no,no,medium,poor,0
8,13.04004004004004,male,white,high,high school diploma,public,yes,yes,high,excellent,1
9,13.045045045045045,female,white,low,associate's degree,private,no,yes,high,poor,1
10,13.05005005005005,female,other,high,Bachelor's degree,public,yes,yes,medium,fair,0
11,13.055055055055055,female,other,high,associate's degree,public,no,no,low,fair,0
12,13.06006006006006,male,white,low,Bachelor's degree,public,no,yes,high,fair,0
13,13.065065065065065,male,white,medium,Bachelor's degree,private,no,no,medium,good,1
14,13.07007007007007,female,other,medium,Bachelor's degree,private,yes,no,high,fair,1
15,13.075075075075075,female,black,low,Bachelor's degree,public,yes,yes,high,poor,0
16,13.08008008008008,male,black,high,associate's degree,private,no,yes,low,fair,1
17,13.085085085085085,female,black,low,high school diploma,private,no,yes,high,poor,0
18,13.09009009009009,female,white,low,associate's degree,public,no,yes,medium,excellent,0
19,13.095095095095095,female,black,high,high school diploma,public,no,yes,high,fair,0
20,13.1001001001001,female,black,high,Bachelor's degree,private,yes,yes,high,good,1
21,13.105105105105105,female,other,low,associate's degree,private,yes,yes,low,fair,1
22,13.11011011011011,male,other,medium,Bachelor's degree,public,yes,no,high,excellent,1
23,13.115115115115115,male,black,low,associate's degree,public,yes,yes,medium,excellent,0
24,13.12012012012012,female,other,medium,associate's degree,public,no,yes,low,fair,0
25,13.125125125125125,male,black,medium,associate's degree,public,no,no,medium,poor,0
26,13.13013013013013,male,white,medium,associate's degree,private,no,no,medium,excellent,1
27,13.135135135135135,male,black,high,associate's degree,public,yes,yes,low,fair,0
28,13.14014014014014,male,black,low,Bachelor's degree,public,no,yes,low,good,0
29,13.145145145145145,male,white,medium,associate's degree,private,no,no,high,good,1
30,13.15015015015015,male,white,low,Bachelor's degree,public,yes,no,medium,good,0
31,13.155155155155155,male,black,medium,high school diploma,private,yes,no,low,good,0
32,13.16016016016016,female,black,high,associate's degree,private,yes,yes,medium,fair,1
33,13.165165165165165,female,black,high,associate's degree,private,no,no,high,excellent,1
34,13.17017017017017,male,other,high,associate's degree,public,yes,yes,high,poor,0
35,13.175175175175175,male,other,high,high school diploma,private,yes,yes,medium,fair,0
36,13.18018018018018,female,black,low,high school diploma,public,no,yes,low,excellent,0
37,13.185185185185185,female,black,medium,high school diploma,private,no,no,medium,poor,0
38,13.19019019019019,male,black,medium,Bachelor's degree,public,no,yes,low,fair,0
39,13.195195195195195,male,white,low,Bachelor's degree,public,no,no,low,good,0
40,13.2002002002002,female,other,high,Bachelor's degree,private,yes,yes,low,excellent,1
41,13.205205205205205,female,other,low,associate's degree,private,no,no,low,good,1
42,13.21021021021021,female,black,low,Bachelor's degree,private,yes,yes,medium,good,1
43,13.215215215215215,female,white,medium,Bachelor's degree,private,yes,yes,low,fair,1
44,13.22022022022022,male,black,low,associate's degree,private,no,yes,low,fair,1
45,13.225225225225225,male,black,low,associate's degree,public,yes,yes,low,good,0
46,13.23023023023023,female,white,low,Bachelor's degree,private,no,no,high,fair,1
47,13.235235235235235,female,black,high,associate's degree,private,no,yes,low,excellent,1
48,13.24024024024024,male,other,high,high school diploma,public,no,no,medium,good,0
49,13.245245245245245,male,black,medium,high school diploma,public,no,yes,low,excellent,0
50,13.25025025025025,female,black,high,Bachelor's degree,public,no,yes,high,fair,0
51,13.255255255255255,female,black,low,high school diploma,private,no,no,low,poor,0
52,13.26026026026026,female,other,medium,high school diploma,private,yes,no,low,fair,0
53,13.265265265265265,female,black,low,high school diploma,public,yes,yes,high,fair,0
54,13.27027027027027,male,white,medium,high school diploma,private,yes,yes,medium,good,0
55,13.275275275275275,male,white,low,high school diploma,private,no,no,medium,poor,0
56,13.28028028028028,female,white,medium,high school diploma,private,no,no,low,good,0
57,13.285285285285285,male,white,high,associate's degree,private,yes,yes,high,poor,1
58,13.29029029029029,male,black,medium,associate's degree,private,no,no,medium,excellent,1
59,13.295295295295295,male,white,high,high school diploma,private,no,yes,low,excellent,0
60,13.3003003003003,female,other,medium,associate's degree,public,yes,no,low,fair,0
61,13.305305305305305,female,white,high,associate's degree,public,yes,yes,high,poor,0
62,13.31031031031031,male,black,medium,Bachelor's degree,public,yes,no,high,excellent,1
63,13.315315315315315,male,other,low,Bachelor's degree,private,yes,yes,low,good,1
64,13.32032032032032,female,white,medium,high school diploma,private,no,no,low,poor,0
65,13.325325325325325,female,other,low,associate's degree,private,yes,no,medium,good,1
66,13.33033033033033,female,other,medium,Bachelor's degree,public,no,no,high,fair,0
67,13.335335335335335,male,white,medium,associate's degree,private,yes,no,medium,good,1
68,13.34034034034034,female,black,low,associate's degree,private,no,yes,low,excellent,1
69,13.345345345345345,male,white,high,high school diploma,public,yes,yes,medium,poor,0
70,13.35035035035035,male,white,medium,Bachelor's degree,public,yes,yes,high,good,1
71,13.355355355355355,female,black,medium,high school diploma,private,no,yes,low,good,0
72,13.36036036036036,male,white,low,associate's degree,private,no,no,high,fair,1
73,13.365365365365365,male,white,low,associate's degree,private,yes,no,high,fair,1
74,13.37037037037037,female,white,high,associate's degree,public,no,no,high,fair,0
75,13.375375375375375,female,other,low,high school diploma,public,yes,no,medium,good,0
76,13.38038038038038,female,white,high,Bachelor's degree,private,no,yes,medium,fair,1
77,13.385385385385385,male,black,high,Bachelor's degree,public,no,yes,medium,excellent,0
78,13.39039039039039,male,white,high,Bachelor's degree,private,yes,no,medium,excellent,1
79,13.395395395395395,male,other,medium,associate's degree,public,yes,yes,medium,excellent,0
80,13.4004004004004,female,white,high,high school diploma,public,no,yes,low,excellent,0
81,13.405405405405405,male,black,high,Bachelor's degree,private,no,yes,medium,poor,1
82,13.41041041041041,male,black,low,Bachelor's degree,public,no,yes,high,poor,0
83,13.415415415415415,female,other,medium,Bachelor's degree,public,yes,yes,high,good,1
84,13.42042042042042,male,black,high,associate's degree,public,yes,no,high,good,1
85,13.425425425425425,female,white,low,associate's degree,public,yes,no,medium,poor,0
86,13.43043043043043,female,white,high,Bachelor's degree,public,yes,no,high,poor,0
87,13.435435435435435,female,black,medium,high school diploma,private,no,no,medium,good,0
88,13.44044044044044,male,white,medium,Bachelor's degree,private,no,yes,low,good,1
89,13.445445445445445,male,white,high,Bachelor's degree,private,no,no,medium,excellent,1
90,13.45045045045045,male,white,medium,Bachelor's degree,public,no,yes,high,poor,0
91,13.455455455455455,female,white,low,Bachelor's degree,public,yes,no,low,excellent,0
92,13.46046046046046,female,other,high,associate's degree,public,no,no,low,fair,0
93,13.465465465465465,male,black,medium,Bachelor's degree,private,no,no,low,excellent,1
94,13.47047047047047,female,black,high,Bachelor's degree,private,no,yes,medium,fair,1
95,13.475475475475475,female,black,high,associate's degree,private,no,no,low,fair,1
96,13.48048048048048,female,other,low,associate's degree,private,yes,yes,high,excellent,1
97,13.485485485485485,male,black,medium,high school diploma,public,no,yes,medium,excellent,0
98,13.49049049049049,female,black,low,associate's degree,public,no,yes,medium,excellent,0
99,13.495495495495495,female,black,high,associate's degree,public,yes,no,medium,poor,0
100,13.5005005005005,female,black,medium,Bachelor's degree,public,no,no,medium,good,0
101,13.505505505505505,male,black,high,associate's degree,private,no,no,low,poor,1
102,13.51051051051051,female,white,high,high school diploma,private,yes,no,medium,poor,0
103,13.515515515515515,female,black,medium,Bachelor's degree,private,yes,no,medium,good,1
104,13.52052052052052,female,white,low,high school diploma,private,yes,no,high,excellent,1
105,13.525525525525525,female,other,medium,associate's degree,private,yes,yes,medium,fair,1
106,13.53053053053053,male,black,low,associate's degree,private,no,no,medium,poor,1
107,13.535535535535535,male,white,medium,high school diploma,private,no,yes,high,poor,0
108,13.54054054054054,female,black,low,associate's degree,private,no,yes,high,excellent,1
109,13.545545545545545,male,other,high,Bachelor's degree,private,no,no,high,fair,1
110,13.55055055055055,male,white,high,associate's degree,public,yes,no,low,good,0
111,13.555555555555555,male,other,low,associate's degree,private,no,no,low,poor,1
112,13.56056056056056,male,white,low,associate's degree,private,yes,yes,medium,poor,1
113,13.565565565565565,male,black,low,high school diploma,private,yes,no,medium,good,0
114,13.57057057057057,male,other,low,high school diploma,public,yes,no,high,fair,0
115,13.575575575575575,female,white,low,associate's degree,private,no,no,low,good,1
116,13.58058058058058,female,white,low,high school diploma,public,no,no,medium,excellent,0
117,13.585585585585585,female,black,high,high school diploma,private,no,no,medium,excellent,0
118,13.59059059059059,female,white,medium,Bachelor's degree,private,no,yes,low,excellent,1
119,13.595595595595595,male,black,low,high school diploma,public,yes,yes,medium,poor,0
120,13.6006006006006,male,other,medium,high school diploma,private,no,yes,medium,excellent,0
121,13.605605605605605,male,white,medium,Bachelor's degree,public,yes,no,high,excellent,1
122,13.61061061061061,male,white,low,associate's degree,public,yes,yes,high,fair,0
123,13.615615615615615,female,black,medium,Bachelor's degree,private,no,yes,low,fair,1
124,13.62062062062062,male,black,low,Bachelor's degree,private,no,no,low,excellent,1
125,13.625625625625625,female,other,medium,associate's degree,private,yes,no,low,fair,1
126,13.63063063063063,female,black,high,high school diploma,public,no,no,low,good,0
127,13.635635635635635,female,other,medium,high school diploma,private,yes,yes,high,poor,0
128,13.64064064064064,female,other,medium,associate's degree,public,yes,yes,high,excellent,1
129,13.645645645645645,female,white,high,high school diploma,private,no,yes,medium,excellent,0
130,13.65065065065065,male,black,low,associate's degree,public,no,no,high,excellent,1
131,13.655655655655655,female,other,medium,associate's degree,private,yes,no,low,good,1
132,13.66066066066066,male,black,high,Bachelor's degree,private,yes,yes,low,excellent,1
133,13.665665665665665,female,black,medium,associate's degree,public,yes,yes,low,fair,0
134,13.67067067067067,male,white,low,Bachelor's degree,private,yes,no,medium,poor,1
135,13.675675675675675,female,white,low,high school diploma,public,yes,yes,high,good,1
136,13.68068068068068,female,black,low,associate's degree,private,yes,no,low,fair,1
137,13.685685685685685,male,black,high,Bachelor's degree,private,yes,no,high,excellent,1
138,13.69069069069069,female,white,medium,Bachelor's degree,public,yes,yes,high,excellent,1
139,13.695695695695695,male,black,medium,associate's degree,public,no,yes,high,poor,0
140,13.7007007007007,female,other,medium,Bachelor's degree,private,yes,yes,low,excellent,1
141,13.705705705705705,female,other,medium,high school diploma,public,no,yes,low,excellent,0
142,13.71071071071071,male,white,high,associate's degree,private,no,no,medium,fair,1
143,13.715715715715715,female,white,medium,associate's degree,private,yes,no,low,good,1
144,13.72072072072072,male,black,low,associate's degree,public,yes,no,medium,good,0
145,13.725725725725725,female,white,low,high school diploma,public,no,yes,medium,fair,0
146,13.73073073073073,female,white,medium,high school diploma,private,no,no,low,poor,0
147,13.735735735735735,female,black,low,Bachelor's degree,public,yes,yes,low,good,0
148,13.74074074074074,male,white,low,high school diploma,public,yes,yes,medium,poor,0
149,13.745745745745745,male,white,low,associate's degree,public,yes,yes,high,good,1
150,13.75075075075075,male,other,high,high school diploma,public,no,no,low,fair,0
151,13.755755755755755,female,white,low,Bachelor's degree,private,no,no,medium,fair,1
152,13.76076076076076,male,other,medium,Bachelor's degree,private,no,yes,high,excellent,1
153,13.765765765765765,female,other,medium,Bachelor's degree,private,no,no,medium,good,1
154,13.77077077077077,female,black,medium,associate's degree,private,no,no,low,good,1
155,13.775775775775776,male,black,high,associate's degree,private,no,no,medium,poor,1
156,13.78078078078078,male,white,high,associate's degree,private,yes,no,medium,poor,1
157,13.785785785785786,female,black,low,Bachelor's degree,public,no,no,medium,poor,0
158,13.79079079079079,male,black,medium,Bachelor's degree,private,no,yes,low,poor,1
159,13.795795795795796,male,white,high,Bachelor's degree,public,yes,no,medium,poor,0
160,13.8008008008008,female,black,low,Bachelor's degree,private,no,no,medium,good,1
161,13.805805805805806,male,white,low,associate's degree,public,no,no,high,fair,0
162,13.81081081081081,female,other,low,high school diploma,public,yes,no,medium,good,0
163,13.815815815815816,female,black,high,high school diploma,private,yes,yes,medium,good,0
164,13.82082082082082,female,other,medium,associate's degree,public,no,yes,high,fair,0
165,13.825825825825826,female,other,high,associate's degree,public,no,yes,high,good,1
166,13.83083083083083,female,other,medium,associate's degree,public,yes,no,low,fair,0
167,13.835835835835836,female,black,medium,Bachelor's degree,public,no,no,high,good,1
168,13.84084084084084,male,other,high,associate's degree,public,no,yes,high,good,1
169,13.845845845845846,male,white,low,high school diploma,public,yes,yes,medium,fair,0
170,13.85085085085085,male,black,low,Bachelor's degree,public,yes,yes,medium,poor,0
171,13.855855855855856,female,black,low,associate's degree,private,yes,no,low,poor,1
172,13.86086086086086,female,white,high,associate's degree,private,no,yes,high,poor,1
173,13.865865865865866,male,other,high,Bachelor's degree,private,yes,no,low,fair,1
174,13.87087087087087,male,black,medium,high school diploma,private,yes,yes,medium,excellent,0
175,13.875875875875876,female,other,medium,Bachelor's degree,public,yes,no,medium,excellent,0
