,Student_ID,Age,Gender,GPA,Hours_Studied_Per_Week,Family_Income,Parent_Education_Level,Participation_In_Extracurriculars,Number_of_Siblings,label
0,1,15,Male,4.0,18,69127,Bachelor’s Degree,No,3,1
1,2,17,Male,3.9,7,48098,Doctorate,No,2,0
2,3,17,Female,3.7,7,45007,Some College,Yes,4,0
3,4,18,Male,3.6,11,45272,Some College,Yes,3,0
4,5,16,Female,4.0,17,58898,Bachelor’s Degree,No,0,1
5,6,15,Female,3.1,16,49739,Master’s Degree,Yes,4,1
6,7,15,Male,3.0,11,34702,High School Diploma,Yes,2,0
7,8,16,Female,3.6,9,45881,Some College,No,4,0
8,9,17,Female,2.0,20,39912,Master’s Degree,Yes,4,1
9,10,17,Female,2.5,9,73663,High School Diploma,Yes,2,0
10,11,15,Male,3.1,9,73101,Master’s Degree,Yes,1,1
11,12,18,Female,2.0,20,72009,Doctorate,No,0,1
12,13,16,Female,2.8,16,74284,Doctorate,No,2,1
13,14,18,Male,3.7,9,31384,Some College,No,0,0
14,15,18,Male,3.5,12,47416,High School Diploma,Yes,4,0
15,16,17,Male,3.3,8,68352,Doctorate,Yes,4,1
16,17,18,Male,3.2,19,78906,High School Diploma,No,1,1
17,18,16,Female,3.4,19,46559,Bachelor’s Degree,Yes,4,1
18,19,16,Male,3.8,7,64285,Some College,No,0,1
19,20,17,Female,2.0,16,77001,Some College,No,2,0
20,21,17,Female,2.2,11,53707,High School Diploma,Yes,2,0
21,22,18,Male,4.0,15,29975,Master’s Degree,No,0,0
22,23,17,Male,2.6,10,77917,Master’s Degree,No,4,0
23,24,18,Male,3.0,14,57062,Some College,Yes,3,0
24,25,17,Female,2.9,11,53593,High School Diploma,No,0,0
25,26,17,Female,3.1,7,76156,High School Diploma,No,0,1
26,27,18,Female,2.5,18,28950,Some College,No,0,0
27,28,16,Female,2.0,11,54092,Some College,No,4,0
28,29,16,Female,2.4,9,50466,Master’s Degree,No,3,0
29,30,16,Female,2.8,8,56529,High School Diploma,No,3,0
30,31,15,Female,3.5,9,36527,Doctorate,Yes,4,0
31,32,16,Male,2.0,8,74552,Master’s Degree,No,0,0
32,33,18,Female,2.2,13,63704,Bachelor’s Degree,No,4,0
33,34,15,Female,3.8,6,50086,Master’s Degree,Yes,4,1
34,35,15,Male,2.6,14,60309,Doctorate,Yes,2,0
35,36,17,Male,3.4,12,35920,Bachelor’s Degree,Yes,4,0
36,37,16,Female,2.8,18,47267,Master’s Degree,Yes,0,1
37,38,17,Female,2.5,16,57953,Master’s Degree,No,4,1
38,39,18,Female,2.6,16,76020,Master’s Degree,Yes,1,1
39,40,17,Female,3.4,16,26233,Doctorate,No,0,1
40,41,17,Male,3.2,6,59328,Doctorate,No,3,1
41,42,16,Male,3.8,9,34141,Some College,No,3,0
42,43,15,Male,2.5,15,70002,Master’s Degree,Yes,2,0
43,44,18,Male,3.8,19,27999,Master’s Degree,No,3,1
44,45,17,Female,2.8,6,49655,Bachelor’s Degree,No,4,0
45,46,18,Female,2.2,8,78723,High School Diploma,Yes,2,0
46,47,16,Male,2.7,6,59071,High School Diploma,Yes,4,0
47,48,18,Male,3.7,15,33579,Bachelor’s Degree,No,0,0
48,49,17,Male,2.3,11,62329,Master’s Degree,Yes,1,0
49,50,15,Male,2.6,11,60993,Doctorate,Yes,3,0
50,51,18,Female,3.6,13,46406,High School Diploma,Yes,3,0
51,52,17,Male,2.6,9,53328,Master’s Degree,No,0,0
52,53,18,Female,2.1,8,26792,Bachelor’s Degree,No,3,0
53,54,18,Female,3.9,18,53919,Doctorate,No,3,1
54,55,15,Female,3.4,19,32072,High School Diploma,No,3,0
55,56,15,Female,2.5,20,41608,Some College,No,3,0
56,57,17,Male,2.7,19,48367,Bachelor’s Degree,No,1,1
57,58,15,Female,2.8,15,62622,Doctorate,Yes,1,0
58,59,17,Female,2.6,7,69358,Bachelor’s Degree,No,2,0
59,60,17,Male,3.0,13,26353,Bachelor’s Degree,Yes,3,0
60,61,16,Female,3.6,20,44256,High School Diploma,No,2,0
61,62,17,Male,2.2,6,48127,Doctorate,No,0,0
62,63,18,Female,3.5,14,38399,Bachelor’s Degree,No,3,0
63,64,15,Female,2.7,16,40937,High School Diploma,Yes,0,0
64,65,17,Female,2.4,18,30784,High School Diploma,Yes,4,0
65,66,17,Male,2.6,6,29094,Some College,No,3,0
66,67,16,Female,3.6,18,32724,Master’s Degree,No,4,1
67,68,17,Female,3.3,10,78659,Bachelor’s Degree,Yes,2,1
68,69,16,Male,2.4,8,54014,Doctorate,No,1,0
69,70,16,Male,3.2,15,78744,Some College,No,2,1
70,71,17,Female,3.6,15,38435,Bachelor’s Degree,Yes,3,0
71,72,17,Female,2.9,13,31606,Doctorate,Yes,1,0
72,73,17,Male,3.1,17,38299,High School Diploma,No,2,0
73,74,18,Female,3.2,14,37041,High School Diploma,Yes,2,0
74,75,15,Male,2.6,8,61007,Bachelor’s Degree,Yes,3,0
75,76,16,Female,2.0,11,65328,Some College,No,3,0
76,77,16,Male,3.8,8,61779,Master’s Degree,No,2,1
77,78,15,Female,2.5,9,62933,High School Diploma,Yes,3,0
78,79,18,Male,2.7,6,35096,Doctorate,Yes,1,0
79,80,17,Male,2.9,6,65343,Doctorate,No,0,0
80,81,15,Male,2.0,20,76721,High School Diploma,No,0,0
81,82,16,Female,2.8,14,44963,Some College,Yes,1,0
82,83,17,Male,2.4,11,54000,Doctorate,No,2,0
83,84,15,Male,2.4,12,74097,Master’s Degree,No,3,0
84,85,15,Female,3.4,18,32835,High School Diploma,No,1,0
85,86,18,Male,2.3,12,73476,Doctorate,Yes,0,0
86,87,16,Male,3.3,7,77708,Doctorate,No,2,1
87,88,15,Male,3.0,9,43543,Bachelor’s Degree,Yes,0,0
88,89,16,Female,2.6,7,35612,Some College,Yes,3,0
89,90,17,Female,2.7,6,28805,High School Diploma,Yes,1,0
90,91,17,Female,3.4,11,53530,Bachelor’s Degree,No,2,1
91,92,17,Female,3.2,11,49657,Bachelor’s Degree,Yes,4,0
92,93,17,Male,2.6,20,44638,Some College,No,3,0
93,94,16,Male,2.1,7,55018,High School Diploma,No,0,0
94,95,18,Male,2.2,6,68387,Bachelor’s Degree,No,2,0
95,96,17,Male,3.4,7,68026,Bachelor’s Degree,No,2,1
96,97,18,Male,2.7,8,52607,Doctorate,No,2,0
97,98,17,Male,3.1,20,35172,Doctorate,Yes,0,1
