,age,gender,parent_education_level,household_income,parent_occupation,student_grade_level,study_hours_week,extracurricular_activities,school_type,family_size,internet_access_at_home,parent_involvement,student_gpa,label
0,18,Female,Master's,129354,Engineer,9th,20,Yes,Private,1,No,1,2.0,0
1,15,Male,None,142428,Service,8th,16,No,Charter,8,No,3,2.8,0
2,24,Other,Bachelor's,22061,Healthcare,9th,21,Yes,Public,4,No,3,2.1,0
3,22,Male,High School,138988,Service,11th,47,No,Private,5,No,3,2.2,0
4,19,Female,Master's,73817,Healthcare,7th,36,Yes,Private,8,No,2,1.7,0
5,24,Female,None,38736,Healthcare,11th,14,No,Private,5,Yes,3,1.2,0
6,16,Male,Master's,68870,Unemployed,9th,34,Yes,Public,10,Yes,1,1.9,1
7,18,Other,None,147004,Engineer,10th,27,Yes,Private,4,Yes,4,0.5,1
8,21,Female,PhD,73892,Engineer,12th,6,No,Private,6,Yes,4,3.8,1
9,14,Female,Master's,49312,Healthcare,9th,31,Yes,Private,5,Yes,5,2.9,1
10,18,Other,Master's,95010,Engineer,6th,10,Yes,Private,7,No,1,3.8,0
11,22,Female,Master's,36021,Teacher,9th,9,Yes,Charter,10,Yes,3,0.9,0
12,22,Male,PhD,11379,Healthcare,10th,8,No,Private,7,Yes,4,3.5,1
13,19,Female,High School,19331,Engineer,6th,13,Yes,Public,4,No,1,3.2,0
14,16,Female,None,19206,Teacher,8th,12,No,Private,5,Yes,4,2.7,0
15,15,Other,Master's,22785,Unemployed,6th,24,No,Private,3,Yes,3,2.5,0
16,19,Male,PhD,20824,Engineer,11th,1,No,Charter,4,Yes,4,1.3,1
17,19,Other,High School,96131,Teacher,7th,34,Yes,Private,4,Yes,5,3.3,1
18,14,Female,None,27282,Service,11th,6,No,Charter,3,No,5,2.0,0
19,17,Female,PhD,51850,Service,12th,20,No,Public,10,No,4,0.3,1
20,16,Other,None,134518,Teacher,6th,17,Yes,Charter,5,Yes,1,1.3,1
21,13,Other,Master's,71094,Healthcare,8th,2,No,Private,5,No,1,3.7,0
22,19,Other,High School,100133,Healthcare,9th,41,No,Public,7,Yes,1,3.4,1
23,23,Male,PhD,25847,Engineer,6th,38,Yes,Private,4,No,4,3.9,1
24,25,Female,High School,28843,Service,11th,40,Yes,Charter,4,No,1,2.5,0
25,17,Other,Master's,6130,Healthcare,6th,48,No,Public,9,No,3,1.0,0
26,13,Female,High School,25340,Healthcare,6th,10,Yes,Public,6,No,5,0.7,0
27,23,Male,High School,41788,Service,6th,38,Yes,Charter,4,No,3,0.7,0
28,16,Male,Bachelor's,26551,Unemployed,8th,23,Yes,Charter,2,No,1,0.1,0
29,12,Male,High School,13305,Healthcare,10th,45,No,Public,6,No,3,1.6,0
30,23,Male,None,18095,Teacher,10th,18,No,Public,2,No,1,0.8,0
31,21,Female,PhD,69116,Engineer,6th,3,Yes,Charter,5,No,4,1.6,1
32,17,Male,Bachelor's,30950,Healthcare,8th,25,No,Private,6,No,3,3.7,1
33,24,Male,PhD,54640,Healthcare,8th,37,Yes,Public,4,No,4,1.7,1
34,23,Other,PhD,75512,Unemployed,12th,41,Yes,Charter,3,Yes,4,3.5,1
35,20,Male,Master's,103559,Teacher,6th,31,Yes,Private,7,No,2,2.4,0
36,12,Other,Master's,5896,Engineer,11th,38,Yes,Public,2,Yes,1,1.0,0
37,22,Male,Bachelor's,119911,Healthcare,11th,44,Yes,Public,6,No,5,1.4,1
38,22,Male,Master's,94185,Engineer,7th,45,No,Charter,4,Yes,1,0.3,1
39,21,Other,Master's,12263,Service,6th,35,No,Private,6,Yes,5,1.3,1
40,23,Male,Master's,131036,Healthcare,7th,39,No,Public,4,Yes,1,2.7,1
41,23,Female,PhD,138130,Healthcare,11th,36,No,Private,4,No,4,0.3,1
42,25,Female,Bachelor's,9161,Service,11th,32,Yes,Private,4,No,3,0.8,0
43,25,Male,PhD,41531,Unemployed,6th,35,Yes,Public,9,No,3,1.5,0
44,25,Female,None,120930,Healthcare,7th,2,No,Private,7,No,2,3.9,0
45,14,Other,PhD,112238,Engineer,7th,8,No,Public,3,Yes,5,3.1,1
46,23,Male,None,27678,Teacher,6th,7,Yes,Private,3,No,5,2.9,0
47,18,Male,High School,31402,Engineer,12th,32,Yes,Public,6,No,5,0.5,0
48,15,Other,High School,55570,Unemployed,7th,5,Yes,Charter,6,No,4,3.1,0
49,20,Other,None,72678,Teacher,12th,40,No,Public,4,No,5,3.1,1
50,14,Other,None,92738,Engineer,9th,38,Yes,Public,9,No,3,2.4,0
51,16,Male,PhD,55337,Engineer,11th,3,Yes,Public,4,No,4,4.0,1
52,14,Other,None,69380,Service,10th,12,No,Private,9,No,1,1.3,0
53,18,Other,Bachelor's,112120,Unemployed,12th,48,No,Charter,4,No,5,3.8,1
54,16,Female,High School,5502,Service,12th,1,No,Private,2,Yes,5,3.7,0
55,20,Female,High School,37865,Teacher,12th,4,Yes,Private,2,Yes,1,0.0,0
56,18,Male,None,107002,Service,8th,43,Yes,Public,5,No,5,1.8,0
57,13,Female,Master's,134281,Unemployed,7th,26,No,Private,4,No,1,3.9,1
58,15,Female,Master's,76751,Healthcare,7th,31,Yes,Public,7,No,4,0.4,1
