,Average student grade,Number of office hours,Number of student complaints,Average student satisfaction,Years of experience,Teaching method,Conciseness of lectures,Clarity of explanations,Ability to engage students,label
0,1.3727317865791098,7.047793648684294,0,1,6.623302453291883,Flipped classroom,107.3486030073699,5,5,1
1,4.945399184348354,3.834473389540376,0,3,7.980273711605662,Flipped classroom,51.53446484372408,4,5,1
2,1.196201437855081,3.7402282033314838,1,5,3.590282781884092,Online learning,135.28940059047906,3,1,0
3,3.857501263692431,5.896950601076847,1,1,1.6920846851712867,Flipped classroom,189.45406517564743,1,4,0
4,4.99366381193645,4.410540686439903,3,2,7.114613896470486,Traditional lecture,194.2824900972417,5,1,0
5,4.25535215746172,0.13284386790801794,4,1,2.228857345814088,Traditional lecture,30.205524651191908,1,1,0
6,4.3892447837443616,5.596588592340441,1,4,4.020674875192025,Traditional lecture,3.6102647997514836,1,2,0
7,4.033391961278085,8.435887655139062,3,1,7.110418149383392,Online learning,15.257032107337153,4,3,1
8,2.011869987247281,8.040117944238528,2,5,9.428386411136891,Flipped classroom,47.677131624574585,4,2,1
9,4.946870930027605,3.6707116195665854,2,4,0.8656325376258822,Online learning,183.76872329917356,3,2,0
10,3.6247216969565867,9.265584938848587,2,1,3.5132652850831034,Traditional lecture,77.5568043320511,1,1,0
11,1.429206618610777,9.708445371023334,4,1,5.266924735539216,Flipped classroom,110.05732910606163,2,2,1
12,3.5018187493638457,2.557153556995736,3,3,1.7032397028996726,Traditional lecture,155.25171565872742,1,4,0
13,3.1872614651182802,7.813018352377528,0,5,9.567834296195462,Online learning,1.2305664287022955,4,4,1
14,4.649008863715476,6.222485106842996,2,5,2.647844680522453,Traditional lecture,6.435510328671601,3,4,0
15,2.235789243270595,7.088333112396363,0,2,3.3040565677542832,Online learning,84.43707052190197,4,4,0
16,4.5832996676616915,8.736764635669497,3,3,0.8963281570990755,Flipped classroom,1.3252609268692428,5,5,0
17,2.154605736205877,3.793506144103614,2,2,6.114988017628352,Flipped classroom,122.26215646542565,3,4,1
18,2.7063051099300095,7.007374879409123,2,4,9.878551664834902,Flipped classroom,101.84637968810017,2,3,1
19,3.1441839938062954,2.950978449003754,2,1,9.486559971265295,Online learning,150.76213631560654,1,2,1
20,4.462972820789036,8.436358043892959,2,4,8.897792424586846,Online learning,102.40695571465197,3,3,1
21,2.0627183365614927,7.958425813384206,4,5,9.546609001006034,Flipped classroom,192.83396555822983,1,3,1
22,2.4933990461298663,7.555701519216726,3,3,3.2828398866159123,Online learning,66.88584744357702,2,3,0
23,2.9932152494892676,2.341672221588186,1,5,3.0081109551813823,Flipped classroom,93.59809064258296,2,4,0
24,4.692994744171788,2.6691840373617093,0,2,0.8459860280121501,Traditional lecture,181.84073889035128,4,1,0
25,2.15425295733545,3.0398646952862562,2,5,1.900647376379354,Flipped classroom,159.42323910141312,3,1,0
26,4.673038980090155,9.634716696648454,1,1,8.33126313576059,Traditional lecture,20.288189139222503,2,4,0
27,1.1831525526496973,0.9324142837892369,4,2,3.851293174474643,Flipped classroom,3.567835799843855,2,5,0
28,4.713157144987206,7.229486158956213,4,4,1.1824229125412067,Online learning,2.8703263475422514,4,1,0
29,3.0631332532564395,5.268009706647864,1,3,1.339803255677986,Online learning,5.777067298988547,3,1,0
30,4.045548917054822,8.925871189004502,3,1,5.323853858047886,Online learning,60.515276357540884,5,4,1
31,2.8338106066612205,7.754646360229319,4,2,1.1251648175896878,Traditional lecture,27.11004826952046,1,5,0
32,3.312756070151087,5.711680790756683,3,3,2.9013819314207865,Traditional lecture,71.01377340178333,4,3,0
33,4.184074787478588,5.172076621440526,2,5,6.428737040502131,Online learning,97.97965350787288,2,2,1
34,2.0542170141503338,0.16662641377738208,0,1,7.468660950090907,Traditional lecture,13.936515716799992,4,4,0
35,2.8708608413990024,3.189268236414493,2,5,6.730528239769172,Flipped classroom,26.134432813873822,4,5,1
36,3.361057434456731,4.482247539021678,4,3,8.28992364775439,Traditional lecture,162.04673374481783,2,1,0
37,1.6519879495135164,0.3723671262107775,0,4,6.261396953939383,Traditional lecture,176.76523483162768,2,2,0
38,2.584893022034725,8.163348865434429,4,3,8.24035398632302,Online learning,193.76368004721488,1,2,1
39,2.35698954658578,0.8642405247497109,3,2,1.4020092253310046,Flipped classroom,149.64096379108543,3,5,0
40,1.2390794742387707,1.1796547789648737,0,4,1.8299741958411753,Online learning,90.52738182712068,1,1,0
41,4.170854778262333,2.132278550241782,3,5,3.049831713853509,Online learning,124.66174512007086,3,1,0
42,1.1835112296165358,2.9293753314619853,1,5,1.1431316889356158,Flipped classroom,190.60657798972534,5,5,0
43,4.9243279075820166,5.951076143406925,1,2,8.75798536680368,Traditional lecture,150.41659908324257,4,4,0
44,2.9099174759632507,2.6925580367562594,3,4,0.26291329048587553,Flipped classroom,24.79441068956756,2,5,0
45,4.572628096297405,8.708181613380734,3,5,3.4324945385789354,Online learning,78.84789435674782,2,2,0
46,4.951491179412276,8.783896161807148,2,2,6.470211455225688,Online learning,108.6981940698737,1,4,1
47,1.9398036708950794,8.580949460263588,4,1,1.870114864649507,Online learning,64.90665316548574,4,5,0
48,2.119885299552652,9.589270594144395,0,3,9.081814375596803,Online learning,187.7855792626344,4,1,1
49,4.111710037765877,4.213998704494579,2,3,2.4685031815229364,Flipped classroom,99.91874253406907,1,3,0
50,3.0650923662382934,6.812593903694323,1,5,7.151614728053755,Flipped classroom,34.105549030930725,1,3,1
51,4.2381509809498485,2.9728579153011694,0,5,0.9681145986971929,Flipped classroom,21.33340318095851,4,2,0
52,1.221784586420788,6.597281607926072,1,5,7.828757127002862,Traditional lecture,72.558794650546,1,4,0
53,4.967886845781688,4.1642012128821175,2,4,6.581013900112654,Online learning,45.10223143317802,2,4,1
54,1.2690840446682259,8.995638402564506,4,4,6.7229929094308085,Online learning,16.735469034646332,4,2,1
55,2.278033012502322,9.558539408842071,3,2,6.7296031006537795,Traditional lecture,0.9087083976498267,2,2,0
56,1.3679348132501183,4.483728891502864,2,3,0.9141157826760871,Traditional lecture,124.45013704537888,5,4,0
57,4.581677297666247,7.424375724193592,1,1,1.650447889988692,Online learning,126.23406524473286,5,1,0
58,4.514356250026406,0.6653463069333343,0,4,3.1892894570994845,Traditional lecture,191.52942356396855,5,2,0
59,1.6638716123610817,4.384448383009659,0,1,6.923387331753482,Online learning,141.11443961104698,4,4,1
60,2.3764326247870295,6.446342039074025,4,1,4.617718768620627,Online learning,125.58355778117338,5,4,0
61,3.2398603062889935,8.841639421836447,0,4,5.702264877697444,Online learning,6.714168386880259,1,1,1
62,3.8542480593563737,1.8124997353517036,3,5,7.751596047589163,Traditional lecture,120.93904569079936,4,1,0
63,1.805639640220143,8.876132910927005,0,2,5.52429344788706,Online learning,89.59339944188866,5,2,1
64,3.7912964944050076,7.889735031135116,0,5,8.201384049460465,Online learning,4.610405871519907,1,3,1
65,1.2774751842461058,3.49076568553077,2,3,8.878572479759997,Flipped classroom,71.8854072568591,2,3,1
66,1.7351072471643594,1.262103580636188,1,3,5.987000581898048,Online learning,56.98919030698166,1,2,1
67,3.1276032198878303,1.4023294646831974,1,5,6.503042041866104,Online learning,21.75393048590861,3,3,1
68,4.085822869433666,4.482881038802807,3,5,2.12034769974664,Flipped classroom,177.54152833412883,1,4,0
69,4.828920113045818,4.703384245213142,3,2,0.2659631012050012,Flipped classroom,47.36925126884457,1,2,0
70,4.816007587480408,3.609202524760533,3,4,4.779271912079562,Online learning,69.2553597950162,2,4,0
71,4.317090086321013,0.3773240698815561,0,4,1.2912040608230757,Flipped classroom,81.30100154045527,2,3,0
72,4.296052504319418,4.9271056645172155,0,2,9.44664871804114,Online learning,118.27686247729103,3,4,1
73,4.435988899862652,3.5889121388883236,3,1,2.064167060948127,Online learning,185.7770619311645,3,5,0
