,TA_ID,Years_of_Experience,Class_Size,Student_Satisfaction_Score,Attendance_Rate,Graded_Assignments_Score,Tutorial_Sessions_Conducted,Feedback_Count,label
0,1,4,48,5.0,79%,88,20,24,1
1,2,5,32,3.5,74%,89,13,5,0
2,3,0,46,1.1,81%,69,13,25,0
3,4,3,39,1.1,79%,22,1,21,0
4,5,3,32,2.4,76%,80,10,8,0
5,6,3,58,4.3,87%,95,19,8,1
6,7,1,27,4.5,96%,64,13,1,0
7,8,3,36,4.8,88%,67,19,5,0
8,9,5,49,1.3,85%,97,14,0,1
9,10,2,20,1.2,82%,31,0,21,0
10,11,4,43,4.7,76%,70,11,0,1
11,12,6,35,2.2,88%,52,7,11,0
12,13,0,30,3.2,86%,64,3,19,0
13,14,0,23,4.9,100%,8,14,6,0
14,15,4,23,2.6,98%,24,0,14,0
15,16,2,36,3.7,81%,70,8,5,1
16,17,1,29,2.6,70%,75,3,28,0
17,18,6,40,4.1,76%,68,11,16,1
18,19,6,57,3.1,95%,62,20,21,0
19,20,0,37,2.0,76%,71,1,29,0
20,21,1,29,2.1,99%,25,6,20,0
21,22,5,35,2.0,72%,51,14,18,0
22,23,1,58,3.1,89%,42,4,29,0
23,24,5,34,3.8,82%,5,10,24,0
24,25,0,53,4.8,88%,37,3,26,0
25,26,1,24,3.8,70%,4,15,5,0
26,27,4,36,4.1,79%,62,6,3,1
27,28,3,56,1.7,92%,42,11,10,0
28,29,0,27,2.5,87%,12,20,10,0
29,30,3,43,2.7,80%,16,2,9,0
30,31,5,47,3.7,74%,57,3,7,0
31,32,6,27,2.2,74%,69,17,0,0
32,33,0,42,2.2,88%,13,10,0,0
33,34,2,54,2.4,75%,11,0,28,0
34,35,3,50,4.2,84%,86,6,14,1
35,36,0,36,3.3,80%,39,1,2,0
36,37,1,47,1.3,88%,0,14,30,0
37,38,3,31,1.3,99%,24,20,29,0
38,39,5,43,2.5,89%,27,3,5,0
39,40,3,34,4.1,72%,30,17,3,0
40,41,3,59,3.8,73%,88,7,3,0
41,42,6,50,3.8,78%,92,14,13,0
42,43,0,46,4.1,96%,24,11,18,0
43,44,1,54,2.1,88%,94,13,17,1
44,45,1,37,3.2,74%,52,0,29,0
45,46,1,55,3.2,77%,32,0,2,0
46,47,0,27,4.0,80%,62,18,2,0
47,48,2,57,4.8,99%,61,17,19,0
48,49,4,24,2.1,73%,99,9,18,0
49,50,3,33,4.2,85%,86,5,4,1
50,51,6,57,3.6,84%,47,12,11,0
51,52,3,39,3.3,83%,8,17,21,0
52,53,2,28,4.1,73%,3,3,3,0
53,54,4,52,4.8,96%,100,3,17,1
54,55,2,37,1.1,73%,52,2,2,0
55,56,0,25,1.6,76%,78,20,19,0
56,57,0,56,4.0,72%,60,5,26,0
57,58,4,21,1.3,75%,100,20,8,0
58,59,5,49,3.1,94%,59,6,9,0
59,60,5,25,1.9,93%,81,8,14,1
60,61,6,36,2.1,97%,59,0,3,0
61,62,0,58,3.8,73%,83,12,12,0
62,63,4,60,1.1,73%,88,6,17,0
63,64,1,42,4.5,77%,88,7,10,0
64,65,4,50,2.8,97%,99,9,23,1
65,66,1,39,3.0,88%,65,6,17,0
66,67,2,24,3.2,72%,76,5,0,0
67,68,2,40,3.6,100%,84,4,17,1
68,69,0,30,2.4,86%,7,7,11,0
69,70,1,23,1.4,77%,86,19,8,0
70,71,1,42,2.3,80%,44,15,2,0
71,72,1,57,1.7,83%,79,3,16,1
72,73,1,49,3.2,97%,32,7,22,0
73,74,3,60,2.3,86%,33,20,4,0
74,75,6,37,4.8,95%,77,8,9,1
75,76,3,60,4.9,75%,1,18,10,0
76,77,6,50,3.5,90%,3,14,15,0
77,78,2,49,3.5,78%,39,7,27,0
78,79,3,53,4.9,92%,62,2,28,0
79,80,0,50,4.5,90%,62,2,17,0
80,81,6,57,4.1,81%,100,16,7,1
81,82,3,44,2.3,71%,27,13,13,0
82,83,5,36,2.5,76%,58,13,3,0
83,84,4,55,1.8,98%,98,1,28,1
84,85,1,59,2.9,75%,47,13,17,0
85,86,2,49,5.0,78%,25,10,3,0
86,87,4,21,4.6,80%,80,13,26,1
87,88,3,43,1.5,77%,73,6,13,0
88,89,4,28,1.1,99%,25,18,25,0
89,90,6,20,4.6,74%,64,7,19,1
90,91,4,43,3.1,88%,15,13,28,0
91,92,4,57,1.8,85%,80,20,18,1
92,93,3,46,3.7,98%,100,3,12,1
93,94,4,45,3.6,97%,7,10,23,0
94,95,4,45,1.5,72%,23,3,14,0
95,96,4,26,2.0,79%,40,5,10,0
96,97,0,44,1.2,99%,38,5,13,0
97,98,6,35,1.8,70%,37,1,13,0
98,99,4,57,1.5,87%,68,18,13,0
99,100,3,37,1.8,98%,98,0,19,1
100,101,2,36,3.7,90%,86,12,1,1
101,102,5,25,1.2,95%,60,13,3,0
102,103,5,39,1.4,74%,49,2,12,0
103,104,5,42,1.5,89%,30,18,8,0
104,105,0,31,2.3,70%,97,16,19,0
105,106,1,31,2.2,91%,91,3,10,1
106,107,5,53,2.0,97%,71,12,29,1
107,108,1,27,4.0,96%,77,8,6,1
108,109,3,46,5.0,94%,89,3,20,1
109,110,0,27,3.1,94%,37,9,23,0
110,111,5,52,4.8,98%,31,12,11,1
111,112,6,56,2.6,83%,100,17,21,1
112,113,0,38,1.4,93%,49,11,13,0
113,114,1,43,2.6,88%,47,15,7,0
114,115,2,41,2.2,75%,53,0,13,0
115,116,4,22,3.0,71%,8,13,28,0
116,117,2,28,3.6,91%,18,20,18,0
117,118,0,30,2.8,72%,84,6,29,0
118,119,5,25,4.7,71%,25,4,29,1
119,120,3,58,4.5,99%,39,1,26,0
120,121,2,58,3.8,83%,93,3,18,1
121,122,2,56,3.0,72%,2,9,15,0
122,123,5,21,1.5,84%,50,14,14,0
123,124,0,56,2.6,80%,81,18,1,0
124,125,5,25,3.8,100%,97,14,13,1
125,126,1,25,2.1,79%,3,18,19,0
126,127,0,58,1.4,92%,26,9,25,0
127,128,2,55,4.6,97%,53,19,18,0
128,129,2,44,3.8,77%,88,2,21,0
129,130,3,35,3.5,82%,63,10,7,0
130,131,2,40,4.2,99%,94,17,16,1
131,132,3,29,4.3,74%,57,1,13,0
132,133,2,24,2.9,76%,65,17,22,0
133,134,1,44,4.5,98%,82,14,27,1
134,135,2,50,4.7,87%,71,15,11,1
135,136,6,22,2.1,91%,43,18,12,0
136,137,3,39,3.4,93%,69,18,6,0
137,138,6,23,3.1,75%,58,11,17,0
138,139,3,33,3.2,90%,40,5,0,0
139,140,3,31,4.8,83%,19,11,9,0
140,141,2,33,2.2,83%,34,6,22,0
141,142,6,56,4.9,78%,85,9,5,1
142,143,3,37,4.6,88%,100,11,29,1
143,144,4,46,2.8,79%,88,15,23,0
144,145,1,26,4.3,92%,94,12,6,1
145,146,2,54,4.1,100%,65,12,22,0
146,147,3,41,3.7,71%,0,13,23,0
147,148,6,40,2.3,78%,88,5,1,0
148,149,1,37,1.8,96%,47,18,23,0
149,150,2,57,3.7,77%,4,9,23,0
150,151,1,45,4.4,82%,64,8,26,0
151,152,4,41,1.1,79%,36,8,19,0
152,153,2,56,3.6,87%,60,8,29,0
153,154,6,24,2.8,87%,50,0,25,0
154,155,3,54,4.6,87%,55,0,8,0
155,156,0,31,2.3,95%,84,12,7,1
156,157,3,54,2.9,93%,68,20,11,0
157,158,2,53,3.1,95%,5,20,27,0
158,159,3,39,1.6,78%,61,18,25,0
159,160,0,31,3.9,95%,78,15,23,1
160,161,0,53,4.3,89%,22,12,17,0
161,162,6,45,1.2,80%,79,17,22,1
162,163,0,53,2.2,96%,83,9,8,1
163,164,6,51,1.2,83%,76,13,0,0
