,age,gender,years_of_experience,course_level,hours_per_week,feedback_score,availability,communication_skills,responsiveness,number_of_students,previous_rating,label
0,28,1,8,1,28,3.2,1,1,1,58,1,1
1,25,0,3,2,28,3.9,2,3,3,22,0,1
2,34,1,9,1,27,1.3,3,1,3,24,1,1
3,32,0,3,1,29,2.7,2,1,1,19,1,1
4,29,0,9,2,25,1.5,1,1,1,33,1,1
5,34,0,2,1,17,3.5,3,1,2,52,1,0
6,26,1,9,2,10,4.8,2,1,2,25,0,1
7,28,0,8,1,26,3.6,3,2,1,57,0,1
8,31,0,9,1,21,1.3,2,2,3,34,0,1
9,24,0,5,1,20,2.4,1,3,1,34,1,1
10,28,1,2,2,14,3.2,2,1,1,35,1,0
11,32,1,8,1,21,2.6,3,3,3,32,1,1
12,32,1,6,1,26,4.3,3,2,3,24,1,1
13,29,1,8,2,15,4.3,3,2,2,48,1,1
14,26,1,5,1,10,3.4,3,2,2,40,1,0
15,25,0,2,1,14,2.5,1,1,2,44,0,0
16,29,1,6,2,23,2.0,2,1,2,23,0,1
17,29,1,5,1,14,1.4,1,2,3,45,0,0
18,24,1,5,2,10,2.4,1,3,1,56,0,0
19,27,0,1,2,27,2.7,1,3,2,18,0,0
20,26,1,2,2,25,3.7,3,2,2,20,0,0
21,23,1,8,1,18,3.6,3,3,3,28,0,1
22,29,0,3,2,28,1.3,3,2,3,18,0,1
23,33,1,3,1,14,2.6,2,3,1,40,1,0
24,27,0,8,2,11,1.7,3,2,1,53,1,0
25,23,0,8,1,24,1.6,2,3,3,31,1,1
26,33,0,2,1,16,4.3,3,1,2,33,1,1
27,26,0,8,1,13,1.2,3,2,2,20,1,0
28,22,0,1,2,10,2.7,1,2,2,43,1,0
29,33,1,6,2,22,1.7,1,3,1,25,1,1
30,31,0,8,1,29,4.5,1,2,2,30,0,1
31,27,0,3,1,16,3.2,2,2,2,44,0,0
32,34,1,8,2,24,1.9,2,2,3,39,1,1
33,33,0,1,1,23,3.0,3,1,2,54,0,0
34,30,1,9,1,28,3.9,2,1,3,25,0,1
35,22,1,9,2,29,4.8,3,3,2,21,0,1
36,32,1,5,1,27,1.9,2,1,1,40,0,1
37,32,0,4,2,19,4.5,2,3,2,36,0,1
38,31,0,6,1,18,4.7,2,1,2,39,1,1
39,33,0,7,1,17,4.7,1,3,3,33,0,1
40,33,1,5,1,19,3.5,2,1,3,45,1,0
41,24,0,9,2,26,3.5,1,1,3,40,1,1
42,33,0,3,1,11,2.6,1,3,2,56,1,0
43,28,0,7,2,15,4.0,2,2,2,55,0,1
44,25,1,5,1,14,3.1,3,2,1,50,1,0
45,30,1,7,2,18,3.7,3,1,2,37,1,0
46,24,0,2,1,14,2.7,3,3,1,27,1,0
47,26,0,4,1,27,3.9,2,2,3,39,1,1
48,24,0,2,2,29,4.3,3,3,3,16,0,1
49,28,0,7,1,18,1.6,1,2,3,16,1,0
50,26,1,2,1,26,4.3,3,3,1,30,1,1
51,30,1,1,2,26,3.2,2,1,2,23,1,0
52,28,1,9,1,21,4.4,3,3,3,42,1,1
53,23,1,1,2,16,2.7,1,2,2,27,0,0
54,25,0,8,1,12,2.5,2,1,2,49,1,0
55,30,0,2,2,19,4.7,3,3,3,55,1,1
56,33,0,8,1,11,2.0,2,2,1,27,1,0
57,23,1,3,1,12,4.4,2,1,2,45,1,1
58,31,0,6,2,25,2.9,2,3,3,35,1,1
59,30,1,3,2,11,3.1,3,2,2,46,1,0
60,31,1,7,1,19,2.2,2,3,2,48,0,0
61,26,0,9,1,15,3.3,3,3,2,22,1,0
62,23,0,2,2,20,2.3,1,1,2,55,0,0
63,25,0,5,1,16,1.2,3,1,2,16,0,0
64,33,1,6,2,24,2.1,1,2,1,52,1,1
65,33,0,4,2,15,1.0,3,1,1,46,0,0
66,28,1,4,1,29,4.9,2,2,3,54,1,1
67,33,0,4,1,18,4.9,3,3,1,42,0,1
68,34,1,2,2,29,2.6,2,3,1,51,1,0
69,29,1,4,1,21,3.9,1,2,1,55,0,1
70,24,0,1,1,28,2.4,3,3,2,15,0,0
71,22,1,6,2,29,3.7,2,1,2,55,1,1
72,25,1,1,1,12,4.2,1,3,3,24,0,1
73,23,0,6,2,24,4.8,1,1,3,18,0,1
74,29,1,1,1,11,2.6,3,2,3,49,0,0
75,25,0,6,1,11,4.1,1,2,2,24,0,1
76,23,1,8,1,12,2.1,2,3,1,25,0,0
77,27,0,2,1,15,5.0,1,3,1,28,1,1
78,27,0,2,1,24,1.1,1,1,2,52,0,0
79,31,1,4,1,19,3.4,2,1,3,26,0,0
80,25,1,3,2,18,3.6,1,3,3,59,1,1
81,27,1,4,1,10,3.8,1,3,3,31,1,1
82,34,1,7,1,25,1.5,1,2,2,30,1,1
83,23,1,1,1,15,4.8,1,2,3,49,0,1
84,31,0,6,1,18,1.7,2,2,3,16,0,0
85,33,1,3,1,13,3.5,1,3,2,25,0,0
86,23,0,7,1,11,1.9,2,3,1,55,0,0
87,31,0,2,1,13,2.2,1,3,2,17,1,0
88,25,1,2,1,10,3.2,1,2,2,43,1,0
89,29,0,4,1,28,2.7,1,3,2,32,0,1
90,28,0,1,2,19,1.6,1,1,2,34,0,0
91,33,0,3,1,24,1.7,2,3,1,28,0,1
92,30,0,9,1,28,2.7,2,3,3,48,0,1
93,29,1,7,2,25,4.0,2,3,2,45,1,1
94,26,0,7,1,13,4.6,3,3,1,54,1,1
95,34,1,4,2,11,1.3,1,3,3,56,0,1
96,23,1,2,1,22,2.6,1,1,3,32,1,0
97,26,0,4,1,10,1.4,2,1,3,44,0,0
98,29,1,6,1,26,1.1,3,3,2,39,0,1
99,31,1,3,1,22,3.6,1,2,2,33,1,1
100,30,1,1,2,13,3.4,2,3,3,22,0,1
101,33,0,8,1,16,1.7,1,3,3,42,1,1
102,33,1,5,2,26,1.9,1,3,3,22,0,1
103,33,1,5,1,18,1.1,2,2,3,45,1,0
