,Gender,Age,Employment status,Company size,Annual income,Education level,Years of experience,Mental health support received from employer,label
0,Female,25-34,Retired,201-1000 employees,125000,Doctoral degree,18,No,1
1,Female,65 and above,Self-employed,5001-10000 employees,55000,Master's degree,24,Yes,1
2,Prefer not to say,18-24,Self-employed,1001-5000 employees,35000,Associate degree,4,Yes,1
3,Male,65 and above,Retired,5001-10000 employees,65000,High school diploma,6,Yes,1
4,Non-binary,65 and above,Full-time,10001+ employees,140000,High school diploma,18,Yes,1
5,Non-binary,25-34,Full-time,10001+ employees,145000,Associate degree,18,Not applicable,1
6,Non-binary,18-24,Part-time,10001+ employees,40000,Doctoral degree,18,No,1
7,Non-binary,18-24,Retired,10001+ employees,120000,Associate degree,12,Not applicable,1
8,Male,18-24,Retired,10001+ employees,155000,Master's degree,14,No,1
9,Female,45-54,Self-employed,10001+ employees,50000,Associate degree,10,Not applicable,1
10,Female,55-64,Self-employed,10001+ employees,125000,High school diploma,2,No,1
11,Male,65 and above,Part-time,10001+ employees,40000,Doctoral degree,12,Not applicable,0
12,Prefer not to say,25-34,Retired,5001-10000 employees,130000,Bachelor's degree,20,Yes,1
13,Male,18-24,Part-time,Less than 50 employees,135000,Master's degree,28,No,1
14,Male,45-54,Part-time,51-200 employees,115000,Master's degree,24,Yes,1
15,Female,55-64,Self-employed,1001-5000 employees,140000,Doctoral degree,8,No,1
16,Female,18-24,Retired,1001-5000 employees,65000,Bachelor's degree,14,Not applicable,1
17,Male,35-44,Full-time,10001+ employees,130000,High school diploma,28,Not applicable,1
18,Prefer not to say,65 and above,Retired,5001-10000 employees,60000,Master's degree,6,Not applicable,1
19,Prefer not to say,35-44,Self-employed,201-1000 employees,105000,Bachelor's degree,24,Not applicable,1
20,Female,18-24,Part-time,201-1000 employees,65000,Associate degree,28,No,1
21,Non-binary,25-34,Full-time,1001-5000 employees,60000,Associate degree,26,No,1
22,Prefer not to say,35-44,Self-employed,51-200 employees,60000,Associate degree,12,No,1
23,Male,65 and above,Retired,1001-5000 employees,110000,Bachelor's degree,10,Not applicable,1
24,Female,55-64,Part-time,201-1000 employees,115000,Master's degree,20,Not applicable,1
25,Prefer not to say,25-34,Part-time,5001-10000 employees,150000,Associate degree,26,Yes,1
26,Non-binary,65 and above,Part-time,201-1000 employees,85000,Associate degree,28,Yes,1
27,Prefer not to say,35-44,Retired,201-1000 employees,155000,Associate degree,24,No,1
28,Female,18-24,Self-employed,10001+ employees,175000,Doctoral degree,8,Not applicable,1
29,Non-binary,45-54,Full-time,1001-5000 employees,40000,High school diploma,10,Yes,1
30,Non-binary,25-34,Full-time,10001+ employees,70000,Associate degree,28,Yes,1
31,Female,35-44,Part-time,201-1000 employees,70000,Doctoral degree,18,Yes,1
32,Non-binary,45-54,Retired,10001+ employees,195000,High school diploma,2,Yes,1
