,ID,Age,Gender,Job Role,Years at Company,Work Hours per Week,Employer Wellness Programs,Mental Health Awareness Training,Job Satisfaction (1-5),Overall Wellbeing (1-5),label
0,1,33,Female,Finance Officer,20,30,Yes,Yes,4,3,1
1,2,54,Other,Sales Executive,19,47,No,No,5,4,0
2,3,53,Male,Project Manager,6,47,Yes,Yes,5,3,1
3,4,34,Other,Content Writer,14,50,No,No,1,5,0
4,5,22,Male,Content Writer,19,30,No,No,4,4,1
5,6,49,Other,Sales Executive,1,53,No,No,3,5,0
6,7,31,Other,Finance Officer,12,58,No,Yes,4,2,0
7,8,24,Other,Project Manager,5,31,Yes,Yes,3,2,1
8,9,35,Female,Data Analyst,5,39,Yes,Yes,2,3,1
9,10,23,Male,HR Manager,16,38,No,Yes,1,2,1
10,11,40,Other,Content Writer,11,44,No,Yes,4,2,1
11,12,47,Female,Systems Administrator,10,60,Yes,Yes,1,3,0
12,13,31,Male,Finance Officer,8,35,No,Yes,3,1,1
13,14,42,Female,Sales Executive,19,38,No,No,4,5,1
14,15,52,Other,Project Manager,15,45,Yes,Yes,1,4,1
15,16,39,Other,Data Analyst,14,55,No,No,5,5,0
16,17,46,Male,Data Analyst,14,54,Yes,No,4,5,1
17,18,49,Female,CEO,17,36,No,Yes,2,5,1
18,19,52,Male,Finance Officer,8,46,Yes,Yes,1,5,1
19,20,56,Male,Data Analyst,11,47,Yes,No,5,5,1
20,21,45,Other,Sales Executive,4,53,Yes,Yes,5,3,1
21,22,55,Other,Project Manager,14,38,Yes,No,3,5,1
22,23,56,Female,Data Analyst,10,55,Yes,Yes,5,4,1
23,24,48,Female,CEO,12,54,No,Yes,1,4,1
24,25,50,Other,Marketing Specialist,12,38,No,Yes,1,5,1
25,26,22,Male,Marketing Specialist,19,52,Yes,No,3,4,0
26,27,50,Male,Marketing Specialist,5,46,Yes,Yes,5,1,1
27,28,31,Male,Data Analyst,9,49,Yes,No,3,4,0
28,29,39,Male,Marketing Specialist,16,44,No,Yes,4,3,1
29,30,37,Female,CEO,19,54,No,Yes,3,2,0
